station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
AEG,2025-01-01,,,,,,,,,,,,,,0.9,6.4,3.2,23.0,6.0,21.6,,,,,,,,,,,,,,304.0,,,,,,
AEG,2025-01-02,,,,,,,,,,,,,,2.3,12.3,8.3,44.3,12.2,43.9,,,,,,,,,,,,,,286.0,,,,,,
AEG,2025-01-03,,,,,,,,,,,,,,2.2,6.1,7.9,22.0,6.0,21.6,,,,,,,,,,,,,,299.0,,,,,,
AEG,2025-01-04,,,,,,,,,,,,,,1.7,5.7,6.1,20.5,5.6,20.2,,,,,,,,,,,,,,270.0,,,,,,
AEG,2025-01-05,,,,,,,,,,,,,,1.3,11.5,4.7,41.4,10.9,39.2,,,,,,,,,,,,,,37.0,,,,,,
AEG,2025-01-06,,,,,,,,,,,,,,5.1,23.1,18.4,83.2,21.9,78.8,,,,,,,,,,,,,,223.0,,,,,,
AEG,2025-01-07,,,,,,,,,,,,,,3.4,15.5,12.2,55.8,15.3,55.1,,,,,,,,,,,,,,284.0,,,,,,
AEG,2025-01-08,,,,,,,,,,,,,,2.2,13.1,7.9,47.2,12.8,46.1,,,,,,,,,,,,,,360.0,,,,,,
AEG,2025-01-09,,,,,,,,,,,,,,3.8,17.9,13.7,64.4,17.2,61.9,,,,,,,,,,,,,,293.0,,,,,,
AEG,2025-01-10,,,,,,,,,,,,,,1.7,8.1,6.1,29.2,7.9,28.4,,,,,,,,,,,,,,252.0,,,,,,
AEG,2025-01-11,,,,,,,,,,,,,,1.8,7.3,6.5,26.3,7.1,25.6,,,,,,,,,,,,,,346.0,,,,,,
