station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
AIG,2025-01-01,1.3,7.0,-4.0,-0.1,10.4,-6.4,78.3,5.2,982.2,1029.7,,,1027.8,1.7,8.5,6.1,30.6,8.1,29.2,0.0,0.0,0.0,0.0,61,248.0,,,5.0,361,100,0.4,0.0,180.0,18.7,10.7,-0.2,1.6,2.1,2.6
AIG,2025-01-02,4.3,12.0,-0.8,2.9,9.7,-3.1,70.6,5.9,973.7,1020.3,,,1019.0,2.4,14.9,8.6,53.6,14.6,52.6,20.0,14.7,11.3,0.0,37,299.0,,,28.0,30,8,1.0,0.0,304.0,15.7,7.7,11.2,2.1,2.4,2.7
AIG,2025-01-03,1.7,5.7,-2.4,0.9,10.4,-6.5,83.9,5.8,976.0,1023.2,,,1021.4,1.5,11.0,5.4,39.6,10.6,38.2,0.0,0.0,3.4,0.0,66,259.0,,,10.0,355,99,0.2,0.0,214.0,18.3,10.3,3.2,3.1,3.4,3.4
AIG,2025-01-04,0.1,3.2,-3.0,-1.3,4.1,-7.5,76.9,4.7,973.9,1021.2,,,1019.2,1.5,9.8,5.4,35.3,9.5,34.2,0.0,7.0,1.5,0.0,45,269.0,,,31.0,97,27,0.4,0.0,158.0,19.9,11.9,1.4,1.9,2.4,3.0
AIG,2025-01-05,6.2,10.8,2.5,5.0,12.4,1.6,82.8,7.8,963.2,1009.0,,,1008.2,2.3,8.1,8.3,29.2,7.6,27.4,0.0,0.0,5.5,0.0,41,310.0,,,23.0,115,32,0.6,0.0,165.0,13.8,5.8,5.4,3.2,3.3,3.3
AIG,2025-01-06,9.2,13.8,5.7,7.7,12.2,4.9,70.7,8.0,957.2,1002.2,,,1001.9,3.1,16.5,11.2,59.4,16.0,57.6,130.0,14.0,13.9,0.0,11,334.0,,,10.0,1,0,1.4,0.0,339.0,10.8,2.8,13.8,4.4,4.4,4.1
AIG,2025-01-07,5.6,10.2,1.9,4.4,12.6,0.0,74.4,6.7,965.1,1011.0,,,1010.0,2.0,7.5,7.2,27.0,7.4,26.6,0.0,0.6,0.1,0.0,48,293.0,,,23.0,150,41,0.7,0.0,158.0,14.4,6.4,0.0,4.8,4.9,4.7
AIG,2025-01-08,6.6,9.3,4.7,5.3,8.0,3.1,75.4,7.4,963.8,1009.5,,,1008.7,4.9,17.1,17.6,61.6,16.2,58.3,0.0,7.2,6.9,0.0,18,327.0,,,15.0,1,0,1.2,0.0,160.0,13.4,5.4,6.9,4.7,4.9,4.8
AIG,2025-01-09,8.1,11.1,3.3,6.7,10.4,2.8,76.2,8.3,964.3,1009.8,,,1009.3,5.4,19.9,19.4,71.6,19.6,70.6,0.0,3.9,4.8,0.0,23,330.0,,,22.0,0,0,1.0,0.0,112.0,11.9,3.9,4.8,5.7,5.7,5.3
AIG,2025-01-10,2.3,4.0,1.3,2.0,4.7,0.2,84.6,6.1,973.9,1020.8,,,1019.2,1.4,11.4,5.0,41.0,11.1,40.0,0.0,6.7,3.6,0.0,8,312.0,,,8.0,0,0,0.5,0.0,321.0,17.7,9.7,3.6,5.0,5.3,5.4
AIG,2025-01-11,2.0,3.3,-0.2,1.3,3.0,-2.8,82.6,5.8,976.5,1023.6,,,1021.9,2.2,8.5,7.9,30.6,8.2,29.5,0.0,1.3,4.4,0.0,6,302.0,,,6.0,0,0,0.5,0.0,345.0,18.0,10.0,4.4,4.3,4.7,4.9
AIG,2025-01-12,-0.7,2.5,-3.1,-2.6,6.7,-6.8,77.8,4.5,985.6,1033.7,,,1031.4,1.3,4.6,4.7,16.6,4.5,16.2,0.0,0.0,0.0,0.0,69,224.0,,,7.0,377,100,0.3,0.0,180.0,20.7,12.7,-0.2,3.0,3.6,4.2
AIG,2025-01-13,-2.2,1.3,-4.8,-4.3,5.2,-8.6,81.4,4.2,988.0,1036.4,,,1033.8,1.3,5.7,4.7,20.5,5.5,19.8,0.0,0.0,0.0,0.0,71,219.0,,,6.0,386,100,0.3,0.0,207.0,22.2,14.2,-0.1,1.7,2.5,3.3
AIG,2025-01-14,-2.3,1.0,-5.7,-3.3,5.1,-9.5,84.7,4.4,987.1,1035.5,,,1032.9,0.9,4.8,3.2,17.3,4.7,16.9,0.0,0.0,0.0,0.0,70,240.0,,,10.0,375,97,0.2,0.0,270.0,22.3,14.3,-0.1,1.1,1.8,2.6
AIG,2025-01-15,-1.4,3.7,-4.9,-2.9,7.6,-7.8,84.8,4.7,983.2,1031.3,,,1028.8,0.8,4.0,2.9,14.4,3.9,14.0,0.0,0.0,0.0,0.0,71,236.0,,,10.0,378,97,0.2,0.0,180.0,21.4,13.4,-0.1,1.0,1.6,2.2
AIG,2025-01-16,-1.0,4.4,-4.8,-3.0,8.0,-8.4,85.4,4.8,985.9,1034.0,,,1031.6,0.9,3.4,3.2,12.2,3.3,11.9,0.0,0.0,0.0,0.0,68,237.0,,,13.0,385,99,0.3,0.0,180.0,21.0,13.0,-0.1,0.8,1.4,2.0
AIG,2025-01-17,-1.0,3.8,-4.8,-3.1,7.3,-8.4,85.7,4.8,987.5,1035.7,,,1033.3,1.0,4.3,3.6,15.5,4.3,15.5,0.0,0.0,0.0,0.0,71,236.0,,,10.0,393,100,0.3,0.0,194.0,21.0,13.0,-0.1,0.7,1.2,1.8
AIG,2025-01-18,-1.4,2.7,-3.8,-3.1,6.5,-7.0,88.7,4.9,982.5,1030.6,,,1028.2,0.8,4.8,2.9,17.3,4.6,16.6,0.0,0.0,0.0,0.0,52,252.0,,,38.0,74,19,0.3,0.0,180.0,21.4,13.4,0.0,0.6,1.1,1.7
AIG,2025-01-19,-0.2,1.5,-2.5,-0.3,2.6,-3.9,90.1,5.4,976.5,1024.1,,,1021.9,1.0,4.2,3.6,15.1,4.1,14.8,0.0,0.0,0.0,0.0,20,306.0,,,19.0,0,0,0.3,0.0,164.0,20.2,12.2,0.0,0.6,1.1,1.6
AIG,2025-01-20,1.1,2.8,-0.6,1.2,4.6,-0.5,94.2,6.2,974.2,1021.4,,,1019.5,1.0,3.5,3.6,12.6,3.5,12.6,0.0,0.0,0.0,0.0,22,316.0,,,21.0,0,0,0.3,0.0,159.0,18.9,10.9,0.0,1.1,1.5,1.7
AIG,2025-01-21,0.7,2.3,-0.5,1.0,3.8,-1.2,94.2,6.1,972.4,1019.5,,,1017.6,1.1,3.6,4.0,13.0,3.5,12.6,0.0,0.0,0.0,0.0,20,314.0,,,19.0,0,0,0.3,0.0,157.0,19.3,11.3,0.0,2.2,2.4,2.4
AIG,2025-01-22,3.9,10.1,-0.8,3.4,12.4,-0.9,83.3,6.7,965.5,1011.8,,,1010.5,2.3,13.0,8.3,46.8,12.6,45.4,0.0,1.9,0.0,0.0,19,315.0,,,14.0,19,5,0.8,0.0,333.0,16.1,8.1,0.0,2.7,2.8,2.8
AIG,2025-01-23,6.4,9.8,1.8,5.2,13.8,-1.3,81.3,7.7,967.8,1013.8,,,1012.9,2.9,14.3,10.4,51.5,14.0,50.4,0.0,6.8,8.7,0.0,47,302.0,,,22.0,134,33,0.7,0.0,151.0,13.6,5.6,8.6,3.9,3.9,3.6
AIG,2025-01-24,8.1,11.8,2.8,6.9,14.4,0.0,58.2,6.1,970.0,1015.8,,,1015.2,4.9,14.5,17.6,52.2,13.9,50.0,0.0,0.0,0.0,0.0,79,291.0,,,23.0,309,76,1.7,0.0,144.0,11.9,3.9,-0.2,4.0,4.1,4.0
AIG,2025-01-25,11.1,15.4,4.4,9.6,18.0,1.4,46.0,5.9,965.9,1011.0,,,1011.0,3.8,22.8,13.7,82.1,22.2,79.9,230.0,4.6,2.5,0.0,64,303.0,,,26.0,230,56,2.1,0.0,106.0,8.9,0.9,2.3,4.8,4.8,4.4
AIG,2025-01-26,6.9,10.8,1.6,6.5,13.7,-0.4,75.6,7.4,967.7,1013.6,,,1012.8,2.8,18.8,10.1,67.7,18.6,67.0,90.0,0.8,2.1,0.0,75,300.0,,,15.0,319,77,0.8,0.0,139.0,13.1,5.1,2.0,5.3,5.3,5.0
AIG,2025-01-27,8.3,10.5,5.2,6.7,9.4,4.3,74.7,8.1,959.4,1004.6,,,1004.1,7.2,21.5,25.9,77.4,21.3,76.7,10.0,58.0,41.5,0.0,10,338.0,,,9.0,6,1,1.4,0.0,133.0,11.7,3.7,41.5,5.6,5.7,5.3
AIG,2025-01-28,5.9,9.1,4.2,5.7,13.0,3.4,85.4,7.9,959.3,1005.0,,,1004.1,1.9,8.7,6.8,31.3,8.4,30.2,0.0,3.4,19.7,0.0,58,320.0,,,32.0,117,28,0.6,0.0,175.0,14.1,6.1,19.7,5.8,5.9,5.6
AIG,2025-01-29,6.2,9.4,2.9,5.5,13.6,-0.5,77.6,7.3,967.1,1013.0,,,1012.1,1.8,8.4,6.5,30.2,8.3,29.9,0.0,0.0,1.0,0.0,82,284.0,,,18.0,405,96,0.7,0.0,189.0,13.8,5.8,0.8,5.9,6.0,5.8
AIG,2025-01-30,5.7,8.6,2.8,4.7,11.9,0.5,81.0,7.4,971.8,1018.1,,,1017.1,1.6,8.4,5.8,30.2,8.2,29.5,0.0,0.0,0.0,0.0,36,307.0,,,28.0,44,10,0.6,0.0,337.0,14.3,6.3,-0.1,5.4,5.6,5.6
AIG,2025-01-31,5.2,7.0,3.5,4.6,9.0,1.8,86.2,7.6,979.9,1026.6,,,1025.4,1.2,6.8,4.3,24.5,6.6,23.8,0.0,0.8,0.8,0.0,21,326.0,,,20.0,0,0,0.5,0.0,338.0,14.8,6.8,0.8,5.6,5.7,5.6
AIG,2025-02-01,4.8,6.9,3.2,5.0,11.2,-0.4,82.3,7.1,979.1,1025.9,,,1024.6,1.4,6.1,5.0,22.0,5.9,21.2,0.0,0.0,0.0,0.0,70,310.0,,,32.0,206,48,0.6,0.0,343.0,15.2,7.2,-0.1,5.8,5.9,5.7
AIG,2025-02-02,2.1,6.4,-1.6,1.0,11.2,-4.6,87.4,6.2,977.0,1024.1,,,1022.4,1.0,6.1,3.6,22.0,6.0,21.6,0.0,0.0,0.0,0.0,93,253.0,,,11.0,428,100,0.4,0.0,342.0,17.9,9.9,-0.1,5.0,5.4,5.6
AIG,2025-02-03,1.6,5.7,-2.5,0.8,10.2,-6.0,85.2,5.8,980.5,1027.9,,,1026.1,1.4,7.4,5.0,26.6,7.0,25.2,0.0,0.0,0.0,0.0,96,255.0,,,10.0,430,100,0.5,0.0,333.0,18.4,10.4,-0.1,3.9,4.3,4.8
AIG,2025-02-04,0.8,5.9,-2.9,-0.7,10.6,-6.6,87.2,5.6,983.6,1031.3,,,1029.3,0.9,5.2,3.2,18.7,5.1,18.4,0.0,0.0,0.0,0.0,99,238.0,,,10.0,432,100,0.5,0.0,315.0,19.2,11.2,-0.1,3.6,4.0,4.4
AIG,2025-02-05,0.3,5.1,-3.1,-1.3,9.8,-7.0,89.1,5.5,989.0,1037.1,,,1034.9,1.1,5.8,4.0,20.9,5.7,20.5,0.0,0.0,0.0,0.0,99,238.0,,,14.0,434,100,0.5,0.0,342.0,19.7,11.7,-0.1,2.8,3.4,3.9
AIG,2025-02-06,1.3,2.9,-2.3,0.8,4.3,-6.3,83.3,5.5,986.5,1034.2,,,1032.3,1.2,6.8,4.3,24.5,6.4,23.0,0.0,0.0,0.0,0.0,26,307.0,,,25.0,0,0,0.4,0.0,342.0,18.7,10.7,0.0,2.8,3.2,3.6
AIG,2025-02-07,2.0,6.4,-1.2,1.0,9.3,-4.3,80.7,5.7,976.8,1023.9,,,1022.2,2.2,9.8,7.9,35.3,9.6,34.6,0.0,0.0,0.0,0.0,85,261.0,,,46.0,205,46,0.7,0.0,339.0,18.0,10.0,-0.1,3.3,3.6,3.8
AIG,2025-02-08,2.9,8.2,-1.2,1.3,6.3,-4.9,81.3,6.1,975.5,1022.4,,,1020.8,2.3,11.8,8.3,42.5,11.0,39.6,40.0,0.0,0.0,0.0,39,272.0,,,36.0,6,1,0.8,0.0,340.0,17.1,9.1,-0.1,3.3,3.6,3.8
AIG,2025-02-09,2.7,8.0,-1.7,2.1,12.1,-5.1,85.8,6.4,980.1,1027.3,,,1025.7,1.5,9.5,5.4,34.2,9.4,33.8,0.0,0.0,0.0,0.0,102,276.0,,,27.0,393,86,0.6,0.0,333.0,17.3,9.3,-0.2,3.4,3.7,3.8
AIG,2025-02-10,5.1,8.2,0.4,4.8,11.0,-0.9,83.9,7.4,977.2,1023.8,,,1022.6,1.3,4.9,4.7,17.6,4.8,17.3,0.0,2.3,1.7,0.0,44,321.0,,,42.0,0,0,0.6,0.0,315.0,14.9,6.9,1.7,4.1,4.2,4.1
AIG,2025-02-11,7.5,9.6,4.7,6.6,10.5,2.0,86.8,9.0,974.8,1020.9,,,1020.1,1.5,7.2,5.4,25.9,7.0,25.2,0.0,1.7,2.2,0.0,27,331.0,,,26.0,0,0,0.6,0.0,360.0,12.5,4.5,2.2,5.3,5.3,4.9
AIG,2025-02-12,6.4,8.5,3.4,6.0,9.3,0.9,93.4,9.0,973.1,1019.3,,,1018.4,1.3,4.8,4.7,17.3,4.7,16.9,0.0,3.8,2.5,0.0,38,323.0,,,36.0,0,0,0.5,0.0,333.0,13.6,5.6,2.5,5.7,5.7,5.4
AIG,2025-02-13,6.6,8.3,4.1,6.1,9.3,3.3,92.6,9.1,972.1,1018.2,,,1017.3,1.6,12.6,5.8,45.4,12.0,43.2,0.0,15.6,16.3,0.0,15,336.0,,,14.0,0,0,0.5,0.0,315.0,13.4,5.4,16.3,6.1,6.1,5.8
AIG,2025-02-14,2.9,6.2,-2.3,2.2,11.1,-6.2,65.2,4.8,974.0,1020.8,,,1019.3,4.1,14.0,14.8,50.4,13.3,47.9,0.0,0.0,0.7,0.0,109,256.0,,,23.0,380,79,1.2,0.0,335.0,17.1,9.1,0.3,5.5,5.8,5.8
AIG,2025-02-15,0.0,4.3,-3.7,-1.0,10.3,-7.4,77.0,4.6,973.6,1021.0,,,1019.0,1.3,9.9,4.7,35.6,9.7,34.9,0.0,0.0,0.0,0.0,127,229.0,,,12.0,485,99,0.7,0.0,315.0,20.0,12.0,-0.3,3.8,4.4,4.9
AIG,2025-02-16,0.9,5.8,-2.7,0.0,11.2,-5.6,83.7,5.4,970.1,1017.2,,,1015.3,1.2,5.8,4.3,20.9,5.7,20.5,0.0,0.0,0.0,0.0,123,246.0,,,17.0,458,92,0.7,0.0,333.0,19.1,11.1,-0.2,3.5,3.9,4.3
AIG,2025-02-17,1.4,5.3,-2.1,1.2,11.3,-6.3,85.7,5.8,973.4,1020.5,,,1018.7,1.0,7.6,3.6,27.4,7.3,26.3,0.0,0.0,0.0,0.0,100,277.0,,,34.0,313,62,0.6,0.0,315.0,18.6,10.6,-0.2,3.5,3.8,4.1
AIG,2025-02-18,2.0,5.8,-1.5,1.6,11.7,-5.1,83.5,5.9,975.0,1022.1,,,1020.4,1.4,8.8,5.0,31.7,8.5,30.6,0.0,0.0,0.0,0.0,121,260.0,,,27.0,449,89,0.7,0.0,333.0,18.0,10.0,-0.3,3.9,4.2,4.3
AIG,2025-02-19,2.7,6.4,-0.2,2.7,11.9,-2.3,85.8,6.3,977.8,1024.9,,,1023.3,1.2,6.3,4.3,22.7,6.1,22.0,0.0,0.0,0.0,0.0,114,277.0,,,42.0,410,81,0.7,0.0,333.0,17.3,9.3,-0.2,4.1,4.3,4.4
