station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
AND,2025-01-01,-1.1,5.0,-6.1,,,,62.9,3.5,912.4,,1549.8,,1026.9,0.5,3.8,1.8,13.7,3.7,13.3,0.0,0.0,0.0,,50.0,,,,4.0,229.0,100.0,0.2,0.0,90.0,21.1,13.1,-0.3,,,
AND,2025-01-02,4.9,6.9,0.0,,,,51.1,4.3,903.2,,1480.6,,1016.7,5.2,15.8,18.7,56.9,14.9,53.6,990.0,0.8,0.6,,22.0,,,,20.0,1.0,0.0,1.6,0.0,155.0,15.1,7.1,0.5,,,
AND,2025-01-03,-2.3,0.4,-6.4,,,,83.4,4.3,904.7,,1480.7,,1018.4,0.7,4.3,2.5,15.5,4.2,15.1,0.0,0.0,0.2,,50.0,,,,15.0,178.0,77.0,0.2,0.0,360.0,22.3,14.3,0.1,,,
AND,2025-01-04,-4.4,4.2,-10.9,,,,70.9,2.9,904.0,,1470.8,,1017.7,2.0,16.4,7.2,59.0,15.8,56.9,0.0,0.0,0.0,,45.0,,,,11.0,232.0,100.0,0.7,0.0,158.0,24.4,16.4,-0.2,,,
AND,2025-01-05,5.2,10.7,0.1,,,,50.0,4.4,897.2,,1427.6,,1010.1,4.9,19.1,17.6,68.8,18.4,66.2,190.0,0.0,0.0,,15.0,,,,15.0,0.0,0.0,2.1,0.0,166.0,14.8,6.8,-0.1,,,
AND,2025-01-06,7.0,9.8,3.5,,,,61.8,6.1,893.0,,1392.5,,1005.5,4.1,16.5,14.8,59.4,14.9,53.6,590.0,3.8,0.9,,21.0,,,,18.0,5.0,2.0,1.4,0.0,169.0,13.0,5.0,0.8,,,
AND,2025-01-07,0.7,4.5,-3.3,,,,92.0,6.0,894.7,,1398.1,,1007.4,0.6,3.0,2.2,10.8,2.9,10.4,0.0,0.3,3.2,,45.0,,,,22.0,145.0,61.0,0.2,0.0,180.0,19.3,11.3,3.1,,,
AND,2025-01-08,5.6,9.1,-4.1,,,,55.6,4.9,896.2,,1419.0,,1009.0,5.1,17.0,18.4,61.2,16.4,59.0,120.0,0.0,0.0,,51.0,,,,23.0,175.0,74.0,1.3,0.0,168.0,14.4,6.4,-0.3,,,
AND,2025-01-09,7.3,11.2,0.8,,,,59.6,6.0,893.8,,1400.2,,1006.4,4.8,13.6,17.3,49.0,13.3,47.9,440.0,2.2,2.2,,46.0,,,,24.0,144.0,60.0,1.5,0.0,159.0,12.7,4.7,2.0,,,
AND,2025-01-10,-1.3,1.0,-2.8,,,,75.5,4.2,902.8,,1465.7,,1016.2,1.2,9.0,4.3,32.4,8.9,32.0,0.0,1.5,1.1,,29.0,,,,27.0,2.0,1.0,0.4,0.0,360.0,21.3,13.3,1.0,,,
