station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
ANT,2025-01-01,-8.0,1.8,-18.0,-12.6,-6.1,-16.8,71.9,2.4,864.1,,1562.8,,1026.8,1.6,16.4,5.8,59.0,15.1,54.4,,0.0,0.0,,59.0,,,,13.0,240.0,100.0,0.4,0.0,171.0,28.0,20.0,-0.3,,,
ANT,2025-01-02,0.1,2.1,-2.8,-2.1,1.8,-5.7,70.4,4.3,855.4,,1486.6,,1016.9,7.2,18.7,25.9,67.3,17.9,64.4,,13.6,10.2,,51.0,,,,38.0,110.0,46.0,0.9,0.0,207.0,19.9,11.9,10.1,,,
ANT,2025-01-03,-6.6,-2.9,-19.2,-4.1,-3.1,-7.7,85.8,3.3,855.3,,1484.4,,1016.8,3.6,14.1,13.0,50.8,12.8,46.1,,0.0,3.4,,36.0,,,,30.0,12.0,5.0,0.0,0.0,17.0,26.6,18.6,3.4,,,
ANT,2025-01-04,-10.1,0.9,-25.6,-10.2,-4.8,-14.7,65.6,1.9,854.5,,1475.7,,1015.8,5.8,23.9,20.9,86.0,23.1,83.2,,0.2,0.0,,64.0,,,,29.0,230.0,93.0,0.9,0.0,194.0,30.1,22.1,-0.3,,,
ANT,2025-01-05,2.7,6.6,-2.3,0.3,3.9,-5.1,66.0,4.9,849.5,,1430.6,,1010.0,10.8,26.3,38.9,94.7,25.4,91.4,,0.0,0.2,,34.0,,,,31.0,0.0,0.0,1.5,0.0,200.0,17.3,9.3,0.1,,,
ANT,2025-01-06,3.2,4.0,0.3,1.5,2.3,0.2,64.6,5.0,845.7,,1394.7,,1005.7,8.6,23.0,31.0,82.8,22.3,80.3,,0.6,0.0,,37.0,,,,35.0,0.0,0.0,1.2,0.0,243.0,16.8,8.8,-0.1,,,
ANT,2025-01-07,-1.3,2.2,-6.7,-2.9,6.7,-10.2,69.8,3.9,846.6,,1404.1,,1006.8,2.2,11.8,7.9,42.5,11.3,40.7,,0.0,0.6,,73.0,,,,26.0,253.0,93.0,0.4,0.0,180.0,21.3,13.3,0.4,,,
ANT,2025-01-08,1.9,4.5,-0.7,0.8,3.0,-1.6,64.6,4.5,848.8,,1424.0,,1009.2,9.7,23.0,34.9,82.8,22.3,80.3,,0.3,0.3,,49.0,,,,39.0,77.0,28.0,1.5,0.0,202.0,18.1,10.1,0.2,,,
ANT,2025-01-09,2.6,5.5,-4.2,1.7,7.3,-4.9,69.9,5.1,847.1,,1407.7,,1007.3,5.6,17.9,20.2,64.4,16.8,60.5,,6.5,5.3,,58.0,,,,45.0,66.0,23.0,0.8,0.0,182.0,17.4,9.4,5.2,,,
ANT,2025-01-10,-5.2,-4.4,-5.8,-4.3,-2.0,-6.0,88.1,3.6,853.4,,1466.8,,1014.5,3.6,15.8,13.0,56.9,14.7,52.9,,7.3,5.7,,37.0,,,,33.0,0.0,0.0,0.3,0.0,15.0,25.2,17.2,5.7,,,
