station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
ATT,2025-01-01,-3.8,-2.2,-5.3,,,,41.1,1.9,735.1,,,3120.2,1026.5,5.0,13.2,18.0,47.5,12.5,45.0,,,,,91.0,,,,,452.0,100.0,1.1,0.0,234.0,23.8,15.8,,,,
ATT,2025-01-02,-5.8,-4.3,-7.7,,,,62.4,2.4,726.8,,,3028.7,1015.6,7.9,18.9,28.4,68.0,18.5,66.6,,,,,59.0,,,,,129.0,29.0,0.9,0.0,223.0,25.8,17.8,,,,
ATT,2025-01-03,-9.8,-6.3,-12.9,,,,42.1,1.1,724.3,,,2998.4,1012.4,2.4,13.1,8.6,47.2,12.6,45.4,,,,,95.0,,,,,437.0,98.0,0.5,0.0,248.0,29.8,21.8,,,,
ATT,2025-01-04,-4.0,0.3,-6.5,,,,48.1,2.4,725.2,,,3014.1,1013.5,6.2,22.1,22.3,79.6,21.6,77.8,,,,,73.0,,,,,309.0,70.0,1.2,0.0,217.0,24.0,16.0,,,,
ATT,2025-01-05,0.8,2.7,-1.7,,,,74.0,4.7,723.5,,,2999.5,1011.2,8.8,18.6,31.7,67.0,18.1,65.2,,,,,42.0,,,,,35.0,8.0,1.0,0.0,206.0,19.2,11.2,,,,
ATT,2025-01-06,-3.5,1.3,-7.5,,,,72.0,3.3,717.1,,,2925.8,1002.8,7.4,27.9,26.6,100.4,26.9,96.8,,,,,59.0,,,,,71.0,16.0,1.0,0.0,191.0,23.5,15.5,,,,
ATT,2025-01-07,-8.6,-4.4,-10.6,,,,77.2,2.5,719.0,,,2942.0,1005.3,6.9,20.1,24.8,72.4,18.7,67.3,,,,,95.0,,,,,366.0,82.0,0.6,0.0,225.0,28.6,20.6,,,,
ATT,2025-01-08,-1.9,0.3,-4.6,,,,84.3,4.5,721.9,,,2980.3,1009.2,10.4,24.6,37.4,88.6,24.2,87.1,,,,,50.0,,,,,73.0,16.0,0.5,0.0,214.0,21.9,13.9,,,,
ATT,2025-01-09,-4.9,-1.8,-10.4,,,,92.9,4.0,720.4,,,2960.5,1007.2,8.8,22.1,31.7,79.6,21.5,77.4,,,,,43.0,,,,,0.0,0.0,0.1,0.0,223.0,24.9,16.9,,,,
ATT,2025-01-10,-7.2,-3.9,-11.4,,,,93.5,3.4,723.6,,,2993.0,1011.4,7.4,22.3,26.6,80.3,21.9,78.8,,,,,27.0,,,,,0.0,0.0,0.2,0.0,241.0,27.2,19.2,,,,
ATT,2025-01-11,-8.7,-6.1,-12.8,,,,74.4,2.5,724.8,,,3003.8,1012.9,4.0,19.0,14.4,68.4,17.6,63.4,,,,,61.0,,,,,58.0,13.0,0.3,0.0,282.0,28.7,20.7,,,,
ATT,2025-01-12,-9.8,-7.1,-13.4,,,,23.7,0.7,729.2,,,3050.0,1018.8,5.6,13.7,20.2,49.3,12.9,46.4,,,,,103.0,,,,,463.0,100.0,1.1,0.0,45.0,29.8,21.8,,,,
ATT,2025-01-13,-6.2,-3.7,-10.6,,,,12.3,0.5,733.5,,,3099.4,1024.3,3.6,13.2,13.0,47.5,12.2,43.9,,,,,104.0,,,,,465.0,100.0,1.1,0.0,53.0,26.2,18.2,,,,
ATT,2025-01-14,-2.1,1.3,-5.8,,,,11.5,0.6,735.0,,,3121.6,1026.3,4.2,9.9,15.1,35.6,9.3,33.5,,,,,100.0,,,,,467.0,100.0,1.6,0.0,43.0,22.1,14.1,,,,
ATT,2025-01-15,-3.9,0.0,-7.0,,,,40.7,1.8,732.3,,,3090.6,1022.9,5.0,18.8,18.0,67.7,16.7,60.1,,,,,102.0,,,,,467.0,100.0,1.2,0.0,41.0,23.9,15.9,,,,
ATT,2025-01-16,-6.9,-3.2,-9.2,,,,47.8,1.7,733.5,,,3098.5,1024.3,2.3,9.1,8.3,32.8,8.7,31.3,,,,,103.0,,,,,468.0,100.0,0.6,0.0,151.0,26.9,18.9,,,,
ATT,2025-01-17,-4.3,-1.0,-6.2,,,,37.0,1.7,735.8,,,3126.7,1027.4,1.8,6.3,6.5,22.7,6.3,22.7,,,,,106.0,,,,,470.0,100.0,0.6,0.0,135.0,24.3,16.3,,,,
ATT,2025-01-18,-4.2,-1.0,-7.3,,,,50.4,2.3,733.6,,,3103.7,1024.5,4.6,16.9,16.6,60.8,16.7,60.1,,,,,105.0,,,,,471.0,100.0,0.9,0.0,168.0,24.2,16.2,,,,
ATT,2025-01-19,-5.9,-3.6,-7.9,,,,77.5,3.0,728.8,,,3050.1,1018.2,2.7,12.3,9.7,44.3,11.7,42.1,,,,,66.0,,,,,166.0,36.0,0.4,0.0,177.0,25.9,17.9,,,,
ATT,2025-01-20,-7.0,-5.1,-8.2,,,,73.7,2.7,726.6,,,3025.8,1015.4,3.1,13.3,11.2,47.9,12.8,46.1,,,,,88.0,,,,,239.0,51.0,0.4,0.0,172.0,27.0,19.0,,,,
ATT,2025-01-21,-6.3,-3.5,-7.8,,,,64.8,2.5,724.8,,,3007.1,1013.0,2.4,12.2,8.6,43.9,12.1,43.6,,,,,109.0,,,,,464.0,99.0,0.5,0.0,180.0,26.3,18.3,,,,
ATT,2025-01-22,-4.5,-2.9,-7.1,,,,71.7,3.2,722.1,,,2979.6,1009.4,5.2,12.3,18.7,44.3,11.9,42.8,,,,,39.0,,,,,0.0,0.0,0.6,0.0,182.0,24.5,16.5,,,,
ATT,2025-01-23,-5.1,-2.3,-7.7,,,,68.4,3.0,722.6,,,2984.5,1010.1,5.2,14.7,18.7,52.9,14.3,51.5,,,,,97.0,,,,,256.0,54.0,0.7,0.0,214.0,25.1,17.1,,,,
ATT,2025-01-24,-1.1,1.3,-5.5,,,,30.8,1.7,728.1,,,3048.9,1017.4,6.7,18.8,24.1,67.7,18.0,64.8,,,,,89.0,,,,,320.0,68.0,1.8,0.0,209.0,21.1,13.1,,,,
