station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BAS,2025-01-01,0.2,5.3,-3.2,-1.4,7.8,-6.0,83.8,5.2,987.5,1027.2,,,1025.4,2.1,6.7,7.6,24.1,6.6,23.8,,0.0,0.0,0.0,62.0,242.0,,,31.0,314.0,81.0,0.3,0.0,108.0,19.8,11.8,-0.1,1.9,2.3,3.0
BAS,2025-01-02,4.1,11.8,-0.2,2.4,11.8,-2.8,76.2,6.1,978.9,1017.8,,,1016.6,2.7,21.1,9.7,76.0,20.7,74.5,,14.9,14.5,0.0,18.0,309.0,,,17.0,17.0,4.0,1.2,0.0,253.0,15.9,7.9,14.4,2.2,2.4,3.0
BAS,2025-01-03,-0.5,2.1,-4.6,-2.2,6.4,-10.9,87.0,5.1,985.0,1024.8,,,1022.9,1.6,7.7,5.8,27.7,7.6,27.4,,0.0,0.4,2.0,51.0,254.0,,,35.0,115.0,29.0,0.1,0.0,228.0,20.5,12.5,0.3,2.6,2.8,3.2
BAS,2025-01-04,-2.2,0.5,-5.6,-3.5,2.5,-11.9,85.0,4.4,981.0,1020.8,,,1018.7,2.8,10.3,10.1,37.1,9.7,34.9,,14.8,5.9,1.0,65.0,251.0,,,33.0,347.0,86.0,0.2,0.0,96.0,22.2,14.2,5.8,1.8,2.2,3.0
BAS,2025-01-05,3.2,6.3,0.4,2.0,5.9,-0.4,94.5,7.3,967.9,1006.4,,,1005.3,2.6,7.6,9.4,27.4,7.2,25.9,,1.0,9.9,1.0,21.0,314.0,,,22.0,0.0,0.0,0.4,0.0,102.0,16.8,8.8,9.9,1.9,2.1,2.7
BAS,2025-01-06,7.8,16.4,0.6,6.3,17.6,-0.6,75.3,7.7,962.8,1000.4,,,1000.0,3.8,20.3,13.7,73.1,19.8,71.3,,4.0,4.0,0.0,35.0,321.0,,,24.0,71.0,17.0,1.5,0.0,216.0,12.2,4.2,3.9,2.9,2.8,3.0
BAS,2025-01-07,6.0,7.7,3.7,4.4,8.5,1.1,66.1,6.2,970.6,1008.8,,,1008.0,3.4,17.4,12.2,62.6,15.5,55.8,,2.5,0.6,0.0,38.0,289.0,,,30.0,60.0,14.0,1.0,0.0,244.0,14.0,6.0,0.5,3.8,3.8,3.9
BAS,2025-01-08,8.0,15.4,3.9,6.8,13.9,3.1,80.2,8.5,967.8,1005.7,,,1005.2,2.4,16.1,8.6,58.0,15.3,55.1,,13.6,15.5,0.0,12.0,337.0,,,12.0,5.0,1.0,1.2,0.0,225.0,12.0,4.0,15.5,4.1,4.0,4.1
BAS,2025-01-09,9.1,14.2,2.0,8.0,15.7,0.9,66.8,7.7,969.4,1007.1,,,1006.7,5.7,20.8,20.5,74.9,20.6,74.2,,3.4,3.4,0.0,43.0,316.0,,,32.0,72.0,17.0,1.6,0.0,235.0,10.9,2.9,3.3,5.5,5.2,4.9
BAS,2025-01-10,2.0,3.9,-0.2,0.7,5.6,-5.6,75.8,5.3,982.2,1021.4,,,1020.0,1.1,6.1,4.0,22.0,6.0,21.6,,0.0,0.0,0.0,30.0,284.0,,,30.0,6.0,1.0,0.4,0.0,124.0,18.0,10.0,-0.1,4.6,4.8,5.1
BAS,2025-01-11,-1.0,0.9,-2.7,-2.1,8.5,-8.7,85.5,4.8,987.3,1027.2,,,1025.3,1.1,4.6,4.0,16.6,4.4,15.8,,0.0,0.0,0.0,60.0,255.0,,,35.0,185.0,42.0,0.2,0.0,284.0,21.0,13.0,-0.1,3.6,4.0,4.6
BAS,2025-01-12,-1.5,1.3,-5.0,-3.7,7.1,-9.6,85.4,4.7,997.4,1037.8,,,1035.6,0.9,4.5,3.2,16.2,4.3,15.5,,0.0,0.0,0.0,47.0,243.0,,,39.0,56.0,13.0,0.2,0.0,288.0,21.5,13.5,0.0,2.9,3.3,4.0
BAS,2025-01-13,-2.7,1.7,-6.4,-4.3,6.1,-10.4,75.1,3.7,999.0,1039.6,,,1037.3,1.8,9.0,6.5,32.4,8.7,31.3,,0.0,0.0,0.0,78.0,216.0,,,20.0,429.0,94.0,0.3,0.0,90.0,22.7,14.7,-0.2,1.8,2.4,3.3
BAS,2025-01-14,-2.2,2.6,-6.4,-4.0,7.3,-10.2,76.9,3.9,995.9,1036.4,,,1034.1,1.1,5.5,4.0,19.8,5.4,19.4,,0.0,0.0,0.0,78.0,224.0,,,21.0,430.0,93.0,0.2,0.0,45.0,22.2,14.2,-0.2,1.3,1.8,2.7
BAS,2025-01-15,-0.9,2.0,-5.2,-1.0,5.4,-9.3,84.2,4.9,993.6,1033.8,,,1031.8,1.0,4.7,3.6,16.9,4.6,16.6,,0.0,0.0,0.0,42.0,293.0,,,40.0,10.0,2.0,0.2,0.0,333.0,20.9,12.9,0.0,1.1,1.5,2.3
BAS,2025-01-16,1.7,3.7,0.0,1.5,5.6,-0.3,83.4,5.7,995.2,1035.0,,,1033.4,1.6,8.0,5.8,28.8,7.6,27.4,,0.0,0.0,0.0,28.0,305.0,,,27.0,13.0,3.0,0.4,0.0,27.0,18.3,10.3,0.0,1.7,1.9,2.3
BAS,2025-01-17,1.8,4.4,0.4,1.5,10.9,-4.1,74.5,5.2,995.9,1035.7,,,1034.1,2.8,8.1,10.1,29.2,7.9,28.4,,0.0,0.0,0.0,53.0,287.0,,,34.0,213.0,46.0,0.7,0.0,84.0,18.2,10.2,-0.1,2.3,2.4,2.7
BAS,2025-01-18,0.7,3.1,-1.4,0.4,8.1,-4.4,76.2,4.9,990.4,1030.2,,,1028.5,3.4,10.4,12.2,37.4,9.8,35.3,,0.0,0.0,0.0,81.0,254.0,,,28.0,427.0,90.0,0.5,0.0,86.0,19.3,11.3,-0.2,2.5,2.6,3.0
BAS,2025-01-19,0.1,3.3,-3.5,-0.7,8.2,-6.2,81.9,5.0,983.4,1023.0,,,1021.2,1.8,6.0,6.5,21.6,6.0,21.6,,0.0,0.0,0.0,73.0,254.0,,,40.0,293.0,62.0,0.3,0.0,101.0,19.9,11.9,-0.1,2.1,2.4,2.9
BAS,2025-01-20,0.1,5.7,-2.0,0.1,11.0,-4.5,86.1,5.3,981.4,1020.9,,,1019.1,1.8,7.9,6.5,28.4,7.7,27.7,,0.0,0.0,0.0,80.0,259.0,,,25.0,379.0,80.0,0.4,0.0,99.0,19.9,11.9,-0.1,2.1,2.3,2.8
