station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BEH,2025-01-01,-3.8,-0.4,-7.9,,,,42.1,1.9,780.2,,1577.8,,1026.6,1.3,4.4,4.7,15.8,4.3,15.5,,0.0,0.0,,75.0,,,,12.0,344.0,98.0,0.4,0.0,72.0,23.8,15.8,,,,
BEH,2025-01-02,-6.7,-5.2,-9.7,,,,87.6,3.2,771.7,,1497.7,,1015.9,3.8,10.9,13.7,39.2,10.5,37.8,,1.3,1.1,,26.0,,,,25.0,0.0,0.0,0.3,0.0,118.0,26.7,18.7,,,,
BEH,2025-01-03,-8.6,-5.5,-11.0,,,,43.7,1.4,768.3,,1469.0,,1011.7,9.9,16.8,35.6,60.5,16.0,57.6,,0.0,0.2,,79.0,,,,13.0,353.0,100.0,1.2,0.0,337.0,28.6,20.6,,,,
BEH,2025-01-04,-8.6,-5.4,-11.0,,,,31.2,1.0,770.1,,1487.1,,1014.0,3.6,11.9,13.0,42.8,11.4,41.0,,0.0,0.0,,77.0,,,,22.0,351.0,100.0,0.9,0.0,360.0,28.6,20.6,,,,
BEH,2025-01-05,-4.9,-1.4,-9.0,,,,73.4,3.2,768.6,,1460.6,,1012.1,4.3,14.0,15.5,50.4,13.5,48.6,,0.0,0.0,,40.0,,,,37.0,0.0,0.0,0.5,0.0,120.0,24.9,16.9,,,,
BEH,2025-01-06,-2.8,0.9,-4.0,,,,93.0,4.6,764.6,,1411.6,,1007.1,11.8,39.4,42.5,141.8,37.2,133.9,,44.6,30.1,,24.0,,,,23.0,0.0,0.0,0.7,0.0,144.0,22.8,14.8,,,,
BEH,2025-01-07,-4.5,-2.4,-8.5,,,,81.6,3.7,763.0,,1400.6,,1005.1,4.7,13.5,16.9,48.6,13.2,47.5,,2.0,16.5,,39.0,,,,37.0,0.0,0.0,0.3,0.0,137.0,24.5,16.5,,,,
BEH,2025-01-08,-4.5,0.3,-7.9,,,,75.1,3.4,767.0,,1442.2,,1010.0,5.0,36.9,18.0,132.8,35.3,127.1,,14.1,1.7,,78.0,,,,36.0,277.0,78.0,0.6,0.0,125.0,24.5,16.5,,,,
BEH,2025-01-09,-2.4,-1.5,-5.1,,,,94.7,4.9,764.5,,1409.3,,1006.9,6.5,16.2,23.4,58.3,15.8,56.9,,3.4,15.8,,34.0,,,,32.0,0.0,0.0,0.1,0.0,130.0,22.4,14.4,,,,
BEH,2025-01-10,-9.5,-5.5,-11.4,,,,71.2,2.1,766.9,,1457.4,,1010.0,7.5,18.5,27.0,66.6,18.4,66.2,,0.1,0.1,,64.0,,,,42.0,158.0,44.0,0.7,0.0,323.0,29.5,21.5,,,,
BEH,2025-01-11,-9.2,-6.0,-14.0,,,,54.0,1.7,768.7,,1474.1,,1012.2,10.4,19.2,37.4,69.1,18.9,68.0,,0.0,0.0,,78.0,,,,18.0,342.0,96.0,0.9,0.0,341.0,29.2,21.2,,,,
BEH,2025-01-12,-11.4,-7.6,-14.1,,,,52.3,1.4,775.6,,1550.8,,1020.8,10.9,16.0,39.2,57.6,15.4,55.4,,0.0,0.0,,86.0,,,,17.0,355.0,100.0,0.9,0.0,332.0,31.4,23.4,,,,
BEH,2025-01-13,-10.2,-3.5,-17.3,,,,34.2,0.9,780.2,,1594.4,,1026.6,4.8,13.9,17.3,50.0,13.4,48.2,,0.0,0.0,,91.0,,,,14.0,359.0,100.0,1.0,0.0,336.0,30.2,22.2,,,,
BEH,2025-01-14,-5.1,-1.9,-7.9,,,,25.6,1.1,780.6,,1585.3,,1027.1,4.6,12.8,16.6,46.1,12.5,45.0,,0.0,0.0,,89.0,,,,17.0,358.0,100.0,1.3,0.0,327.0,25.1,17.1,,,,
BEH,2025-01-15,-4.4,-1.2,-10.1,,,,53.7,2.3,777.3,,1549.6,,1022.9,8.5,16.9,30.6,60.8,16.5,59.4,,0.0,0.0,,88.0,,,,45.0,211.0,59.0,1.1,0.0,333.0,24.4,16.4,,,,
BEH,2025-01-16,-7.0,-3.5,-11.0,,,,58.6,2.1,780.9,,1593.6,,1027.5,1.5,5.1,5.4,18.4,4.8,17.3,,0.0,0.0,,87.0,,,,14.0,362.0,100.0,0.4,0.0,345.0,27.0,19.0,,,,
BEH,2025-01-17,-4.4,-1.0,-7.1,,,,44.3,1.9,782.7,,1604.7,,1029.6,2.5,10.4,9.0,37.4,9.9,35.6,,0.0,0.0,,91.0,,,,14.0,363.0,100.0,0.8,0.0,72.0,24.4,16.4,,,,
BEH,2025-01-18,-1.7,1.5,-4.8,,,,39.7,2.2,781.0,,1580.3,,1027.5,4.4,11.9,15.8,42.8,11.1,40.0,,0.0,0.0,,89.0,,,,14.0,364.0,100.0,1.3,0.0,115.0,21.7,13.7,,,,
BEH,2025-01-19,-2.5,-0.2,-5.2,,,,68.4,3.4,776.0,,1530.8,,1021.3,5.5,13.8,19.8,49.7,13.6,49.0,,2.6,2.6,,36.0,,,,34.0,0.0,0.0,0.9,0.0,117.0,22.5,14.5,,,,
BEH,2025-01-20,-4.4,-3.6,-5.5,,,,82.7,3.7,773.6,,1510.8,,1018.3,5.6,10.7,20.2,38.5,10.6,38.2,,0.8,0.8,,41.0,,,,35.0,27.0,7.0,0.4,0.0,118.0,24.4,16.4,,,,
BEH,2025-01-21,-6.0,-4.3,-8.6,,,,71.8,2.8,771.0,,1489.3,,1015.1,1.5,5.7,5.4,20.5,5.6,20.2,,0.0,0.0,,94.0,,,,15.0,366.0,99.0,0.3,0.0,346.0,26.0,18.0,,,,
