station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BER,2025-01-01,-2.2,3.2,-6.0,-2.9,4.6,-7.1,91.1,4.7,961.1,1030.1,,,1026.7,1.4,3.6,5.0,13.0,3.5,12.6,,0.0,0.0,0.0,85.0,252.0,,,,410.0,86.0,0.1,0.0,180.0,22.2,14.2,-0.1,1.5,2.0,2.6
BER,2025-01-02,2.8,8.0,-3.8,0.6,6.3,-6.8,78.4,5.8,952.2,1019.2,,,1017.3,3.2,18.6,11.5,67.0,18.2,65.5,,15.2,15.2,0.0,32.0,294.0,,,,34.0,7.0,0.7,0.0,227.0,17.2,9.2,15.1,1.6,1.9,2.5
BER,2025-01-03,-1.2,2.2,-5.2,-1.7,5.4,-8.0,92.4,5.2,956.1,1024.4,,,1021.4,0.7,3.0,2.5,10.8,2.9,10.4,,0.0,0.0,0.0,63.0,251.0,,,,219.0,46.0,0.0,0.0,18.0,21.2,13.2,-0.1,1.9,2.2,2.7
BER,2025-01-04,-3.0,0.1,-6.5,-3.5,0.0,-10.1,88.0,4.3,953.3,1021.9,,,1018.5,1.1,4.6,4.0,16.6,4.5,16.2,,13.3,6.8,0.0,35.0,274.0,,,,0.0,0.0,0.2,0.0,174.0,23.0,15.0,6.8,1.0,1.5,2.3
BER,2025-01-05,3.4,7.8,0.1,2.7,9.4,-0.6,93.7,7.4,942.3,1008.5,,,1006.9,2.2,6.4,7.9,23.0,6.2,22.3,,0.9,7.4,0.0,52.0,303.0,,,,138.0,29.0,0.3,0.0,186.0,16.6,8.6,7.4,1.5,1.7,2.1
BER,2025-01-06,4.6,10.2,0.5,3.7,9.1,-1.2,90.1,7.7,937.1,1002.6,,,1001.4,2.0,17.1,7.2,61.6,16.4,59.0,,14.9,14.9,0.0,26.0,317.0,,,,9.0,2.0,0.5,0.0,220.0,15.4,7.4,14.9,2.8,2.7,2.8
BER,2025-01-07,4.1,7.3,-0.3,2.4,8.9,-2.2,78.1,6.4,943.9,1010.0,,,1008.5,2.5,17.7,9.0,63.7,16.7,60.1,,2.6,0.9,0.0,37.0,284.0,,,,89.0,18.0,0.6,0.0,227.0,15.9,7.9,0.8,3.3,3.4,3.5
BER,2025-01-08,7.2,11.0,2.9,5.7,9.5,-0.1,83.8,8.6,942.0,1007.2,,,1006.5,2.4,14.4,8.6,51.8,13.9,50.0,,4.7,6.4,0.0,21.0,330.0,,,,0.0,0.0,0.6,0.0,197.0,12.8,4.8,6.4,3.6,3.5,3.5
BER,2025-01-09,6.7,10.6,0.3,5.0,10.5,-0.6,79.0,7.9,943.3,1008.7,,,1007.9,3.2,19.8,11.5,71.3,19.3,69.5,,3.7,3.7,0.0,38.0,309.0,,,,39.0,8.0,0.6,0.0,240.0,13.3,5.3,3.6,4.7,4.6,4.4
BER,2025-01-10,0.9,2.3,-0.2,0.5,4.0,-1.4,82.2,5.3,953.7,1021.3,,,1018.9,1.0,3.3,3.6,11.9,3.2,11.5,,0.6,0.6,0.0,26.0,296.0,,,,0.0,0.0,0.4,0.0,45.0,19.1,11.1,0.6,3.4,3.7,4.1
BER,2025-01-11,-0.6,2.0,-3.4,-1.4,4.3,-6.3,81.6,4.8,957.4,1025.6,,,1022.7,2.0,9.1,7.2,32.8,8.6,31.0,,0.0,0.0,0.0,81.0,239.0,,,,424.0,87.0,0.2,0.0,24.0,20.6,12.6,-0.2,2.4,2.9,3.5
BER,2025-01-12,-2.3,1.5,-5.2,-3.0,3.9,-7.3,73.6,3.8,967.1,1036.5,,,1033.0,2.5,9.5,9.0,34.2,9.3,33.5,,0.0,0.0,0.0,85.0,221.0,,,,396.0,81.0,0.4,0.0,40.0,22.3,14.3,-0.2,1.2,1.7,2.6
BER,2025-01-13,-3.2,-0.7,-5.3,-3.7,2.2,-7.0,75.3,3.6,968.5,1038.2,,,1034.4,2.9,10.3,10.4,37.1,10.2,36.7,,0.0,0.0,0.0,87.0,212.0,,,,484.0,98.0,0.4,0.0,40.0,23.2,15.2,-0.3,0.7,1.2,2.0
BER,2025-01-14,-4.6,-0.6,-7.1,-5.6,1.9,-10.4,86.2,3.7,966.6,1036.6,,,1032.5,1.0,4.4,3.6,15.8,4.3,15.5,,0.0,0.0,0.0,50.0,235.0,,,,185.0,37.0,0.2,0.0,34.0,24.6,16.6,-0.1,0.3,0.8,1.6
BER,2025-01-15,-0.8,5.1,-6.0,-0.8,7.0,-6.7,86.3,5.0,963.6,1032.4,,,1029.3,2.9,11.8,10.4,42.5,11.6,41.8,,0.0,0.0,0.0,72.0,272.0,,,,302.0,61.0,0.4,0.0,27.0,20.8,12.8,-0.1,0.1,0.6,1.4
BER,2025-01-16,1.0,2.4,-0.9,0.7,5.1,-2.6,81.6,5.4,965.6,1034.0,,,1031.4,2.4,10.7,8.6,38.5,10.3,37.1,,0.0,0.0,0.0,33.0,299.0,,,,15.0,3.0,0.5,0.0,45.0,19.0,11.0,0.0,0.3,0.6,1.3
