station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BEZ,2025-01-01,0.4,5.2,-2.4,-0.8,6.5,-6.1,92.1,5.8,987.2,1028.1,,,1026.3,1.4,6.4,5.0,23.0,6.3,22.7,,0.0,0.0,,71.0,,,,34.0,271.0,70.0,0.1,0.0,180.0,19.6,11.6,-0.1,,,
BEZ,2025-01-02,2.9,11.3,-2.4,1.0,10.0,-5.7,89.0,6.6,977.8,1017.9,,,1016.5,2.0,13.9,7.2,50.0,12.5,45.0,,27.4,27.4,,26.0,,,,21.0,27.0,7.0,0.7,0.0,240.0,17.1,9.1,27.4,,,
BEZ,2025-01-03,-0.2,1.8,-4.5,-2.1,3.0,-8.8,91.1,5.5,983.8,1024.6,,,1022.7,0.9,5.1,3.2,18.4,5.0,18.0,,0.0,0.0,,35.0,,,,29.0,32.0,8.0,0.1,0.0,248.0,20.2,12.2,0.0,,,
BEZ,2025-01-04,-3.2,-0.5,-6.0,-4.1,-0.1,-9.3,97.2,4.7,981.2,1022.4,,,1020.1,0.7,2.7,2.5,9.7,2.6,9.4,,24.2,12.0,,37.0,,,,35.0,0.0,0.0,0.1,0.0,342.0,23.2,15.2,12.0,,,
BEZ,2025-01-05,1.3,3.7,-0.4,0.8,4.7,-0.4,100.0,6.7,968.0,1008.0,,,1006.5,0.5,1.9,1.8,6.8,1.9,6.8,,4.1,16.3,,32.0,,,,29.0,7.0,2.0,0.2,0.0,14.0,18.7,10.7,16.3,,,
BEZ,2025-01-06,4.0,11.8,0.1,3.2,8.4,-0.5,94.1,7.7,962.7,1002.0,,,1001.0,1.7,15.8,6.1,56.9,14.2,51.1,,8.6,8.6,,14.0,,,,11.0,8.0,2.0,0.7,0.0,204.0,16.0,8.0,8.6,,,
BEZ,2025-01-07,4.1,7.8,0.2,2.0,9.1,-2.9,89.2,7.2,969.5,1009.1,,,1008.1,1.4,15.5,5.0,55.8,14.3,51.5,,2.6,0.3,,47.0,,,,35.0,81.0,20.0,0.3,0.0,233.0,15.9,7.9,0.3,,,
BEZ,2025-01-08,7.1,13.9,1.6,5.9,10.8,0.0,91.2,9.3,966.9,1006.0,,,1005.4,1.6,10.8,5.8,38.9,10.2,36.7,,9.8,12.0,,20.0,,,,18.0,0.0,0.0,0.6,0.0,198.0,12.9,4.9,12.0,,,
BEZ,2025-01-09,8.4,13.4,2.2,6.7,14.1,0.7,78.9,8.8,968.2,1007.1,,,1006.6,4.2,21.0,15.1,75.6,20.5,73.8,,4.6,4.7,,32.0,,,,27.0,26.0,7.0,0.9,0.0,218.0,11.6,3.6,4.7,,,
BEZ,2025-01-10,1.6,3.6,-1.2,0.3,6.0,-5.0,82.0,5.6,981.2,1021.6,,,1020.1,1.0,6.1,3.6,22.0,6.0,21.6,,0.0,0.0,,44.0,,,,35.0,44.0,11.0,0.2,0.0,214.0,18.4,10.4,-0.1,,,
