station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BIA,2025-01-01,1.4,9.2,-4.4,,,,72.9,4.8,997.1,1032.1,,,1030.6,1.5,4.1,5.4,14.8,4.0,14.4,,0.0,0.0,0.0,60.0,270.0,,,12.0,235.0,100.0,0.5,0.0,343.0,18.6,10.6,-0.2,,,
BIA,2025-01-02,3.6,6.8,1.6,,,,76.9,6.1,987.5,1021.9,,,1020.8,1.4,8.9,5.0,32.0,8.7,31.3,,0.1,0.1,0.0,21.0,311.0,,,19.0,0.0,0.0,0.6,0.0,346.0,16.4,8.4,0.1,,,
BIA,2025-01-03,6.2,10.6,-1.5,,,,38.8,3.6,983.5,1017.4,,,1016.6,4.4,11.9,15.8,42.8,11.5,41.4,,0.0,0.0,0.0,65.0,255.0,,,12.0,236.0,100.0,1.9,0.0,335.0,13.8,5.8,-0.4,,,
BIA,2025-01-04,-0.8,4.8,-5.9,,,,60.4,3.4,987.9,1022.9,,,1021.2,1.2,3.8,4.3,13.7,3.7,13.3,,0.0,0.0,0.0,59.0,241.0,,,20.0,236.0,100.0,0.4,0.0,337.0,20.8,12.8,-0.2,,,
BIA,2025-01-05,1.5,4.2,-3.1,,,,69.4,4.7,984.3,1018.9,,,1017.5,0.9,3.8,3.2,13.7,3.7,13.3,,1.2,0.1,0.0,29.0,301.0,,,27.0,0.0,0.0,0.4,0.0,326.0,18.5,10.5,0.0,,,
BIA,2025-01-06,1.2,2.2,0.1,,,,95.3,6.4,979.4,1013.8,,,1012.4,1.0,3.9,3.6,14.0,3.6,13.0,,49.1,41.8,0.0,5.0,322.0,,,3.0,0.0,0.0,0.3,0.0,329.0,18.8,10.8,41.8,,,
BIA,2025-01-07,1.3,5.4,-1.0,,,,92.8,6.2,976.9,1011.2,,,1009.9,1.3,4.8,4.7,17.3,4.5,16.2,,0.0,8.4,3.0,64.0,275.0,,,14.0,239.0,100.0,0.2,0.0,347.0,18.7,10.7,8.3,,,
BIA,2025-01-08,2.5,6.2,-1.4,,,,87.5,6.4,981.2,1015.5,,,1014.3,1.3,4.5,4.7,16.2,4.3,15.5,,7.3,2.4,2.0,40.0,306.0,,,31.0,45.0,19.0,0.3,0.0,351.0,17.5,9.5,2.4,,,
BIA,2025-01-09,4.5,9.0,2.5,,,,92.2,7.8,977.7,1011.6,,,1010.7,1.8,9.7,6.5,34.9,9.6,34.6,,0.6,5.5,0.0,22.0,325.0,,,21.0,0.0,0.0,0.6,0.0,351.0,15.5,7.5,5.5,,,
BIA,2025-01-10,6.5,10.1,2.3,,,,49.1,4.6,982.7,1016.5,,,1015.8,5.2,18.3,18.7,65.9,17.5,63.0,,0.2,0.2,0.0,42.0,292.0,,,30.0,73.0,30.0,2.1,0.0,332.0,13.5,5.5,0.1,,,
BIA,2025-01-11,2.6,6.5,-1.1,,,,70.4,4.9,985.7,1020.1,,,1018.9,2.5,11.7,9.0,42.1,11.5,41.4,,0.0,0.0,0.0,62.0,246.0,,,14.0,241.0,100.0,0.7,0.0,342.0,17.4,9.4,-0.2,,,
BIA,2025-01-12,6.9,11.6,2.9,,,,24.0,2.4,992.5,1026.6,,,1025.8,5.3,14.0,19.1,50.4,13.6,49.0,,0.0,0.0,0.0,70.0,245.0,,,13.0,244.0,100.0,3.0,0.0,346.0,13.1,5.1,-0.4,,,
