station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BIE,2025-01-01,3.5,8.6,-7.0,,,,65.5,4.8,946.0,,1544.2,,1026.4,3.5,11.4,12.6,41.0,10.4,37.4,,0.0,0.0,,88.0,,,,16.0,475.0,100.0,0.7,0.0,218.0,16.5,8.5,-0.5,,,
BIE,2025-01-02,4.6,7.1,0.8,,,,78.8,6.6,938.5,,1484.6,,1018.4,6.6,18.5,23.8,66.6,17.7,63.7,,19.0,19.0,,37.0,,,,30.0,32.0,7.0,0.9,0.0,228.0,15.4,7.4,18.9,,,
BIE,2025-01-03,0.0,4.3,-3.5,,,,84.0,5.1,940.3,,1485.9,,1020.4,1.2,5.0,4.3,18.0,4.8,17.3,,0.0,0.0,,85.0,,,,22.0,364.0,77.0,0.1,0.0,352.0,20.0,12.0,-0.2,,,
BIE,2025-01-04,-1.1,6.0,-5.1,,,,91.0,5.3,937.8,,1460.9,,1017.6,2.4,13.3,8.6,47.9,12.8,46.1,,16.7,10.2,,43.0,,,,36.0,19.0,4.0,0.5,0.0,225.0,21.1,13.1,10.2,,,
BIE,2025-01-05,8.3,10.5,6.0,,,,79.4,8.6,928.1,,1405.3,,1007.3,5.0,12.7,18.0,45.7,12.4,44.6,,0.0,6.5,,53.0,,,,29.0,155.0,33.0,0.9,0.0,226.0,11.7,3.7,6.4,,,
BIE,2025-01-06,8.1,10.6,4.2,,,,73.3,7.8,922.8,,1357.2,,1001.6,5.8,17.2,20.9,61.9,16.2,58.3,,6.2,6.2,,16.0,,,,14.0,0.0,0.0,1.3,0.0,217.0,11.9,3.9,6.1,,,
BIE,2025-01-07,4.5,6.1,2.5,,,,78.9,6.6,930.0,,1411.3,,1009.3,5.3,16.6,19.1,59.8,16.0,57.6,,3.7,0.4,,60.0,,,,42.0,71.0,15.0,0.7,0.0,224.0,15.5,7.5,0.3,,,
BIE,2025-01-08,8.1,11.7,4.5,,,,86.6,9.3,928.7,,1409.9,,1008.0,7.5,18.0,27.0,64.8,16.9,60.8,,11.1,9.3,,23.0,,,,21.0,0.0,0.0,1.0,0.0,228.0,11.9,3.9,9.3,,,
BIE,2025-01-09,6.0,8.2,1.0,,,,89.3,8.6,929.6,,1411.8,,1008.9,6.1,20.1,22.0,72.4,19.4,69.8,,22.0,27.1,,13.0,,,,11.0,0.0,0.0,0.3,0.0,227.0,14.0,6.0,27.1,,,
BIE,2025-01-10,-0.1,1.1,-0.9,,,,92.9,5.6,938.2,,1467.9,,1018.1,1.0,6.0,3.6,21.6,5.8,20.9,,2.6,2.6,,22.0,,,,20.0,0.0,0.0,0.3,0.0,360.0,20.1,12.1,2.6,,,
BIE,2025-01-11,-0.4,1.6,-2.2,,,,81.4,4.8,941.2,,1491.3,,1021.2,3.5,12.1,12.6,43.6,11.3,40.7,,0.0,0.0,,83.0,,,,17.0,369.0,78.0,0.4,0.0,29.0,20.4,12.4,-0.2,,,
BIE,2025-01-12,-2.0,0.0,-3.5,,,,72.6,3.8,949.5,,1555.7,,1030.2,6.4,17.8,23.0,64.1,17.3,62.3,,0.0,0.0,,96.0,,,,18.0,491.0,100.0,0.8,0.0,35.0,22.0,14.0,-0.3,,,
BIE,2025-01-13,-3.0,-0.5,-5.1,,,,74.9,3.7,951.3,,1566.5,,1032.0,6.2,20.0,22.3,72.0,19.1,68.8,,0.0,0.0,,98.0,,,,17.0,490.0,100.0,0.6,0.0,36.0,23.0,15.0,-0.3,,,
BIE,2025-01-14,-3.0,0.8,-6.3,,,,78.1,3.8,950.3,,1558.5,,1031.0,2.4,10.5,8.6,37.8,10.2,36.7,,0.0,0.0,,98.0,,,,18.0,482.0,100.0,0.3,0.0,33.0,23.0,15.0,-0.3,,,
BIE,2025-01-15,0.3,6.1,-5.3,,,,75.8,4.6,946.7,,1539.6,,1027.2,4.7,20.4,16.9,73.4,19.3,69.5,,0.0,0.0,,84.0,,,,26.0,353.0,73.0,0.9,0.0,26.0,19.7,11.7,-0.2,,,
BIE,2025-01-16,0.4,1.5,-0.5,,,,88.4,5.6,949.6,,1563.9,,1030.2,4.2,17.7,15.1,63.7,16.7,60.1,,0.0,0.0,,33.0,,,,31.0,0.0,0.0,0.4,0.0,36.0,19.6,11.6,0.0,,,
