station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BIN,2025-01-01,-0.3,2.7,-2.1,,,,49.3,2.9,,,,,,2.2,4.7,7.9,16.9,4.6,16.6,,0.0,0.0,,,,,,,,,,0.0,61.0,20.3,12.3,,,,
BIN,2025-01-02,1.2,5.8,-1.6,,,,56.3,3.6,,,,,,3.5,17.3,12.6,62.3,16.5,59.4,,6.8,4.5,,,,,,,,,,0.0,253.0,18.8,10.8,,,,
BIN,2025-01-03,-4.2,-1.6,-9.4,,,,85.1,3.9,,,,,,2.6,8.0,9.4,28.8,7.8,28.1,,0.0,2.3,,,,,,,,,,0.0,235.0,24.2,16.2,,,,
BIN,2025-01-04,-5.4,-1.7,-9.7,,,,75.3,3.2,,,,,,1.7,4.3,6.1,15.5,4.2,15.1,,2.9,1.6,,,,,,,,,,0.0,58.0,25.4,17.4,,,,
BIN,2025-01-05,2.7,6.0,-1.6,,,,87.5,6.5,,,,,,2.8,19.0,10.1,68.4,18.8,67.7,,0.4,1.7,,,,,,,,,,0.0,59.0,17.3,9.3,,,,
BIN,2025-01-06,3.3,4.3,0.6,,,,60.2,4.7,,,,,,6.0,19.0,21.6,68.4,17.6,63.4,,1.4,0.4,,,,,,,,,,0.0,61.0,16.7,8.7,,,,
BIN,2025-01-07,-0.4,2.9,-2.7,,,,67.8,4.0,,,,,,3.9,20.6,14.0,74.2,19.8,71.3,,2.9,1.0,,,,,,,,,,0.0,243.0,20.4,12.4,,,,
BIN,2025-01-08,0.9,4.5,-2.7,,,,82.8,5.4,,,,,,2.0,17.6,7.2,63.4,16.6,59.8,,2.8,5.7,,,,,,,,,,0.0,55.0,19.1,11.1,,,,
BIN,2025-01-09,1.3,4.1,-0.8,,,,88.3,5.9,,,,,,1.6,8.3,5.8,29.9,7.8,28.1,,0.8,0.8,,,,,,,,,,0.0,252.0,18.7,10.7,,,,
BIN,2025-01-10,-3.7,0.2,-4.5,,,,88.3,4.1,,,,,,2.1,10.9,7.6,39.2,10.2,36.7,,8.2,7.5,,,,,,,,,,0.0,234.0,23.7,15.7,,,,
BIN,2025-01-11,-4.4,-2.8,-8.7,,,,93.7,4.2,,,,,,1.7,6.9,6.1,24.8,6.7,24.1,,0.3,1.0,,,,,,,,,,0.0,238.0,24.4,16.4,,,,
BIN,2025-01-12,-8.7,-5.9,-10.2,,,,81.3,2.6,,,,,,1.4,4.3,5.0,15.5,4.2,15.1,,0.0,0.0,,,,,,,,,,0.0,61.0,28.7,20.7,,,,
BIN,2025-01-13,-4.8,0.3,-10.5,,,,55.2,2.3,,,,,,2.3,5.6,8.3,20.2,5.4,19.4,,0.0,0.0,,,,,,,,,,0.0,60.0,24.8,16.8,,,,
BIN,2025-01-14,-1.3,3.0,-3.8,,,,42.9,2.4,,,,,,1.9,4.6,6.8,16.6,4.5,16.2,,0.0,0.0,,,,,,,,,,0.0,61.0,21.3,13.3,,,,
BIN,2025-01-15,-1.4,2.0,-3.7,,,,48.7,2.7,,,,,,1.9,4.8,6.8,17.3,4.7,16.9,,0.0,0.0,,,,,,,,,,0.0,57.0,21.4,13.4,,,,
BIN,2025-01-16,-0.5,3.5,-3.1,,,,46.5,2.7,,,,,,2.1,6.9,7.6,24.8,6.5,23.4,,0.0,0.0,,,,,,,,,,0.0,55.0,20.5,12.5,,,,
BIN,2025-01-17,0.8,5.6,-2.0,,,,41.9,2.7,,,,,,2.5,12.1,9.0,43.6,11.4,41.0,,0.0,0.0,,,,,,,,,,0.0,61.0,19.2,11.2,,,,
BIN,2025-01-18,2.0,7.0,-1.3,,,,42.0,2.9,,,,,,1.8,7.2,6.5,25.9,6.7,24.1,,0.0,0.0,,,,,,,,,,0.0,57.0,18.0,10.0,,,,
BIN,2025-01-19,2.4,4.7,0.1,,,,65.2,4.7,,,,,,2.2,12.8,7.9,46.1,12.6,45.4,,1.2,1.2,,,,,,,,,,0.0,56.0,17.6,9.6,,,,
BIN,2025-01-20,1.5,3.5,-0.2,,,,71.8,4.9,,,,,,2.5,15.2,9.0,54.7,14.8,53.3,,1.2,1.2,,,,,,,,,,0.0,58.0,18.5,10.5,,,,
BIN,2025-01-21,-0.2,2.9,-2.8,,,,68.5,4.1,,,,,,2.0,11.2,7.2,40.3,10.8,38.9,,0.0,0.0,,,,,,,,,,0.0,58.0,20.2,12.2,,,,
BIN,2025-01-22,2.2,3.3,-0.1,,,,57.9,4.1,,,,,,4.6,15.5,16.6,55.8,15.0,54.0,,0.0,0.0,,,,,,,,,,0.0,59.0,17.8,9.8,,,,
BIN,2025-01-23,0.5,3.4,-2.9,,,,84.9,5.3,,,,,,2.3,11.9,8.3,42.8,11.0,39.6,,1.0,1.0,,,,,,,,,,0.0,63.0,19.5,11.5,,,,
BIN,2025-01-24,2.1,9.5,-4.0,,,,54.7,3.6,,,,,,1.8,8.2,6.5,29.5,7.9,28.4,,0.0,0.0,,,,,,,,,,0.0,53.0,17.9,9.9,,,,
BIN,2025-01-25,4.6,5.9,3.7,,,,49.2,4.1,,,,,,4.7,20.1,16.9,72.4,19.7,70.9,,2.4,0.0,,,,,,,,,,0.0,61.0,15.4,7.4,,,,
BIN,2025-01-26,0.2,4.3,-1.9,,,,78.1,4.8,,,,,,2.4,14.1,8.6,50.8,13.4,48.2,,0.0,2.4,,,,,,,,,,0.0,57.0,19.8,11.8,,,,
BIN,2025-01-27,2.5,5.2,0.2,,,,72.2,5.2,,,,,,4.1,13.8,14.8,49.7,13.2,47.5,,15.1,4.0,,,,,,,,,,0.0,63.0,17.5,9.5,,,,
