station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BIV,2025-01-01,-1.3,1.0,-3.9,,,,38.2,2.1,,,,,,2.7,7.4,9.7,26.6,7.2,25.9,,0.0,0.0,,,213.0,,,,,,,0.0,90.0,21.3,13.3,,,,
BIV,2025-01-02,-1.7,0.1,-4.6,,,,58.6,3.1,,,,,,3.5,12.5,12.6,45.0,11.7,42.1,,1.6,0.5,,,261.0,,,,,,,0.0,215.0,21.7,13.7,,,,
BIV,2025-01-03,-10.2,-4.8,-15.4,,,,80.0,2.4,,,,,,1.9,10.6,6.8,38.2,10.2,36.7,,0.0,1.1,,,219.0,,,,,,,0.0,198.0,30.2,22.2,,,,
BIV,2025-01-04,-7.5,-1.4,-15.6,,,,39.2,1.4,,,,,,2.3,11.8,8.3,42.5,11.5,41.4,,0.0,0.0,,,201.0,,,,,,,0.0,153.0,27.5,19.5,,,,
BIV,2025-01-05,2.7,6.3,-2.0,,,,62.7,4.7,,,,,,3.7,15.0,13.3,54.0,14.1,50.8,,0.0,0.0,,,293.0,,,,,,,0.0,203.0,17.3,9.3,,,,
BIV,2025-01-06,1.6,3.5,-0.9,,,,68.7,4.7,,,,,,3.2,15.2,11.5,54.7,14.7,52.9,,6.3,2.6,,,302.0,,,,,,,0.0,292.0,18.4,10.4,,,,
BIV,2025-01-07,-3.8,0.2,-9.0,,,,79.0,3.7,,,,,,1.5,9.7,5.4,34.9,9.1,32.8,,0.0,3.7,,,257.0,,,,,,,0.0,108.0,23.8,15.8,,,,
BIV,2025-01-08,2.1,4.9,-2.2,,,,56.8,4.1,,,,,,3.5,17.0,12.6,61.2,15.0,54.0,,1.4,0.2,,,275.0,,,,,,,0.0,233.0,17.9,9.9,,,,
BIV,2025-01-09,1.6,3.7,-5.9,,,,70.0,4.8,,,,,,3.6,14.2,13.0,51.1,13.7,49.3,,1.4,2.6,,,284.0,,,,,,,0.0,256.0,18.4,10.4,,,,
BIV,2025-01-10,-8.0,-6.1,-9.1,,,,85.0,2.9,,,,,,2.5,10.8,9.0,38.9,10.1,36.4,,1.1,0.9,,,263.0,,,,,,,0.0,253.0,28.0,20.0,,,,
BIV,2025-01-11,-8.9,-6.9,-11.8,,,,86.0,2.7,,,,,,2.7,10.8,9.7,38.9,10.3,37.1,,0.0,0.2,,,257.0,,,,,,,0.0,265.0,28.9,20.9,,,,
BIV,2025-01-12,-12.1,-10.5,-17.3,,,,84.0,2.0,,,,,,2.7,11.7,9.7,42.1,10.8,38.9,,0.0,0.0,,,236.0,,,,,,,0.0,263.0,32.1,24.1,,,,
BIV,2025-01-13,-13.3,-7.8,-19.0,,,,58.3,1.2,,,,,,1.4,5.9,5.0,21.2,5.6,20.2,,0.0,0.0,,,174.0,,,,,,,0.0,95.0,33.3,25.3,,,,
BIV,2025-01-14,-6.8,-2.1,-9.6,,,,42.2,1.6,,,,,,1.4,4.9,5.0,17.6,4.7,16.9,,0.0,0.0,,,207.0,,,,,,,0.0,99.0,26.8,18.8,,,,
BIV,2025-01-15,-5.2,-2.8,-9.3,,,,69.0,2.9,,,,,,2.4,7.9,8.6,28.4,7.7,27.7,,0.5,0.5,,,265.0,,,,,,,0.0,263.0,25.2,17.2,,,,
BIV,2025-01-16,-6.5,-3.0,-10.8,,,,63.4,2.4,,,,,,1.7,7.8,6.1,28.1,7.5,27.0,,0.0,0.0,,,213.0,,,,,,,0.0,98.0,26.5,18.5,,,,
BIV,2025-01-17,-3.3,0.7,-7.3,,,,47.6,2.3,,,,,,2.3,10.7,8.3,38.5,10.2,36.7,,0.0,0.0,,,211.0,,,,,,,0.0,106.0,23.3,15.3,,,,
BIV,2025-01-18,-0.4,2.8,-3.5,,,,43.1,2.6,,,,,,3.4,9.8,12.2,35.3,8.8,31.7,,0.0,0.0,,,224.0,,,,,,,0.0,96.0,20.4,12.4,,,,
BIV,2025-01-19,0.1,2.3,-4.0,,,,62.7,3.9,,,,,,2.5,8.6,9.0,31.0,8.4,30.2,,0.5,0.5,,,269.0,,,,,,,0.0,118.0,19.9,11.9,,,,
BIV,2025-01-20,-1.7,-0.4,-3.7,,,,73.1,3.9,,,,,,2.6,10.3,9.4,37.1,9.6,34.6,,0.0,0.0,,,264.0,,,,,,,0.0,124.0,21.7,13.7,,,,
BIV,2025-01-21,-3.5,-1.0,-6.0,,,,62.8,3.0,,,,,,2.4,7.4,8.6,26.6,7.0,25.2,,0.0,0.0,,,221.0,,,,,,,0.0,103.0,23.5,15.5,,,,
