station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BIZ,2025-01-01,-2.8,3.9,-7.5,,,,99.4,5.1,965.1,1028.6,,,1025.2,1.0,3.5,3.6,12.6,3.4,12.2,,0.0,0.0,,70.0,,,,21.0,425.0,88.0,0.0,0.0,217.0,22.8,14.8,0.0,,,
BIZ,2025-01-02,4.1,8.7,-3.5,,,,74.0,5.8,955.9,1017.1,,,1015.6,4.0,19.4,14.4,69.8,18.8,67.7,,17.0,15.8,,36.0,,,,30.0,36.0,7.0,0.8,0.0,235.0,15.9,7.9,15.7,,,
BIZ,2025-01-03,-1.2,0.4,-7.6,,,,98.8,5.6,961.4,1024.2,,,1021.3,2.2,7.2,7.9,25.9,6.8,24.5,,0.0,1.2,,41.0,,,,35.0,27.0,6.0,-0.1,0.0,243.0,21.2,13.2,1.2,,,
BIZ,2025-01-04,-4.5,-0.7,-9.5,,,,99.3,4.4,959.0,1022.4,,,1018.8,1.5,4.2,5.4,15.1,4.1,14.8,,14.7,9.4,,41.0,,,,38.0,4.0,1.0,0.1,0.0,225.0,24.5,16.5,9.4,,,
BIZ,2025-01-05,1.6,4.7,-0.8,,,,99.4,6.9,946.8,1007.9,,,1006.0,1.8,6.1,6.5,22.0,6.0,21.6,,1.5,6.8,,34.0,,,,32.0,0.0,0.0,0.2,0.0,222.0,18.4,10.4,6.8,,,
BIZ,2025-01-06,3.4,9.1,-1.5,,,,94.4,7.4,941.6,1002.0,,,1000.5,2.6,12.7,9.4,45.7,12.4,44.6,,2.5,2.2,,44.0,,,,30.0,118.0,24.0,0.4,0.0,234.0,16.6,8.6,2.2,,,
BIZ,2025-01-07,3.7,6.9,-0.9,,,,87.7,6.9,948.2,1009.0,,,1007.5,3.5,17.3,12.6,62.3,16.7,60.1,,4.5,1.9,,45.0,,,,21.0,183.0,37.0,0.4,0.0,236.0,16.3,8.3,1.8,,,
BIZ,2025-01-08,4.7,10.0,-0.6,,,,97.9,8.5,946.4,1006.9,,,1005.6,2.1,15.1,7.6,54.4,14.8,53.3,,8.4,6.6,,23.0,,,,21.0,1.0,0.0,0.3,0.0,223.0,15.3,7.3,6.6,,,
BIZ,2025-01-09,6.1,11.3,0.4,,,,91.9,8.7,947.0,1007.1,,,1006.2,4.0,24.8,14.4,89.3,24.0,86.4,,5.8,10.5,,39.0,,,,26.0,65.0,13.0,0.5,0.0,243.0,13.9,5.9,10.5,,,
BIZ,2025-01-10,0.0,3.0,-3.9,,,,89.1,5.4,959.2,1021.6,,,1019.0,2.3,9.4,8.3,33.8,9.2,33.1,,0.0,0.0,,53.0,,,,27.0,167.0,34.0,0.2,0.0,239.0,20.0,12.0,-0.1,,,
BIZ,2025-01-11,-2.2,1.2,-5.5,,,,92.1,4.8,963.9,1027.1,,,1023.9,1.1,4.9,4.0,17.6,4.7,16.9,,0.0,0.0,,67.0,,,,22.0,271.0,54.0,0.1,0.0,63.0,22.2,14.2,-0.1,,,
BIZ,2025-01-12,-2.0,0.6,-5.0,,,,90.6,4.7,973.8,1037.6,,,1034.4,1.7,6.0,6.1,21.6,5.8,20.9,,0.0,0.0,,59.0,,,,39.0,152.0,30.0,0.2,0.0,58.0,22.0,14.0,-0.1,,,
BIZ,2025-01-13,-3.9,-1.1,-6.5,,,,93.5,4.3,975.8,1040.2,,,1036.5,2.5,9.6,9.0,34.6,9.4,33.8,,0.0,0.0,,48.0,,,,29.0,120.0,24.0,0.2,0.0,43.0,23.9,15.9,0.0,,,
BIZ,2025-01-14,-4.1,-1.4,-6.9,,,,96.0,4.3,972.7,1037.0,,,1033.2,1.2,4.2,4.3,15.1,4.1,14.8,,0.0,0.0,,53.0,,,,28.0,206.0,41.0,0.1,0.0,90.0,24.1,16.1,0.0,,,
BIZ,2025-01-15,-1.3,1.1,-7.1,,,,99.3,5.6,970.5,1033.9,,,1030.9,1.7,6.1,6.1,22.0,5.7,20.5,,0.2,0.2,,38.0,,,,35.0,0.0,0.0,0.0,0.0,51.0,21.3,13.3,0.2,,,
BIZ,2025-01-16,1.5,3.8,0.3,,,,95.7,6.5,972.2,1035.0,,,1032.7,3.0,7.7,10.8,27.7,7.3,26.3,,0.0,0.0,,55.0,,,,29.0,161.0,32.0,0.3,0.0,44.0,18.5,10.5,0.0,,,
BIZ,2025-01-17,-0.2,0.3,-0.8,,,,98.1,5.9,973.2,1036.5,,,1033.7,1.6,4.8,5.8,17.3,4.8,17.3,,0.0,0.0,,18.0,,,,16.0,0.0,0.0,0.3,0.0,51.0,20.2,12.2,0.0,,,
