station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BLA,2025-01-01,-2.9,2.4,-5.4,-5.4,3.8,-8.1,56.2,2.7,853.6,,1572.4,,1027.3,1.3,6.2,4.7,22.3,6.0,21.6,,0.0,0.0,75.0,28.0,,,,9.0,147.0,100.0,0.7,0.0,45.0,22.9,14.9,-0.3,,,
BLA,2025-01-02,0.3,5.3,-4.2,-0.8,5.8,-6.6,62.0,3.8,844.7,,1488.5,,1016.9,1.7,8.8,6.1,31.7,8.3,29.9,,10.1,8.7,74.0,46.0,,,,42.0,0.0,0.0,0.6,0.0,34.0,19.7,11.7,8.6,,,
BLA,2025-01-03,-8.7,-0.8,-15.0,-10.8,-1.1,-18.0,74.3,2.5,844.0,,1483.8,,1016.1,1.3,6.3,4.7,22.7,6.1,22.0,,0.0,1.4,87.0,31.0,,,,9.0,158.0,100.0,0.4,0.0,45.0,28.7,20.7,1.2,,,
BLA,2025-01-04,-6.9,1.6,-15.1,-8.6,0.9,-18.0,77.1,3.2,843.3,,1477.1,,1015.4,1.0,3.6,3.6,13.0,3.5,12.6,,19.9,10.2,85.0,35.0,,,,29.0,29.0,19.0,0.3,0.0,40.0,26.9,18.9,10.1,,,
BLA,2025-01-05,2.0,4.9,-1.4,0.8,4.0,-3.5,95.9,6.8,838.6,,1429.5,,1009.8,1.2,5.6,4.3,20.2,5.4,19.4,,0.4,10.1,82.0,23.0,,,,21.0,0.0,0.0,0.3,0.0,45.0,18.0,10.0,10.1,,,
BLA,2025-01-06,0.8,4.1,-2.0,-0.2,4.5,-4.0,84.5,5.4,833.3,,1378.8,,1003.7,1.2,5.8,4.3,20.9,5.6,20.2,,2.9,0.7,76.0,37.0,,,,33.0,8.0,5.0,0.4,0.0,56.0,19.2,11.2,0.7,,,
BLA,2025-01-07,-1.0,2.1,-3.7,-1.7,4.3,-5.7,74.3,4.2,836.8,,1413.6,,1007.8,1.5,10.8,5.4,38.9,9.9,35.6,,4.8,2.2,80.0,55.0,,,,45.0,49.0,29.0,0.4,0.0,360.0,21.0,13.0,2.1,,,
BLA,2025-01-08,0.9,5.6,-1.9,0.3,6.7,-2.3,93.8,6.2,838.1,,1425.8,,1009.3,1.2,4.3,4.3,15.5,4.1,14.8,,15.0,17.1,81.0,31.0,,,,23.0,55.0,33.0,0.4,0.0,40.0,19.1,11.1,17.1,,,
BLA,2025-01-09,0.9,2.8,-0.6,0.4,2.8,-2.1,96.3,6.3,837.0,,1414.6,,1008.0,1.1,9.1,4.0,32.8,8.0,28.8,,7.4,10.1,79.0,28.0,,,,26.0,0.0,0.0,0.3,0.0,45.0,19.1,11.1,10.1,,,
BLA,2025-01-10,-2.5,0.2,-3.9,-2.8,-1.1,-4.4,84.9,4.3,841.5,,1459.2,,1013.2,1.4,6.8,5.0,24.5,6.6,23.8,,5.6,5.3,76.0,17.0,,,,15.0,0.0,0.0,0.4,0.0,360.0,22.5,14.5,5.3,,,
BLA,2025-01-11,-5.5,-1.0,-13.4,-6.0,0.8,-16.3,93.8,4.0,843.7,,1479.8,,1015.7,1.3,7.1,4.7,25.6,6.6,23.8,,1.0,1.3,81.0,40.0,,,,32.0,39.0,21.0,0.1,0.0,27.0,25.5,17.5,1.3,,,
BLA,2025-01-12,-11.8,-6.7,-14.3,-13.7,-5.0,-17.5,74.6,1.9,851.6,,1553.4,,1025.0,1.5,6.3,5.4,22.7,6.1,22.0,,0.0,0.0,82.0,40.0,,,,10.0,185.0,99.0,0.3,0.0,45.0,31.8,23.8,-0.2,,,
BLA,2025-01-13,-9.4,-2.8,-14.4,-12.3,-1.8,-17.7,63.7,1.9,853.9,,1573.9,,1027.6,1.2,4.9,4.3,17.6,4.8,17.3,,0.0,0.0,81.0,42.0,,,,10.0,190.0,99.0,0.4,0.0,45.0,29.4,21.4,-0.2,,,
BLA,2025-01-14,-5.8,0.0,-8.8,-8.2,1.8,-11.6,59.0,2.4,853.7,,1573.3,,1027.4,1.0,3.7,3.6,13.3,3.4,12.2,,0.0,0.0,80.0,42.0,,,,10.0,195.0,99.0,0.5,0.0,40.0,25.8,17.8,-0.2,,,
BLA,2025-01-15,-3.9,6.8,-7.1,-6.1,7.9,-9.9,60.7,2.8,850.9,,1547.0,,1024.1,1.6,13.9,5.8,50.0,12.9,46.4,,0.0,0.0,80.0,45.0,,,,12.0,197.0,99.0,0.9,0.0,34.0,23.9,15.9,-0.2,,,
