station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BOL,2025-01-01,0.3,7.0,-4.8,,,,70.1,4.3,930.5,,1540.7,,1026.4,2.1,8.2,7.6,29.5,8.0,28.8,,0.0,0.0,,58.0,,,,11.0,244.0,97.0,0.6,0.0,234.0,19.7,11.7,-0.3,,,
BOL,2025-01-02,4.5,9.4,0.4,,,,61.3,4.9,921.7,,1475.7,,1016.8,6.1,16.5,22.0,59.4,15.7,56.5,,10.2,8.8,,38.0,,,,30.0,40.0,16.0,1.8,0.0,230.0,15.5,7.5,8.7,,,
BOL,2025-01-03,-2.3,0.4,-7.8,,,,94.1,4.9,924.8,,1485.2,,1020.1,1.4,5.7,5.0,20.5,5.6,20.2,,0.0,1.4,,59.0,,,,20.0,223.0,88.0,0.0,0.0,225.0,22.3,14.3,1.3,,,
BOL,2025-01-04,-5.3,3.5,-11.1,,,,89.4,3.9,922.0,,1454.3,,1017.1,1.5,5.3,5.4,19.1,5.2,18.7,,20.5,5.0,,45.0,,,,32.0,98.0,39.0,0.3,0.0,243.0,25.3,17.3,4.9,,,
BOL,2025-01-05,4.0,6.1,-0.5,,,,97.0,7.9,912.7,,1396.3,,1007.1,1.6,8.1,5.8,29.2,7.8,28.1,,0.2,15.7,,45.0,,,,24.0,111.0,44.0,0.1,0.0,228.0,16.0,8.0,15.7,,,
BOL,2025-01-06,3.2,9.7,-0.6,,,,90.0,6.8,907.5,,1348.8,,1001.4,2.0,15.3,7.2,55.1,15.2,54.7,,13.7,13.5,,39.0,,,,34.0,15.0,6.0,0.6,0.0,222.0,16.8,8.8,13.5,,,
BOL,2025-01-07,3.1,6.2,0.3,,,,70.6,5.3,914.1,,1406.3,,1008.5,4.5,12.0,16.2,43.2,11.8,42.5,,1.5,0.2,,39.0,,,,30.0,41.0,16.0,1.0,0.0,231.0,16.9,8.9,0.1,,,
BOL,2025-01-08,7.5,11.6,2.6,,,,76.3,8.0,912.7,,1403.3,,1007.0,5.8,13.1,20.9,47.2,12.5,45.0,,7.7,7.9,,30.0,,,,22.0,38.0,15.0,1.1,0.0,232.0,12.5,4.5,7.8,,,
BOL,2025-01-09,6.1,9.9,-0.3,,,,80.1,7.6,913.7,,1408.8,,1008.1,4.7,15.4,16.9,55.4,15.1,54.4,,6.0,7.2,,47.0,,,,36.0,45.0,17.0,0.6,0.0,234.0,13.9,5.9,7.1,,,
BOL,2025-01-10,-0.6,0.0,-1.1,,,,92.3,5.4,922.4,,1469.3,,1017.5,1.6,5.5,5.8,19.8,5.4,19.4,,3.9,1.1,,20.0,,,,18.0,0.0,0.0,0.3,0.0,56.0,20.6,12.6,1.1,,,
BOL,2025-01-11,-1.1,0.4,-3.1,,,,93.0,5.3,925.3,,1492.5,,1020.6,2.4,7.0,8.6,25.2,6.9,24.8,,0.5,3.4,,41.0,,,,33.0,25.0,10.0,0.2,0.0,52.0,21.1,13.1,3.4,,,
BOL,2025-01-12,-4.8,-2.0,-7.8,,,,81.7,3.5,934.5,,1559.5,,1030.6,2.8,11.1,10.1,40.0,10.8,38.9,,0.0,0.0,,63.0,,,,18.0,254.0,97.0,0.3,0.0,38.0,24.8,16.8,-0.1,,,
BOL,2025-01-13,-5.7,-2.2,-9.5,,,,82.5,3.3,936.2,,1570.9,,1032.4,1.5,6.5,5.4,23.4,6.3,22.7,,0.0,0.0,,65.0,,,,13.0,259.0,98.0,0.2,0.0,217.0,25.7,17.7,-0.1,,,
BOL,2025-01-14,-6.8,-0.8,-9.7,,,,92.1,3.4,934.6,,1554.7,,1030.7,0.9,5.3,3.2,19.1,5.2,18.7,,0.0,0.0,,65.0,,,,11.0,260.0,98.0,0.2,0.0,45.0,26.8,18.8,-0.1,,,
BOL,2025-01-15,-2.9,3.8,-7.5,,,,85.0,4.1,932.0,,1544.2,,1027.9,0.9,6.6,3.2,23.8,6.4,23.0,,0.0,0.0,,75.0,,,,23.0,259.0,97.0,0.2,0.0,180.0,22.9,14.9,-0.1,,,
BOL,2025-01-16,-1.6,2.2,-5.6,,,,85.9,4.7,934.0,,1564.4,,1030.1,1.7,7.3,6.1,26.3,7.1,25.6,,0.0,0.0,,59.0,,,,24.0,208.0,78.0,0.3,0.0,117.0,21.6,13.6,-0.1,,,
BOL,2025-01-17,-5.0,0.9,-7.7,,,,90.6,3.8,935.3,,1565.3,,1031.4,0.9,4.8,3.2,17.3,4.8,17.3,,0.0,0.0,,66.0,,,,11.0,264.0,99.0,0.2,0.0,135.0,25.0,17.0,-0.1,,,
BOL,2025-01-18,-4.6,1.5,-8.4,,,,90.0,3.9,930.4,,1526.6,,1026.2,0.9,5.2,3.2,18.7,5.1,18.4,,0.0,0.0,,67.0,,,,11.0,265.0,98.0,0.2,0.0,180.0,24.6,16.6,-0.1,,,
BOL,2025-01-19,-1.4,5.3,-5.6,,,,84.7,4.7,924.4,,1484.7,,1019.7,1.0,5.4,3.6,19.4,5.3,19.1,,0.0,0.0,,66.0,,,,24.0,211.0,78.0,0.3,0.0,207.0,21.4,13.4,-0.1,,,
BOL,2025-01-20,-0.6,4.8,-3.4,,,,86.9,5.1,922.8,,1472.7,,1018.0,0.6,3.3,2.2,11.9,3.2,11.5,,0.0,0.0,,57.0,,,,21.0,206.0,76.0,0.3,0.0,214.0,20.6,12.6,-0.1,,,
BOL,2025-01-21,-1.3,5.6,-4.8,,,,84.1,4.6,920.9,,1454.8,,1015.9,1.0,5.4,3.6,19.4,5.3,19.1,,0.0,0.0,,70.0,,,,10.0,270.0,99.0,0.4,0.0,214.0,21.3,13.3,-0.1,,,
BOL,2025-01-22,0.8,3.7,-2.6,,,,83.4,5.4,915.0,,1409.1,,1009.5,0.7,4.1,2.5,14.8,4.0,14.4,,2.3,0.0,,23.0,,,,20.0,0.0,0.0,0.4,0.0,225.0,19.2,11.2,0.0,,,
BOL,2025-01-23,3.1,6.2,0.2,,,,91.9,7.1,916.9,,1430.8,,1011.6,2.4,11.8,8.6,42.5,11.4,41.0,,5.4,7.7,,62.0,,,,30.0,171.0,62.0,0.4,0.0,231.0,16.9,8.9,7.7,,,
BOL,2025-01-24,5.0,15.1,0.9,,,,60.0,5.0,919.6,,1458.6,,1014.5,3.0,10.9,10.8,39.2,10.5,37.8,,0.0,0.0,,61.0,,,,26.0,193.0,69.0,1.8,0.0,236.0,15.0,7.0,-0.2,,,
BOL,2025-01-25,4.4,11.4,0.2,,,,73.5,6.0,916.4,,1429.0,,1011.0,1.5,15.5,5.4,55.8,15.1,54.4,,2.6,0.3,,69.0,,,,38.0,191.0,68.0,0.8,0.0,217.0,15.6,7.6,0.2,,,
BOL,2025-01-26,4.5,8.7,0.3,,,,71.8,6.0,916.6,,1431.4,,1011.3,3.5,13.7,12.6,49.3,13.2,47.5,,1.6,2.3,,70.0,,,,20.0,211.0,75.0,1.0,0.0,228.0,15.5,7.5,2.1,,,
BOL,2025-01-27,4.8,9.4,0.2,,,,94.4,8.2,909.7,,1370.9,,1003.8,1.7,8.3,6.1,29.9,8.1,29.2,,60.1,46.2,,26.0,,,,18.0,27.0,10.0,0.5,0.0,207.0,15.2,7.2,46.2,,,
BOL,2025-01-28,2.9,6.3,0.3,,,,86.5,6.4,908.7,,1358.1,,1002.6,3.0,9.4,10.8,33.8,9.2,33.1,,3.2,16.7,,67.0,,,,40.0,130.0,45.0,0.6,0.0,237.0,17.1,9.1,16.6,,,
BOL,2025-01-29,2.7,7.3,-1.4,,,,85.3,6.3,916.5,,1426.4,,1011.2,2.6,10.1,9.4,36.4,9.9,35.6,,0.1,2.1,,75.0,,,,24.0,285.0,99.0,0.6,0.0,247.0,17.3,9.3,2.0,,,
BOL,2025-01-30,2.3,7.1,-0.2,,,,84.7,6.1,921.5,,1468.4,,1016.5,1.1,4.3,4.0,15.5,4.2,15.1,,0.0,0.0,,50.0,,,,45.0,15.0,5.0,0.5,0.0,219.0,17.7,9.7,0.0,,,
BOL,2025-01-31,2.6,4.9,1.4,,,,91.7,6.7,928.7,,1531.1,,1024.3,2.1,7.1,7.6,25.6,6.9,24.8,,0.1,0.1,,40.0,,,,37.0,0.0,0.0,0.5,0.0,50.0,17.4,9.4,0.1,,,
BOL,2025-02-01,1.9,4.9,0.4,,,,87.7,6.1,927.9,,1522.3,,1023.5,1.8,7.0,6.5,25.2,6.9,24.8,,0.0,0.0,,85.0,,,,17.0,284.0,96.0,0.5,0.0,54.0,18.1,10.1,-0.1,,,
BOL,2025-02-02,-0.6,5.3,-3.9,,,,90.5,5.2,925.7,,1497.6,,1021.1,1.2,5.7,4.3,20.5,5.6,20.2,,0.0,0.0,,87.0,,,,13.0,298.0,99.0,0.5,0.0,90.0,20.6,12.6,-0.1,,,
BOL,2025-02-03,-1.4,6.2,-4.6,,,,86.3,4.7,928.8,,1522.0,,1024.5,1.1,6.8,4.0,24.5,6.6,23.8,,0.0,0.0,,89.0,,,,13.0,303.0,99.0,0.5,0.0,63.0,21.4,13.4,-0.1,,,
BOL,2025-02-04,-1.1,7.8,-5.1,,,,78.5,4.3,931.7,,1547.2,,1027.7,1.0,6.5,3.6,23.4,6.3,22.7,,0.0,0.0,,92.0,,,,13.0,307.0,100.0,0.6,0.0,180.0,21.1,13.1,-0.2,,,
BOL,2025-02-05,-0.8,7.9,-4.9,,,,73.0,4.0,937.2,,1593.8,,1033.6,0.8,5.6,2.9,20.2,5.4,19.4,,0.0,0.0,,93.0,,,,13.0,308.0,99.0,0.6,0.0,153.0,20.8,12.8,-0.2,,,
BOL,2025-02-06,-3.4,-0.1,-7.2,,,,90.6,4.3,934.3,,1561.5,,1030.4,1.5,6.7,5.4,24.1,6.5,23.4,,0.0,0.0,,94.0,,,,39.0,266.0,85.0,0.4,0.0,59.0,23.4,15.4,-0.1,,,
BOL,2025-02-07,-1.0,5.2,-3.9,,,,83.6,4.7,925.5,,1494.9,,1020.9,1.2,6.2,4.3,22.3,6.1,22.0,,0.0,0.0,,92.0,,,,48.0,247.0,78.0,0.6,0.0,45.0,21.0,13.0,-0.1,,,
BOL,2025-02-08,0.2,6.3,-4.4,,,,79.8,4.9,924.6,,1490.0,,1019.9,0.9,4.3,3.2,15.5,4.1,14.8,,0.0,0.0,,59.0,,,,50.0,10.0,3.0,0.6,0.0,225.0,19.8,11.8,-0.1,,,
BOL,2025-02-09,0.4,7.3,-4.3,,,,83.3,5.2,928.8,,1526.4,,1024.5,1.3,7.9,4.7,28.4,7.7,27.7,,0.0,0.0,,99.0,,,,23.0,320.0,99.0,0.7,0.0,90.0,19.6,11.6,-0.2,,,
BOL,2025-02-10,2.7,7.9,-1.3,,,,83.3,6.1,926.1,,1509.5,,1021.6,0.9,5.0,3.2,18.0,4.9,17.6,,0.4,0.4,,61.0,,,,56.0,1.0,0.0,0.6,0.0,63.0,17.3,9.3,0.4,,,
BOL,2025-02-11,4.1,7.4,1.9,,,,96.0,7.9,924.3,,1497.8,,1019.6,0.6,3.3,2.2,11.9,3.2,11.5,,2.7,2.7,,41.0,,,,37.0,0.0,0.0,0.5,0.0,90.0,15.9,7.9,2.7,,,
BOL,2025-02-12,3.9,8.5,0.2,,,,96.1,7.8,922.6,,1482.2,,1017.8,0.7,4.8,2.5,17.3,4.8,17.3,,1.1,0.3,,51.0,,,,46.0,1.0,0.0,0.5,0.0,214.0,16.1,8.1,0.3,,,
BOL,2025-02-13,4.0,6.3,0.2,,,,93.7,7.6,921.2,,1470.3,,1016.2,2.4,7.2,8.6,25.9,6.9,24.8,,18.2,18.9,,19.0,,,,17.0,0.0,0.0,0.4,0.0,242.0,16.0,8.0,18.9,,,
BOL,2025-02-14,-1.0,1.4,-3.0,,,,81.1,4.6,923.3,,1475.6,,1018.5,3.0,8.8,10.8,31.7,8.7,31.3,,0.1,0.2,,110.0,,,,40.0,273.0,79.0,0.7,0.0,50.0,21.0,13.0,0.1,,,
BOL,2025-02-15,-2.0,4.5,-6.1,,,,79.2,4.2,922.1,,1463.0,,1017.2,1.6,7.5,5.8,27.0,7.3,26.3,,0.0,0.0,,117.0,,,,19.0,347.0,99.0,0.7,0.0,135.0,22.0,14.0,-0.2,,,
BOL,2025-02-16,0.0,5.5,-3.7,,,,83.3,5.0,918.9,,1441.2,,1013.8,1.5,6.2,5.4,22.3,6.1,22.0,,0.0,0.0,,98.0,,,,76.0,86.0,24.0,0.7,0.0,68.0,20.0,12.0,-0.1,,,
BOL,2025-02-17,-2.0,3.4,-5.8,,,,90.8,4.8,921.8,,1460.9,,1016.9,1.4,6.8,5.0,24.5,6.7,24.1,,0.0,0.0,,121.0,,,,21.0,357.0,99.0,0.6,0.0,58.0,22.0,14.0,-0.1,,,
BOL,2025-02-18,-2.0,4.5,-6.3,,,,91.2,4.8,923.6,,1476.0,,1018.8,1.1,6.1,4.0,22.0,6.1,22.0,,0.0,0.0,,122.0,,,,20.0,364.0,100.0,0.7,0.0,60.0,22.0,14.0,-0.1,,,
BOL,2025-02-19,-0.1,6.9,-5.0,,,,89.7,5.4,926.4,,1504.5,,1021.8,1.1,4.8,4.0,17.3,4.8,17.3,,0.0,0.0,,120.0,,,,31.0,363.0,99.0,0.7,0.0,53.0,20.1,12.1,-0.1,,,
BOL,2025-02-20,3.9,12.1,-0.9,,,,88.4,7.1,930.7,,1552.0,,1026.5,0.7,4.6,2.5,16.6,4.6,16.6,,0.4,0.4,,69.0,,,,45.0,127.0,34.0,0.8,0.0,180.0,16.1,8.1,0.3,,,
BOL,2025-02-21,5.1,13.1,0.0,,,,81.5,7.0,928.1,,1532.4,,1023.7,1.5,5.7,5.4,20.5,5.6,20.2,,0.0,0.0,,110.0,,,,53.0,255.0,66.0,1.1,0.0,180.0,14.9,6.9,-0.1,,,
BOL,2025-02-22,4.8,12.4,-1.2,,,,80.8,6.8,926.5,,1518.2,,1021.9,0.9,5.1,3.2,18.4,5.0,18.0,,0.0,0.0,,82.0,,,,72.0,23.0,6.0,0.9,0.0,90.0,15.2,7.2,-0.1,,,
BOL,2025-02-23,5.2,9.4,-0.2,,,,92.5,8.2,933.3,,1578.1,,1029.4,0.9,4.2,3.2,15.1,4.2,15.1,,0.8,0.8,,47.0,,,,43.0,2.0,1.0,0.6,0.0,90.0,14.8,6.8,0.8,,,
BOL,2025-02-24,4.1,10.1,-1.2,,,,88.3,7.1,929.4,,1541.2,,1025.1,1.0,5.3,3.6,19.1,5.2,18.7,,0.0,0.0,,69.0,,,,65.0,0.0,0.0,0.8,0.0,90.0,15.9,7.9,0.0,,,
BOL,2025-02-25,5.5,10.8,1.7,,,,76.9,6.9,920.8,,1470.1,,1015.8,2.9,15.0,10.4,54.0,14.5,52.2,,2.1,1.1,,69.0,,,,38.0,139.0,35.0,1.3,0.0,239.0,14.5,6.5,1.0,,,
BOL,2025-02-26,2.4,5.4,-1.6,,,,84.6,6.1,924.8,,1497.6,,1020.2,2.3,10.4,8.3,37.4,10.2,36.7,,1.0,2.0,,77.0,,,,63.0,33.0,8.0,0.7,0.0,260.0,17.6,9.6,2.0,,,
BOL,2025-02-27,1.7,6.7,-1.1,,,,79.5,5.5,924.2,,1490.2,,1019.5,2.8,8.8,10.1,31.7,8.6,31.0,,0.0,0.0,,65.0,,,,47.0,70.0,17.0,1.0,0.0,241.0,18.3,10.3,-0.1,,,
BOL,2025-02-28,1.7,6.9,-2.5,,,,76.6,5.2,925.3,,1500.2,,1020.7,2.3,9.3,8.3,33.5,9.2,33.1,,0.0,0.0,,149.0,,,,25.0,365.0,90.0,1.2,0.0,43.0,18.3,10.3,-0.2,,,
BOL,2025-03-01,1.3,6.1,-4.3,,,,79.2,5.2,926.9,,1512.6,,1022.4,2.4,9.6,8.6,34.6,9.3,33.5,,0.0,0.0,,165.0,,,,48.0,397.0,96.0,1.1,0.0,45.0,18.7,10.7,-0.2,,,
BOL,2025-03-02,1.1,6.2,-3.5,,,,78.9,5.2,930.7,,1544.4,,1026.5,2.4,8.8,8.6,31.7,8.6,31.0,,0.0,0.0,,154.0,,,,22.0,411.0,99.0,1.1,0.0,56.0,18.9,10.9,-0.2,,,
BOL,2025-03-03,2.0,11.5,-4.8,,,,67.1,4.4,930.3,,1543.3,,1026.1,2.1,8.3,7.6,29.9,8.1,29.2,,0.0,0.0,,160.0,,,,18.0,414.0,100.0,1.7,0.0,79.0,18.0,10.0,-0.3,,,
BOL,2025-03-04,3.3,13.2,-4.4,,,,64.2,4.7,929.1,,1536.1,,1024.7,2.1,8.1,7.6,29.2,8.0,28.8,,0.0,0.0,,156.0,,,,27.0,415.0,99.0,1.8,0.0,117.0,16.7,8.7,-0.3,,,
BOL,2025-03-05,4.0,14.9,-2.9,,,,62.0,4.6,929.2,,1538.9,,1024.9,1.8,7.6,6.5,27.4,7.4,26.6,,0.0,0.0,,163.0,,,,18.0,419.0,99.0,1.9,0.0,76.0,16.0,8.0,-0.3,,,
BOL,2025-03-06,4.4,15.2,-2.0,,,,63.6,5.0,926.6,,1518.2,,1022.1,1.6,7.2,5.8,25.9,7.0,25.2,,0.0,0.0,,158.0,,,,31.0,388.0,90.0,1.8,0.0,68.0,15.6,7.6,-0.3,,,
BOL,2025-03-07,3.8,13.8,-2.8,,,,66.7,5.0,923.4,,1488.3,,1018.6,1.4,6.6,5.0,23.8,6.5,23.4,,0.0,0.0,,165.0,,,,25.0,426.0,98.0,1.7,0.0,90.0,16.2,8.2,-0.3,,,
BOL,2025-03-08,5.1,15.8,-2.3,,,,63.3,5.1,917.6,,1440.8,,1012.3,1.6,8.0,5.8,28.8,7.6,27.4,,0.0,0.0,,165.0,,,,26.0,423.0,97.0,1.9,0.0,63.0,14.9,6.9,-0.3,,,
BOL,2025-03-09,7.0,16.8,-1.1,,,,62.2,5.7,910.1,,1379.0,,1004.2,1.4,7.3,5.0,26.3,7.2,25.9,,0.0,0.0,,153.0,,,,53.0,342.0,78.0,1.9,0.0,153.0,13.0,5.0,-0.3,,,
BOL,2025-03-10,8.0,13.1,3.6,,,,71.8,7.6,908.9,,1370.9,,1003.0,2.1,9.4,7.6,33.8,9.0,32.4,,0.2,0.2,,145.0,,,,55.0,301.0,68.0,1.7,0.0,225.0,12.0,4.0,0.0,,,
