station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BOU,2025-01-01,2.7,5.9,-1.5,,,,81.9,6.0,983.1,1029.5,,,1027.8,1.3,5.4,4.7,19.4,5.2,18.7,,,,,,,,,,,,,0.0,153.0,17.3,9.3,,,,
BOU,2025-01-02,5.7,11.7,1.8,,,,68.9,6.3,974.6,1020.0,,,1019.0,2.6,13.2,9.4,47.5,13.0,46.8,,,,,,,,,,,,,0.0,128.0,14.3,6.3,,,,
BOU,2025-01-03,3.1,5.5,0.0,,,,78.7,6.0,976.9,1022.9,,,1021.4,2.1,8.1,7.6,29.2,7.9,28.4,,,,,,,,,,,,,0.0,252.0,16.9,8.9,,,,
BOU,2025-01-04,1.0,3.5,-1.3,,,,77.0,5.1,974.8,1021.1,,,1019.2,1.7,9.6,6.1,34.6,9.2,33.1,,,,,,,,,,,,,0.0,148.0,19.0,11.0,,,,
BOU,2025-01-05,6.4,10.1,2.5,,,,86.4,8.3,964.1,1009.0,,,1008.2,2.5,8.6,9.0,31.0,8.3,29.9,,,,,,,,,,,,,0.0,141.0,13.6,5.6,,,,
BOU,2025-01-06,9.0,11.4,6.2,,,,78.1,8.9,958.2,1002.3,,,1002.0,2.9,13.9,10.4,50.0,13.6,49.0,,,,,,,,,,,,,0.0,217.0,11.0,3.0,,,,
BOU,2025-01-07,7.1,10.3,4.7,,,,68.8,6.8,965.8,1010.6,,,1009.9,2.4,8.9,8.6,32.0,8.7,31.3,,,,,,,,,,,,,0.0,146.0,12.9,4.9,,,,
BOU,2025-01-08,7.6,9.6,5.0,,,,76.9,8.0,964.3,1009.0,,,1008.4,3.8,17.0,13.7,61.2,16.2,58.3,,,,,,,,,,,,,0.0,139.0,12.4,4.4,,,,
BOU,2025-01-09,9.0,13.0,3.8,,,,74.6,8.6,965.0,1009.5,,,1009.1,6.3,18.7,22.7,67.3,18.5,66.6,,,,,,,,,,,,,0.0,163.0,11.0,3.0,,,,
BOU,2025-01-10,3.4,4.5,2.1,,,,81.1,6.3,974.8,1020.7,,,1019.3,2.7,9.2,9.7,33.1,9.2,33.1,,,,,,,,,,,,,0.0,285.0,16.6,8.6,,,,
BOU,2025-01-11,3.2,4.2,2.0,,,,78.9,6.0,977.5,1023.6,,,1022.1,4.2,9.6,15.1,34.6,9.3,33.5,,,,,,,,,,,,,0.0,309.0,16.8,8.8,,,,
BOU,2025-01-12,0.8,3.0,-1.3,,,,68.5,4.4,986.5,1033.4,,,1031.4,2.2,9.1,7.9,32.8,8.8,31.7,,,,,,,,,,,,,0.0,288.0,19.2,11.2,,,,
BOU,2025-01-13,-0.8,1.0,-3.0,,,,76.4,4.4,988.9,1036.2,,,1033.8,1.7,6.8,6.1,24.5,6.7,24.1,,,,,,,,,,,,,0.0,127.0,20.8,12.8,,,,
BOU,2025-01-14,-0.9,0.9,-3.1,,,,82.7,4.7,988.0,1035.2,,,1032.9,1.7,5.5,6.1,19.8,5.3,19.1,,,,,,,,,,,,,0.0,164.0,20.9,12.9,,,,
