station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BRL,2025-01-01,-5.9,8.7,-21.0,-8.8,6.2,-20.1,61.2,2.4,904.0,,1530.3,,1025.2,2.7,10.3,9.7,37.1,10.1,36.4,,0.0,0.0,,81.0,,,,,446.0,96.0,1.1,0.0,254.0,25.9,17.9,-0.6,,,
BRL,2025-01-02,2.3,5.2,-2.0,-0.2,0.8,-1.3,71.5,5.0,896.0,,1475.0,,1016.4,5.9,19.3,21.2,69.5,18.6,67.0,,16.8,16.8,,20.0,,,,,15.0,3.0,1.1,0.0,243.0,17.7,9.7,16.7,,,
BRL,2025-01-03,-11.8,-2.0,-25.0,-0.1,0.0,-0.3,95.2,2.7,898.6,,1474.3,,1019.2,1.1,4.8,4.0,17.3,4.7,16.9,,0.0,0.0,,50.0,,,,,8.0,2.0,0.1,0.0,18.0,31.8,23.8,0.0,,,
BRL,2025-01-04,-14.4,4.0,-31.1,-0.7,2.0,-2.1,91.2,3.1,894.9,,1437.8,,1015.1,1.7,9.7,6.1,34.9,9.6,34.6,,17.6,10.6,,64.0,,,,,197.0,42.0,0.3,0.0,250.0,34.4,26.4,10.5,,,
BRL,2025-01-05,7.6,10.8,4.0,4.4,8.4,1.4,65.1,6.5,886.8,,1398.4,,1006.1,4.5,13.1,16.2,47.2,12.7,45.7,,0.2,7.2,,59.0,,,,,164.0,35.0,1.3,0.0,242.0,12.4,4.4,7.0,,,
BRL,2025-01-06,5.6,9.4,1.0,3.4,7.3,0.2,67.9,6.0,881.7,,1349.5,,1000.5,6.5,22.8,23.4,82.1,22.1,79.6,,10.7,10.7,,22.0,,,,,7.0,1.0,1.5,0.0,236.0,14.4,6.4,10.6,,,
BRL,2025-01-07,1.1,3.4,-0.2,0.3,2.4,-1.5,82.4,5.4,888.0,,1401.0,,1007.4,6.0,15.5,21.6,55.8,14.3,51.5,,3.3,0.7,,30.0,,,,,7.0,1.0,0.8,0.0,235.0,18.9,10.9,0.7,,,
BRL,2025-01-08,6.0,8.8,2.7,4.6,7.8,1.5,85.4,8.0,886.9,,1397.7,,1006.3,6.4,18.8,23.0,67.7,18.3,65.9,,15.7,17.6,,20.0,,,,,0.0,0.0,0.8,0.0,234.0,14.0,6.0,17.6,,,
BRL,2025-01-09,3.0,6.2,-3.3,2.2,6.1,-3.5,87.6,6.8,888.0,,1402.8,,1007.4,5.9,18.2,21.2,65.5,17.3,62.3,,11.1,11.8,,20.0,,,,,0.0,0.0,0.3,0.0,239.0,17.0,9.0,11.8,,,
BRL,2025-01-10,-2.6,-1.2,-3.5,-2.6,-0.9,-3.9,89.3,4.5,896.0,,1466.7,,1016.3,1.8,6.5,6.5,23.4,6.3,22.7,,1.0,0.7,,25.0,,,,,0.0,0.0,0.3,0.0,90.0,22.6,14.6,0.7,,,
BRL,2025-01-11,-5.2,-2.1,-11.3,-4.9,0.9,-13.1,89.6,3.8,899.4,,1492.2,,1020.1,2.4,8.8,8.6,31.7,8.5,30.6,,0.0,0.3,,82.0,,,,,364.0,75.0,0.0,0.0,65.0,25.2,17.2,0.2,,,
BRL,2025-01-12,-7.9,-4.1,-12.7,-8.1,-2.5,-14.8,84.4,2.9,907.9,,1560.2,,1029.5,4.8,13.2,17.3,47.5,12.7,45.7,,0.0,0.0,,72.0,,,,,376.0,77.0,0.3,0.0,59.0,27.9,19.9,-0.2,,,
BRL,2025-01-13,-5.0,-1.3,-11.9,-5.5,-0.9,-12.3,58.0,2.4,908.3,,1569.0,,1029.9,5.6,16.4,20.2,59.0,15.3,55.1,,0.0,0.0,,89.0,,,,,466.0,95.0,0.8,0.0,68.0,25.0,17.0,-0.5,,,
BRL,2025-01-14,-6.0,6.0,-14.0,-7.0,6.3,-16.1,66.4,2.4,907.4,,1559.3,,1028.9,2.3,11.1,8.3,40.0,10.9,39.2,,0.0,0.0,,91.0,,,,,466.0,94.0,0.8,0.0,52.0,26.0,18.0,-0.4,,,
BRL,2025-01-15,-3.6,4.2,-11.6,-4.0,6.6,-13.5,82.2,4.0,905.7,,1549.2,,1027.1,3.3,10.4,11.9,37.4,9.8,35.3,,0.0,0.0,,75.0,,,,,308.0,62.0,0.5,0.0,51.0,23.6,15.6,-0.2,,,
BRL,2025-01-16,-2.9,1.6,-8.0,-3.0,4.7,-9.3,88.6,4.4,906.9,,1561.4,,1028.4,3.2,16.7,11.5,60.1,15.9,57.2,,0.0,0.0,,73.0,,,,,279.0,56.0,0.3,0.0,66.0,22.9,14.9,-0.1,,,
BRL,2025-01-17,-5.4,3.4,-10.6,-5.4,6.8,-11.6,87.4,3.6,908.0,,1565.8,,1029.6,0.9,3.1,3.2,11.2,3.0,10.8,,0.0,0.0,,92.0,,,,,469.0,93.0,0.2,0.0,233.0,25.4,17.4,-0.2,,,
