station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BRZ,2025-01-01,,,,,,,,,959.9,,,,1027.0,0.7,,2.5,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
BRZ,2025-01-02,,,,,,,,,950.3,,,,1016.8,1.3,,4.7,,,,,21.1,17.9,,,,,,,,,,,,,,,,,
BRZ,2025-01-03,,,,,,,,,954.1,,,,1020.9,1.1,4.5,4.0,16.2,4.4,15.8,,0.0,3.2,,,,,,,,,,,103.0,,,,,,
BRZ,2025-01-04,,,,,,,,,951.8,,,,1018.5,1.6,4.6,5.8,16.6,4.5,16.2,,9.5,1.6,,,,,,,,,,,101.0,,,,,,
BRZ,2025-01-05,,,,,,,,,941.4,,,,1007.5,1.3,5.3,4.7,19.1,5.2,18.7,,0.2,8.1,,,,,,,,,,,97.0,,,,,,
BRZ,2025-01-06,,,,,,,,,935.1,,,,1000.8,1.5,9.0,5.4,32.4,8.8,31.7,,6.9,5.0,,,,,,,,,,,286.0,,,,,,
BRZ,2025-01-07,,,,,,,,,942.4,,,,1008.6,1.4,4.2,5.0,15.1,4.2,15.1,,1.9,1.9,,,,,,,,,,,104.0,,,,,,
BRZ,2025-01-08,,,,,,,,,941.2,,,,1007.3,1.2,4.5,4.3,16.2,4.4,15.8,,9.6,10.7,,,,,,,,,,,98.0,,,,,,
BRZ,2025-01-09,,,,,,,,,941.3,,,,1007.4,3.0,19.7,10.8,70.9,19.3,69.5,,2.3,3.1,,,,,,,,,,,263.0,,,,,,
BRZ,2025-01-10,,,,,,,,,951.9,,,,1018.5,1.9,11.0,6.8,39.6,10.8,38.9,,6.1,3.0,,,,,,,,,,,45.0,,,,,,
