station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
BUF,2025-01-01,-11.6,-1.4,-15.8,,,,80.5,2.0,809.0,,1588.5,,1026.7,0.9,2.5,3.2,9.0,2.4,8.6,,0.0,0.0,,68.0,,,,9.0,300.0,100.0,0.2,0.0,140.0,31.6,23.6,-0.2,,,
BUF,2025-01-02,-7.5,-1.4,-16.5,,,,80.5,2.9,800.0,,1493.8,,1015.7,1.7,8.8,6.1,31.7,8.1,29.2,,0.0,0.0,,32.0,,,,28.0,3.0,1.0,0.3,0.0,288.0,27.5,19.5,-0.1,,,
BUF,2025-01-03,-13.3,-4.5,-22.0,,,,77.0,1.8,798.1,,1485.8,,1013.4,1.3,8.5,4.7,30.6,8.1,29.2,,0.0,0.0,,71.0,,,,9.0,302.0,100.0,0.2,0.0,225.0,33.3,25.3,-0.2,,,
BUF,2025-01-04,-15.1,-3.2,-23.0,,,,69.9,1.3,799.2,,1499.9,,1014.7,1.0,5.1,3.6,18.4,5.0,18.0,,0.0,0.0,,69.0,,,,17.0,302.0,100.0,0.3,0.0,153.0,35.1,27.1,-0.3,,,
BUF,2025-01-05,-3.5,1.9,-8.9,,,,74.6,3.6,796.6,,1452.4,,1011.5,1.1,7.6,4.0,27.4,7.2,25.9,,0.0,0.0,,24.0,,,,20.0,0.0,0.0,0.4,0.0,288.0,23.5,15.5,-0.1,,,
BUF,2025-01-06,-0.6,2.7,-3.6,,,,79.0,4.6,792.5,,1405.7,,1006.7,2.3,12.0,8.3,43.2,11.8,42.5,,5.4,0.0,,45.0,,,,37.0,7.0,2.0,0.5,0.0,285.0,20.6,12.6,-0.1,,,
BUF,2025-01-07,-5.3,0.3,-14.6,,,,90.6,4.0,791.3,,1402.2,,1005.1,1.4,5.7,5.0,20.5,5.5,19.8,,4.3,9.7,,44.0,,,,28.0,76.0,25.0,0.1,0.0,243.0,25.3,17.3,9.7,,,
BUF,2025-01-08,-4.9,0.7,-15.1,,,,85.8,3.8,794.9,,1438.7,,1009.6,1.7,8.6,6.1,31.0,8.5,30.6,,1.9,0.1,,47.0,,,,38.0,39.0,13.0,0.2,0.0,288.0,24.9,16.9,0.1,,,
BUF,2025-01-09,-1.4,2.7,-4.7,,,,89.2,4.9,792.4,,1406.1,,1006.5,1.5,10.9,5.4,39.2,10.6,38.2,,4.1,5.9,,52.0,,,,30.0,131.0,43.0,0.3,0.0,292.0,21.4,13.4,5.8,,,
BUF,2025-01-10,-7.7,-4.9,-11.6,,,,63.6,2.2,796.4,,1459.1,,1011.4,2.0,16.2,7.2,58.3,15.7,56.5,,1.6,1.3,,45.0,,,,30.0,87.0,28.0,0.4,0.0,282.0,27.7,19.7,1.2,,,
BUF,2025-01-11,-12.8,-4.6,-23.3,,,,74.1,1.8,798.7,,1490.7,,1014.1,1.0,6.4,3.6,23.0,6.2,22.3,,0.0,0.3,,80.0,,,,12.0,310.0,100.0,0.2,0.0,207.0,32.8,24.8,0.1,,,
BUF,2025-01-12,-16.8,-5.2,-23.7,,,,74.5,1.3,806.2,,1569.4,,1023.2,1.3,8.7,4.7,31.3,7.6,27.4,,0.0,0.0,,63.0,,,,37.0,189.0,61.0,0.3,0.0,198.0,36.8,28.8,-0.2,,,
BUF,2025-01-13,-18.7,-6.8,-25.6,,,,74.4,1.1,810.5,,1613.0,,1028.5,1.0,3.3,3.6,11.9,3.0,10.8,,0.0,0.0,,81.0,,,,10.0,311.0,99.0,0.2,0.0,140.0,38.7,30.7,-0.2,,,
BUF,2025-01-14,-12.0,-1.2,-19.7,,,,70.2,1.7,810.1,,1599.4,,1028.0,0.9,3.5,3.2,12.6,3.4,12.2,,0.0,0.0,,81.0,,,,13.0,313.0,99.0,0.3,0.0,140.0,32.0,24.0,-0.3,,,
BUF,2025-01-15,-8.0,1.4,-15.6,,,,69.4,2.4,806.8,,1561.1,,1023.9,1.8,11.8,6.5,42.5,11.0,39.6,,0.0,0.0,,72.0,,,,30.0,235.0,74.0,0.5,0.0,297.0,28.0,20.0,-0.2,,,
BUF,2025-01-16,-11.1,0.3,-17.0,,,,77.3,2.0,810.5,,1601.8,,1028.4,1.2,5.8,4.3,20.9,5.5,19.8,,0.0,0.0,,79.0,,,,10.0,324.0,100.0,0.4,0.0,146.0,31.1,23.1,-0.2,,,
BUF,2025-01-17,-9.7,2.5,-15.4,,,,71.7,2.0,811.8,,1612.2,,1030.0,1.7,9.7,6.1,34.9,9.1,32.8,,0.0,0.0,,84.0,,,,10.0,328.0,100.0,0.6,0.0,130.0,29.7,21.7,-0.3,,,
BUF,2025-01-18,-8.6,3.0,-15.8,,,,68.3,2.2,810.0,,1593.7,,1027.9,1.2,5.4,4.3,19.4,5.1,18.4,,0.0,0.0,,84.0,,,,11.0,332.0,100.0,0.5,0.0,139.0,28.6,20.6,-0.3,,,
