station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
CDF,2025-01-01,2.5,8.6,-4.8,-3.3,3.5,-8.2,43.5,3.1,907.4,,1543.8,,1025.0,2.5,9.5,9.0,34.2,9.3,33.5,,0.0,0.0,29.0,82.0,,,,,447.0,100.0,0.9,0.0,228.0,17.5,9.5,-0.8,1.9,1.9,2.3
CDF,2025-01-02,2.4,5.1,-1.8,1.0,3.7,-0.7,69.6,4.9,899.4,,1472.8,,1016.2,5.0,19.4,18.0,69.8,18.7,67.3,,17.1,17.1,28.0,23.0,,,,,20.0,4.0,1.0,0.0,234.0,17.6,9.6,17.0,1.8,1.8,2.3
CDF,2025-01-03,-8.0,-1.9,-17.1,-2.9,0.4,-8.9,91.5,3.2,902.3,,1479.7,,1019.4,0.6,4.3,2.2,15.5,4.2,15.1,,0.0,0.0,40.0,67.0,,,,,99.0,22.0,0.0,0.0,243.0,28.0,20.0,-0.1,1.7,1.7,2.2
CDF,2025-01-04,-6.1,4.8,-18.9,-4.2,0.5,-9.9,86.8,3.9,898.3,,1448.4,,1015.0,1.1,7.7,4.0,27.7,7.4,26.6,,17.8,9.8,37.0,66.0,,,,,285.0,63.0,0.2,0.0,243.0,26.1,18.1,9.7,1.7,1.7,2.1
CDF,2025-01-05,7.0,10.3,4.5,2.3,5.0,-0.3,67.9,6.6,890.1,,1396.1,,1005.9,2.9,9.1,10.4,32.8,8.6,31.0,,0.4,8.4,26.0,54.0,,,,,129.0,29.0,1.0,0.0,237.0,13.0,5.0,8.2,1.6,1.6,1.6
CDF,2025-01-06,4.8,8.4,1.3,2.2,5.8,-0.3,69.7,5.9,885.0,,1346.8,,1000.3,5.1,23.6,18.4,85.0,22.7,81.7,,10.2,10.2,19.0,26.0,,,,,22.0,5.0,1.3,0.0,223.0,15.2,7.2,10.1,1.5,1.5,1.6
CDF,2025-01-07,1.3,4.0,0.3,-0.1,1.4,-3.0,79.5,5.3,891.3,,1399.1,,1007.3,4.6,14.4,16.6,51.8,13.9,50.0,,3.4,1.0,14.0,33.0,,,,,6.0,1.0,0.8,0.0,231.0,18.7,10.7,0.9,1.4,1.4,1.5
CDF,2025-01-08,5.7,8.8,2.8,2.8,4.3,0.5,85.2,7.8,890.2,,1395.0,,1006.0,4.5,18.1,16.2,65.2,17.3,62.3,,16.4,18.6,15.0,14.0,,,,,0.0,0.0,0.8,0.0,233.0,14.3,6.3,18.6,1.5,1.5,1.4
CDF,2025-01-09,2.9,6.4,-3.1,1.4,4.6,-2.8,85.4,6.6,891.3,,1400.2,,1007.2,5.1,19.1,18.4,68.8,17.9,64.4,,10.2,10.4,6.0,19.0,,,,,0.0,0.0,0.4,0.0,237.0,17.1,9.1,10.4,1.3,1.3,1.2
CDF,2025-01-10,-2.5,-1.2,-3.4,-2.2,-0.1,-4.4,85.6,4.3,899.7,,1467.2,,1016.5,1.4,6.3,5.0,22.7,6.1,22.0,,1.0,1.0,1.0,32.0,,,,,0.0,0.0,0.3,0.0,225.0,22.5,14.5,1.0,1.3,1.3,1.4
CDF,2025-01-11,-3.9,-1.4,-7.5,-3.9,1.7,-9.9,82.4,3.8,903.3,,1495.4,,1020.4,2.9,9.4,10.4,33.8,9.0,32.4,,0.0,0.0,3.0,87.0,,,,,415.0,89.0,0.2,0.0,38.0,23.9,15.9,-0.2,1.3,1.3,1.5
CDF,2025-01-12,-5.3,-2.7,-7.9,-5.3,1.4,-9.3,78.9,3.2,912.0,,1567.5,,1030.1,4.4,11.6,15.8,41.8,11.4,41.0,,0.0,0.0,2.0,99.0,,,,,327.0,70.0,0.4,0.0,45.0,25.3,17.3,-0.2,1.1,1.1,1.4
CDF,2025-01-13,-5.0,-1.9,-8.1,-5.7,0.6,-10.2,64.1,2.6,912.4,,1571.9,,1030.6,4.8,13.2,17.3,47.5,12.8,46.1,,0.0,0.0,3.0,91.0,,,,,471.0,100.0,0.7,0.0,43.0,25.0,17.0,-0.4,1.0,1.0,1.4
CDF,2025-01-14,-2.3,4.1,-9.8,-4.1,6.8,-13.3,49.9,2.4,911.1,,1566.7,,1029.1,2.7,9.3,9.7,33.5,9.1,32.8,,0.0,0.0,3.0,92.0,,,,,475.0,100.0,0.8,0.0,47.0,22.3,14.3,-0.6,0.9,0.9,1.3
CDF,2025-01-15,-0.3,3.9,-6.9,-1.1,7.2,-10.7,65.7,4.0,909.6,,1557.0,,1027.4,3.0,11.0,10.8,39.6,10.8,38.9,,0.0,0.0,3.0,78.0,,,,,312.0,66.0,0.6,0.0,59.0,20.3,12.3,-0.3,0.8,0.8,1.3
CDF,2025-01-16,-1.7,3.0,-6.1,-1.5,8.3,-8.5,84.1,4.5,910.8,,1564.6,,1028.7,2.7,12.0,9.7,43.2,11.7,42.1,,0.0,0.0,1.0,85.0,,,,,399.0,84.0,0.4,0.0,59.0,21.7,13.7,-0.2,0.8,0.8,1.2
CDF,2025-01-17,-3.5,3.6,-8.0,-4.1,8.7,-10.6,81.5,3.8,911.7,,1568.6,,1029.7,0.7,4.2,2.5,15.1,4.0,14.4,,0.0,0.0,1.0,93.0,,,,,485.0,100.0,0.2,0.0,63.0,23.5,15.5,-0.2,0.7,0.7,1.2
CDF,2025-01-18,-1.8,9.3,-8.4,-3.2,12.3,-11.2,67.6,3.4,907.0,,1531.5,,1024.5,0.9,5.3,3.2,19.1,5.2,18.7,,0.0,0.0,1.0,95.0,,,,,491.0,100.0,0.4,0.0,45.0,21.8,13.8,-0.4,0.6,0.6,1.1
CDF,2025-01-19,1.0,8.9,-5.2,-0.2,10.4,-7.4,63.6,4.1,901.5,,1489.0,,1018.5,1.2,6.3,4.3,22.7,6.1,22.0,,0.0,0.0,1.0,92.0,,,,,474.0,97.0,0.5,0.0,233.0,19.0,11.0,-0.4,0.5,0.5,1.1
CDF,2025-01-20,1.5,8.9,-2.9,0.4,13.5,-5.8,67.8,4.5,900.2,,1478.2,,1017.0,0.8,4.6,2.9,16.6,4.5,16.2,,0.0,0.0,1.0,89.0,,,,,393.0,80.0,0.3,0.0,45.0,18.5,10.5,-0.3,0.5,0.5,1.1
CDF,2025-01-21,0.8,7.8,-4.1,-0.1,11.7,-6.9,72.5,4.6,898.1,,1459.0,,1014.8,0.8,4.2,2.9,15.1,4.1,14.8,,0.0,0.0,1.0,95.0,,,,,496.0,100.0,0.3,0.0,236.0,19.2,11.2,-0.3,0.5,0.5,1.0
CDF,2025-01-22,4.8,7.5,-0.3,3.2,6.4,-2.5,72.7,6.3,892.0,,1410.2,,1008.0,3.0,14.4,10.8,51.8,14.0,50.4,,9.2,0.4,1.0,22.0,,,,,12.0,2.0,0.8,0.0,226.0,15.2,7.2,0.3,0.5,0.5,1.0
