station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
CDM,2025-01-01,2.1,7.9,-0.5,,,,41.8,2.9,,,,,,1.3,8.6,4.7,31.0,8.4,30.2,,0.0,0.0,41.0,,,,,,,,,0.0,210.0,17.9,9.9,,,,
CDM,2025-01-02,2.3,4.5,-1.3,,,,56.9,3.9,,,,,,5.2,16.7,18.7,60.1,16.1,58.0,,12.4,7.8,40.0,,,,,,,,,0.0,197.0,17.7,9.7,,,,
CDM,2025-01-03,-6.5,-1.3,-11.3,,,,92.0,3.5,,,,,,2.2,6.9,7.9,24.8,6.6,23.8,,0.0,4.6,61.0,,,,,,,,,0.0,28.0,26.5,18.5,,,,
CDM,2025-01-04,-4.4,3.9,-12.1,,,,78.6,3.8,,,,,,2.1,9.6,7.6,34.6,9.1,32.8,,10.8,3.8,57.0,,,,,,,,,0.0,243.0,24.4,16.4,,,,
CDM,2025-01-05,5.1,8.2,2.6,,,,83.4,7.2,,,,,,1.7,7.8,6.1,28.1,7.5,27.0,,0.1,7.1,49.0,,,,,,,,,0.0,209.0,14.9,6.9,,,,
CDM,2025-01-06,3.5,6.1,-0.6,,,,68.6,5.2,,,,,,3.9,12.1,14.0,43.6,11.7,42.1,,19.9,19.3,42.0,,,,,,,,,0.0,185.0,16.5,8.5,,,,
CDM,2025-01-07,-1.3,1.1,-4.2,,,,84.5,4.7,,,,,,2.9,14.4,10.4,51.8,13.0,46.8,,3.2,0.6,50.0,,,,,,,,,0.0,201.0,21.3,13.3,,,,
CDM,2025-01-08,3.9,7.5,1.1,,,,85.1,6.9,,,,,,4.3,13.7,15.5,49.3,13.1,47.2,,10.9,11.7,42.0,,,,,,,,,0.0,205.0,16.1,8.1,,,,
CDM,2025-01-09,2.2,4.1,-2.3,,,,88.5,6.4,,,,,,4.7,18.1,16.9,65.2,17.6,63.4,,6.7,9.1,34.0,,,,,,,,,0.0,204.0,17.8,9.8,,,,
CDM,2025-01-10,-2.8,1.8,-4.3,,,,93.2,4.7,,,,,,2.3,11.1,8.3,40.0,10.8,38.9,,4.2,3.2,29.0,,,,,,,,,0.0,326.0,22.8,14.8,,,,
CDM,2025-01-11,-3.2,1.5,-8.2,,,,97.7,4.7,,,,,,3.4,8.3,12.2,29.9,7.8,28.1,,1.0,2.0,33.0,,,,,,,,,0.0,12.0,23.2,15.2,,,,
CDM,2025-01-12,-9.3,-5.7,-11.8,,,,86.2,2.6,,,,,,3.2,7.4,11.5,26.6,7.2,25.9,,0.0,0.0,34.0,,,,,,,,,0.0,21.0,29.3,21.3,,,,
CDM,2025-01-13,-8.8,-2.7,-13.5,,,,78.5,2.4,,,,,,2.5,6.9,9.0,24.8,6.5,23.4,,0.0,0.0,33.0,,,,,,,,,0.0,20.0,28.8,20.8,,,,
CDM,2025-01-14,-3.0,3.0,-6.7,,,,50.5,2.5,,,,,,2.1,4.9,7.6,17.6,4.6,16.6,,0.0,0.0,33.0,,,,,,,,,0.0,21.0,23.0,15.0,,,,
CDM,2025-01-15,-1.3,4.6,-6.9,,,,60.7,3.4,,,,,,3.2,7.7,11.5,27.7,7.1,25.6,,0.0,0.0,33.0,,,,,,,,,0.0,22.0,21.3,13.3,,,,
CDM,2025-01-16,-4.7,0.9,-9.0,,,,74.2,3.1,,,,,,2.2,5.9,7.9,21.2,5.6,20.2,,0.0,0.0,33.0,,,,,,,,,0.0,21.0,24.7,16.7,,,,
CDM,2025-01-17,-2.2,3.5,-5.0,,,,55.6,2.9,,,,,,1.6,4.2,5.8,15.1,3.9,14.0,,0.0,0.0,33.0,,,,,,,,,0.0,21.0,22.2,14.2,,,,
CDM,2025-01-18,0.2,6.9,-4.4,,,,46.8,2.9,,,,,,1.8,6.1,6.5,22.0,5.8,20.9,,0.0,0.0,33.0,,,,,,,,,0.0,23.0,19.8,11.8,,,,
CDM,2025-01-19,1.5,6.0,-1.6,,,,59.4,4.0,,,,,,2.1,8.0,7.6,28.8,7.8,28.1,,0.0,0.0,33.0,,,,,,,,,0.0,169.0,18.5,10.5,,,,
CDM,2025-01-20,0.0,5.0,-2.7,,,,64.5,3.9,,,,,,1.3,5.0,4.7,18.0,4.9,17.6,,0.0,0.0,32.0,,,,,,,,,0.0,14.0,20.0,12.0,,,,
CDM,2025-01-21,-0.7,5.1,-3.5,,,,68.6,3.9,,,,,,1.3,5.0,4.7,18.0,4.9,17.6,,0.0,0.0,32.0,,,,,,,,,0.0,18.0,20.7,12.7,,,,
CDM,2025-01-22,1.6,3.9,-2.6,,,,63.8,4.4,,,,,,2.8,10.7,10.1,38.5,9.9,35.6,,3.7,0.0,32.0,,,,,,,,,0.0,194.0,18.4,10.4,,,,
CDM,2025-01-23,0.7,4.2,-3.5,,,,93.0,6.0,,,,,,2.6,10.3,9.4,37.1,9.7,34.9,,7.0,10.7,30.0,,,,,,,,,0.0,209.0,19.3,11.3,,,,
CDM,2025-01-24,4.9,10.6,-3.3,,,,41.5,3.3,,,,,,1.7,10.8,6.1,38.9,10.4,37.4,,0.0,0.0,33.0,,,,,,,,,0.0,195.0,15.1,7.1,,,,
CDM,2025-01-25,5.1,8.5,1.0,,,,47.7,4.1,,,,,,1.7,8.0,6.1,28.8,7.6,27.4,,5.1,1.3,32.0,,,,,,,,,0.0,193.0,14.9,6.9,,,,
CDM,2025-01-26,0.2,3.9,-4.4,,,,82.8,5.1,,,,,,2.9,10.9,10.4,39.2,10.5,37.8,,1.8,3.9,38.0,,,,,,,,,0.0,202.0,19.8,11.8,,,,
CDM,2025-01-27,2.3,5.5,0.0,,,,94.7,6.8,,,,,,2.5,11.5,9.0,41.4,11.3,40.7,,53.0,42.0,33.0,,,,,,,,,0.0,200.0,17.7,9.7,,,,
CDM,2025-01-28,-0.4,0.8,-1.3,,,,93.7,5.5,,,,,,3.3,10.2,11.9,36.7,9.8,35.3,,9.7,17.1,47.0,,,,,,,,,0.0,202.0,20.4,12.4,,,,
CDM,2025-01-29,-1.1,1.3,-3.9,,,,93.5,5.3,,,,,,3.0,11.0,10.8,39.6,10.7,38.5,,0.1,5.4,53.0,,,,,,,,,0.0,203.0,21.1,13.1,,,,
CDM,2025-01-30,0.0,2.7,-2.7,,,,83.8,5.1,,,,,,2.0,8.0,7.2,28.8,7.6,27.4,,0.0,0.0,51.0,,,,,,,,,0.0,189.0,20.0,12.0,,,,
CDM,2025-01-31,-0.8,0.7,-3.2,,,,98.5,5.7,,,,,,1.6,4.8,5.8,17.3,4.5,16.2,,0.5,0.5,49.0,,,,,,,,,0.0,14.0,20.8,12.8,,,,
CDM,2025-02-01,-3.1,2.8,-6.5,,,,98.4,4.8,,,,,,1.6,5.1,5.8,18.4,4.9,17.6,,0.0,0.0,48.0,,,,,,,,,0.0,29.0,23.1,15.1,,,,
CDM,2025-02-02,-2.0,4.6,-4.5,,,,80.4,4.2,,,,,,1.5,3.9,5.4,14.0,3.7,13.3,,0.0,0.0,47.0,,,,,,,,,0.0,18.0,22.0,14.0,,,,
CDM,2025-02-03,-2.0,4.6,-5.2,,,,66.4,3.5,,,,,,1.7,8.8,6.1,31.7,8.8,31.7,,0.0,0.0,46.0,,,,,,,,,0.0,23.0,22.0,14.0,,,,
CDM,2025-02-04,0.2,7.8,-3.8,,,,47.3,2.9,,,,,,2.0,4.0,7.2,14.4,3.9,14.0,,0.0,0.0,46.0,,,,,,,,,0.0,28.0,19.8,11.8,,,,
CDM,2025-02-05,-0.3,6.1,-3.7,,,,44.7,2.6,,,,,,2.2,4.5,7.9,16.2,4.2,15.1,,0.0,0.0,45.0,,,,,,,,,0.0,25.0,20.3,12.3,,,,
CDM,2025-02-06,-3.1,1.1,-6.0,,,,69.8,3.4,,,,,,1.6,7.2,5.8,25.9,6.8,24.5,,0.0,0.0,45.0,,,,,,,,,0.0,0.0,23.1,15.1,,,,
CDM,2025-02-07,0.1,2.6,-2.9,,,,53.1,3.3,,,,,,4.3,9.9,15.5,35.6,9.5,34.2,,0.0,0.0,45.0,,,,,,,,,0.0,181.0,19.9,11.9,,,,
CDM,2025-02-08,0.3,4.4,-3.9,,,,57.9,3.6,,,,,,2.0,8.0,7.2,28.8,7.9,28.4,,0.0,0.0,44.0,,,,,,,,,0.0,201.0,19.7,11.7,,,,
CDM,2025-02-09,-1.1,4.1,-5.2,,,,80.0,4.5,,,,,,1.8,7.1,6.5,25.6,6.6,23.8,,0.0,0.0,44.0,,,,,,,,,0.0,45.0,21.1,13.1,,,,
CDM,2025-02-10,2.1,4.2,-1.4,,,,74.7,5.2,,,,,,2.5,8.7,9.0,31.3,8.3,29.9,,3.0,1.6,44.0,,,,,,,,,0.0,196.0,17.9,9.9,,,,
CDM,2025-02-11,1.9,4.0,0.6,,,,96.7,6.8,,,,,,1.9,6.9,6.8,24.8,6.4,23.0,,3.6,5.0,40.0,,,,,,,,,0.0,198.0,18.1,10.1,,,,
CDM,2025-02-12,1.6,3.9,-0.9,,,,91.9,6.3,,,,,,1.4,7.8,5.0,28.1,6.8,24.5,,3.5,2.6,38.0,,,,,,,,,0.0,196.0,18.4,10.4,,,,
CDM,2025-02-13,0.6,1.8,-0.4,,,,98.8,6.3,,,,,,2.5,12.4,9.0,44.6,12.1,43.6,,20.1,20.8,37.0,,,,,,,,,0.0,208.0,19.4,11.4,,,,
CDM,2025-02-14,-6.0,0.1,-11.6,,,,87.5,3.5,,,,,,2.8,9.4,10.1,33.8,9.2,33.1,,0.1,0.3,48.0,,,,,,,,,0.0,20.0,26.0,18.0,,,,
CDM,2025-02-15,-5.6,2.7,-12.1,,,,81.8,3.4,,,,,,1.7,5.6,6.1,20.2,5.4,19.4,,0.0,0.0,48.0,,,,,,,,,0.0,30.0,25.6,17.6,,,,
CDM,2025-02-16,-0.2,6.8,-4.2,,,,49.1,2.9,,,,,,1.6,5.8,5.8,20.9,5.6,20.2,,0.0,0.0,46.0,,,,,,,,,0.0,30.0,20.2,12.2,,,,
CDM,2025-02-17,-0.8,5.9,-4.3,,,,52.3,3.0,,,,,,1.8,5.0,6.5,18.0,4.9,17.6,,0.0,0.0,45.0,,,,,,,,,0.0,18.0,20.8,12.8,,,,
CDM,2025-02-18,0.5,6.7,-3.9,,,,54.4,3.4,,,,,,1.5,4.6,5.4,16.6,4.3,15.5,,0.0,0.0,45.0,,,,,,,,,0.0,27.0,19.5,11.5,,,,
CDM,2025-02-19,1.9,6.9,-1.5,,,,62.8,4.4,,,,,,1.5,7.4,5.4,26.6,7.0,25.2,,0.0,0.0,45.0,,,,,,,,,0.0,225.0,18.1,10.1,,,,
CDM,2025-02-20,3.5,8.6,0.9,,,,80.9,6.3,,,,,,1.4,3.8,5.0,13.7,3.5,12.6,,0.1,0.1,43.0,,,,,,,,,0.0,17.0,16.5,8.5,,,,
CDM,2025-02-21,4.9,10.1,0.3,,,,63.4,5.4,,,,,,2.0,7.8,7.2,28.1,7.7,27.7,,0.0,0.0,42.0,,,,,,,,,0.0,166.0,15.1,7.1,,,,
CDM,2025-02-22,4.6,8.3,1.8,,,,60.4,5.1,,,,,,2.8,9.3,10.1,33.5,8.6,31.0,,0.0,0.0,40.0,,,,,,,,,0.0,186.0,15.4,7.4,,,,
CDM,2025-02-23,2.6,4.9,0.1,,,,96.5,7.1,,,,,,1.4,4.3,5.0,15.5,4.1,14.8,,0.0,0.0,39.0,,,,,,,,,0.0,360.0,17.4,9.4,,,,
CDM,2025-02-24,3.0,6.6,-1.0,,,,74.5,5.5,,,,,,1.7,6.7,6.1,24.1,6.5,23.4,,0.0,0.0,37.0,,,,,,,,,0.0,204.0,17.0,9.0,,,,
CDM,2025-02-25,2.2,4.6,-1.2,,,,78.0,5.5,,,,,,3.6,14.7,13.0,52.9,14.4,51.8,,6.7,2.8,36.0,,,,,,,,,0.0,199.0,17.8,9.8,,,,
CDM,2025-02-26,-2.6,-0.8,-7.4,,,,98.7,5.0,,,,,,1.8,7.9,6.5,28.4,7.7,27.7,,2.6,6.5,48.0,,,,,,,,,0.0,216.0,22.6,14.6,,,,
CDM,2025-02-27,-2.0,2.8,-7.4,,,,89.4,4.8,,,,,,1.8,6.5,6.5,23.4,6.2,22.3,,0.3,0.3,47.0,,,,,,,,,0.0,233.0,22.0,14.0,,,,
CDM,2025-02-28,-2.9,1.8,-7.6,,,,84.9,4.1,,,,,,2.1,6.0,7.6,21.6,5.5,19.8,,0.0,0.0,42.0,,,,,,,,,0.0,20.0,22.9,14.9,,,,
CDM,2025-03-01,-3.7,2.2,-8.1,,,,85.8,4.0,,,,,,2.2,6.6,7.9,23.8,6.1,22.0,,0.0,0.0,40.0,,,,,,,,,0.0,15.0,23.7,15.7,,,,
CDM,2025-03-02,-2.2,2.9,-6.9,,,,73.9,3.8,,,,,,1.9,6.0,6.8,21.6,5.7,20.5,,0.0,0.0,40.0,,,,,,,,,0.0,315.0,22.2,14.2,,,,
CDM,2025-03-03,0.7,7.4,-4.1,,,,53.9,3.4,,,,,,1.5,4.9,5.4,17.6,4.7,16.9,,0.0,0.0,39.0,,,,,,,,,0.0,11.0,19.3,11.3,,,,
CDM,2025-03-04,1.9,8.3,-2.5,,,,50.7,3.4,,,,,,1.9,4.6,6.8,16.6,4.5,16.2,,0.0,0.0,38.0,,,,,,,,,0.0,21.0,18.1,10.1,,,,
CDM,2025-03-05,2.8,9.3,-1.5,,,,46.1,3.3,,,,,,1.9,6.4,6.8,23.0,6.1,22.0,,0.0,0.0,37.0,,,,,,,,,0.0,18.0,17.2,9.2,,,,
CDM,2025-03-06,3.2,8.9,-1.0,,,,49.7,3.8,,,,,,1.9,8.2,6.8,29.5,7.7,27.7,,0.0,0.0,36.0,,,,,,,,,0.0,195.0,16.8,8.8,,,,
CDM,2025-03-07,2.0,7.2,-2.5,,,,52.6,3.7,,,,,,1.7,7.3,6.1,26.3,7.2,25.9,,0.0,0.0,33.0,,,,,,,,,0.0,194.0,18.0,10.0,,,,
CDM,2025-03-08,3.7,9.5,-1.3,,,,51.8,4.1,,,,,,1.9,6.3,6.8,22.7,6.2,22.3,,0.0,0.0,32.0,,,,,,,,,0.0,203.0,16.3,8.3,,,,
CDM,2025-03-09,6.0,11.0,1.1,,,,44.6,4.1,,,,,,2.4,11.0,8.6,39.6,10.5,37.8,,2.6,0.0,29.0,,,,,,,,,0.0,202.0,14.0,6.0,,,,
CDM,2025-03-10,3.8,7.3,0.7,,,,81.6,6.5,,,,,,2.3,8.0,8.3,28.8,7.7,27.7,,1.5,3.9,26.0,,,,,,,,,0.0,196.0,16.2,8.2,,,,
CDM,2025-03-11,3.1,6.8,0.6,,,,85.0,6.4,,,,,,1.7,7.1,6.1,25.6,6.8,24.5,,0.6,0.2,24.0,,,,,,,,,0.0,202.0,16.9,8.9,,,,
CDM,2025-03-12,1.4,3.9,0.2,,,,97.0,6.6,,,,,,1.7,7.9,6.1,28.4,7.0,25.2,,7.7,5.0,21.0,,,,,,,,,0.0,207.0,18.6,10.6,,,,
CDM,2025-03-13,-0.5,2.0,-2.7,,,,93.4,5.5,,,,,,2.4,9.5,8.6,34.2,8.3,29.9,,2.4,5.7,26.0,,,,,,,,,0.0,205.0,20.5,12.5,,,,
CDM,2025-03-14,-1.4,1.8,-2.9,,,,95.7,5.3,,,,,,2.2,7.0,7.9,25.2,6.6,23.8,,1.1,1.1,25.0,,,,,,,,,0.0,17.0,21.4,13.4,,,,
CDM,2025-03-15,-0.8,2.1,-2.4,,,,96.4,5.6,,,,,,1.7,5.4,6.1,19.4,4.8,17.3,,1.9,0.6,25.0,,,,,,,,,0.0,18.0,20.8,12.8,,,,
CDM,2025-03-16,-1.9,-1.2,-3.0,,,,99.3,5.3,,,,,,2.0,4.8,7.2,17.3,4.6,16.6,,0.4,1.7,25.0,,,,,,,,,0.0,180.0,21.9,13.9,,,,
CDM,2025-03-17,-1.1,1.8,-3.8,,,,97.8,5.6,,,,,,2.0,5.8,7.2,20.9,5.6,20.2,,0.0,0.0,25.0,,,,,,,,,0.0,15.0,21.1,13.1,,,,
