station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
CEV,2025-01-01,2.2,6.6,-1.8,,,,73.1,5.2,979.7,1031.9,,,1030.0,1.4,4.6,5.0,16.6,4.4,15.8,0.0,0.0,0.0,,52.0,,,,10.0,227.0,100.0,0.4,0.0,14.0,17.8,9.8,-0.2,,,
CEV,2025-01-02,4.6,6.9,2.5,,,,76.7,6.5,970.3,1021.5,,,1020.2,1.2,5.7,4.3,20.5,5.5,19.8,0.0,0.4,0.2,,24.0,,,,22.0,0.0,0.0,0.5,0.0,360.0,15.4,7.4,0.1,,,
CEV,2025-01-03,3.8,9.7,-1.1,,,,53.0,4.2,966.0,1017.3,,,1015.8,1.7,10.9,6.1,39.2,10.4,37.4,200.0,0.0,0.2,,57.0,,,,11.0,229.0,99.0,0.8,0.0,15.0,16.2,8.2,-0.1,,,
CEV,2025-01-04,-0.7,2.8,-3.9,,,,65.2,3.8,970.4,1022.8,,,1020.4,1.1,3.8,4.0,13.7,3.4,12.2,0.0,0.0,0.0,,49.0,,,,19.0,231.0,100.0,0.4,0.0,8.0,20.7,12.7,-0.2,,,
CEV,2025-01-05,1.1,3.7,-1.8,,,,77.6,5.1,966.9,1018.7,,,1016.7,0.9,4.3,3.2,15.5,4.0,14.4,0.0,3.7,0.8,,24.0,,,,22.0,1.0,0.0,0.4,0.0,333.0,18.9,10.9,0.8,,,
CEV,2025-01-06,1.3,2.7,0.2,,,,96.6,6.5,962.1,1013.6,,,1011.7,1.0,4.7,3.6,16.9,4.6,16.6,0.0,27.9,28.9,,6.0,,,,5.0,0.0,0.0,0.4,0.0,360.0,18.7,10.7,28.9,,,
CEV,2025-01-07,1.4,4.6,-0.4,,,,93.8,6.3,959.7,1011.0,,,1009.2,1.3,5.0,4.7,18.0,4.6,16.6,0.0,0.0,1.9,,59.0,,,,12.0,238.0,100.0,0.2,0.0,351.0,18.6,10.6,1.9,,,
CEV,2025-01-08,4.0,8.5,0.3,,,,82.8,6.7,964.0,1015.0,,,1013.7,1.8,8.6,6.5,31.0,8.2,29.5,0.0,4.1,1.8,,46.0,,,,36.0,47.0,20.0,0.5,0.0,8.0,16.0,8.0,1.8,,,
CEV,2025-01-09,4.9,7.3,3.2,,,,93.5,8.1,960.5,1011.2,,,1010.0,1.2,8.0,4.3,28.8,7.9,28.4,0.0,0.4,2.7,,28.0,,,,26.0,4.0,2.0,0.4,0.0,360.0,15.1,7.1,2.7,,,
CEV,2025-01-10,5.8,8.7,1.9,,,,58.0,5.0,965.2,1016.0,,,1015.0,3.9,17.4,14.0,62.6,16.7,60.1,720.0,2.5,2.4,,30.0,,,,24.0,29.0,12.0,1.5,0.0,10.0,14.2,6.2,2.3,,,
CEV,2025-01-11,1.1,4.1,-1.8,,,,88.4,5.8,968.1,1020.0,,,1018.0,1.3,8.3,4.7,29.9,8.0,28.8,0.0,0.0,0.1,,43.0,,,,15.0,183.0,75.0,0.3,0.0,360.0,18.9,10.9,0.0,,,
CEV,2025-01-12,1.3,6.6,-2.0,,,,59.7,3.9,974.4,1026.6,,,1024.6,1.4,9.2,5.0,33.1,8.2,29.5,20.0,0.0,0.0,,65.0,,,,11.0,247.0,100.0,0.6,0.0,9.0,18.7,10.7,-0.2,,,
CEV,2025-01-13,-0.3,4.6,-3.2,,,,68.5,4.0,980.4,1033.2,,,1030.8,1.5,7.1,5.4,25.6,6.8,24.5,0.0,0.0,0.0,,69.0,,,,12.0,248.0,100.0,0.5,0.0,8.0,20.3,12.3,-0.2,,,
CEV,2025-01-14,-1.7,2.1,-3.8,,,,80.3,4.3,981.8,1035.0,,,1032.3,1.1,4.7,4.0,16.9,4.6,16.6,0.0,0.0,0.0,,65.0,,,,13.0,249.0,100.0,0.3,0.0,360.0,21.7,13.7,-0.1,,,
CEV,2025-01-15,0.6,10.6,-3.9,,,,73.7,4.6,974.7,1027.0,,,1024.8,1.3,6.0,4.7,21.6,5.5,19.8,0.0,0.0,0.0,,67.0,,,,13.0,251.0,100.0,0.7,0.0,333.0,19.4,11.4,-0.2,,,
CEV,2025-01-16,0.5,6.2,-2.6,,,,70.4,4.4,982.5,1035.3,,,1033.0,1.3,4.6,4.7,16.6,4.2,15.1,0.0,0.0,0.0,,67.0,,,,12.0,252.0,100.0,0.5,0.0,13.0,19.5,11.5,-0.2,,,
CEV,2025-01-17,-0.3,4.9,-3.2,,,,75.3,4.5,984.9,1037.9,,,1035.4,1.5,5.7,5.4,20.5,5.3,19.1,0.0,0.0,0.0,,66.0,,,,13.0,253.0,100.0,0.5,0.0,6.0,20.3,12.3,-0.1,,,
CEV,2025-01-18,1.1,8.4,-3.8,,,,76.1,5.0,979.0,1031.5,,,1029.3,1.2,7.0,4.3,25.2,6.3,22.7,0.0,0.0,0.0,,45.0,,,,29.0,82.0,32.0,0.6,0.0,360.0,18.9,10.9,-0.1,,,
CEV,2025-01-19,2.8,5.8,0.7,,,,80.1,6.0,975.0,1026.9,,,1025.2,1.3,6.1,4.7,22.0,5.9,21.2,0.0,6.9,6.2,,15.0,,,,14.0,0.0,0.0,0.6,0.0,360.0,17.2,9.2,6.2,,,
CEV,2025-01-20,3.5,5.6,1.7,,,,95.8,7.6,972.6,1024.2,,,1022.6,1.1,5.4,4.0,19.4,5.0,18.0,0.0,8.9,7.9,,14.0,,,,12.0,0.0,0.0,0.4,0.0,360.0,16.5,8.5,7.9,,,
CEV,2025-01-21,3.4,7.8,0.8,,,,91.5,7.1,968.5,1020.0,,,1018.4,1.2,4.2,4.3,15.1,4.0,14.4,0.0,0.0,1.7,,74.0,,,,20.0,247.0,96.0,0.4,0.0,7.0,16.6,8.6,1.7,,,
CEV,2025-01-22,2.9,5.0,-0.3,,,,93.1,7.0,966.7,1018.2,,,1016.6,0.8,3.4,2.9,12.2,3.3,11.9,0.0,2.1,1.4,,23.0,,,,20.0,0.0,0.0,0.3,0.0,360.0,17.1,9.1,1.4,,,
CEV,2025-01-23,4.0,7.4,0.8,,,,93.6,7.6,963.5,1014.6,,,1013.2,1.1,5.0,4.0,18.0,4.8,17.3,0.0,0.3,1.0,,65.0,,,,28.0,165.0,63.0,0.3,0.0,315.0,16.0,8.0,1.0,,,
CEV,2025-01-24,3.1,8.9,-0.6,,,,82.4,6.3,968.7,1020.2,,,1018.6,1.4,6.1,5.0,22.0,5.8,20.9,0.0,0.0,0.0,,57.0,,,,24.0,181.0,69.0,0.6,0.0,13.0,16.9,8.9,-0.1,,,
CEV,2025-01-25,4.6,7.2,1.8,,,,84.2,7.1,970.0,1021.3,,,1020.0,1.3,6.0,4.7,21.6,5.8,20.9,0.0,26.7,7.4,,24.0,,,,23.0,2.0,1.0,0.5,0.0,360.0,15.4,7.4,7.4,,,
CEV,2025-01-26,5.1,7.8,3.3,,,,89.9,7.9,964.9,1015.8,,,1014.6,1.5,7.9,5.4,28.4,7.5,27.0,0.0,2.9,20.1,,78.0,,,,37.0,178.0,67.0,0.4,0.0,14.0,14.9,6.9,20.1,,,
CEV,2025-01-27,4.1,5.6,2.3,,,,94.9,7.8,962.2,1013.2,,,1011.8,1.5,6.3,5.4,22.7,6.0,21.6,0.0,43.4,33.0,,10.0,,,,9.0,0.0,0.0,0.4,0.0,9.0,15.9,7.9,33.0,,,
CEV,2025-01-28,4.3,8.0,1.4,,,,91.0,7.6,952.8,1003.2,,,1002.0,1.9,8.2,6.8,29.5,7.6,27.4,0.0,5.2,17.7,,27.0,,,,26.0,0.0,0.0,0.5,0.0,355.0,15.7,7.7,17.7,,,
CEV,2025-01-29,3.3,8.4,-0.4,,,,85.6,6.6,964.0,1015.2,,,1013.7,1.3,5.3,4.7,19.1,4.9,17.6,0.0,2.2,0.0,,79.0,,,,23.0,272.0,100.0,0.5,0.0,360.0,16.7,8.7,-0.1,,,
CEV,2025-01-30,4.0,6.4,1.8,,,,93.8,7.6,970.6,1022.1,,,1020.6,1.1,6.2,4.0,22.3,5.9,21.2,0.0,4.9,7.1,,20.0,,,,18.0,0.0,0.0,0.4,0.0,360.0,16.0,8.0,7.1,,,
CEV,2025-01-31,3.9,8.1,-0.2,,,,87.1,7.0,974.4,1026.1,,,1024.5,1.1,4.7,4.0,16.9,4.3,15.5,0.0,4.4,3.4,,47.0,,,,45.0,0.0,0.0,0.5,0.0,11.0,16.1,8.1,3.4,,,
CEV,2025-02-01,4.6,6.1,3.4,,,,96.3,8.2,976.4,1028.0,,,1026.6,0.7,3.4,2.5,12.2,3.1,11.2,0.0,4.2,5.2,,20.0,,,,19.0,0.0,0.0,0.4,0.0,360.0,15.4,7.4,5.2,,,
CEV,2025-02-02,4.2,9.0,1.6,,,,87.3,7.2,971.6,1023.0,,,1021.6,1.3,4.8,4.7,17.3,4.4,15.8,0.0,0.0,0.0,,88.0,,,,14.0,288.0,99.0,0.6,0.0,7.0,15.8,7.8,-0.1,,,
CEV,2025-02-03,3.6,10.4,0.6,,,,74.3,5.7,973.2,1024.9,,,1023.3,1.5,4.0,5.4,14.4,3.8,13.7,0.0,0.0,0.0,,92.0,,,,14.0,292.0,100.0,0.8,0.0,14.0,16.4,8.4,-0.2,,,
CEV,2025-02-04,2.4,8.0,-0.5,,,,81.0,5.8,977.7,1029.8,,,1028.0,1.4,4.8,5.0,17.3,4.6,16.6,0.0,0.0,0.0,,93.0,,,,16.0,296.0,100.0,0.7,0.0,9.0,17.6,9.6,-0.1,,,
CEV,2025-02-05,3.2,9.9,-1.2,,,,76.5,5.7,981.7,1033.9,,,1032.1,1.4,3.5,5.0,12.6,3.3,11.9,0.0,0.0,0.0,,96.0,,,,16.0,301.0,100.0,0.8,0.0,7.0,16.8,8.8,-0.2,,,
CEV,2025-02-06,3.1,10.5,-1.0,,,,72.6,5.4,980.7,1032.8,,,1031.1,1.4,3.6,5.0,13.0,3.5,12.6,0.0,0.0,0.0,,98.0,,,,16.0,306.0,100.0,0.9,0.0,14.0,16.9,8.9,-0.2,,,
CEV,2025-02-07,2.6,5.8,-1.1,,,,77.8,5.7,979.3,1031.5,,,1029.7,1.4,7.9,5.0,28.4,7.6,27.4,0.0,0.0,0.0,,45.0,,,,40.0,20.0,7.0,0.6,0.0,259.0,17.4,9.4,-0.1,,,
CEV,2025-02-08,2.6,3.4,2.0,,,,90.1,6.6,978.6,1030.7,,,1028.9,0.9,4.6,3.2,16.6,4.4,15.8,0.0,7.1,5.1,,16.0,,,,15.0,0.0,0.0,0.5,0.0,225.0,17.4,9.4,5.1,,,
CEV,2025-02-09,3.9,5.4,2.3,,,,96.6,7.8,977.6,1029.4,,,1027.9,0.7,3.0,2.5,10.8,2.7,9.7,0.0,2.9,4.9,,20.0,,,,19.0,0.0,0.0,0.4,0.0,360.0,16.1,8.1,4.9,,,
CEV,2025-02-10,6.4,10.2,3.8,,,,90.7,8.7,975.0,1026.1,,,1025.1,0.9,3.7,3.2,13.3,3.6,13.0,0.0,0.0,0.0,,61.0,,,,49.0,42.0,13.0,0.6,0.0,360.0,13.6,5.6,0.0,,,
CEV,2025-02-11,6.5,7.9,4.9,,,,94.3,9.1,973.6,1024.7,,,1023.7,0.8,3.3,2.9,11.9,3.2,11.5,0.0,1.6,1.2,,25.0,,,,23.0,0.0,0.0,0.5,0.0,180.0,13.5,5.5,1.2,,,
CEV,2025-02-12,7.0,9.8,5.4,,,,90.4,9.0,971.0,1021.8,,,1021.0,0.8,4.4,2.9,15.8,4.2,15.1,0.0,0.1,0.5,,50.0,,,,46.0,5.0,2.0,0.6,0.0,225.0,13.0,5.0,0.5,,,
CEV,2025-02-13,7.2,10.1,4.3,,,,88.4,8.9,966.8,1017.4,,,1016.6,1.2,4.7,4.3,16.9,4.6,16.6,0.0,1.2,1.1,,47.0,,,,44.0,0.0,0.0,0.6,0.0,360.0,12.8,4.8,1.1,,,
CEV,2025-02-14,5.2,7.8,-0.2,,,,46.0,3.9,964.5,1015.3,,,1014.2,4.4,17.5,15.8,63.0,16.6,59.8,860.0,0.0,0.1,,100.0,,,,24.0,306.0,88.0,1.8,0.0,12.0,14.8,6.8,-0.4,,,
CEV,2025-02-15,1.8,8.7,-2.5,,,,64.7,4.3,967.3,1019.0,,,1017.2,1.3,3.9,4.7,14.0,3.7,13.3,0.0,0.0,0.0,,123.0,,,,17.0,349.0,99.0,1.0,0.0,360.0,18.2,10.2,-0.4,,,
CEV,2025-02-16,1.8,7.1,-2.1,,,,78.6,5.4,964.5,1016.0,,,1014.2,1.5,6.2,5.4,22.3,6.1,22.0,0.0,0.0,0.0,,118.0,,,,21.0,355.0,100.0,0.8,0.0,270.0,18.2,10.2,-0.3,,,
CEV,2025-02-17,3.1,6.3,0.2,,,,75.0,5.6,968.2,1019.7,,,1018.1,1.1,6.2,4.0,22.3,6.0,21.6,0.0,0.0,0.0,,68.0,,,,48.0,96.0,27.0,0.7,0.0,256.0,16.9,8.9,-0.1,,,
CEV,2025-02-18,3.3,6.6,0.9,,,,71.9,5.5,971.0,1022.6,,,1021.0,1.6,9.0,5.8,32.4,8.5,30.6,0.0,0.0,0.0,,118.0,,,,29.0,358.0,100.0,0.9,0.0,241.0,16.7,8.7,-0.4,,,
