station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
CHB,2025-01-01,-2.4,6.1,-8.8,,,,72.3,3.6,905.4,,1544.0,,1026.1,0.7,3.0,2.5,10.8,2.6,9.4,,0.0,0.0,21.0,,,,,,,,,0.0,297.0,22.4,14.4,,,,
CHB,2025-01-02,2.2,4.8,-0.8,,,,74.6,5.2,897.4,,1482.2,,1017.3,5.0,19.2,18.0,69.1,18.8,67.7,,15.9,15.8,20.0,,,,,,,,,0.0,225.0,17.8,9.8,,,,
CHB,2025-01-03,-4.5,-0.8,-9.0,,,,93.7,4.1,899.0,,1485.4,,1019.1,1.2,5.1,4.3,18.4,4.8,17.3,,0.0,0.1,27.0,,,,,,,,,0.0,315.0,24.5,16.5,,,,
CHB,2025-01-04,-3.5,4.5,-8.9,,,,95.1,4.7,895.9,,1459.7,,1015.7,1.4,9.0,5.0,32.4,8.7,31.3,,18.3,10.6,22.0,,,,,,,,,0.0,288.0,23.5,15.5,,,,
CHB,2025-01-05,7.8,11.4,4.3,,,,63.7,6.4,888.1,,1405.9,,1007.0,4.9,17.6,17.6,63.4,17.2,61.9,,0.3,8.0,13.0,,,,,,,,,0.0,224.0,12.2,4.2,,,,
CHB,2025-01-06,5.4,8.8,0.6,,,,71.3,6.2,882.9,,1355.1,,1001.2,5.3,21.3,19.1,76.7,20.8,74.9,,16.0,16.0,5.0,,,,,,,,,0.0,223.0,14.6,6.6,,,,
CHB,2025-01-07,1.5,3.5,0.4,,,,82.5,5.6,889.2,,1407.8,,1008.2,4.6,12.1,16.6,43.6,11.8,42.5,,4.4,0.7,0.0,,,,,,,,,0.0,225.0,18.5,10.5,,,,
CHB,2025-01-08,5.9,8.6,2.6,,,,87.7,8.1,888.4,,1406.0,,1007.3,5.3,15.2,19.1,54.7,14.4,51.8,,16.0,18.1,0.0,,,,,,,,,0.0,224.0,14.1,6.1,,,,
CHB,2025-01-09,3.2,6.5,-3.0,,,,90.1,7.1,889.3,,1410.5,,1008.3,4.6,15.4,16.6,55.4,14.9,53.6,,15.1,16.7,0.0,,,,,,,,,0.0,232.0,16.8,8.8,,,,
CHB,2025-01-10,-2.6,-1.8,-3.3,,,,92.3,4.7,896.6,,1467.6,,1016.4,2.3,5.5,8.3,19.8,5.4,19.4,,0.5,0.5,0.0,,,,,,,,,0.0,38.0,22.6,14.6,,,,
CHB,2025-01-11,-3.4,-1.9,-5.6,,,,86.3,4.1,899.7,,1492.6,,1019.8,3.5,12.6,12.6,45.4,12.3,44.3,,0.0,0.0,0.0,,,,,,,,,0.0,34.0,23.4,15.4,,,,
CHB,2025-01-12,-5.4,-3.6,-7.3,,,,80.6,3.3,907.7,,1558.1,,1028.7,7.9,18.3,28.4,65.9,17.6,63.4,,0.0,0.0,0.0,,,,,,,,,0.0,43.0,25.4,17.4,,,,
CHB,2025-01-13,-5.9,-2.9,-8.3,,,,78.5,3.1,908.9,,1567.8,,1030.0,8.6,20.8,31.0,74.9,19.9,71.6,,0.0,0.0,0.0,,,,,,,,,0.0,52.0,25.9,17.9,,,,
CHB,2025-01-14,-4.3,4.3,-10.1,,,,68.6,2.9,908.0,,1562.9,,1029.0,2.5,10.1,9.0,36.4,9.7,34.9,,0.0,0.0,0.0,,,,,,,,,0.0,35.0,24.3,16.3,,,,
CHB,2025-01-15,1.4,5.8,-2.3,,,,53.9,3.4,905.7,,1553.9,,1026.5,5.9,18.0,21.2,64.8,17.3,62.3,,0.0,0.0,0.0,,,,,,,,,0.0,34.0,18.6,10.6,,,,
CHB,2025-01-16,-2.5,-2.0,-3.6,,,,97.1,4.9,907.7,,1564.2,,1028.7,4.3,17.3,15.5,62.3,16.6,59.8,,0.0,0.0,0.0,,,,,,,,,0.0,49.0,22.5,14.5,,,,
CHB,2025-01-17,-4.0,0.0,-6.9,,,,95.6,4.4,908.9,,1570.9,,1030.0,1.8,7.3,6.5,26.3,7.1,25.6,,0.0,0.0,0.0,,,,,,,,,0.0,41.0,24.0,16.0,,,,
CHB,2025-01-18,-3.2,2.8,-5.6,,,,91.4,4.4,904.4,,1533.6,,1025.0,1.1,6.2,4.0,22.3,6.0,21.6,,0.0,0.0,0.0,,,,,,,,,0.0,315.0,23.2,15.2,,,,
CHB,2025-01-19,-0.7,9.1,-6.4,,,,73.1,4.1,899.0,,1491.2,,1019.0,1.0,5.3,3.6,19.1,5.3,19.1,,0.0,0.0,0.0,,,,,,,,,0.0,243.0,20.7,12.7,,,,
CHB,2025-01-20,-0.2,6.9,-5.1,,,,73.8,4.4,897.4,,1478.1,,1017.3,1.1,5.2,4.0,18.7,5.1,18.4,,0.0,0.0,0.0,,,,,,,,,0.0,360.0,20.2,12.2,,,,
CHB,2025-01-21,-0.7,5.7,-4.9,,,,81.6,4.7,895.3,,1459.1,,1015.0,1.3,5.8,4.7,20.9,5.6,20.2,,0.2,0.0,0.0,,,,,,,,,0.0,31.0,20.7,12.7,,,,
CHB,2025-01-22,3.7,8.1,-3.4,,,,83.2,6.7,889.4,,1411.9,,1008.4,3.2,13.9,11.5,50.0,13.1,47.2,,11.6,2.0,0.0,,,,,,,,,0.0,223.0,16.3,8.3,,,,
CHB,2025-01-23,2.3,6.7,-1.5,,,,89.8,6.5,892.3,,1436.2,,1011.6,3.0,14.9,10.8,53.6,14.5,52.2,,3.4,13.2,0.0,,,,,,,,,0.0,231.0,17.7,9.7,,,,
CHB,2025-01-24,6.0,12.3,-2.2,,,,47.1,3.9,894.5,,1462.0,,1014.1,3.3,14.5,11.9,52.2,13.4,48.2,,0.0,0.0,0.0,,,,,,,,,0.0,224.0,14.0,6.0,,,,
CHB,2025-01-25,9.1,13.2,0.3,,,,57.0,6.4,891.7,,1440.8,,1010.9,5.7,21.2,20.5,76.3,20.5,73.8,,3.8,3.8,0.0,,,,,,,,,0.0,220.0,10.9,2.9,,,,
CHB,2025-01-26,2.9,5.6,0.0,,,,76.1,5.7,891.4,,1429.3,,1010.6,5.4,18.8,19.4,67.7,18.8,67.7,,9.2,1.8,0.0,,,,,,,,,0.0,232.0,17.1,9.1,,,,
CHB,2025-01-27,4.7,8.1,0.8,,,,90.2,7.7,884.1,,1365.9,,1002.6,4.1,18.7,14.8,67.3,18.6,67.0,,27.4,25.1,0.0,,,,,,,,,0.0,233.0,15.3,7.3,,,,
CHB,2025-01-28,1.4,3.2,0.1,,,,90.9,6.1,883.5,,1356.4,,1001.9,4.0,13.5,14.4,48.6,13.2,47.5,,7.3,12.4,0.0,,,,,,,,,0.0,221.0,18.6,10.6,,,,
CHB,2025-01-29,1.8,4.3,0.0,,,,79.2,5.5,891.0,,1424.8,,1010.3,3.3,12.8,11.9,46.1,12.0,43.2,,0.0,4.6,0.0,,,,,,,,,0.0,216.0,18.2,10.2,,,,
CHB,2025-01-30,1.2,3.9,0.2,,,,90.5,6.0,896.1,,1468.9,,1015.8,1.0,5.6,3.6,20.2,5.3,19.1,,10.0,9.7,0.0,,,,,,,,,0.0,297.0,18.8,10.8,,,,
