station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
CHD,2025-01-01,-0.2,5.4,-3.8,-1.3,0.1,-3.7,66.8,4.0,907.7,,1551.4,,1026.6,0.6,2.4,2.2,8.6,2.3,8.3,,0.0,0.0,27.0,78.0,231.0,,,14.0,392.0,100.0,0.1,0.0,360.0,20.2,12.2,-0.4,,,
CHD,2025-01-02,4.3,8.5,-2.2,-0.4,0.4,-1.4,57.4,4.5,899.3,,1485.3,,1017.3,2.2,14.6,7.9,52.6,14.0,50.4,,18.7,15.9,24.0,56.0,293.0,,,41.0,125.0,32.0,0.8,0.0,275.0,15.7,7.7,15.6,,,
CHD,2025-01-03,-3.6,-0.2,-10.3,0.0,0.2,-0.8,91.4,4.4,900.9,,1486.2,,1019.1,0.5,2.9,1.8,10.4,2.9,10.4,,0.0,2.8,30.0,75.0,241.0,,,24.0,336.0,86.0,0.0,0.0,360.0,23.6,15.6,2.7,,,
CHD,2025-01-04,-5.6,3.7,-12.4,-1.7,0.0,-3.5,88.4,3.8,898.3,,1460.1,,1016.3,0.5,3.0,1.8,10.8,2.9,10.4,,6.5,2.3,26.0,55.0,251.0,,,40.0,122.0,31.0,0.2,0.0,360.0,25.6,17.6,2.2,,,
CHD,2025-01-05,3.8,6.5,1.0,0.1,0.9,0.0,90.0,7.2,890.5,,1405.2,,1007.6,0.8,4.1,2.9,14.8,4.0,14.4,,0.0,4.2,21.0,50.0,304.0,,,38.0,66.0,17.0,0.2,0.0,360.0,16.2,8.2,4.2,,,
CHD,2025-01-06,4.5,9.0,0.8,0.5,1.6,0.0,74.5,6.1,885.1,,1357.2,,1001.6,1.4,9.4,5.0,33.8,8.7,31.3,,17.9,17.4,16.0,33.0,315.0,,,31.0,0.0,0.0,0.6,0.0,360.0,15.5,7.5,17.3,,,
CHD,2025-01-07,1.8,5.3,-0.7,0.6,7.1,-2.2,74.3,5.1,891.5,,1412.2,,1008.8,1.5,9.3,5.4,33.5,8.9,32.0,,1.0,0.5,13.0,61.0,288.0,,,39.0,118.0,30.0,0.4,0.0,297.0,18.2,10.2,0.4,,,
CHD,2025-01-08,6.0,10.2,2.5,3.2,6.9,-0.2,77.7,7.2,890.8,,1411.1,,1007.9,2.0,13.6,7.2,49.0,12.9,46.4,,6.6,6.0,11.0,25.0,325.0,,,23.0,4.0,1.0,0.8,0.0,355.0,14.0,6.0,5.9,,,
CHD,2025-01-09,4.2,7.6,-1.0,2.4,4.4,-1.3,83.7,6.9,891.3,,1413.5,,1008.5,2.5,14.7,9.0,52.9,14.2,51.1,,12.0,13.4,6.0,18.0,317.0,,,17.0,0.0,0.0,0.5,0.0,304.0,15.8,7.8,13.4,,,
CHD,2025-01-10,-1.8,-1.0,-2.5,-1.8,-0.7,-2.8,92.4,4.9,898.5,,1468.4,,1016.5,0.5,6.3,1.8,22.7,6.0,21.6,,3.2,2.2,3.0,22.0,297.0,,,20.0,0.0,0.0,0.3,0.0,162.0,21.8,13.8,2.2,,,
CHD,2025-01-11,-2.5,-0.9,-6.5,-2.5,0.1,-9.4,95.0,4.9,901.1,,1489.8,,1019.3,0.6,3.2,2.2,11.5,3.2,11.5,,0.9,2.1,6.0,33.0,293.0,,,30.0,0.0,0.0,0.2,0.0,162.0,22.5,14.5,2.1,,,
CHD,2025-01-12,-5.3,-2.0,-8.8,-6.5,-0.3,-12.0,73.1,3.0,909.3,,1554.7,,1028.3,2.4,10.2,8.6,36.7,9.7,34.9,,0.0,0.0,7.0,87.0,208.0,,,15.0,404.0,100.0,0.3,0.0,82.0,25.3,17.3,-0.3,,,
CHD,2025-01-13,-7.0,-2.8,-9.8,-8.2,0.9,-12.7,78.0,2.8,911.0,,1566.4,,1030.3,0.9,5.2,3.2,18.7,4.8,17.3,,0.0,0.0,6.0,89.0,195.0,,,15.0,405.0,100.0,0.1,0.0,307.0,27.0,19.0,-0.2,,,
CHD,2025-01-14,-5.9,-0.8,-10.3,-7.1,3.3,-12.5,83.4,3.3,909.9,,1559.0,,1029.1,0.6,3.2,2.2,11.5,3.1,11.2,,0.0,0.0,7.0,89.0,209.0,,,14.0,408.0,100.0,0.1,0.0,333.0,25.9,17.9,-0.2,,,
CHD,2025-01-15,-2.3,3.2,-6.1,-3.6,7.2,-9.1,72.4,3.7,907.5,,1545.4,,1026.4,0.7,2.8,2.5,10.1,2.7,9.7,,0.0,0.0,7.0,85.0,236.0,,,32.0,321.0,79.0,0.2,0.0,360.0,22.3,14.3,-0.2,,,
CHD,2025-01-16,-3.4,1.0,-6.7,-4.2,5.3,-8.4,83.6,4.0,909.7,,1562.2,,1028.8,0.9,3.1,3.2,11.2,3.0,10.8,,0.0,0.0,6.0,87.0,218.0,,,16.0,416.0,100.0,0.2,0.0,360.0,23.4,15.4,-0.2,,,
CHD,2025-01-17,-3.9,0.7,-7.8,-4.7,5.1,-9.4,79.7,3.7,911.0,,1572.5,,1030.3,0.6,3.1,2.2,11.2,3.0,10.8,,0.0,0.0,6.0,91.0,217.0,,,14.0,417.0,100.0,0.1,0.0,315.0,23.9,15.9,-0.2,,,
CHD,2025-01-18,-3.0,1.6,-8.6,-3.6,5.8,-9.8,74.5,3.6,906.4,,1534.2,,1025.1,0.9,6.4,3.2,23.0,6.3,22.7,,0.0,0.0,6.0,92.0,222.0,,,14.0,419.0,100.0,0.2,0.0,360.0,23.0,15.0,-0.3,,,
CHD,2025-01-19,0.6,6.2,-3.9,-0.1,11.4,-6.0,69.8,4.4,901.0,,1494.5,,1019.2,0.8,3.9,2.9,14.0,3.8,13.7,,0.0,0.0,6.0,92.0,249.0,,,21.0,409.0,98.0,0.3,0.0,360.0,19.4,11.4,-0.3,,,
CHD,2025-01-20,0.6,5.9,-2.6,-0.5,10.6,-5.3,72.3,4.6,899.4,,1480.4,,1017.5,0.7,3.3,2.5,11.9,3.2,11.5,,0.0,0.0,5.0,77.0,248.0,,,27.0,313.0,75.0,0.3,0.0,360.0,19.4,11.4,-0.2,,,
CHD,2025-01-21,-0.2,5.7,-3.3,-0.8,10.2,-5.7,73.7,4.4,897.5,,1462.2,,1015.4,0.8,3.7,2.9,13.3,3.6,13.0,,0.0,0.0,5.0,94.0,238.0,,,13.0,421.0,100.0,0.3,0.0,326.0,20.2,12.2,-0.3,,,
CHD,2025-01-22,2.5,6.3,-3.1,1.5,6.9,-4.6,70.8,5.2,891.9,,1416.5,,1009.2,0.8,3.5,2.9,12.6,3.4,12.2,,2.5,0.0,4.0,34.0,305.0,,,31.0,12.0,3.0,0.5,0.0,360.0,17.5,9.5,-0.1,,,
CHD,2025-01-23,2.9,6.7,-1.9,1.8,9.3,-4.5,85.8,6.4,894.2,,1437.6,,1011.7,1.3,7.3,4.7,26.3,7.1,25.6,,6.7,9.2,2.0,48.0,283.0,,,31.0,99.0,24.0,0.4,0.0,326.0,17.1,9.1,9.1,,,
CHD,2025-01-24,4.3,14.8,-2.0,3.3,17.4,-4.6,62.2,4.7,897.2,,1466.5,,1015.0,0.9,8.2,3.2,29.5,7.9,28.4,,0.0,0.0,1.0,92.0,274.0,,,32.0,316.0,75.0,0.6,0.0,342.0,15.7,7.7,-0.3,,,
CHD,2025-01-25,6.1,11.3,3.0,5.2,15.1,0.1,58.3,5.4,893.7,,1438.4,,1011.2,1.1,12.1,4.0,43.6,11.5,41.4,,5.1,1.6,0.0,87.0,286.0,,,41.0,268.0,64.0,0.7,0.0,342.0,13.9,5.9,1.3,,,
CHD,2025-01-26,2.5,6.6,-1.5,2.5,9.8,-3.2,82.0,5.9,894.2,,1436.9,,1011.7,1.4,10.0,5.0,36.0,9.7,34.9,,1.7,3.5,0.0,90.0,283.0,,,25.0,278.0,66.0,0.4,0.0,360.0,17.5,9.5,3.4,,,
CHD,2025-01-27,4.2,8.4,0.5,3.6,12.6,0.0,92.8,7.7,887.0,,1373.9,,1003.7,1.2,6.4,4.3,23.0,6.2,22.3,,54.1,43.4,0.0,29.0,328.0,,,18.0,50.0,12.0,0.5,0.0,360.0,15.8,7.8,43.4,,,
CHD,2025-01-28,2.0,5.3,-0.1,1.5,7.1,0.0,85.7,6.0,886.0,,1362.3,,1002.6,1.4,12.9,5.0,46.4,12.7,45.7,,5.2,14.3,0.0,71.0,304.0,,,41.0,120.0,28.0,0.5,0.0,329.0,18.0,10.0,14.2,,,
CHD,2025-01-29,1.6,5.4,-1.4,1.4,10.3,-3.4,87.6,6.0,893.5,,1429.7,,1011.0,1.2,8.7,4.3,31.3,8.5,30.6,,0.9,4.2,0.0,105.0,266.0,,,29.0,431.0,98.0,0.4,0.0,90.0,18.4,10.4,4.1,,,
CHD,2025-01-30,1.3,5.9,-1.5,0.9,9.4,-3.1,86.1,5.8,898.1,,1470.1,,1016.0,0.7,3.3,2.5,11.9,3.2,11.5,,0.0,0.0,1.0,56.0,287.0,,,49.0,30.0,7.0,0.4,0.0,360.0,18.7,10.7,0.0,,,
CHD,2025-01-31,1.1,3.1,-0.4,1.1,3.9,-0.8,94.8,6.3,905.0,,1530.5,,1023.6,0.7,3.2,2.5,11.5,3.1,11.2,,1.1,1.1,0.0,30.0,313.0,,,28.0,0.0,0.0,0.4,0.0,180.0,18.9,10.9,1.1,,,
