station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
CHM,2025-01-01,5.3,7.7,1.4,1.8,7.1,-5.5,33.1,2.9,894.3,,1550.6,,1024.9,3.9,14.7,14.0,52.9,14.1,50.8,,0.0,0.0,,74.0,,,,17.0,441.0,99.0,1.6,0.0,242.0,14.7,6.7,-0.9,,,
CHM,2025-01-02,1.8,5.7,-2.8,0.6,3.0,-1.7,74.2,5.0,886.2,,1472.0,,1015.8,5.7,21.7,20.5,78.1,21.1,76.0,,14.2,14.2,,22.0,,,,20.0,29.0,7.0,1.0,0.0,240.0,18.2,10.2,14.1,,,
CHM,2025-01-03,-5.4,-2.6,-7.6,-1.0,0.3,-5.3,88.3,3.6,888.5,,1483.0,,1018.3,1.7,7.0,6.1,25.2,6.5,23.4,,0.0,0.0,,81.0,,,,20.0,415.0,93.0,0.1,0.0,342.0,25.4,17.4,-0.2,,,
CHM,2025-01-04,-5.1,2.0,-8.3,-3.3,-0.1,-6.4,95.3,4.1,885.3,,1455.7,,1014.8,2.6,15.5,9.4,55.8,14.6,52.6,,20.6,12.1,,47.0,,,,47.0,8.0,2.0,0.4,0.0,253.0,25.1,17.1,12.1,,,
CHM,2025-01-05,6.5,9.5,1.9,3.3,6.9,-0.1,71.3,6.7,877.6,,1398.5,,1006.2,4.9,17.7,17.6,63.7,16.6,59.8,,0.6,9.1,,49.0,,,,35.0,96.0,21.0,1.0,0.0,243.0,13.5,5.5,9.0,,,
CHM,2025-01-06,4.2,7.2,0.4,2.7,5.3,-0.5,78.0,6.4,872.5,,1349.0,,1000.5,5.8,18.5,20.9,66.6,18.1,65.2,,4.6,4.6,,17.0,,,,18.0,3.0,1.0,0.9,0.0,237.0,15.8,7.8,4.5,,,
CHM,2025-01-07,0.7,2.7,-1.0,-1.1,1.0,-4.0,78.7,5.0,878.2,,1398.2,,1006.8,5.3,19.3,19.1,69.5,18.0,64.8,,4.9,1.1,,34.0,,,,31.0,32.0,7.0,0.8,0.0,243.0,19.3,11.3,1.0,,,
CHM,2025-01-08,5.2,8.5,2.0,4.2,7.2,0.9,88.4,7.8,877.5,,1396.3,,1006.1,8.1,25.0,29.2,90.0,22.8,82.1,,11.1,14.4,,10.0,,,,11.0,0.0,0.0,0.8,0.0,234.0,14.8,6.8,14.4,,,
CHM,2025-01-09,2.2,5.3,-4.1,1.8,4.8,-4.7,93.9,6.9,878.1,,1398.4,,1006.7,6.1,22.8,22.0,82.1,21.9,78.8,,10.6,11.1,,9.0,,,,10.0,0.0,0.0,0.1,0.0,236.0,17.8,9.8,11.1,,,
CHM,2025-01-10,-3.7,-2.7,-4.4,-3.7,-0.3,-5.3,88.3,4.1,886.3,,1466.2,,1015.9,2.2,10.2,7.9,36.7,9.6,34.6,,0.7,0.7,,26.0,,,,26.0,0.0,0.0,0.3,0.0,90.0,23.7,15.7,0.7,,,
CHM,2025-01-11,-4.5,-2.3,-7.1,-5.7,-0.8,-12.5,79.2,3.5,889.6,,1494.2,,1019.6,3.3,9.9,11.9,35.6,9.6,34.6,,0.0,0.0,,80.0,,,,16.0,401.0,85.0,0.3,0.0,81.0,24.5,16.5,-0.2,,,
CHM,2025-01-12,-6.2,-4.5,-8.1,-7.6,-1.6,-11.2,76.8,3.0,898.1,,1565.2,,1029.0,4.8,13.9,17.3,50.0,13.0,46.8,,0.0,0.0,,56.0,,,,30.0,246.0,52.0,0.4,0.0,79.0,26.2,18.2,-0.2,,,
CHM,2025-01-13,-7.1,-4.5,-8.4,-7.9,-3.1,-10.4,81.3,2.9,898.9,,1571.0,,1030.0,7.2,18.4,25.9,66.2,18.0,64.8,,0.0,0.0,,77.0,,,,14.0,434.0,92.0,0.5,0.0,89.0,27.1,19.1,-0.2,,,
CHM,2025-01-14,-1.5,3.3,-8.9,-3.3,3.3,-11.2,44.6,2.2,897.8,,1570.4,,1028.7,4.7,11.9,16.9,42.8,11.4,41.0,,0.0,0.0,,90.0,,,,12.0,464.0,98.0,1.3,0.0,76.0,21.5,13.5,-0.6,,,
CHM,2025-01-15,1.2,3.7,-3.2,0.1,6.5,-3.7,54.5,3.4,896.0,,1559.4,,1026.8,4.2,11.6,15.1,41.8,11.3,40.7,,0.0,0.0,,75.0,,,,23.0,346.0,73.0,1.1,0.0,80.0,18.8,10.8,-0.4,,,
CHM,2025-01-16,-3.4,-1.8,-4.3,-3.1,0.2,-4.0,97.9,4.6,897.5,,1564.9,,1028.4,4.7,15.9,16.9,57.2,15.2,54.7,,0.0,0.0,,27.0,,,,26.0,19.0,4.0,0.3,0.0,94.0,23.4,15.4,0.0,,,
CHM,2025-01-17,-4.5,-3.3,-5.9,-3.7,-0.6,-7.2,98.9,4.3,898.4,,1571.3,,1029.5,1.5,5.7,5.4,20.5,5.4,19.4,,0.0,0.0,,42.0,,,,46.0,0.0,0.0,0.2,0.0,117.0,24.5,16.5,0.0,,,
CHM,2025-01-18,-0.7,5.6,-7.8,-2.3,8.7,-10.6,65.8,3.5,893.9,,1537.7,,1024.4,1.6,6.0,5.8,21.6,5.7,20.5,,0.0,0.0,,92.0,,,,15.0,436.0,90.0,0.5,0.0,83.0,20.7,12.7,-0.4,,,
CHM,2025-01-19,3.6,7.0,-0.9,1.1,9.9,-4.8,40.4,3.2,888.5,,1495.1,,1018.4,1.8,6.2,6.5,22.3,5.8,20.9,,0.0,0.0,,88.0,,,,18.0,441.0,91.0,0.8,0.0,261.0,16.4,8.4,-0.6,,,
CHM,2025-01-20,4.1,7.2,1.9,1.5,12.7,-5.7,47.8,3.9,887.2,,1483.7,,1016.9,1.6,6.1,5.8,22.0,5.8,20.9,,0.0,0.0,,89.0,,,,29.0,383.0,78.0,0.7,0.0,146.0,15.9,7.9,-0.5,,,
CHM,2025-01-21,2.5,5.3,-0.2,-0.6,9.8,-6.1,58.4,4.3,885.1,,1463.4,,1014.6,1.2,3.7,4.3,13.3,3.6,13.0,,0.2,0.0,,95.0,,,,14.0,496.0,100.0,0.4,0.0,180.0,17.5,9.5,-0.5,,,
CHM,2025-01-22,2.2,4.3,0.1,1.0,3.3,-4.4,80.7,5.8,879.6,,1412.4,,1008.4,2.7,11.3,9.7,40.7,10.7,38.5,,8.0,2.0,,26.0,,,,26.0,0.0,0.0,0.6,0.0,250.0,17.8,9.8,2.0,,,
CHM,2025-01-23,1.6,4.9,-0.7,1.2,5.8,-2.5,87.8,6.1,881.4,,1427.9,,1010.4,3.6,18.9,13.0,68.0,18.3,65.9,,0.0,6.2,,61.0,,,,43.0,89.0,18.0,0.5,0.0,255.0,18.4,10.4,6.1,,,
CHM,2025-01-24,6.6,10.6,0.3,5.3,11.8,-1.9,33.3,3.1,884.1,,1459.2,,1013.5,4.1,16.2,14.8,58.3,14.9,53.6,,0.0,0.0,,76.0,,,,36.0,272.0,54.0,2.1,0.0,245.0,13.4,5.4,-0.5,,,
CHM,2025-01-25,7.7,10.2,0.5,6.9,12.9,0.0,58.2,6.0,881.5,,1436.2,,1010.6,4.1,15.2,14.8,54.7,13.8,49.7,,1.1,0.7,,58.0,,,,41.0,110.0,22.0,1.3,0.0,243.0,12.3,4.3,0.5,,,
CHM,2025-01-26,2.0,4.2,-0.1,1.8,5.8,-1.4,77.4,5.5,881.0,,1425.3,,1010.0,5.2,18.5,18.7,66.6,17.5,63.0,,10.2,1.5,,90.0,,,,25.0,355.0,70.0,0.8,0.0,235.0,18.0,10.0,1.3,,,
CHM,2025-01-27,3.5,5.9,1.8,3.1,5.3,1.4,96.0,7.5,874.2,,1364.7,,1002.4,4.3,16.1,15.5,58.0,15.2,54.7,,25.4,27.4,,9.0,,,,10.0,0.0,0.0,0.5,0.0,231.0,16.5,8.5,27.4,,,
CHM,2025-01-28,0.6,2.0,-0.3,0.1,1.8,-0.5,94.0,6.0,873.0,,1350.6,,1001.0,5.1,20.0,18.4,72.0,19.2,69.1,,8.8,12.1,,28.0,,,,29.0,0.0,0.0,0.4,0.0,228.0,19.4,11.4,12.1,,,
CHM,2025-01-29,1.1,3.1,0.1,0.3,5.1,-3.5,83.6,5.5,880.6,,1420.8,,1009.6,3.8,15.6,13.7,56.2,14.4,51.8,,0.2,4.0,,94.0,,,,35.0,401.0,79.0,0.6,0.0,228.0,18.9,10.9,3.8,,,
CHM,2025-01-30,1.5,2.8,0.3,0.7,2.5,-1.1,86.8,5.9,885.9,,1468.7,,1015.4,1.5,5.8,5.4,20.9,5.5,19.8,,3.5,3.3,,24.0,,,,25.0,0.0,0.0,0.5,0.0,249.0,18.5,10.5,3.3,,,
CHM,2025-01-31,-0.4,0.9,-1.7,-0.4,2.0,-1.8,97.0,5.7,893.1,,1531.0,,1023.5,2.3,11.9,8.3,42.8,11.4,41.0,,0.4,0.3,,26.0,,,,26.0,0.0,0.0,0.3,0.0,67.0,20.4,12.4,0.3,,,
CHM,2025-02-01,-2.8,-1.8,-4.0,-2.4,-1.0,-3.6,98.9,4.9,892.0,,1517.7,,1022.3,3.5,11.4,12.6,41.0,10.7,38.5,,0.0,0.3,,35.0,,,,37.0,0.0,0.0,0.2,0.0,93.0,22.8,14.8,0.3,,,
CHM,2025-02-02,-0.6,5.8,-5.1,-2.1,7.9,-6.7,79.0,4.4,889.6,,1499.8,,1019.6,1.1,4.6,4.0,16.6,4.1,14.8,,0.0,0.0,,114.0,,,,29.0,424.0,81.0,0.5,0.0,360.0,20.6,12.6,-0.2,,,
CHM,2025-02-03,2.4,5.7,-0.4,-1.5,7.7,-8.3,50.2,3.6,892.7,,1531.3,,1023.0,2.1,8.8,7.6,31.7,8.3,29.9,,0.0,0.0,,123.0,,,,16.0,535.0,100.0,1.0,0.0,77.0,17.6,9.6,-0.6,,,
