station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
CHZ,2025-01-01,-0.7,1.9,-2.8,,,,99.4,5.8,974.0,1029.2,,,1026.7,1.4,4.0,5.0,14.4,3.8,13.7,,0.0,0.0,0.0,42.0,,,,,68.0,15.0,0.1,0.0,112.0,20.7,12.7,0.0,,,
CHZ,2025-01-02,2.7,9.0,-1.1,,,,91.0,6.7,964.6,1018.7,,,1016.9,2.6,15.5,9.4,55.8,15.1,54.4,,16.0,15.8,0.0,33.0,,,,,8.0,2.0,0.6,0.0,270.0,17.3,9.3,15.8,,,
CHZ,2025-01-03,-0.1,1.5,-2.6,,,,95.0,5.8,969.7,1024.6,,,1022.2,1.1,3.4,4.0,12.2,3.3,11.9,,0.0,0.2,0.0,48.0,,,,,115.0,26.0,0.1,0.0,342.0,20.1,12.1,0.2,,,
CHZ,2025-01-04,-1.9,-0.3,-4.2,,,,93.2,4.9,966.8,1021.9,,,1019.2,1.3,3.7,4.7,13.3,3.4,12.2,,12.2,4.8,0.0,48.0,,,,,0.0,0.0,0.1,0.0,324.0,21.9,13.9,4.8,,,
CHZ,2025-01-05,2.9,6.0,-0.4,,,,99.3,7.5,955.1,1008.6,,,1007.0,1.5,4.1,5.4,14.8,4.0,14.4,,0.9,8.3,0.0,48.0,,,,,23.0,5.0,0.1,0.0,114.0,17.1,9.1,8.3,,,
CHZ,2025-01-06,5.1,9.5,1.2,,,,93.3,8.2,949.7,1002.4,,,1001.4,1.8,13.0,6.5,46.8,12.8,46.1,,5.5,5.5,0.0,45.0,,,,,70.0,16.0,0.3,0.0,270.0,14.9,6.9,5.5,,,
CHZ,2025-01-07,4.9,8.1,0.9,,,,77.6,6.7,956.6,1009.6,,,1008.5,2.5,15.4,9.0,55.4,15.2,54.7,,2.1,0.0,0.0,50.0,,,,,134.0,30.0,0.5,0.0,252.0,15.1,7.1,-0.1,,,
CHZ,2025-01-08,5.2,8.6,1.5,,,,96.0,8.6,954.8,1007.7,,,1006.7,1.3,4.4,4.7,15.8,4.2,15.1,,4.0,4.6,0.0,26.0,,,,,17.0,4.0,0.3,0.0,113.0,14.8,6.8,4.6,,,
CHZ,2025-01-09,6.9,12.0,1.5,,,,86.7,8.7,955.5,1008.2,,,1007.4,2.5,18.8,9.0,67.7,17.8,64.1,,2.2,3.7,0.0,48.0,,,,,88.0,20.0,0.5,0.0,275.0,13.1,5.1,3.7,,,
CHZ,2025-01-10,1.6,3.0,-0.3,,,,81.4,5.6,967.2,1021.6,,,1019.7,1.0,3.7,3.6,13.3,3.6,13.0,,0.0,0.0,0.0,28.0,,,,,0.0,0.0,0.4,0.0,333.0,18.4,10.4,0.0,,,
CHZ,2025-01-11,-0.4,2.7,-3.5,,,,82.4,4.9,971.4,1026.5,,,1024.0,2.1,6.0,7.6,21.6,5.7,20.5,,0.0,0.0,0.0,70.0,,,,,340.0,76.0,0.3,0.0,329.0,20.4,12.4,-0.1,,,
CHZ,2025-01-12,-1.8,1.9,-5.3,,,,78.2,4.1,981.5,1037.4,,,1034.5,2.1,6.8,7.6,24.5,6.5,23.4,,0.0,0.0,0.0,83.0,,,,,347.0,77.0,0.3,0.0,356.0,21.8,13.8,-0.2,,,
CHZ,2025-01-13,-2.6,0.1,-4.6,,,,78.1,3.9,983.2,1039.4,,,1036.3,2.3,8.5,8.3,30.6,8.3,29.9,,0.0,0.0,0.0,94.0,,,,,446.0,99.0,0.3,0.0,9.0,22.6,14.6,-0.2,,,
CHZ,2025-01-14,-3.6,-1.8,-5.7,,,,89.8,4.2,980.8,1037.1,,,1033.8,1.3,3.7,4.7,13.3,3.4,12.2,,0.0,0.0,0.0,34.0,,,,,15.0,3.0,0.2,0.0,315.0,23.6,15.6,0.0,,,
CHZ,2025-01-15,-0.6,2.1,-4.4,,,,94.7,5.5,978.1,1033.6,,,1031.0,1.9,5.8,6.8,20.9,5.7,20.5,,0.0,0.0,0.0,62.0,,,,,198.0,44.0,0.1,0.0,333.0,20.6,12.6,0.0,,,
