station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
CIM,2025-01-01,0.1,2.9,-1.9,,,,73.9,4.5,840.6,,1573.0,,1027.1,1.1,5.3,4.0,19.1,5.3,19.1,,0.0,0.0,,84.0,238.0,,,,445.0,89.0,0.2,0.0,203.0,19.9,11.9,-0.4,,,
CIM,2025-01-02,-1.9,-0.8,-2.7,,,,89.2,4.7,832.2,,1493.2,,1017.2,1.6,5.3,5.8,19.1,5.1,18.4,,0.0,0.0,,23.0,283.0,,,,0.0,0.0,0.3,0.0,66.0,21.9,13.9,0.0,,,
CIM,2025-01-03,-1.6,1.5,-3.3,,,,37.0,2.0,828.2,,1454.8,,1012.5,2.9,12.6,10.4,45.4,11.6,41.8,,0.0,0.0,,87.0,187.0,,,,484.0,97.0,0.9,0.0,320.0,21.6,13.6,-0.8,,,
CIM,2025-01-04,-3.3,-0.8,-6.0,,,,47.7,2.2,830.6,,1479.4,,1015.3,1.2,4.2,4.3,15.1,4.0,14.4,,0.0,0.0,,77.0,195.0,,,,488.0,97.0,0.3,0.0,56.0,23.3,15.3,-0.7,,,
CIM,2025-01-05,-2.0,0.2,-4.6,,,,82.1,4.4,828.4,,1456.4,,1012.6,2.6,9.5,9.4,34.2,9.4,33.8,,1.4,0.1,,30.0,292.0,,,,0.0,0.0,0.4,0.0,60.0,22.0,14.0,0.1,,,
CIM,2025-01-06,-0.8,0.4,-2.0,,,,98.4,5.7,824.3,,1416.4,,1007.9,3.7,7.9,13.3,28.4,7.8,28.1,,25.7,20.5,,7.0,309.0,,,,0.0,0.0,0.3,0.0,81.0,20.8,12.8,20.5,,,
CIM,2025-01-07,-0.8,0.4,-2.0,,,,74.8,4.3,822.6,,1399.1,,1005.8,1.5,6.4,5.4,23.0,6.3,22.7,,0.0,6.5,,87.0,230.0,,,,463.0,92.0,0.2,0.0,360.0,20.8,12.8,6.2,,,
CIM,2025-01-08,-0.9,0.7,-2.8,,,,87.2,5.0,826.6,,1438.8,,1010.6,2.9,7.9,10.4,28.4,7.8,28.1,,3.9,1.5,,36.0,285.0,,,,32.0,6.0,0.4,0.0,66.0,20.9,12.9,1.5,,,
CIM,2025-01-09,0.1,1.5,-0.9,,,,95.5,5.9,823.8,,1410.7,,1007.3,2.4,14.5,8.6,52.2,13.8,49.7,,0.2,2.6,,38.0,302.0,,,,0.0,0.0,0.3,0.0,63.0,19.9,11.9,2.6,,,
CIM,2025-01-10,-3.3,0.5,-5.2,,,,69.5,3.3,826.9,,1442.9,,1010.9,3.1,20.6,11.2,74.2,20.4,73.4,,0.9,0.9,,47.0,244.0,,,,201.0,39.0,0.7,0.0,360.0,23.3,15.3,0.7,,,
CIM,2025-01-11,-4.3,-1.5,-5.7,,,,64.0,2.9,828.8,,1462.6,,1013.2,2.3,10.3,8.3,37.1,9.8,35.3,,0.0,0.0,,71.0,193.0,,,,331.0,65.0,0.5,0.0,307.0,24.3,16.3,-0.3,,,
CIM,2025-01-12,-2.3,1.1,-6.1,,,,30.0,1.6,835.0,,1520.6,,1020.5,4.4,13.0,15.8,46.8,12.6,45.4,,0.0,0.0,,95.0,174.0,,,,518.0,100.0,1.3,0.0,339.0,22.3,14.3,-0.9,,,
CIM,2025-01-13,-1.4,1.6,-8.1,,,,32.5,1.7,839.8,,1566.1,,1026.2,2.6,17.1,9.4,61.6,16.2,58.3,,0.0,0.0,,99.0,168.0,,,,520.0,100.0,0.9,0.0,341.0,21.4,13.4,-0.8,,,
CIM,2025-01-14,-0.5,2.9,-8.0,,,,32.2,1.8,840.4,,1571.4,,1026.9,1.4,5.0,5.0,18.0,4.9,17.6,,0.0,0.0,,96.0,196.0,,,,489.0,94.0,0.5,0.0,72.0,20.5,12.5,-0.7,,,
CIM,2025-01-15,2.8,6.2,-2.8,,,,29.2,2.3,836.6,,1532.7,,1022.3,3.4,14.0,12.2,50.4,13.4,48.2,,0.0,0.0,,97.0,209.0,,,,503.0,96.0,1.4,0.0,350.0,17.2,9.2,-0.8,,,
CIM,2025-01-16,-3.0,-1.2,-5.6,,,,51.2,2.5,841.8,,1584.8,,1028.4,1.4,4.9,5.0,17.6,4.8,17.3,,0.0,0.0,,97.0,197.0,,,,520.0,98.0,0.4,0.0,220.0,23.0,15.0,-0.6,,,
CIM,2025-01-17,-1.9,2.0,-5.3,,,,58.4,3.0,843.4,,1600.1,,1030.3,1.3,6.1,4.7,22.0,5.8,20.9,,0.0,0.0,,92.0,196.0,,,,473.0,90.0,0.4,0.0,315.0,21.9,13.9,-0.4,,,
CIM,2025-01-18,3.3,6.1,-0.5,,,,30.5,2.4,840.7,,1572.6,,1027.1,3.2,7.0,11.5,25.2,6.7,24.1,,0.0,0.0,,77.0,239.0,,,,213.0,40.0,1.5,0.0,317.0,16.7,8.7,-0.4,,,
CIM,2025-01-19,-0.4,2.4,-2.0,,,,71.1,4.1,836.1,,1529.9,,1021.7,2.3,5.7,8.3,20.5,5.6,20.2,,4.4,4.3,,28.0,295.0,,,,0.0,0.0,0.8,0.0,259.0,20.4,12.4,4.2,,,
CIM,2025-01-20,-1.2,-0.5,-2.2,,,,92.4,5.2,833.9,,1508.8,,1019.1,1.6,5.5,5.8,19.8,5.4,19.4,,6.6,6.7,,30.0,297.0,,,,0.0,0.0,0.3,0.0,299.0,21.2,13.2,6.7,,,
CIM,2025-01-21,-0.5,1.2,-1.4,,,,92.5,5.4,830.8,,1479.3,,1015.6,0.9,2.8,3.2,10.1,2.8,10.1,,0.0,0.0,,88.0,243.0,,,,334.0,62.0,0.2,0.0,297.0,20.5,12.5,-0.1,,,
CIM,2025-01-22,-1.2,-0.3,-1.8,,,,93.3,5.2,828.8,,1460.3,,1013.2,1.7,4.9,6.1,17.6,4.7,16.9,,1.5,1.0,,37.0,279.0,,,,0.0,0.0,0.3,0.0,58.0,21.2,13.2,1.0,,,
CIM,2025-01-23,0.0,2.2,-1.9,,,,82.8,5.0,826.5,,1436.8,,1010.5,2.4,9.5,8.6,34.2,9.3,33.5,,0.0,0.5,,78.0,256.0,,,,198.0,37.0,0.5,0.0,14.0,20.0,12.0,0.4,,,
CIM,2025-01-24,3.0,5.4,-0.8,,,,38.9,2.9,831.9,,1487.3,,1016.8,2.3,7.2,8.3,25.9,7.0,25.2,,0.0,0.0,,94.0,231.0,,,,360.0,66.0,1.1,0.0,34.0,17.0,9.0,-0.5,,,
CIM,2025-01-25,0.2,1.2,-1.3,,,,93.1,5.8,832.3,,1493.5,,1017.3,2.6,7.6,9.4,27.4,7.3,26.3,,22.7,4.1,,24.0,304.0,,,,0.0,0.0,0.3,0.0,70.0,19.8,11.8,4.1,,,
CIM,2025-01-26,-0.6,1.4,-1.6,,,,95.3,5.6,827.5,,1447.3,,1011.7,2.8,14.7,10.1,52.9,14.5,52.2,,6.0,23.8,,91.0,280.0,,,,235.0,43.0,0.3,0.0,41.0,20.6,12.6,23.8,,,
CIM,2025-01-27,-0.5,0.7,-1.5,,,,98.0,5.8,824.9,,1421.2,,1008.5,2.7,6.9,9.7,24.8,6.8,24.5,,31.8,24.6,,18.0,310.0,,,,0.0,0.0,0.3,0.0,63.0,20.5,12.5,24.6,,,
CIM,2025-01-28,-0.3,1.8,-1.5,,,,78.8,4.8,817.1,,1344.5,,999.4,3.1,15.9,11.2,57.2,15.8,56.9,,8.1,16.1,,26.0,269.0,,,,33.0,6.0,0.7,0.0,243.0,20.3,12.3,16.0,,,
CIM,2025-01-29,-0.5,2.1,-2.2,,,,68.5,4.0,826.9,,1441.4,,1011.0,1.9,6.2,6.8,22.3,6.1,22.0,,1.7,0.0,,111.0,216.0,,,,538.0,97.0,0.6,0.0,84.0,20.5,12.5,-0.3,,,
CIM,2025-01-30,-1.2,-0.3,-2.2,,,,89.5,5.0,832.3,,1493.7,,1017.3,2.1,7.1,7.6,25.6,7.0,25.2,,0.9,2.6,,44.0,272.0,,,,0.0,0.0,0.4,0.0,71.0,21.2,13.2,2.6,,,
CIM,2025-01-31,-0.8,0.9,-2.7,,,,79.4,4.5,835.7,,1526.7,,1021.3,1.2,4.0,4.3,14.4,3.9,14.0,,4.7,3.1,,64.0,265.0,,,,44.0,8.0,0.5,0.0,67.0,20.8,12.8,3.0,,,
CIM,2025-02-01,-1.0,-0.3,-2.0,,,,96.6,5.5,837.2,,1540.7,,1023.0,1.4,3.9,5.0,14.0,3.8,13.7,,3.8,5.3,,37.0,301.0,,,,0.0,0.0,0.3,0.0,290.0,21.0,13.0,5.3,,,
CIM,2025-02-02,0.2,2.6,-1.4,,,,85.8,5.3,833.8,,1507.3,,1019.0,1.1,4.2,4.0,15.1,4.2,15.1,,0.0,0.1,,95.0,222.0,,,,397.0,71.0,0.5,0.0,281.0,19.8,11.8,0.0,,,
CIM,2025-02-03,2.7,5.4,0.0,,,,50.6,3.7,835.7,,1524.3,,1021.3,1.0,4.3,3.6,15.5,4.2,15.1,,0.0,0.0,,130.0,202.0,,,,570.0,100.0,0.7,0.0,256.0,17.3,9.3,-0.5,,,
CIM,2025-02-04,1.9,4.7,0.3,,,,53.0,3.7,838.8,,1554.8,,1024.9,1.2,4.0,4.3,14.4,3.9,14.0,,0.0,0.0,,133.0,198.0,,,,571.0,100.0,0.8,0.0,243.0,18.1,10.1,-0.5,,,
CIM,2025-02-05,5.4,9.4,1.8,,,,27.1,2.4,843.4,,1598.5,,1030.4,1.3,4.2,4.7,15.1,4.0,14.4,,0.0,0.0,,133.0,207.0,,,,572.0,100.0,1.0,0.0,304.0,14.6,6.6,-0.8,,,
CIM,2025-02-06,1.0,3.8,-3.5,,,,41.5,2.6,841.9,,1585.0,,1028.6,1.9,5.2,6.8,18.7,5.1,18.4,,0.0,0.0,,136.0,198.0,,,,573.0,100.0,1.0,0.0,210.0,19.0,11.0,-0.6,,,
CIM,2025-02-07,-4.8,-3.3,-6.1,,,,83.4,3.5,838.7,,1556.8,,1024.8,1.7,4.5,6.1,16.2,4.4,15.8,,0.2,0.0,,45.0,258.0,,,,0.0,0.0,0.5,0.0,207.0,24.8,16.8,0.0,,,
CIM,2025-02-08,-3.4,-1.8,-5.6,,,,91.5,4.4,837.9,,1548.8,,1023.9,1.6,6.3,5.8,22.7,6.2,22.3,,11.3,9.4,,29.0,289.0,,,,0.0,0.0,0.4,0.0,325.0,23.4,15.4,9.4,,,
CIM,2025-02-09,-0.9,0.0,-1.9,,,,96.3,5.5,838.1,,1549.6,,1024.1,1.9,5.5,6.8,19.8,5.4,19.4,,4.9,6.3,,40.0,302.0,,,,0.0,0.0,0.4,0.0,303.0,20.9,12.9,6.3,,,
CIM,2025-02-10,-0.2,1.1,-0.9,,,,97.0,5.9,836.8,,1536.9,,1022.6,0.8,3.4,2.9,12.2,3.4,12.2,,0.6,1.3,,70.0,298.0,,,,38.0,7.0,0.5,0.0,72.0,20.2,12.2,1.3,,,
CIM,2025-02-11,-0.6,0.2,-1.3,,,,98.6,5.8,835.5,,1524.1,,1021.0,1.4,4.2,5.0,15.1,4.2,15.1,,3.0,2.8,,31.0,303.0,,,,0.0,0.0,0.4,0.0,60.0,20.6,12.6,2.8,,,
CIM,2025-02-12,-0.8,0.6,-1.5,,,,97.7,5.6,833.2,,1502.4,,1018.4,0.6,3.3,2.2,11.9,3.2,11.5,,0.0,0.2,,66.0,300.0,,,,0.0,0.0,0.5,0.0,180.0,20.8,12.8,0.2,,,
CIM,2025-02-13,-0.9,0.2,-2.1,,,,93.4,5.3,829.6,,1467.6,,1014.1,1.5,5.9,5.4,21.2,5.9,21.2,,0.3,0.0,,74.0,269.0,,,,10.0,2.0,0.5,0.0,37.0,20.9,12.9,0.0,,,
CIM,2025-02-14,-3.6,-0.9,-5.6,,,,52.8,2.5,825.7,,1432.4,,1009.6,4.1,26.5,14.8,95.4,26.2,94.3,,0.0,0.3,,153.0,189.0,,,,584.0,98.0,1.2,0.0,352.0,23.6,15.6,-0.2,,,
CIM,2025-02-15,-1.8,1.1,-4.5,,,,39.6,2.1,828.9,,1461.1,,1013.2,1.3,4.9,4.7,17.6,4.8,17.3,,0.0,0.0,,161.0,184.0,,,,590.0,99.0,1.0,0.0,261.0,21.8,13.8,-0.7,,,
CIM,2025-02-16,0.4,3.8,-2.7,,,,50.2,3.2,826.0,,1432.0,,1009.9,1.3,5.5,4.7,19.8,5.4,19.4,,0.0,0.0,,159.0,208.0,,,,586.0,98.0,1.0,0.0,330.0,19.6,11.6,-0.6,,,
CIM,2025-02-17,-3.7,1.4,-7.3,,,,77.0,3.4,828.5,,1459.4,,1012.9,1.2,5.7,4.3,20.5,5.6,20.2,,0.0,0.0,,135.0,218.0,,,,210.0,35.0,0.7,0.0,333.0,23.7,15.7,-0.1,,,
CIM,2025-02-18,-1.9,3.9,-6.5,,,,62.2,3.1,831.1,,1483.1,,1015.9,1.3,5.8,4.7,20.9,5.7,20.5,,0.0,0.0,,158.0,218.0,,,,609.0,100.0,0.9,0.0,301.0,21.9,13.9,-0.4,,,
CIM,2025-02-19,-6.3,-5.3,-7.1,,,,99.4,3.8,835.7,,1529.5,,1021.3,0.4,2.4,1.4,8.6,2.4,8.6,,0.0,0.0,,54.0,279.0,,,,0.0,0.0,0.4,0.0,270.0,26.3,18.3,0.0,,,
CIM,2025-02-20,3.4,5.8,-3.1,,,,52.1,4.1,839.1,,1557.1,,1025.3,1.4,6.0,5.0,21.6,5.9,21.2,,0.0,0.0,,162.0,232.0,,,,575.0,93.0,1.1,0.0,315.0,16.6,8.6,-0.5,,,
CIM,2025-02-21,2.6,4.8,-0.3,,,,63.1,4.6,840.5,,1571.3,,1027.0,1.3,5.1,4.7,18.4,5.0,18.0,,0.0,0.0,,156.0,234.0,,,,554.0,90.0,1.0,0.0,59.0,17.4,9.4,-0.4,,,
CIM,2025-02-22,0.7,1.7,-0.5,,,,88.8,5.7,838.9,,1556.2,,1025.0,1.2,3.2,4.3,11.5,3.2,11.5,,0.0,0.0,,43.0,300.0,,,,0.0,0.0,0.6,0.0,59.0,19.3,11.3,0.0,,,
CIM,2025-02-23,2.7,4.9,0.9,,,,77.7,5.7,841.3,,1579.1,,1027.9,1.1,4.2,4.0,15.1,4.1,14.8,,0.0,0.0,,147.0,245.0,,,,403.0,64.0,1.0,0.0,198.0,17.3,9.3,-0.2,,,
CIM,2025-02-24,2.5,3.8,0.9,,,,82.8,6.0,839.1,,1558.1,,1025.3,0.8,3.0,2.9,10.8,2.9,10.4,,0.0,0.0,,120.0,259.0,,,,232.0,37.0,0.8,0.0,63.0,17.5,9.5,-0.1,,,
CIM,2025-02-25,0.3,1.5,-0.7,,,,98.4,6.1,831.8,,1488.2,,1016.7,2.2,6.6,7.9,23.8,6.6,23.8,,10.8,10.8,,24.0,302.0,,,,0.0,0.0,0.4,0.0,112.0,19.7,11.7,10.8,,,
