station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
CMA,2025-01-01,-2.8,-1.3,-5.1,,,,35.7,1.8,757.6,,,3107.0,1025.1,4.0,9.2,14.4,33.1,9.0,32.4,,,,,88.0,,,,,480.0,100.0,1.0,0.0,246.0,22.8,14.8,,,,
CMA,2025-01-02,-6.7,-4.3,-10.1,,,,75.6,2.8,748.4,,,3003.9,1013.4,6.9,30.5,24.8,109.8,29.9,107.6,,,,,38.0,,,,,1.0,0.0,0.5,0.0,261.0,26.7,18.7,,,,
CMA,2025-01-03,-11.6,-9.2,-13.7,,,,60.9,1.5,746.6,,,2975.3,1011.0,6.1,18.5,22.0,66.6,17.8,64.1,,,,,87.0,,,,,440.0,92.0,0.5,0.0,302.0,31.6,23.6,,,,
CMA,2025-01-04,-8.1,-5.3,-10.5,,,,36.1,1.2,747.3,,,2989.0,1011.9,3.9,14.0,14.0,50.4,13.9,50.0,,,,,83.0,,,,,410.0,85.0,0.8,0.0,253.0,28.1,20.1,,,,
CMA,2025-01-05,-1.1,1.9,-6.7,,,,89.0,5.0,745.3,,,2981.7,1009.4,5.8,17.9,20.9,64.4,16.6,59.8,,,,,26.0,,,,,0.0,0.0,0.3,0.0,244.0,21.1,13.1,,,,
CMA,2025-01-06,-4.2,-1.8,-5.4,,,,95.6,4.3,740.6,,,2926.8,1003.4,12.9,33.8,46.4,121.7,32.7,117.7,,,,,53.0,,,,,131.0,27.0,0.3,0.0,233.0,24.2,16.2,,,,
CMA,2025-01-07,-7.3,-5.0,-9.3,,,,80.8,2.9,740.9,,,2924.2,1003.7,4.3,10.9,15.5,39.2,10.6,38.2,,,,,88.0,,,,,429.0,89.0,0.3,0.0,259.0,27.3,19.3,,,,
CMA,2025-01-08,-4.4,-2.2,-7.6,,,,88.9,4.0,743.6,,,2958.7,1007.3,6.9,19.9,24.8,71.6,19.6,70.6,,,,,50.0,,,,,84.0,17.0,0.2,0.0,250.0,24.4,16.4,,,,
CMA,2025-01-09,-4.3,-2.6,-9.6,,,,88.7,4.0,742.1,,,2942.1,1005.3,7.9,31.1,28.4,112.0,30.4,109.4,,,,,68.0,,,,,196.0,40.0,0.0,0.0,272.0,24.3,16.3,,,,
CMA,2025-01-10,-11.3,-7.8,-13.9,,,,89.3,2.3,744.9,,,2958.8,1008.9,7.6,32.0,27.4,115.2,31.9,114.8,,,,,40.0,,,,,0.0,0.0,0.3,0.0,305.0,31.3,23.3,,,,
CMA,2025-01-11,-11.8,-7.0,-16.3,,,,74.3,1.9,747.4,,,2982.8,1012.1,5.8,22.7,20.9,81.7,21.9,78.8,,,,,95.0,,,,,413.0,84.0,0.4,0.0,331.0,31.8,23.8,,,,
CMA,2025-01-12,-12.3,-8.8,-16.5,,,,46.2,1.1,754.3,,,3051.4,1020.9,4.9,14.7,17.6,52.9,13.3,47.9,,,,,84.0,,,,,394.0,80.0,0.6,0.0,27.0,32.3,24.3,,,,
CMA,2025-01-13,-5.7,-1.3,-11.6,,,,11.3,0.4,758.3,,,3107.3,1026.0,4.0,11.5,14.4,41.4,11.2,40.3,,,,,100.0,,,,,451.0,91.0,1.3,0.0,63.0,25.7,17.7,,,,
CMA,2025-01-14,-2.2,0.0,-3.6,,,,10.0,0.5,759.0,,,3122.4,1026.9,2.7,11.3,9.7,40.7,10.8,38.9,,,,,95.0,,,,,493.0,99.0,1.1,0.0,356.0,22.2,14.2,,,,
CMA,2025-01-15,-6.2,-2.4,-9.6,,,,65.6,2.4,756.0,,,3083.1,1023.2,7.2,22.7,25.9,81.7,21.1,76.0,,,,,94.0,,,,,254.0,51.0,0.9,0.0,15.0,26.2,18.2,,,,
