station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
COM,2025-01-01,3.0,7.8,-0.4,0.1,11.6,-5.2,61.1,4.6,961.3,1031.7,,,1029.5,1.4,3.5,5.0,12.6,3.5,12.6,0.0,0.0,0.0,,56.0,,,,10.0,264.0,100.0,0.6,0.0,329.0,17.0,9.0,-0.4,,,
COM,2025-01-02,4.1,6.1,2.4,2.8,7.1,-2.6,71.0,5.8,952.1,1021.5,,,1019.9,1.0,4.5,3.6,16.2,4.4,15.8,0.0,0.1,0.1,,25.0,,,,23.0,0.0,0.0,0.5,0.0,323.0,15.9,7.9,0.0,,,
COM,2025-01-03,4.3,8.5,-1.4,1.3,11.9,-6.5,36.0,2.9,948.5,1017.6,,,1016.0,2.9,12.6,10.4,45.4,12.4,44.6,980.0,0.0,0.0,,60.0,,,,11.0,265.0,100.0,1.4,0.0,331.0,15.7,7.7,-0.6,,,
COM,2025-01-04,-0.5,3.2,-3.1,-3.6,6.1,-9.8,50.3,2.9,952.0,1022.6,,,1019.7,1.2,4.7,4.3,16.9,4.6,16.6,0.0,0.0,0.0,,60.0,,,,21.0,265.0,100.0,0.5,0.0,323.0,20.5,12.5,-0.4,,,
COM,2025-01-05,1.5,3.9,-1.4,0.4,5.4,-9.6,58.6,4.0,948.6,1018.4,,,1016.1,0.9,4.3,3.2,15.5,4.2,15.1,0.0,0.0,0.0,,29.0,,,,27.0,0.0,0.0,0.5,0.0,326.0,18.5,10.5,-0.1,,,
COM,2025-01-06,0.5,2.0,-0.1,0.2,1.1,-0.1,90.4,5.7,943.7,1013.4,,,1010.9,0.5,5.1,1.8,18.4,4.9,17.6,0.0,29.9,25.5,,6.0,,,,5.0,0.0,0.0,0.4,0.0,0.0,19.5,11.5,25.5,,,
COM,2025-01-07,0.8,4.3,-1.0,-1.2,2.0,-5.0,91.0,5.9,941.6,1011.1,,,1008.7,0.8,3.5,2.9,12.6,3.4,12.2,0.0,0.0,4.4,,61.0,,,,14.0,267.0,100.0,0.2,0.0,323.0,19.2,11.2,4.3,,,
COM,2025-01-08,2.3,6.1,-1.0,-0.2,5.9,-19.1,80.8,5.8,945.9,1015.3,,,1013.3,1.1,3.9,4.0,14.0,3.8,13.7,0.0,3.3,2.1,,49.0,,,,37.0,58.0,22.0,0.3,0.0,326.0,17.7,9.7,2.0,,,
COM,2025-01-09,2.6,3.8,1.4,1.3,3.2,0.3,95.3,7.0,942.6,1011.7,,,1009.8,1.2,3.9,4.3,14.0,3.7,13.3,0.0,0.6,1.8,,22.0,,,,21.0,0.0,0.0,0.3,0.0,326.0,17.4,9.4,1.8,,,
COM,2025-01-10,4.4,7.2,0.4,2.9,6.6,0.0,51.0,4.0,947.7,1016.7,,,1015.2,4.0,18.9,14.4,68.0,18.5,66.6,860.0,1.0,1.0,,40.0,,,,32.0,60.0,22.0,1.5,0.0,338.0,15.6,7.6,0.8,,,
COM,2025-01-11,1.1,4.0,-2.0,-0.8,5.7,-4.4,68.0,4.3,950.2,1020.2,,,1017.8,2.4,13.9,8.6,50.0,12.7,45.7,420.0,0.0,0.0,,58.0,,,,13.0,272.0,100.0,0.7,0.0,354.0,18.9,10.9,-0.3,,,
COM,2025-01-12,4.3,8.0,-0.1,1.8,8.3,-3.5,26.7,2.2,957.3,1027.0,,,1025.3,4.6,15.8,16.6,56.9,14.7,52.9,1170.0,0.0,0.0,,65.0,,,,12.0,275.0,100.0,2.2,0.0,354.0,15.7,7.7,-0.5,,,
COM,2025-01-13,1.3,7.9,-3.2,-2.1,9.3,-6.4,44.3,2.8,962.0,1032.9,,,1030.3,1.7,8.2,6.1,29.5,8.0,28.8,90.0,0.0,0.0,,70.0,,,,13.0,276.0,100.0,0.9,0.0,315.0,18.7,10.7,-0.4,,,
COM,2025-01-14,-1.6,2.7,-4.2,-4.0,4.4,-17.6,68.0,3.6,963.1,1034.9,,,1031.4,1.4,5.3,5.0,19.1,5.2,18.7,0.0,0.0,0.0,,65.0,,,,12.0,277.0,100.0,0.5,0.0,330.0,21.6,13.6,-0.2,,,
