station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
COV,2025-01-01,-7.6,-5.3,-9.9,,,,28.7,1.0,683.3,,,3113.6,1025.4,4.5,16.3,16.2,58.7,15.5,55.8,,0.0,0.0,,80.0,,,,,488.0,100.0,1.0,0.0,245.0,27.6,19.6,,,,
COV,2025-01-02,-9.4,-7.9,-11.9,,,,50.9,1.5,674.5,,,3014.5,1013.2,10.1,28.3,36.4,101.9,26.4,95.0,,1.8,0.3,,29.0,,,,,2.0,0.0,1.0,0.0,243.0,29.4,21.4,,,,
COV,2025-01-03,-15.3,-12.4,-17.6,,,,38.3,0.7,670.9,,,2980.2,1008.2,5.4,13.6,19.4,49.0,13.2,47.5,,0.0,1.5,,78.0,,,,,478.0,100.0,0.6,0.0,339.0,35.3,27.3,,,,
COV,2025-01-04,-10.6,-6.7,-13.8,,,,36.7,1.1,673.2,,,3000.2,1011.3,8.3,20.7,29.9,74.5,19.4,69.8,,0.0,0.0,,72.0,,,,,399.0,92.0,1.1,0.0,265.0,30.6,22.6,,,,
COV,2025-01-05,-4.4,-2.7,-8.1,,,,83.6,3.7,673.4,,,2995.7,1011.7,10.5,21.9,37.8,78.8,21.3,76.7,,0.3,0.0,,32.0,,,,,0.0,0.0,0.4,0.0,238.0,24.4,16.4,,,,
COV,2025-01-06,-8.4,-7.1,-10.0,,,,86.8,2.8,669.0,,,2948.7,1005.5,8.3,27.9,29.9,100.4,26.0,93.6,,15.9,10.9,,29.0,,,,,2.0,0.0,0.3,0.0,152.0,28.4,20.4,,,,
COV,2025-01-07,-10.6,-8.1,-12.6,,,,67.6,1.9,667.2,,,2931.4,1003.1,7.7,21.4,27.7,77.0,20.6,74.2,,0.1,5.4,,70.0,,,,,365.0,79.0,0.6,0.0,227.0,30.6,22.6,,,,
COV,2025-01-08,-6.9,-4.8,-10.7,,,,86.1,3.2,671.3,,,2973.9,1008.7,12.6,29.6,45.4,106.6,28.0,100.8,,2.8,0.9,,34.0,,,,,64.0,14.0,0.3,0.0,237.0,26.9,18.9,,,,
COV,2025-01-09,-8.1,-6.4,-11.7,,,,88.9,3.0,669.3,,,2952.0,1005.9,8.8,28.9,31.7,104.0,27.2,97.9,,3.9,5.6,,40.0,,,,,31.0,7.0,0.2,0.0,224.0,28.1,20.1,,,,
COV,2025-01-10,-13.8,-9.9,-18.5,,,,82.6,1.8,669.2,,,2958.8,1005.8,12.6,27.8,45.4,100.1,26.0,93.6,,0.0,0.2,,41.0,,,,,98.0,20.0,0.3,0.0,277.0,33.8,25.8,,,,
