station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
COY,2025-01-01,-9.2,-2.7,-14.4,,,,97.8,3.1,,,,,,0.7,3.4,2.5,12.2,3.3,11.9,,0.0,0.0,,,,,,,,,,0.0,0.0,29.2,21.2,,,,
COY,2025-01-02,0.9,6.7,-8.9,,,,86.3,5.6,,,,,,5.2,19.8,18.7,71.3,18.9,68.0,,15.8,15.8,,,,,,,,,,0.0,244.0,19.1,11.1,,,,
COY,2025-01-03,-4.6,1.0,-12.1,,,,90.6,4.0,,,,,,1.7,7.7,6.1,27.7,7.5,27.0,,0.0,0.0,,,,,,,,,,0.0,234.0,24.6,16.6,,,,
COY,2025-01-04,-7.9,0.0,-14.3,,,,95.2,3.5,,,,,,1.2,4.7,4.3,16.9,4.6,16.6,,21.1,11.2,,,,,,,,,,0.0,63.0,27.9,19.9,,,,
COY,2025-01-05,4.7,12.1,0.0,,,,81.0,6.6,,,,,,3.6,18.8,13.0,67.7,17.9,64.4,,0.6,10.5,,,,,,,,,,0.0,180.0,15.3,7.3,,,,
COY,2025-01-06,6.1,10.3,0.2,,,,75.9,7.1,,,,,,5.5,19.5,19.8,70.2,19.0,68.4,,7.0,7.0,,,,,,,,,,0.0,237.0,13.9,5.9,,,,
COY,2025-01-07,3.7,6.5,1.9,,,,74.3,5.9,,,,,,6.6,25.0,23.8,90.0,23.5,84.6,,4.0,0.6,,,,,,,,,,0.0,248.0,16.3,8.3,,,,
COY,2025-01-08,8.3,11.8,5.2,,,,81.9,9.0,,,,,,6.8,23.4,24.5,84.2,22.6,81.4,,10.3,13.6,,,,,,,,,,0.0,252.0,11.7,3.7,,,,
COY,2025-01-09,5.7,9.0,-0.9,,,,81.6,7.7,,,,,,8.4,23.9,30.2,86.0,23.1,83.2,,7.7,7.8,,,,,,,,,,0.0,239.0,14.3,6.3,,,,
COY,2025-01-10,-0.3,1.3,-1.3,,,,82.1,4.9,,,,,,2.3,9.5,8.3,34.2,9.3,33.5,,0.0,0.0,,,,,,,,,,0.0,45.0,20.3,12.3,,,,
COY,2025-01-11,-1.7,0.6,-4.1,,,,81.8,4.4,,,,,,2.7,10.4,9.7,37.4,10.0,36.0,,0.0,0.0,,,,,,,,,,0.0,71.0,21.7,13.7,,,,
COY,2025-01-12,-2.7,-1.1,-4.6,,,,74.5,3.7,,,,,,4.5,10.8,16.2,38.9,10.6,38.2,,0.0,0.0,,,,,,,,,,0.0,67.0,22.7,14.7,,,,
COY,2025-01-13,-4.2,-0.3,-6.3,,,,74.6,3.3,,,,,,4.0,10.0,14.4,36.0,9.7,34.9,,0.0,0.0,,,,,,,,,,0.0,76.0,24.2,16.2,,,,
COY,2025-01-14,-5.6,0.2,-8.8,,,,88.3,3.5,,,,,,0.9,3.0,3.2,10.8,2.9,10.4,,0.0,0.0,,,,,,,,,,0.0,194.0,25.6,17.6,,,,
COY,2025-01-15,-1.2,5.6,-8.3,,,,82.6,4.7,,,,,,2.7,10.0,9.7,36.0,9.8,35.3,,0.0,0.0,,,,,,,,,,0.0,79.0,21.2,13.2,,,,
COY,2025-01-16,-0.1,1.1,-2.4,,,,87.4,5.3,,,,,,3.5,11.0,12.6,39.6,10.7,38.5,,0.0,0.0,,,,,,,,,,0.0,68.0,20.1,12.1,,,,
COY,2025-01-17,-2.1,0.7,-4.3,,,,91.0,4.8,,,,,,1.4,4.5,5.0,16.2,4.5,16.2,,0.0,0.0,,,,,,,,,,0.0,194.0,22.1,14.1,,,,
COY,2025-01-18,-2.9,0.7,-5.9,,,,93.0,4.6,,,,,,1.1,3.6,4.0,13.0,3.4,12.2,,0.0,0.0,,,,,,,,,,0.0,143.0,22.9,14.9,,,,
COY,2025-01-19,-3.4,1.0,-6.4,,,,98.6,4.7,,,,,,1.3,4.8,4.7,17.3,4.7,16.9,,0.0,0.0,,,,,,,,,,0.0,124.0,23.4,15.4,,,,
COY,2025-01-20,-1.6,6.1,-5.8,,,,91.5,4.9,,,,,,0.9,3.8,3.2,13.7,3.7,13.3,,0.0,0.0,,,,,,,,,,0.0,153.0,21.6,13.6,,,,
COY,2025-01-21,-2.1,5.4,-5.8,,,,91.9,4.8,,,,,,0.9,3.4,3.2,12.2,3.3,11.9,,0.5,0.0,,,,,,,,,,0.0,108.0,22.1,14.1,,,,
COY,2025-01-22,0.0,7.7,-5.4,,,,98.1,6.1,,,,,,1.7,14.7,6.1,52.9,14.2,51.1,,7.9,1.2,,,,,,,,,,0.0,63.0,20.0,12.0,,,,
COY,2025-01-23,4.3,8.9,-0.3,,,,84.8,7.1,,,,,,5.6,21.2,20.2,76.3,19.6,70.6,,0.5,7.7,,,,,,,,,,0.0,237.0,15.7,7.7,,,,
COY,2025-01-24,3.5,13.3,-2.7,,,,73.1,5.4,,,,,,2.0,10.3,7.2,37.1,9.7,34.9,,0.0,0.0,,,,,,,,,,0.0,117.0,16.5,8.5,,,,
COY,2025-01-25,8.8,14.4,3.8,,,,61.8,6.9,,,,,,3.9,17.5,14.0,63.0,16.8,60.5,,4.0,3.8,,,,,,,,,,0.0,245.0,11.2,3.2,,,,
COY,2025-01-26,5.4,8.4,2.3,,,,68.6,6.1,,,,,,7.1,22.5,25.6,81.0,22.3,80.3,,18.2,8.1,,,,,,,,,,0.0,246.0,14.6,6.6,,,,
