station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
CRM,2025-01-01,0.9,5.8,-1.3,,,,96.8,6.3,975.7,1029.1,,,1027.0,1.0,4.9,3.6,17.6,4.8,17.3,,0.0,0.0,,50.0,,,,,,,0.2,0.0,254.0,19.1,11.1,,,,
CRM,2025-01-02,5.3,8.9,0.1,,,,79.2,7.1,966.8,1018.8,,,1017.7,5.9,19.3,21.2,69.5,17.8,64.1,,14.5,14.5,,20.0,,,,,,,0.9,0.0,238.0,14.7,6.7,,,,
CRM,2025-01-03,-0.1,3.0,-3.8,,,,82.9,5.0,970.8,1024.2,,,1021.9,1.8,9.1,6.5,32.8,8.9,32.0,,0.0,0.0,,75.0,,,,,,,0.2,0.0,5.0,20.1,12.1,,,,
CRM,2025-01-04,-1.6,-0.2,-5.0,,,,90.1,4.9,968.1,1021.7,,,1019.1,0.7,4.6,2.5,16.6,4.5,16.2,,21.0,13.3,,36.0,,,,,,,0.2,0.0,18.0,21.6,13.6,,,,
CRM,2025-01-05,6.2,10.4,-0.1,,,,94.1,9.0,956.4,1007.7,,,1006.9,1.9,8.6,6.8,31.0,8.4,30.2,,0.3,8.0,,42.0,,,,,,,0.2,0.0,223.0,13.8,5.8,,,,
CRM,2025-01-06,6.1,11.1,2.1,,,,93.6,8.9,951.1,1002.1,,,1001.3,2.9,16.1,10.4,58.0,14.9,53.6,,9.7,9.7,,17.0,,,,,,,0.6,0.0,218.0,13.9,5.9,,,,
CRM,2025-01-07,5.7,8.0,4.1,,,,76.4,7.0,958.2,1009.7,,,1008.7,4.9,14.9,17.6,53.6,14.5,52.2,,6.7,1.8,,27.0,,,,,,,1.1,0.0,233.0,14.3,6.3,,,,
CRM,2025-01-08,9.1,11.2,7.3,,,,87.4,10.1,956.2,1007.0,,,1006.7,7.0,20.6,25.2,74.2,20.5,73.8,,11.7,16.6,,10.0,,,,,,,0.9,0.0,230.0,10.9,2.9,,,,
CRM,2025-01-09,7.3,9.5,2.2,,,,84.1,8.9,957.7,1008.9,,,1008.3,6.0,23.9,21.6,86.0,22.5,81.0,,8.0,8.0,,12.0,,,,,,,0.5,0.0,241.0,12.7,4.7,,,,
CRM,2025-01-10,1.9,3.1,0.3,,,,78.7,5.5,968.4,1021.2,,,1019.4,1.5,8.6,5.4,31.0,8.5,30.6,,0.1,0.1,,26.0,,,,,,,0.5,0.0,60.0,18.1,10.1,,,,
CRM,2025-01-11,1.1,3.3,-0.2,,,,73.8,4.9,972.2,1025.4,,,1023.4,3.7,10.9,13.3,39.2,10.6,38.2,,0.0,0.0,,85.0,,,,,,,0.6,0.0,44.0,18.9,10.9,,,,
CRM,2025-01-12,-0.1,2.3,-2.5,,,,65.7,4.0,982.0,1036.0,,,1033.6,4.8,12.7,17.3,45.7,11.8,42.5,,0.0,0.0,,89.0,,,,,,,0.8,0.0,48.0,20.1,12.1,,,,
CRM,2025-01-13,-1.3,1.0,-3.1,,,,68.0,3.8,983.7,1038.0,,,1035.3,6.5,15.2,23.4,54.7,15.1,54.4,,0.0,0.0,,85.0,,,,,,,0.9,0.0,48.0,21.3,13.3,,,,
CRM,2025-01-14,-2.5,0.4,-4.8,,,,81.9,4.2,981.7,1036.2,,,1033.3,1.6,6.3,5.8,22.7,6.1,22.0,,0.0,0.0,,83.0,,,,,,,0.2,0.0,55.0,22.5,14.5,,,,
CRM,2025-01-15,-0.3,4.9,-6.4,,,,90.5,5.5,978.5,1032.4,,,1030.0,4.1,13.4,14.8,48.2,12.8,46.1,,0.0,0.0,,80.0,,,,,,,0.3,0.0,63.0,20.3,12.3,,,,
CRM,2025-01-16,2.4,3.2,1.8,,,,80.6,5.8,980.7,1034.1,,,1032.2,4.4,13.9,15.8,50.0,13.3,47.9,,0.0,0.0,,22.0,,,,,,,0.7,0.0,46.0,17.6,9.6,,,,
CRM,2025-01-17,1.2,2.2,0.1,,,,82.5,5.5,981.9,1035.6,,,1033.4,1.5,5.3,5.4,19.1,5.2,18.7,,0.0,0.0,,28.0,,,,,,,0.4,0.0,41.0,18.8,10.8,,,,
CRM,2025-01-18,-0.9,0.4,-3.3,,,,88.6,5.0,977.2,1031.1,,,1028.5,1.5,5.7,5.4,20.5,5.6,20.2,,0.0,0.0,,25.0,,,,,,,0.3,0.0,5.0,20.9,12.9,,,,
CRM,2025-01-19,-0.9,0.0,-2.1,,,,98.6,5.6,970.7,1024.3,,,1021.8,0.9,3.8,3.2,13.7,3.7,13.3,,0.0,0.0,,16.0,,,,,,,0.3,0.0,153.0,20.9,12.9,,,,
CRM,2025-01-20,-0.3,0.7,-0.9,,,,99.3,5.9,968.5,1021.8,,,1019.5,0.7,4.6,2.5,16.6,3.7,13.3,,0.0,0.0,,24.0,,,,,,,0.3,0.0,45.0,20.3,12.3,,,,
CRM,2025-01-21,0.0,0.7,-0.9,,,,99.4,6.1,966.6,1019.8,,,1017.6,0.8,3.2,2.9,11.5,3.1,11.2,,0.0,0.0,,19.0,,,,,,,0.3,0.0,63.0,20.0,12.0,,,,
CRM,2025-01-22,0.6,2.3,-0.9,,,,99.4,6.3,960.2,1012.9,,,1010.8,0.6,2.3,2.2,8.3,2.3,8.3,,6.7,0.6,,25.0,,,,,,,0.3,0.0,90.0,19.4,11.4,,,,
CRM,2025-01-23,5.4,9.4,1.2,,,,78.7,7.0,961.4,1013.1,,,1012.1,2.5,14.2,9.0,51.1,13.9,50.0,,0.1,6.2,,79.0,,,,,,,0.6,0.0,258.0,14.6,6.6,,,,
CRM,2025-01-24,5.0,9.4,0.4,,,,83.1,7.2,963.8,1015.8,,,1014.6,1.0,6.0,3.6,21.6,5.9,21.2,,0.0,0.0,,78.0,,,,,,,0.4,0.0,243.0,15.0,7.0,,,,
CRM,2025-01-25,6.2,11.5,0.9,,,,88.0,8.3,960.1,1011.7,,,1010.7,1.8,17.5,6.5,63.0,16.8,60.5,,1.8,1.6,,64.0,,,,,,,0.5,0.0,18.0,13.8,5.8,,,,
CRM,2025-01-26,7.1,9.0,5.0,,,,78.2,7.8,960.9,1012.3,,,1011.5,4.6,17.5,16.6,63.0,16.3,58.7,,8.9,0.4,,87.0,,,,,,,0.9,0.0,230.0,12.9,4.9,,,,
CRM,2025-01-27,7.0,8.6,5.2,,,,97.6,9.8,953.2,1004.2,,,1003.6,2.1,12.6,7.6,45.4,12.1,43.6,,34.1,35.2,,12.0,,,,,,,0.4,0.0,146.0,13.0,5.0,,,,
CRM,2025-01-28,5.9,8.2,4.9,,,,89.2,8.2,952.6,1003.8,,,1002.9,5.4,18.3,19.4,65.9,17.8,64.1,,11.0,11.1,,37.0,,,,,,,0.8,0.0,232.0,14.1,6.1,,,,
CRM,2025-01-29,5.4,9.1,1.5,,,,85.5,7.6,960.7,1012.5,,,1011.4,4.1,14.1,14.8,50.8,13.6,49.0,,0.3,7.8,,95.0,,,,,,,0.7,0.0,233.0,14.6,6.6,,,,
CRM,2025-01-30,4.6,6.7,1.5,,,,97.3,8.3,966.3,1018.5,,,1017.2,1.1,6.1,4.0,22.0,5.9,21.2,,2.8,2.6,,29.0,,,,,,,0.3,0.0,0.0,15.4,7.4,,,,
CRM,2025-01-31,4.7,6.3,3.8,,,,91.4,7.8,974.7,1027.4,,,1026.0,2.2,7.6,7.9,27.4,7.5,27.0,,0.0,0.2,,26.0,,,,,,,0.5,0.0,60.0,15.3,7.3,,,,
CRM,2025-02-01,2.9,4.0,1.9,,,,85.4,6.4,974.5,1027.4,,,1025.7,3.5,8.5,12.6,30.6,8.1,29.2,,0.0,0.0,,31.0,,,,,,,0.6,0.0,54.0,17.1,9.1,,,,
