station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
DAV,2025-01-01,-2.5,3.5,-5.9,-4.7,5.5,-9.4,53.2,2.7,846.7,,1564.2,,1026.1,1.0,3.2,3.6,11.5,3.2,11.5,0.0,0.0,0.0,35.0,79.0,212.0,,51.0,,377.0,100.0,0.2,0.0,203.0,22.5,14.5,-0.6,0.4,0.9,1.7
DAV,2025-01-02,-1.7,2.5,-6.5,-3.2,1.6,-9.9,59.5,3.2,837.3,,1475.6,,1015.2,2.4,8.3,8.6,29.9,8.1,29.2,80.0,2.4,1.9,35.0,29.0,273.0,,16.0,,0.0,0.0,0.8,0.0,72.0,21.7,13.7,1.8,0.3,0.8,1.6
DAV,2025-01-03,-8.1,-3.4,-14.8,-9.6,-0.1,-18.2,76.1,2.6,838.0,,1484.7,,1016.0,1.5,6.5,5.4,23.4,6.4,23.0,0.0,0.0,0.5,40.0,88.0,210.0,,61.0,,371.0,98.0,0.1,0.0,60.0,28.1,20.1,0.2,0.4,0.9,1.6
DAV,2025-01-04,-8.4,-2.3,-15.7,-10.2,-1.4,-18.7,67.0,2.2,837.2,,1477.5,,1015.0,0.4,3.4,1.4,12.2,3.3,11.9,0.0,0.2,0.0,39.0,77.0,215.0,,51.0,,351.0,93.0,0.1,0.0,225.0,28.4,20.4,-0.4,0.4,0.9,1.6
DAV,2025-01-05,0.6,4.4,-4.6,-0.2,2.8,-4.7,81.7,5.3,832.3,,1425.7,,1009.2,1.5,8.4,5.4,30.2,8.0,28.8,30.0,0.2,0.4,38.0,27.0,299.0,,15.0,,0.0,0.0,0.4,0.0,222.0,19.4,11.4,0.4,0.3,0.8,1.6
DAV,2025-01-06,4.5,8.0,0.8,3.3,8.4,-1.2,51.5,4.3,828.1,,1382.3,,1004.4,3.3,14.8,11.9,53.3,14.0,50.4,1300.0,6.0,0.0,37.0,53.0,292.0,,33.0,,139.0,37.0,1.2,0.0,213.0,15.5,7.5,-0.3,0.4,0.9,1.6
DAV,2025-01-07,-2.7,0.8,-7.1,-3.6,2.6,-10.6,87.7,4.5,829.5,,1400.9,,1006.0,2.4,8.0,8.6,28.8,7.9,28.4,0.0,1.6,7.6,43.0,47.0,263.0,,32.0,,67.0,18.0,0.2,0.0,5.0,22.7,14.7,7.6,0.6,0.9,1.6
DAV,2025-01-08,-0.6,3.7,-7.7,-1.3,5.5,-10.3,83.2,4.9,831.3,,1416.9,,1008.1,1.4,5.2,5.0,18.7,5.0,18.0,0.0,0.0,0.0,41.0,61.0,282.0,,41.0,,137.0,36.0,0.2,0.0,207.0,20.6,12.6,-0.1,0.6,1.0,1.6
DAV,2025-01-09,1.6,7.1,-3.7,1.0,8.1,-4.2,76.0,5.2,829.5,,1398.4,,1006.1,2.2,15.6,7.9,56.2,15.0,54.0,240.0,1.2,1.2,36.0,70.0,284.0,,44.0,,224.0,58.0,0.5,0.0,81.0,18.4,10.4,1.0,0.6,1.0,1.7
DAV,2025-01-10,-5.6,-3.9,-6.8,-5.8,-3.7,-6.9,68.0,2.7,836.2,,1467.1,,1013.9,2.8,12.1,10.1,43.6,11.9,42.8,0.0,1.5,0.8,37.0,38.0,272.0,,22.0,,0.0,0.0,0.6,0.0,36.0,25.6,17.6,0.7,0.7,1.0,1.7
