station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
DIA,2025-01-01,-5.7,-4.5,-7.3,,,,41.0,1.6,713.4,,,3113.4,1025.6,10.2,23.3,36.7,83.9,21.5,77.4,,,,,87.0,,,,,,,1.4,0.0,236.0,25.7,17.7,,,,
DIA,2025-01-02,-8.4,-7.2,-10.7,,,,66.6,2.1,704.9,,,3019.1,1014.2,11.9,26.3,42.8,94.7,25.5,91.8,,,,,51.0,,,,,,,0.7,0.0,234.0,28.4,20.4,,,,
DIA,2025-01-03,-12.7,-9.2,-17.0,,,,49.4,1.1,702.8,,,2995.0,1011.3,3.9,12.3,14.0,44.3,11.8,42.5,,,,,90.0,,,,,,,0.5,0.0,298.0,32.7,24.7,,,,
DIA,2025-01-04,-6.6,-2.8,-9.9,,,,56.8,2.3,703.7,,,3006.6,1012.6,9.9,28.1,35.6,101.2,27.4,98.6,,,,,69.0,,,,,,,1.0,0.0,237.0,26.6,18.6,,,,
DIA,2025-01-05,-1.9,0.5,-4.0,,,,94.3,5.0,702.0,,,2987.5,1010.3,14.2,29.7,51.1,106.9,29.0,104.4,,,,,31.0,,,,,,,0.4,0.0,224.0,21.9,13.9,,,,
DIA,2025-01-06,-4.9,0.6,-9.4,,,,75.1,3.1,695.0,,,2908.8,1000.9,15.6,35.6,56.2,128.2,34.7,124.9,,,,,29.0,,,,,,,1.2,0.0,198.0,24.9,16.9,,,,
DIA,2025-01-07,-11.4,-7.0,-13.0,,,,90.9,2.3,697.1,,,2933.0,1003.7,11.6,25.0,41.8,90.0,24.2,87.1,,,,,59.0,,,,,,,0.5,0.0,234.0,31.4,23.4,,,,
DIA,2025-01-08,-4.5,-3.3,-6.9,,,,99.3,4.4,700.4,,,2969.4,1008.1,14.0,31.0,50.4,111.6,28.7,103.3,,,,,32.0,,,,,,,0.0,0.0,233.0,24.5,16.5,,,,
DIA,2025-01-09,-7.1,-5.2,-12.6,,,,97.8,3.6,698.9,,,2952.4,1006.1,11.9,31.6,42.8,113.8,29.9,107.6,,,,,34.0,,,,,,,-0.2,0.0,239.0,27.1,19.1,,,,
DIA,2025-01-10,-9.9,-5.9,-14.6,,,,94.0,2.8,702.0,,,2986.7,1010.2,6.5,27.4,23.4,98.6,26.7,96.1,,,,,23.0,,,,,,,0.2,0.0,259.0,29.9,21.9,,,,
