station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
DIS,2025-01-01,3.0,8.6,0.4,-0.1,8.8,-4.7,42.9,3.2,889.3,,1563.1,,1026.7,0.9,5.5,3.2,19.8,5.2,18.7,,0.0,0.0,27.0,73.0,,,,15.0,308.0,100.0,0.3,0.0,307.0,17.0,9.0,-0.6,,,
DIS,2025-01-02,2.5,5.6,-1.1,1.3,5.4,-1.9,60.5,4.3,880.7,,1484.1,,1017.0,1.9,14.7,6.8,52.9,13.9,50.0,,4.3,3.2,26.0,45.0,,,,37.0,40.0,13.0,0.7,0.0,225.0,17.5,9.5,3.0,,,
DIS,2025-01-03,-3.1,-0.9,-5.7,-3.2,2.7,-6.7,86.7,4.2,881.4,,1485.1,,1017.9,1.0,5.0,3.6,18.0,4.8,17.3,,0.0,1.1,31.0,68.0,,,,38.0,159.0,51.0,0.1,0.0,59.0,23.1,15.1,1.0,,,
DIS,2025-01-04,-3.9,1.2,-9.3,-5.4,1.7,-12.9,71.2,3.3,880.8,,1478.3,,1017.1,0.8,5.3,2.9,19.1,5.2,18.7,,0.1,0.0,28.0,70.0,,,,26.0,281.0,91.0,0.2,0.0,288.0,23.9,15.9,-0.3,,,
DIS,2025-01-05,2.7,6.8,-2.3,2.1,6.2,-2.3,74.3,5.4,875.0,,1432.7,,1010.7,2.2,17.8,7.9,64.1,17.4,62.6,,0.0,0.1,27.0,25.0,,,,23.0,0.0,0.0,0.7,0.0,207.0,17.3,9.3,0.0,,,
DIS,2025-01-06,5.4,7.4,2.0,4.1,6.9,1.0,60.0,5.3,870.9,,1396.9,,1006.1,2.4,13.2,8.6,47.5,12.5,45.0,,2.5,1.3,23.0,24.0,,,,22.0,1.0,0.0,1.0,0.0,259.0,14.6,6.6,1.2,,,
DIS,2025-01-07,0.3,3.3,-2.5,-0.3,6.1,-5.2,81.1,5.1,872.1,,1403.4,,1007.3,0.6,3.6,2.2,13.0,3.5,12.6,,0.4,1.2,16.0,78.0,,,,19.0,314.0,100.0,0.1,0.0,0.0,19.7,11.7,1.0,,,
DIS,2025-01-08,3.1,6.8,-2.5,2.2,7.8,-4.8,69.9,5.3,874.0,,1423.4,,1009.5,1.6,9.0,5.8,32.4,8.8,31.7,,0.5,0.9,14.0,47.0,,,,35.0,108.0,35.0,0.5,0.0,293.0,16.9,8.9,0.8,,,
DIS,2025-01-09,4.6,8.7,-1.3,3.4,8.9,-1.5,65.0,5.4,871.8,,1404.5,,1007.1,1.5,9.9,5.4,35.6,9.3,33.5,,0.8,0.7,13.0,54.0,,,,32.0,120.0,38.0,0.6,0.0,297.0,15.4,7.4,0.5,,,
DIS,2025-01-10,-3.4,-1.4,-4.5,-3.5,-1.6,-4.5,85.8,4.1,879.7,,1469.6,,1016.0,1.2,7.3,4.3,26.3,6.7,24.1,,4.6,3.7,12.0,33.0,,,,31.0,0.0,0.0,0.3,0.0,69.0,23.4,15.4,3.7,,,
