station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
DOL,2025-01-01,2.9,4.0,1.0,,,,34.9,2.6,838.4,,1559.6,,1025.6,10.5,19.9,37.8,71.6,19.4,69.8,,0.0,0.0,97.0,83.0,211.0,,,,506.0,100.0,2.5,0.0,252.0,17.1,9.1,-1.0,,,
DOL,2025-01-02,-1.5,1.2,-4.8,,,,84.7,4.6,830.2,,1482.7,,1015.9,13.7,24.4,49.3,87.8,23.8,85.7,,28.5,28.4,95.0,35.0,277.0,,,,42.0,8.0,0.6,0.0,265.0,21.5,13.5,28.3,,,
DOL,2025-01-03,-5.6,-2.9,-7.4,,,,64.0,2.5,830.3,,1486.7,,1016.0,2.9,8.1,10.4,29.2,7.8,28.1,,0.0,0.1,114.0,85.0,189.0,,,,451.0,89.0,0.5,0.0,43.0,25.6,17.6,-0.4,,,
DOL,2025-01-04,-1.1,1.9,-5.4,,,,49.2,3.1,828.4,,1464.3,,1013.7,8.6,19.5,31.0,70.2,18.7,67.3,,26.7,16.0,112.0,51.0,254.0,,,,176.0,35.0,1.4,0.0,232.0,21.1,13.1,15.7,,,
DOL,2025-01-05,4.3,6.7,0.6,,,,65.5,5.3,823.1,,1407.7,,1007.5,15.8,31.3,56.9,112.7,30.6,110.2,,0.2,10.9,102.0,54.0,285.0,,,,199.0,39.0,1.8,0.0,226.0,15.7,7.7,10.7,,,
DOL,2025-01-06,1.7,5.4,-3.1,,,,79.4,5.3,817.4,,1354.5,,1000.9,15.5,32.4,55.8,116.6,30.4,109.4,,16.4,16.4,95.0,11.0,308.0,,,,0.0,0.0,1.2,0.0,239.0,18.3,10.3,16.3,,,
DOL,2025-01-07,-2.7,-1.3,-4.0,,,,93.8,4.7,822.3,,1407.3,,1006.6,12.6,25.9,45.4,93.2,25.4,91.4,,9.7,0.6,91.0,32.0,290.0,,,,0.0,0.0,0.3,0.0,248.0,22.7,14.7,0.6,,,
DOL,2025-01-08,2.1,5.2,-1.7,,,,93.9,6.7,822.7,,1406.2,,1007.0,15.0,32.6,54.0,117.4,31.0,111.6,,18.2,23.6,88.0,20.0,318.0,,,,0.0,0.0,0.4,0.0,252.0,17.9,9.9,23.6,,,
DOL,2025-01-09,-0.5,2.1,-7.0,,,,98.3,5.9,822.8,,1409.0,,1007.1,13.5,28.5,48.6,102.6,28.1,101.2,,26.4,30.0,77.0,14.0,310.0,,,,0.0,0.0,-0.2,0.0,264.0,20.5,12.5,30.0,,,
DOL,2025-01-10,-4.0,-0.5,-7.4,,,,90.3,4.2,828.4,,1466.8,,1013.7,7.8,14.9,28.1,53.6,14.6,52.6,,4.1,4.2,75.0,26.0,289.0,,,,0.0,0.0,0.4,0.0,243.0,24.0,16.0,4.2,,,
