station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
EBK,2025-01-01,-3.4,3.6,-7.4,-8.0,5.0,-13.4,92.1,4.4,952.1,,1511.7,,1025.6,0.5,2.2,1.8,7.9,2.2,7.9,0.0,0.0,0.0,9.0,67.0,,,,16.0,354.0,99.0,0.0,0.0,162.0,23.4,15.4,-0.1,,,
EBK,2025-01-02,1.1,7.8,-6.0,-1.0,6.7,-11.1,82.0,5.3,943.3,,1453.6,,1016.3,1.1,9.7,4.0,34.9,9.3,33.5,0.0,29.6,27.4,9.0,42.0,,,,32.0,58.0,16.0,0.3,0.0,180.0,18.9,10.9,27.3,,,
EBK,2025-01-03,-1.5,0.5,-8.5,-3.1,0.8,-15.1,94.2,5.2,947.8,,1483.0,,1021.0,0.7,4.6,2.5,16.6,4.4,15.8,0.0,0.0,2.2,12.0,33.0,,,,28.0,5.0,1.0,0.1,0.0,315.0,21.5,13.5,2.2,,,
EBK,2025-01-04,-6.7,-0.5,-12.1,-8.9,1.3,-21.2,97.5,3.7,945.4,,1445.6,,1018.4,0.3,4.2,1.1,15.1,4.1,14.8,0.0,16.9,5.0,12.0,71.0,,,,24.0,337.0,93.0,0.0,0.0,180.0,26.7,18.7,5.0,,,
EBK,2025-01-05,1.5,4.1,-0.6,0.4,3.4,-2.8,99.3,6.8,934.2,,1378.0,,1006.5,0.7,2.7,2.5,9.7,2.7,9.7,0.0,3.5,15.4,11.0,32.0,,,,29.0,0.0,0.0,0.2,0.0,158.0,18.5,10.5,15.4,,,
EBK,2025-01-06,2.9,9.6,-1.1,1.0,6.9,-3.6,90.4,6.8,928.8,,1336.6,,1000.9,1.0,7.7,3.6,27.7,7.3,26.3,0.0,13.3,11.9,10.0,49.0,,,,30.0,141.0,39.0,0.3,0.0,207.0,17.1,9.1,11.8,,,
EBK,2025-01-07,2.5,6.7,-1.7,0.9,9.6,-4.4,88.9,6.4,935.6,,1392.7,,1008.0,1.2,8.9,4.3,32.0,8.4,30.2,0.0,4.2,3.7,7.0,55.0,,,,26.0,194.0,53.0,0.2,0.0,146.0,17.5,9.5,3.6,,,
EBK,2025-01-08,2.4,6.6,-0.7,1.0,3.9,-2.1,97.2,7.1,934.0,,1379.1,,1006.3,0.8,6.6,2.9,23.8,6.5,23.4,0.0,8.3,8.4,6.0,22.0,,,,20.0,0.0,0.0,0.3,0.0,153.0,17.6,9.6,8.4,,,
EBK,2025-01-09,4.6,10.0,0.1,2.4,7.7,-2.3,87.7,7.4,934.5,,1389.1,,1006.9,1.8,18.0,6.5,64.8,17.1,61.6,0.0,5.6,7.4,5.0,43.0,,,,22.0,113.0,31.0,0.5,0.0,231.0,15.4,7.4,7.3,,,
EBK,2025-01-10,0.6,2.0,-0.6,-0.2,5.0,-2.1,78.0,5.0,945.7,,1471.8,,1018.8,0.9,5.6,3.2,20.2,5.5,19.8,0.0,0.0,0.0,2.0,39.0,,,,29.0,43.0,11.0,0.3,0.0,225.0,19.4,11.4,-0.1,,,
