station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
EGH,2025-01-01,-5.7,-4.4,-7.6,,,,36.0,1.4,720.0,,,3113.3,1025.7,5.7,17.2,20.5,61.9,16.6,59.8,,,,,91.0,,,,,507.0,98.0,1.1,0.0,272.0,25.7,17.7,,,,
EGH,2025-01-02,-7.3,-5.6,-9.9,,,,57.2,2.0,711.2,,,3016.4,1013.9,9.5,30.0,34.2,108.0,27.9,100.4,,,,,56.0,,,,,83.0,16.0,0.9,0.0,269.0,27.3,19.3,,,,
EGH,2025-01-03,-11.9,-8.6,-14.9,,,,46.5,1.1,708.3,,,2982.9,1010.0,5.6,19.2,20.2,69.1,18.6,67.0,,,,,95.0,,,,,486.0,94.0,0.7,0.0,295.0,31.9,23.9,,,,
EGH,2025-01-04,-7.1,-2.8,-10.0,,,,45.3,1.8,709.9,,,3002.3,1012.2,5.0,17.5,18.0,63.0,17.1,61.6,,,,,83.0,,,,,440.0,84.0,0.9,0.0,265.0,27.1,19.1,,,,
EGH,2025-01-05,-1.7,0.4,-7.9,,,,83.9,4.5,708.8,,,2992.4,1010.7,7.6,18.2,27.4,65.5,18.1,65.2,,,,,52.0,,,,,10.0,2.0,0.2,0.0,263.0,21.7,13.7,,,,
EGH,2025-01-06,-7.7,-6.7,-8.7,,,,93.0,3.2,703.9,,,2936.3,1004.2,7.1,16.2,25.6,58.3,16.0,57.6,,,,,31.0,,,,,0.0,0.0,0.2,0.0,117.0,27.7,19.7,,,,
EGH,2025-01-07,-9.9,-7.7,-11.9,,,,76.0,2.2,703.5,,,2931.1,1003.6,7.3,21.7,26.3,78.1,20.2,72.7,,,,,92.0,,,,,372.0,71.0,0.4,0.0,269.0,29.9,21.9,,,,
EGH,2025-01-08,-4.6,-1.2,-8.3,,,,90.6,3.9,707.0,,,2971.6,1008.4,8.1,25.9,29.2,93.2,25.0,90.0,,,,,54.0,,,,,80.0,15.0,0.4,0.0,263.0,24.6,16.6,,,,
EGH,2025-01-09,-6.1,-4.4,-10.5,,,,86.4,3.4,705.2,,,2950.8,1005.9,8.5,26.4,30.6,95.0,24.6,88.6,,,,,64.0,,,,,25.0,5.0,0.2,0.0,268.0,26.1,18.1,,,,
EGH,2025-01-10,-9.7,-5.4,-13.3,,,,84.6,2.6,706.7,,,2967.1,1008.0,8.4,20.6,30.2,74.2,19.6,70.6,,,,,43.0,,,,,0.0,0.0,0.4,0.0,268.0,29.7,21.7,,,,
EGH,2025-01-11,-10.6,-6.7,-15.9,,,,79.0,2.2,708.9,,,2990.0,1010.9,4.5,14.0,16.2,50.4,12.8,46.1,,,,,100.0,,,,,370.0,70.0,0.3,0.0,287.0,30.6,22.6,,,,
EGH,2025-01-12,-10.9,-7.0,-15.5,,,,29.5,0.8,714.5,,,3050.8,1018.4,6.1,19.8,22.0,71.3,19.0,68.4,,,,,103.0,,,,,524.0,99.0,1.0,0.0,62.0,30.9,22.9,,,,
EGH,2025-01-13,-7.3,-4.2,-11.8,,,,12.9,0.4,719.4,,,3106.1,1024.9,7.6,18.1,27.4,65.2,17.1,61.6,,,,,105.0,,,,,506.0,95.0,1.7,0.0,67.0,27.3,19.3,,,,
EGH,2025-01-14,-2.6,-0.6,-4.6,,,,10.6,0.5,720.8,,,3124.8,1026.7,5.6,12.6,20.2,45.4,12.4,44.6,,,,,101.0,,,,,514.0,96.0,1.9,0.0,72.0,22.6,14.6,,,,
EGH,2025-01-15,-5.9,-0.7,-10.0,,,,48.1,1.9,717.6,,,3087.3,1022.5,6.8,18.5,24.5,66.6,17.3,62.3,,,,,104.0,,,,,519.0,97.0,1.2,0.0,63.0,25.9,17.9,,,,
EGH,2025-01-16,-7.7,-4.4,-11.0,,,,48.1,1.6,719.8,,,3110.2,1025.5,4.8,15.6,17.3,56.2,14.7,52.9,,,,,104.0,,,,,522.0,97.0,0.8,0.0,94.0,27.7,19.7,,,,
EGH,2025-01-17,-4.8,-2.3,-7.8,,,,28.3,1.2,722.0,,,3135.6,1028.3,5.0,12.9,18.0,46.4,12.7,45.7,,,,,108.0,,,,,536.0,99.0,1.3,0.0,96.0,24.8,16.8,,,,
EGH,2025-01-18,-5.8,-3.3,-9.0,,,,48.2,1.9,720.7,,,3120.7,1026.6,3.3,13.8,11.9,49.7,13.5,48.6,,,,,109.0,,,,,434.0,80.0,0.7,0.0,129.0,25.8,17.8,,,,
EGH,2025-01-19,-7.2,-4.8,-10.1,,,,84.8,3.0,715.3,,,3061.9,1019.5,4.9,12.5,17.6,45.0,12.1,43.6,,,,,36.0,,,,,0.0,0.0,0.4,0.0,125.0,27.2,19.2,,,,
EGH,2025-01-20,-8.8,-7.5,-10.0,,,,89.4,2.8,712.9,,,3034.0,1016.2,3.6,9.2,13.0,33.1,8.8,31.7,,,,,58.0,,,,,24.0,4.0,0.3,0.0,122.0,28.8,20.8,,,,
EGH,2025-01-21,-7.6,-5.5,-9.6,,,,61.7,2.1,710.7,,,3010.7,1013.2,1.8,7.2,6.5,25.9,6.9,24.8,,,,,112.0,,,,,526.0,96.0,0.4,0.0,90.0,27.6,19.6,,,,
EGH,2025-01-22,-7.6,-4.8,-9.2,,,,78.3,2.7,708.1,,,2982.3,1009.8,3.3,9.2,11.9,33.1,9.0,32.4,,,,,51.0,,,,,0.0,0.0,0.5,0.0,126.0,27.6,19.6,,,,
EGH,2025-01-23,-6.7,-4.6,-9.0,,,,66.3,2.5,707.5,,,2976.5,1009.1,4.3,15.6,15.5,56.2,14.7,52.9,,,,,97.0,,,,,284.0,52.0,0.6,0.0,257.0,26.7,18.7,,,,
EGH,2025-01-24,-3.3,-0.9,-7.8,,,,33.9,1.6,713.2,,,3041.1,1016.7,7.7,29.6,27.7,106.6,27.1,97.6,,,,,97.0,,,,,309.0,56.0,1.6,0.0,276.0,23.3,15.3,,,,
