station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
EGO,2025-01-01,-3.5,2.2,-8.1,,,,98.9,4.8,964.4,1029.9,,,1026.3,0.5,2.1,1.8,7.6,2.0,7.2,,0.0,0.0,,86.0,,,,,,,-0.1,0.0,124.0,23.5,15.5,,,,
EGO,2025-01-02,3.2,7.8,-3.7,,,,78.1,5.9,955.2,1018.4,,,1016.6,5.5,21.2,19.8,76.3,20.5,73.8,,17.5,17.5,,34.0,,,,,,,0.8,0.0,274.0,16.8,8.8,,,,
EGO,2025-01-03,-0.6,1.2,-3.7,,,,93.4,5.5,960.0,1024.4,,,1021.6,1.0,7.4,3.6,26.6,7.2,25.9,,0.0,0.0,,54.0,,,,,,,0.1,0.0,297.0,20.6,12.6,,,,
EGO,2025-01-04,-2.7,-0.7,-4.2,,,,91.9,4.6,957.1,1021.8,,,1018.6,1.1,5.4,4.0,19.4,5.2,18.7,,12.4,6.2,,35.0,,,,,,,0.2,0.0,180.0,22.7,14.7,,,,
EGO,2025-01-05,3.8,10.7,-0.8,,,,95.2,7.7,945.6,1008.0,,,1006.5,1.5,8.9,5.4,32.0,8.7,31.3,,0.8,7.0,,54.0,,,,,,,0.3,0.0,149.0,16.2,8.2,,,,
EGO,2025-01-06,4.8,9.9,0.9,,,,92.2,7.9,940.5,1002.3,,,1001.1,2.8,17.1,10.1,61.6,16.0,57.6,,6.6,6.6,,27.0,,,,,,,0.6,0.0,264.0,15.2,7.2,,,,
EGO,2025-01-07,3.8,6.3,-0.3,,,,81.8,6.5,947.1,1009.6,,,1008.1,4.8,18.9,17.3,68.0,18.5,66.6,,3.8,2.3,,42.0,,,,,,,0.6,0.0,271.0,16.2,8.2,,,,
EGO,2025-01-08,5.2,9.8,-0.1,,,,94.3,8.5,945.3,1007.4,,,1006.2,2.4,21.0,8.6,75.6,20.0,72.0,,5.5,6.4,,28.0,,,,,,,0.3,0.0,270.0,14.8,6.8,,,,
EGO,2025-01-09,5.5,10.7,0.3,,,,86.9,7.9,946.3,1008.3,,,1007.2,5.2,20.4,18.7,73.4,20.2,72.7,,3.7,4.3,,44.0,,,,,,,0.7,0.0,279.0,14.5,6.5,,,,
EGO,2025-01-10,0.5,1.9,-1.0,,,,84.2,5.3,957.6,1021.5,,,1019.1,1.0,4.2,3.6,15.1,4.2,15.1,,0.1,0.1,,26.0,,,,,,,0.3,0.0,90.0,19.5,11.5,,,,
EGO,2025-01-11,-0.8,1.4,-2.7,,,,81.4,4.7,961.7,1026.3,,,1023.4,1.9,8.7,6.8,31.3,8.4,30.2,,0.0,0.0,,84.0,,,,,,,0.2,0.0,51.0,20.8,12.8,,,,
EGO,2025-01-12,-2.5,0.5,-6.0,,,,76.8,3.9,971.6,1037.2,,,1033.8,2.6,10.2,9.4,36.7,10.0,36.0,,0.0,0.0,,69.0,,,,,,,0.4,0.0,59.0,22.5,14.5,,,,
EGO,2025-01-13,-3.2,-1.3,-4.8,,,,76.6,3.7,973.1,1039.1,,,1035.5,3.8,12.6,13.7,45.4,12.3,44.3,,0.0,0.0,,74.0,,,,,,,0.5,0.0,72.0,23.2,15.2,,,,
EGO,2025-01-14,-4.3,-2.5,-6.7,,,,90.4,4.0,970.8,1036.9,,,1033.0,1.1,4.9,4.0,17.6,4.8,17.3,,0.0,0.0,,41.0,,,,,,,0.2,0.0,101.0,24.3,16.3,,,,
EGO,2025-01-15,-1.3,1.5,-5.3,,,,94.3,5.3,968.2,1033.4,,,1030.3,1.9,11.2,6.8,40.3,11.0,39.6,,0.0,0.0,,38.0,,,,,,,0.2,0.0,94.0,21.3,13.3,,,,
EGO,2025-01-16,1.3,2.0,0.5,,,,83.2,5.6,969.9,1034.5,,,1032.1,3.4,12.1,12.2,43.6,11.9,42.8,,0.0,0.0,,22.0,,,,,,,0.5,0.0,72.0,18.7,10.7,,,,
EGO,2025-01-17,0.1,1.0,-1.3,,,,82.1,5.0,971.0,1036.0,,,1033.2,1.9,5.3,6.8,19.1,5.2,18.7,,0.0,0.0,,33.0,,,,,,,0.4,0.0,84.0,19.9,11.9,,,,
EGO,2025-01-18,-1.4,-0.5,-2.3,,,,88.4,4.9,966.1,1031.1,,,1028.0,1.4,5.0,5.0,18.0,4.9,17.6,,0.0,0.0,,38.0,,,,,,,0.3,0.0,90.0,21.4,13.4,,,,
EGO,2025-01-19,-2.1,0.8,-3.9,,,,95.6,5.0,959.5,1024.2,,,1021.1,1.1,4.7,4.0,16.9,4.6,16.6,,0.0,0.0,,50.0,,,,,,,0.2,0.0,261.0,22.1,14.1,,,,
EGO,2025-01-20,-2.2,3.3,-4.8,,,,97.9,5.1,957.3,1022.0,,,1018.9,0.8,2.8,2.9,10.1,2.7,9.7,,0.0,0.0,,72.0,,,,,,,0.2,0.0,270.0,22.2,14.2,,,,
EGO,2025-01-21,-2.5,-0.3,-4.0,,,,99.3,5.1,955.6,1020.2,,,1017.1,0.7,3.3,2.5,11.9,3.3,11.9,,0.0,0.0,,50.0,,,,,,,0.2,0.0,117.0,22.5,14.5,,,,
EGO,2025-01-22,-1.6,1.5,-3.8,,,,99.3,5.4,949.3,1013.2,,,1010.4,0.7,2.9,2.5,10.4,2.9,10.4,,1.1,0.1,,32.0,,,,,,,0.3,0.0,252.0,21.6,13.6,,,,
EGO,2025-01-23,3.2,7.7,-1.1,,,,91.8,7.0,950.5,1013.4,,,1011.7,2.0,11.4,7.2,41.0,11.2,40.3,,3.8,4.8,,70.0,,,,,,,0.4,0.0,270.0,16.8,8.8,,,,
EGO,2025-01-24,3.9,10.9,-0.5,,,,82.5,6.5,953.0,1015.9,,,1014.3,1.1,7.4,4.0,26.6,7.3,26.3,,0.0,0.0,,73.0,,,,,,,0.5,0.0,243.0,16.1,8.1,,,,
EGO,2025-01-25,6.6,13.8,0.8,,,,69.9,6.7,949.5,1011.5,,,1010.7,1.3,14.7,4.7,52.9,14.4,51.8,,1.1,0.0,,80.0,,,,,,,0.7,0.0,243.0,13.4,5.4,,,,
EGO,2025-01-26,5.8,8.9,2.8,,,,74.0,6.8,949.9,1012.1,,,1011.1,3.2,19.3,11.5,69.5,18.8,67.7,,1.9,1.1,,94.0,,,,,,,0.8,0.0,270.0,14.2,6.2,,,,
EGO,2025-01-27,5.4,7.7,3.0,,,,94.7,8.5,943.0,1004.8,,,1003.8,1.7,13.1,6.1,47.2,12.5,45.0,,40.8,37.3,,18.0,,,,,,,0.4,0.0,108.0,14.6,6.6,,,,
EGO,2025-01-28,5.0,8.1,3.4,,,,86.0,7.5,941.6,1003.5,,,1002.3,2.9,10.8,10.4,38.9,10.6,38.2,,1.7,5.8,,48.0,,,,,,,0.7,0.0,272.0,15.0,7.0,,,,
EGO,2025-01-29,5.0,8.4,-0.5,,,,76.0,6.5,949.7,1012.0,,,1010.8,4.3,18.0,15.5,64.8,17.6,63.4,,0.1,1.4,,99.0,,,,,,,0.8,0.0,271.0,15.0,7.0,,,,
EGO,2025-01-30,3.3,7.2,-1.2,,,,89.5,6.9,955.5,1018.6,,,1016.9,0.9,3.2,3.2,11.5,3.1,11.2,,1.4,1.0,,46.0,,,,,,,0.4,0.0,288.0,16.7,8.7,,,,
EGO,2025-01-31,3.4,5.2,2.5,,,,92.9,7.2,964.1,1027.9,,,1026.0,2.0,8.3,7.2,29.9,8.1,29.2,,1.4,1.8,,22.0,,,,,,,0.5,0.0,47.0,16.6,8.6,,,,
EGO,2025-02-01,1.2,2.4,0.7,,,,88.4,5.9,963.7,1027.9,,,1025.5,2.3,9.7,8.3,34.9,9.5,34.2,,0.0,0.0,,19.0,,,,,,,0.5,0.0,41.0,18.8,10.8,,,,
EGO,2025-02-02,0.7,1.4,0.1,,,,90.3,5.8,961.2,1025.3,,,1022.9,1.5,5.4,5.4,19.4,5.3,19.1,,0.0,0.0,,28.0,,,,,,,0.4,0.0,100.0,19.3,11.3,,,,
EGO,2025-02-03,0.6,1.5,-0.7,,,,90.3,5.7,964.3,1028.8,,,1026.2,1.2,5.0,4.3,18.0,4.9,17.6,,0.0,0.0,,32.0,,,,,,,0.4,0.0,135.0,19.4,11.4,,,,
EGO,2025-02-04,-0.7,1.9,-3.6,,,,92.3,5.3,967.2,1032.1,,,1029.2,0.9,3.5,3.2,12.6,3.5,12.6,,0.0,0.0,,63.0,,,,,,,0.3,0.0,225.0,20.7,12.7,,,,
EGO,2025-02-05,-2.5,-0.4,-5.5,,,,99.3,5.1,973.3,1039.1,,,1035.7,1.2,5.0,4.3,18.0,4.9,17.6,,0.0,0.0,,47.0,,,,,,,0.2,0.0,114.0,22.5,14.5,,,,
EGO,2025-02-06,-0.3,0.8,-1.6,,,,95.8,5.7,970.3,1035.3,,,1032.5,1.7,6.2,6.1,22.3,6.1,22.0,,0.0,0.0,,19.0,,,,,,,0.3,0.0,101.0,20.3,12.3,,,,
EGO,2025-02-07,0.6,3.8,-2.2,,,,87.6,5.6,960.7,1024.8,,,1022.4,1.5,5.5,5.4,19.8,5.4,19.4,,0.0,0.0,,76.0,,,,,,,0.5,0.0,96.0,19.4,11.4,,,,
EGO,2025-02-08,0.5,6.7,-4.3,,,,90.4,5.7,959.2,1023.3,,,1020.8,0.7,3.1,2.5,11.2,2.8,10.1,,0.0,0.0,,95.0,,,,,,,0.5,0.0,180.0,19.5,11.5,,,,
