station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
EIN,2025-01-01,-1.7,3.9,-5.8,-4.9,-0.2,-7.6,73.8,4.0,919.3,,1530.9,,1025.2,0.5,3.5,1.8,12.6,3.4,12.2,0.0,0.0,0.0,,77.0,229.0,,,16.0,439.0,100.0,0.0,0.0,0.0,21.7,13.7,-0.3,,,
EIN,2025-01-02,0.7,6.2,-3.7,-2.1,0.3,-5.8,75.5,4.8,910.6,,1461.2,,1015.6,1.3,11.6,4.7,41.8,11.1,40.0,0.0,28.2,25.8,,35.0,291.0,,,33.0,13.0,3.0,0.5,0.0,256.0,19.3,11.3,25.7,,,
EIN,2025-01-03,-3.3,-0.9,-9.8,0.1,0.1,0.1,97.1,4.7,914.2,,1483.8,,1019.6,0.8,4.0,2.9,14.4,3.9,14.0,0.0,0.0,2.4,,36.0,270.0,,,33.0,14.0,3.0,0.1,0.0,323.0,23.3,15.3,2.4,,,
EIN,2025-01-04,-7.5,-0.4,-13.2,-0.5,0.1,-1.5,96.6,3.5,911.3,,1450.0,,1016.4,0.2,2.0,0.7,7.2,2.0,7.2,0.0,13.5,4.7,,72.0,237.0,,,24.0,370.0,85.0,0.0,0.0,180.0,27.5,19.5,4.6,,,
EIN,2025-01-05,2.1,4.2,-0.5,0.1,0.1,-0.4,99.3,7.1,902.1,,1389.1,,1006.3,0.6,7.0,2.2,25.2,6.7,24.1,0.0,1.4,10.2,,35.0,307.0,,,34.0,1.0,0.0,0.2,0.0,135.0,17.9,9.9,10.2,,,
EIN,2025-01-06,4.6,12.9,-0.3,0.1,0.5,-0.3,75.5,6.1,897.0,,1348.2,,1000.8,2.2,14.1,7.9,50.8,13.5,48.6,20.0,9.2,8.7,,51.0,289.0,,,32.0,162.0,37.0,0.9,0.0,229.0,15.4,7.4,8.5,,,
EIN,2025-01-07,1.4,4.4,-2.3,-0.3,1.0,-2.7,80.4,5.4,903.0,,1396.0,,1007.3,2.0,13.3,7.2,47.9,12.8,46.1,0.0,1.8,0.6,,57.0,270.0,,,30.0,195.0,44.0,0.3,0.0,242.0,18.6,10.6,0.4,,,
EIN,2025-01-08,3.3,9.1,-1.5,0.0,1.5,-2.6,89.7,7.0,901.8,,1388.9,,1006.0,1.4,21.9,5.0,78.8,21.5,77.4,0.0,6.5,6.0,,24.0,313.0,,,23.0,14.0,3.0,0.5,0.0,198.0,16.7,8.7,6.0,,,
EIN,2025-01-09,3.9,9.0,-1.7,0.9,6.0,-2.4,83.7,6.7,902.4,,1394.6,,1006.6,2.9,19.2,10.4,69.1,17.4,62.6,10.0,6.9,9.1,,44.0,303.0,,,25.0,129.0,29.0,0.6,0.0,263.0,16.1,8.1,9.0,,,
EIN,2025-01-10,-1.5,-0.6,-2.2,-1.9,-0.3,-2.9,84.7,4.6,912.2,,1470.2,,1017.3,1.1,6.8,4.0,24.5,6.5,23.4,0.0,0.9,0.9,,24.0,288.0,,,25.0,0.0,0.0,0.3,0.0,270.0,21.5,13.5,0.9,,,
EIN,2025-01-11,-3.6,-2.0,-8.6,-4.7,0.1,-12.7,91.4,4.3,915.8,,1496.7,,1021.3,1.0,4.3,3.6,15.5,4.2,15.1,0.0,0.0,0.0,,58.0,251.0,,,26.0,173.0,39.0,0.1,0.0,360.0,23.6,15.6,-0.1,,,
