station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
ENG,2025-01-01,1.9,7.4,-3.2,-1.0,6.2,-5.0,51.7,3.5,905.5,,1544.0,,1025.1,1.7,6.4,6.1,23.0,6.0,21.6,0.0,0.0,0.0,20.0,42.0,235.0,,,,147.0,100.0,0.8,0.0,80.0,18.1,10.1,-0.3,,,
ENG,2025-01-02,3.3,8.4,-1.4,2.3,8.2,-1.3,60.0,4.4,896.6,,1467.6,,1015.3,2.5,10.5,9.0,37.8,9.8,35.3,240.0,19.1,15.0,20.0,40.0,293.0,,,,6.0,4.0,1.0,0.0,90.0,16.7,8.7,14.9,,,
ENG,2025-01-03,-5.1,-1.3,-10.5,-6.1,1.3,-13.9,90.3,3.9,899.9,,1482.5,,1018.9,1.5,7.1,5.4,25.6,6.7,24.1,0.0,0.0,4.1,38.0,48.0,247.0,,,,85.0,57.0,0.1,0.0,124.0,25.1,17.1,4.0,,,
ENG,2025-01-04,-6.0,0.6,-11.8,-7.7,0.0,-15.3,90.5,3.7,896.8,,1454.5,,1015.6,1.3,5.3,4.7,19.1,5.2,18.7,0.0,12.6,3.5,32.0,49.0,242.0,,,,147.0,97.0,0.2,0.0,90.0,26.0,18.0,3.4,,,
ENG,2025-01-05,3.8,8.2,0.5,2.9,5.5,0.0,87.9,7.0,888.4,,1394.7,,1006.3,1.8,7.0,6.5,25.2,6.5,23.4,10.0,0.1,9.2,26.0,27.0,305.0,,,,1.0,1.0,0.5,0.0,74.0,16.2,8.2,9.2,,,
ENG,2025-01-06,7.2,11.4,1.4,5.7,8.9,1.0,52.1,5.0,883.3,,1352.5,,1000.7,6.9,24.6,24.8,88.6,23.2,83.5,880.0,4.8,2.6,17.0,36.0,295.0,,,,13.0,9.0,2.3,0.0,93.0,12.8,4.8,2.5,,,
ENG,2025-01-07,1.0,5.2,-1.4,-0.3,3.6,-3.0,72.2,4.7,889.0,,1396.8,,1007.0,2.0,9.6,7.2,34.6,9.0,32.4,0.0,1.6,2.2,11.0,33.0,260.0,,,,71.0,46.0,0.7,0.0,60.0,19.0,11.0,2.1,,,
ENG,2025-01-08,4.0,9.9,0.3,2.7,6.8,-0.6,79.3,6.5,888.2,,1393.5,,1006.1,1.9,8.2,6.8,29.5,7.8,28.1,40.0,5.0,6.6,10.0,19.0,309.0,,,,1.0,1.0,0.8,0.0,77.0,16.0,8.0,6.5,,,
ENG,2025-01-09,4.5,11.2,-2.4,3.1,9.6,-2.7,71.6,5.9,888.5,,1396.3,,1006.4,3.0,15.3,10.8,55.1,14.1,50.8,200.0,10.2,9.2,8.0,28.0,302.0,,,,0.0,0.0,1.1,0.0,360.0,15.5,7.5,9.1,,,
ENG,2025-01-10,-2.8,-2.1,-3.6,-2.5,0.0,-4.2,89.6,4.5,897.7,,1468.1,,1016.6,1.3,7.9,4.7,28.4,7.5,27.0,0.0,6.4,4.4,10.0,26.0,289.0,,,,0.0,0.0,0.3,0.0,225.0,22.8,14.8,4.4,,,
ENG,2025-01-11,-3.4,-1.9,-6.3,-3.3,-1.0,-7.1,93.7,4.5,901.1,,1496.2,,1020.3,1.8,6.7,6.5,24.1,6.6,23.8,0.0,0.9,3.9,15.0,19.0,290.0,,,,0.0,0.0,0.2,0.0,242.0,23.4,15.4,3.9,,,
ENG,2025-01-12,-8.1,-6.4,-11.5,-8.9,-3.4,-13.5,81.4,2.7,910.2,,1565.5,,1030.4,1.4,4.2,5.0,15.1,3.9,14.0,0.0,0.0,0.0,15.0,65.0,228.0,,,,187.0,100.0,0.1,0.0,95.0,28.1,20.1,-0.1,,,
ENG,2025-01-13,-9.3,-6.9,-13.6,-10.5,-2.8,-14.0,85.5,2.6,911.5,,1573.7,,1031.8,1.5,4.2,5.4,15.1,3.8,13.7,0.0,0.0,0.0,14.0,59.0,211.0,,,,189.0,100.0,0.1,0.0,95.0,29.3,21.3,-0.1,,,
ENG,2025-01-14,-7.2,-3.4,-11.2,-8.9,-2.7,-12.3,87.1,3.1,909.4,,1560.0,,1029.5,1.5,5.1,5.4,18.4,4.9,17.6,0.0,0.0,0.0,14.0,57.0,215.0,,,,191.0,100.0,0.2,0.0,98.0,27.2,19.2,-0.1,,,
ENG,2025-01-15,-2.8,1.5,-7.7,-3.8,3.8,-8.4,78.3,3.9,907.8,,1555.5,,1027.7,1.3,6.4,4.7,23.0,6.1,22.0,0.0,0.0,0.0,14.0,45.0,259.0,,,,64.0,34.0,0.3,0.0,101.0,22.8,14.8,-0.1,,,
ENG,2025-01-16,-4.8,-1.9,-8.1,-5.2,2.4,-9.4,87.3,3.7,909.4,,1565.4,,1029.5,1.4,5.7,5.0,20.5,5.5,19.8,0.0,0.0,0.0,14.0,63.0,251.0,,,,196.0,100.0,0.2,0.0,95.0,24.8,16.8,-0.1,,,
ENG,2025-01-17,-6.5,-2.5,-9.6,-8.0,-0.3,-11.1,90.1,3.4,910.2,,1568.1,,1030.3,1.1,3.8,4.0,13.7,3.6,13.0,0.0,0.0,0.0,15.0,60.0,221.0,,,,199.0,100.0,0.2,0.0,90.0,26.5,18.5,-0.1,,,
ENG,2025-01-18,-5.2,0.9,-10.4,-6.5,0.0,-11.8,82.7,3.4,905.3,,1529.2,,1025.0,1.4,6.9,5.0,24.8,6.2,22.3,0.0,0.0,0.0,15.0,62.0,229.0,,,,209.0,100.0,0.3,0.0,79.0,25.2,17.2,-0.1,,,
ENG,2025-01-19,1.6,6.9,-3.3,0.0,4.8,-4.6,64.3,4.4,899.6,,1492.1,,1018.7,1.8,10.9,6.5,39.2,10.4,37.4,80.0,0.0,0.0,15.0,34.0,264.0,,,,30.0,14.0,0.8,0.0,67.0,18.4,10.4,-0.1,,,
ENG,2025-01-20,1.5,4.5,-2.0,0.3,8.6,-4.1,64.1,4.4,898.2,,1479.7,,1017.2,1.3,6.1,4.7,22.0,6.0,21.6,0.0,0.0,0.0,15.0,53.0,260.0,,,,86.0,37.0,0.5,0.0,81.0,18.5,10.5,-0.1,,,
ENG,2025-01-21,-0.4,3.4,-2.9,-2.5,7.3,-5.5,67.0,3.9,896.3,,1459.4,,1015.0,1.1,3.7,4.0,13.3,3.4,12.2,0.0,0.0,0.0,15.0,70.0,234.0,,,,245.0,100.0,0.4,0.0,90.0,20.4,12.4,-0.2,,,
ENG,2025-01-22,1.8,4.9,-3.1,0.6,8.7,-4.4,60.8,4.2,890.8,,1413.7,,1008.9,1.3,5.7,4.7,20.5,5.6,20.2,0.0,0.0,0.0,15.0,47.0,275.0,,,,24.0,10.0,0.6,0.0,90.0,18.2,10.2,-0.1,,,
ENG,2025-01-23,1.8,4.9,-1.8,1.1,5.2,-3.2,85.3,5.9,892.4,,1427.8,,1010.7,1.6,5.6,5.8,20.2,5.5,19.8,0.0,7.1,7.1,13.0,39.0,292.0,,,,6.0,2.0,0.4,0.0,108.0,18.2,10.2,7.1,,,
ENG,2025-01-24,4.0,11.8,-1.4,2.9,14.4,-2.8,59.5,4.7,895.3,,1457.1,,1013.9,1.8,7.9,6.5,28.4,7.8,28.1,0.0,0.0,0.0,11.0,60.0,283.0,,,,92.0,35.0,1.0,0.0,90.0,16.0,8.0,-0.2,,,
ENG,2025-01-25,7.2,11.0,3.4,6.1,14.7,2.5,51.4,5.1,892.6,,1437.8,,1010.9,2.5,18.0,9.0,64.8,17.3,62.3,280.0,3.7,0.0,11.0,81.0,285.0,,,,269.0,99.0,1.2,0.0,86.0,12.8,4.8,-0.4,,,
ENG,2025-01-26,2.5,7.4,0.6,2.2,9.1,-0.6,63.8,4.6,892.1,,1426.7,,1010.4,2.4,11.0,8.6,39.6,10.9,39.2,0.0,0.0,3.7,9.0,87.0,274.0,,,,283.0,100.0,0.9,0.0,85.0,17.5,9.5,3.4,,,
ENG,2025-01-27,5.2,10.9,0.9,4.2,11.1,0.3,70.8,6.1,885.8,,1372.7,,1003.4,3.1,20.4,11.2,73.4,19.0,68.4,300.0,27.8,11.4,7.0,37.0,312.0,,,,47.0,16.0,1.2,0.0,96.0,14.8,6.8,11.3,,,
ENG,2025-01-28,0.8,2.7,-1.0,0.4,3.0,-2.7,91.8,6.0,884.1,,1351.8,,1001.5,1.4,6.1,5.0,22.0,5.9,21.2,0.0,2.9,19.1,9.0,38.0,294.0,,,,0.0,0.0,0.4,0.0,79.0,19.2,11.2,19.1,,,
ENG,2025-01-29,1.5,5.5,-2.4,0.0,6.6,-5.0,76.4,5.2,891.7,,1421.4,,1009.9,1.6,9.0,5.8,32.4,9.0,32.4,10.0,0.1,0.3,8.0,90.0,258.0,,,,322.0,98.0,0.5,0.0,83.0,18.5,10.5,0.1,,,
ENG,2025-01-30,1.8,6.0,-1.6,0.7,8.9,-3.4,68.2,4.7,896.9,,1468.4,,1015.7,1.3,5.1,4.7,18.4,5.0,18.0,0.0,0.2,0.0,8.0,72.0,275.0,,,,106.0,32.0,0.6,0.0,153.0,18.2,10.2,-0.1,,,
