station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
EVI,2025-01-01,3.4,6.2,1.3,,,,56.6,4.4,970.3,1029.4,,,1027.6,6.6,15.0,23.8,54.0,14.4,51.8,0.0,0.0,0.0,,59.0,,,,12.0,246.0,100.0,1.7,0.0,152.0,16.6,8.6,-0.3,,,
EVI,2025-01-02,4.1,10.4,-0.5,,,,68.3,5.6,961.7,1020.2,,,1018.6,3.3,15.9,11.9,57.2,14.4,51.8,90.0,20.9,12.3,,56.0,,,,38.0,135.0,55.0,1.1,0.0,191.0,15.9,7.9,12.1,,,
EVI,2025-01-03,1.9,5.0,-0.8,,,,82.3,5.8,963.7,1022.7,,,1020.7,3.5,13.0,12.6,46.8,11.8,42.5,0.0,0.0,8.6,,62.0,,,,15.0,248.0,100.0,0.5,0.0,327.0,18.1,10.1,8.5,,,
EVI,2025-01-04,0.3,2.0,-1.7,,,,69.7,4.4,961.7,1021.0,,,1018.6,6.1,15.9,22.0,57.2,15.3,55.1,0.0,1.3,0.5,,58.0,,,,38.0,168.0,68.0,0.9,0.0,145.0,19.7,11.7,0.3,,,
EVI,2025-01-05,5.9,12.7,1.2,,,,81.2,7.4,951.8,1009.3,,,1008.3,8.8,24.8,31.7,89.3,23.0,82.8,140.0,0.0,0.8,,40.0,,,,28.0,72.0,29.0,1.7,0.0,146.0,14.1,6.1,0.7,,,
EVI,2025-01-06,11.3,14.4,5.1,,,,52.8,6.5,945.7,1001.6,,,1001.8,8.0,24.4,28.8,87.8,23.6,85.0,900.0,7.9,7.5,,38.0,,,,34.0,13.0,5.0,2.8,0.0,185.0,8.7,0.7,7.4,,,
EVI,2025-01-07,5.5,8.3,3.1,,,,74.0,6.6,953.2,1010.8,,,1009.7,2.4,13.8,8.6,49.7,13.0,46.8,0.0,0.3,0.4,,46.0,,,,29.0,125.0,50.0,0.7,0.0,90.0,14.5,6.5,0.3,,,
EVI,2025-01-08,5.2,7.5,3.1,,,,79.4,7.0,952.7,1010.4,,,1009.2,6.8,16.3,24.5,58.7,16.0,57.6,0.0,6.3,5.1,,29.0,,,,26.0,5.0,2.0,1.0,0.0,144.0,14.8,6.8,5.1,,,
EVI,2025-01-09,6.4,8.4,2.8,,,,86.5,8.4,952.8,1010.2,,,1009.3,5.8,22.0,20.9,79.2,20.8,74.9,0.0,10.4,11.9,,25.0,,,,23.0,0.0,0.0,0.5,0.0,155.0,13.6,5.6,11.9,,,
EVI,2025-01-10,1.9,3.5,0.4,,,,86.4,6.0,961.3,1020.2,,,1018.3,3.9,13.7,14.0,49.3,12.9,46.4,0.0,2.9,2.0,,18.0,,,,17.0,0.0,0.0,0.6,0.0,331.0,18.1,10.1,2.0,,,
EVI,2025-01-11,1.3,2.3,0.0,,,,90.6,6.1,963.8,1023.0,,,1020.8,5.3,13.5,19.1,48.6,12.2,43.9,0.0,1.4,2.3,,35.0,,,,32.0,3.0,1.0,0.4,0.0,328.0,18.7,10.7,2.3,,,
