station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
EVO,2025-01-01,1.7,4.6,-0.6,-2.4,-1.1,-3.0,32.6,2.2,823.4,,1571.6,,1026.9,1.5,5.0,5.4,18.0,4.8,17.3,,0.0,0.0,,84.0,,,,,349.0,100.0,0.6,0.0,45.0,18.3,10.3,-0.8,,,
EVO,2025-01-02,0.1,3.0,-3.2,-2.0,-0.9,-3.2,50.9,3.0,814.8,,1488.4,,1016.6,1.5,4.9,5.4,17.6,4.8,17.3,,11.2,3.9,,64.0,,,,,112.0,32.0,0.5,0.0,45.0,19.9,11.9,3.7,,,
EVO,2025-01-03,-5.3,-2.4,-8.0,-0.7,-0.6,-1.0,53.4,2.3,813.6,,1483.4,,1015.2,1.3,13.6,4.7,49.0,13.2,47.5,,0.0,7.3,,89.0,,,,,350.0,100.0,0.3,0.0,27.0,25.3,17.3,6.8,,,
EVO,2025-01-04,-1.6,2.9,-7.7,-1.3,-0.8,-1.6,42.5,2.5,813.0,,1472.1,,1014.4,1.1,5.4,4.0,19.4,5.2,18.7,,1.5,0.7,,77.0,,,,,283.0,81.0,0.4,0.0,72.0,21.6,13.6,0.2,,,
EVO,2025-01-05,5.3,9.4,0.9,-0.2,0.0,-0.8,70.6,6.2,809.0,,1422.4,,1009.7,1.2,5.5,4.3,19.8,5.5,19.8,,0.0,0.8,,43.0,,,,,5.0,1.0,0.5,0.0,56.0,14.7,6.7,0.7,,,
EVO,2025-01-06,1.0,6.4,-2.4,0.0,0.0,-0.1,67.8,4.3,803.5,,1373.8,,1003.1,1.8,16.5,6.5,59.4,15.9,57.2,,4.2,1.4,,54.0,,,,,33.0,9.0,0.7,0.0,108.0,19.0,11.0,1.3,,,
EVO,2025-01-07,-2.4,-0.6,-4.1,-0.5,-0.1,-1.3,63.7,3.2,807.0,,1414.4,,1007.3,1.1,8.8,4.0,31.7,8.5,30.6,,0.4,2.8,,92.0,,,,,351.0,100.0,0.2,0.0,72.0,22.4,14.4,2.5,,,
EVO,2025-01-08,2.4,7.4,-2.4,-0.5,0.0,-1.3,69.4,5.1,808.4,,1421.1,,1009.0,1.7,7.4,6.1,26.6,7.3,26.3,,3.8,3.1,,46.0,,,,,75.0,21.0,0.6,0.0,45.0,17.6,9.6,3.0,,,
EVO,2025-01-09,0.3,2.7,-3.3,0.0,0.0,-0.1,86.3,5.4,807.4,,1414.3,,1007.8,1.7,13.4,6.1,48.2,13.1,47.2,,1.4,2.5,,44.0,,,,,4.0,1.0,0.3,0.0,360.0,19.7,11.7,2.5,,,
EVO,2025-01-10,-2.8,2.9,-5.8,-0.4,0.0,-0.6,86.0,4.3,811.7,,1461.3,,1012.9,1.0,10.7,3.6,38.5,10.4,37.4,,5.8,5.8,,18.0,,,,,0.0,0.0,0.5,0.0,63.0,22.8,14.8,5.8,,,
EVO,2025-01-11,-3.9,0.5,-10.6,-0.5,-0.3,-0.8,79.8,3.7,813.5,,1479.9,,1015.0,1.2,3.9,4.3,14.0,3.8,13.7,,0.0,0.0,,64.0,,,,,27.0,8.0,0.2,0.0,22.0,23.9,15.9,-0.1,,,
EVO,2025-01-12,-9.9,-7.3,-12.3,-1.3,-0.8,-1.9,75.4,2.2,820.2,,1552.7,,1023.1,1.0,5.0,3.6,18.0,4.8,17.3,,0.0,0.0,,93.0,,,,,357.0,100.0,0.1,0.0,45.0,29.9,21.9,-0.3,,,
