station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
FLU,2025-01-01,4.1,11.4,-1.2,,,,41.7,3.3,,,,,,3.5,14.8,12.6,53.3,14.3,51.5,,0.0,0.0,,,,,,,,,,0.0,170.0,15.9,7.9,,,,
FLU,2025-01-02,6.0,9.9,-0.6,,,,51.1,4.3,,,,,,4.2,15.7,15.1,56.5,14.8,53.3,,21.3,19.8,,,,,,,,,,0.0,167.0,14.0,6.0,,,,
FLU,2025-01-03,-3.5,-0.3,-8.8,,,,87.9,4.2,,,,,,2.5,8.8,9.0,31.7,8.4,30.2,,0.0,1.5,,,,,,,,,,0.0,166.0,23.5,15.5,,,,
FLU,2025-01-04,-5.7,1.4,-10.6,,,,88.1,3.7,,,,,,2.7,8.6,9.7,31.0,8.4,30.2,,16.7,5.4,,,,,,,,,,0.0,173.0,25.7,17.7,,,,
FLU,2025-01-05,5.4,9.7,1.6,,,,89.1,8.0,,,,,,3.1,10.7,11.2,38.5,10.1,36.4,,1.2,12.5,,,,,,,,,,0.0,172.0,14.6,6.6,,,,
FLU,2025-01-06,4.6,8.7,1.4,,,,78.3,6.6,,,,,,3.0,19.2,10.8,69.1,17.7,63.7,,17.2,17.2,,,,,,,,,,0.0,153.0,15.4,7.4,,,,
FLU,2025-01-07,3.1,5.4,0.4,,,,59.8,4.5,,,,,,4.5,15.9,16.2,57.2,15.7,56.5,,4.3,0.0,,,,,,,,,,0.0,159.0,16.9,8.9,,,,
FLU,2025-01-08,6.4,11.7,1.1,,,,73.3,7.1,,,,,,3.8,18.0,13.7,64.8,17.4,62.6,,9.3,11.9,,,,,,,,,,0.0,166.0,13.6,5.6,,,,
FLU,2025-01-09,5.8,11.1,-1.5,,,,71.7,6.5,,,,,,4.5,16.9,16.2,60.8,16.6,59.8,,11.7,13.4,,,,,,,,,,0.0,166.0,14.2,6.2,,,,
FLU,2025-01-10,-1.5,-0.6,-2.5,,,,86.0,4.7,,,,,,2.4,11.1,8.6,40.0,10.7,38.5,,4.7,3.1,,,,,,,,,,0.0,180.0,21.5,13.5,,,,
FLU,2025-01-11,-3.5,-1.9,-8.1,,,,92.8,4.4,,,,,,1.8,8.3,6.5,29.9,6.7,24.1,,0.1,1.7,,,,,,,,,,0.0,172.0,23.5,15.5,,,,
FLU,2025-01-12,-6.8,-3.7,-10.3,,,,87.4,3.2,,,,,,2.5,8.8,9.0,31.7,8.1,29.2,,0.0,0.0,,,,,,,,,,0.0,177.0,26.8,18.8,,,,
FLU,2025-01-13,-7.3,-4.8,-10.6,,,,89.3,3.2,,,,,,2.8,10.9,10.1,39.2,10.6,38.2,,0.0,0.0,,,,,,,,,,0.0,177.0,27.3,19.3,,,,
FLU,2025-01-14,-6.7,-2.8,-9.5,,,,91.6,3.4,,,,,,2.9,9.7,10.4,34.9,9.4,33.8,,0.0,0.0,,,,,,,,,,0.0,176.0,26.7,18.7,,,,
FLU,2025-01-15,-1.3,2.5,-6.1,,,,78.6,4.3,,,,,,2.4,9.5,8.6,34.2,9.3,33.5,,0.0,0.0,,,,,,,,,,0.0,177.0,21.3,13.3,,,,
FLU,2025-01-16,-2.1,0.2,-5.5,,,,91.1,4.8,,,,,,2.2,10.7,7.9,38.5,10.4,37.4,,0.0,0.0,,,,,,,,,,0.0,176.0,22.1,14.1,,,,
FLU,2025-01-17,-5.2,-2.4,-8.2,,,,97.6,4.1,,,,,,3.0,9.1,10.8,32.8,8.8,31.7,,0.0,0.0,,,,,,,,,,0.0,182.0,25.2,17.2,,,,
FLU,2025-01-18,-4.3,0.4,-8.0,,,,96.4,4.4,,,,,,2.8,8.8,10.1,31.7,8.4,30.2,,0.0,0.0,,,,,,,,,,0.0,180.0,24.3,16.3,,,,
FLU,2025-01-19,0.7,7.4,-4.0,,,,70.8,4.5,,,,,,2.9,10.0,10.4,36.0,9.6,34.6,,0.0,0.0,,,,,,,,,,0.0,172.0,19.3,11.3,,,,
FLU,2025-01-20,2.2,7.1,-1.0,,,,63.0,4.5,,,,,,2.9,9.8,10.4,35.3,9.2,33.1,,0.0,0.0,,,,,,,,,,0.0,171.0,17.8,9.8,,,,
FLU,2025-01-21,0.9,5.6,-2.1,,,,67.7,4.4,,,,,,3.0,8.9,10.8,32.0,8.6,31.0,,0.0,0.0,,,,,,,,,,0.0,173.0,19.1,11.1,,,,
FLU,2025-01-22,2.2,5.2,-0.7,,,,65.3,4.7,,,,,,2.7,9.3,9.7,33.5,9.0,32.4,,0.3,0.0,,,,,,,,,,0.0,171.0,17.8,9.8,,,,
FLU,2025-01-23,3.0,5.5,-0.6,,,,84.8,6.4,,,,,,4.0,13.7,14.4,49.3,13.4,48.2,,13.8,14.1,,,,,,,,,,0.0,171.0,17.0,9.0,,,,
FLU,2025-01-24,4.8,14.8,-0.5,,,,60.9,5.0,,,,,,2.6,10.5,9.4,37.8,9.9,35.6,,0.0,0.0,,,,,,,,,,0.0,169.0,15.2,7.2,,,,
FLU,2025-01-25,7.2,11.4,3.7,,,,50.4,5.1,,,,,,2.1,18.8,7.6,67.7,18.5,66.6,,9.1,0.0,,,,,,,,,,0.0,153.0,12.8,4.8,,,,
FLU,2025-01-26,3.5,6.7,-0.1,,,,70.0,5.4,,,,,,3.8,17.5,13.7,63.0,16.8,60.5,,1.4,9.1,,,,,,,,,,0.0,168.0,16.5,8.5,,,,
