station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
FRE,2025-01-01,5.8,8.0,3.4,4.0,7.4,0.4,31.5,2.9,887.3,,1556.9,,1025.5,3.2,10.8,11.5,38.9,10.0,36.0,,0.0,0.0,23.0,88.0,,,,19.0,461.0,100.0,1.4,0.0,225.0,14.2,6.2,-1.0,,,
FRE,2025-01-02,1.6,4.9,-2.5,1.0,3.6,-3.2,73.7,4.9,879.3,,1479.4,,1016.5,4.1,18.2,14.8,65.5,17.7,63.7,,8.0,8.0,23.0,23.0,,,,17.0,30.0,6.0,0.9,0.0,213.0,18.4,10.4,7.9,,,
FRE,2025-01-03,-5.3,-2.2,-9.2,-8.8,-2.3,-15.4,83.8,3.5,880.8,,1485.3,,1018.1,1.3,4.6,4.7,16.6,4.4,15.8,,0.0,0.0,37.0,79.0,,,,21.0,427.0,92.0,0.1,0.0,342.0,25.3,17.3,-0.2,,,
FRE,2025-01-04,-3.8,2.8,-8.7,-6.3,2.2,-18.0,91.6,4.5,877.9,,1461.0,,1014.9,1.8,10.7,6.5,38.5,10.1,36.4,,14.8,8.3,33.0,56.0,,,,42.0,93.0,20.0,0.2,0.0,228.0,23.8,15.8,8.3,,,
FRE,2025-01-05,6.7,9.9,2.8,5.8,9.0,2.3,69.8,6.6,870.8,,1404.6,,1006.9,3.1,13.3,11.2,47.9,12.9,46.4,,0.1,6.6,22.0,66.0,,,,38.0,149.0,32.0,0.8,0.0,208.0,13.3,5.3,6.4,,,
FRE,2025-01-06,3.8,8.0,0.2,2.9,6.0,-0.2,77.0,6.1,865.4,,1352.3,,1000.8,4.1,18.4,14.8,66.2,17.9,64.4,,16.5,16.5,16.0,13.0,,,,10.0,0.0,0.0,1.0,0.0,207.0,16.2,8.2,16.4,,,
FRE,2025-01-07,0.4,2.5,-0.6,-0.1,1.7,-1.9,81.3,5.1,871.3,,1405.0,,1007.5,5.0,17.3,18.0,62.3,16.2,58.3,,4.2,1.6,13.0,37.0,,,,30.0,20.0,4.0,0.7,0.0,219.0,19.6,11.6,1.5,,,
FRE,2025-01-08,4.6,8.5,0.9,3.7,6.9,0.6,89.8,7.6,870.8,,1403.6,,1006.9,4.7,17.3,16.9,62.3,16.7,60.1,,13.1,15.5,12.0,14.0,,,,11.0,0.0,0.0,0.7,0.0,212.0,15.4,7.4,15.5,,,
FRE,2025-01-09,1.8,5.4,-4.6,1.4,4.3,-4.7,94.4,6.8,871.0,,1402.7,,1007.1,5.3,22.4,19.1,80.6,19.3,69.5,,11.0,11.2,3.0,10.0,,,,7.0,0.0,0.0,0.1,0.0,210.0,18.2,10.2,11.2,,,
FRE,2025-01-10,-3.9,-1.5,-4.8,-3.9,-2.4,-5.4,90.0,4.1,878.6,,1466.9,,1015.6,1.0,8.6,3.6,31.0,8.2,29.5,,0.9,0.7,0.0,24.0,,,,21.0,0.0,0.0,0.3,0.0,135.0,23.9,15.9,0.7,,,
