station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
FRU,2025-01-01,-3.6,4.1,-8.4,,,,84.7,4.0,,,,,,1.1,2.9,4.0,10.4,2.9,10.4,,0.0,0.0,,71.0,234.0,,,12.0,332.0,100.0,,0.0,216.0,23.6,15.6,-0.2,,,
FRU,2025-01-02,3.0,11.3,-5.1,,,,68.9,4.7,,,,,,3.7,18.9,13.3,68.0,18.3,65.9,,8.8,6.5,,45.0,300.0,,,34.0,75.0,23.0,,0.0,229.0,17.0,9.0,6.4,,,
FRU,2025-01-03,-2.0,1.1,-10.1,,,,93.7,5.1,,,,,,1.4,5.9,5.0,21.2,5.7,20.5,,0.0,2.3,,70.0,265.0,,,29.0,234.0,71.0,,0.0,326.0,22.0,14.0,2.2,,,
FRU,2025-01-04,-6.4,-0.3,-13.0,,,,93.9,3.7,,,,,,1.0,3.6,3.6,13.0,3.6,13.0,,8.6,2.1,,55.0,249.0,,,35.0,161.0,48.0,,0.0,225.0,26.4,18.4,2.1,,,
FRU,2025-01-05,2.0,5.0,-0.1,,,,99.9,7.1,,,,,,1.2,3.9,4.3,14.0,3.6,13.0,,0.0,6.5,,45.0,306.0,,,27.0,117.0,35.0,,0.0,219.0,18.0,10.0,6.5,,,
FRU,2025-01-06,3.0,7.1,0.1,,,,92.8,7.0,,,,,,1.4,5.9,5.0,21.2,5.8,20.9,,3.8,3.5,,35.0,309.0,,,27.0,45.0,13.0,,0.0,256.0,17.0,9.0,3.5,,,
FRU,2025-01-07,3.1,8.1,-0.8,,,,68.4,4.8,,,,,,3.4,19.9,12.2,71.6,19.4,69.8,,1.0,0.3,,62.0,278.0,,,34.0,153.0,46.0,,0.0,214.0,16.9,8.9,0.1,,,
FRU,2025-01-08,2.9,7.3,-0.1,,,,95.4,7.3,,,,,,1.4,4.7,5.0,16.9,4.6,16.6,,4.6,5.6,,35.0,316.0,,,27.0,54.0,16.0,,0.0,236.0,17.1,9.1,5.6,,,
FRU,2025-01-09,6.0,12.6,-0.2,,,,77.6,7.0,,,,,,3.9,15.3,14.0,55.1,14.1,50.8,,5.2,4.6,,41.0,321.0,,,34.0,40.0,12.0,,0.0,231.0,14.0,6.0,4.5,,,
FRU,2025-01-10,-0.8,-0.2,-1.6,,,,96.9,5.6,,,,,,1.1,8.6,4.0,31.0,8.5,30.6,,5.0,2.9,,23.0,303.0,,,22.0,0.0,0.0,,0.0,360.0,20.8,12.8,2.9,,,
FRU,2025-01-11,-1.1,-0.1,-3.0,,,,93.2,5.3,,,,,,1.3,5.5,4.7,19.8,5.3,19.1,,1.2,3.9,,22.0,303.0,,,21.0,0.0,0.0,,0.0,24.0,21.1,13.1,3.9,,,
FRU,2025-01-12,-6.1,-1.5,-11.3,,,,84.5,3.3,,,,,,1.0,4.1,3.6,14.8,4.0,14.4,,0.0,0.0,,81.0,227.0,,,23.0,338.0,98.0,,0.0,252.0,26.1,18.1,-0.1,,,
FRU,2025-01-13,-8.2,-1.3,-12.2,,,,85.3,2.8,,,,,,1.3,5.7,4.7,20.5,5.4,19.4,,0.0,0.0,,81.0,205.0,,,13.0,350.0,100.0,,0.0,217.0,28.2,20.2,-0.1,,,
FRU,2025-01-14,-7.3,-1.6,-10.5,,,,94.0,3.3,,,,,,1.2,6.3,4.3,22.7,5.8,20.9,,0.0,0.0,,79.0,223.0,,,14.0,351.0,100.0,,0.0,225.0,27.3,19.3,-0.1,,,
FRU,2025-01-15,-3.9,4.1,-10.3,,,,86.8,4.0,,,,,,1.0,4.4,3.6,15.8,4.3,15.5,,0.0,0.0,,69.0,247.0,,,34.0,200.0,57.0,,0.0,214.0,23.9,15.9,-0.1,,,
FRU,2025-01-16,-3.6,2.1,-8.6,,,,87.0,4.1,,,,,,1.3,6.2,4.7,22.3,5.6,20.2,,0.0,0.0,,77.0,243.0,,,26.0,287.0,82.0,,0.0,217.0,23.6,15.6,-0.1,,,
