station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GEN,2025-01-01,-0.4,1.3,-1.1,,,,92.4,5.5,847.1,,1573.8,,1027.3,2.9,7.7,10.4,27.7,7.5,27.0,,0.0,0.0,,37.0,,,,,1.0,0.0,0.3,0.0,321.0,20.4,12.4,0.0,,,
GEN,2025-01-02,-1.8,-0.8,-2.8,,,,97.6,5.2,838.7,,1494.3,,1017.4,2.3,9.3,8.3,33.5,9.0,32.4,,0.6,0.6,,13.0,,,,,5.0,1.0,0.3,0.0,117.0,21.8,13.8,0.6,,,
GEN,2025-01-03,-1.3,0.3,-2.9,,,,31.5,1.8,834.2,,1451.7,,1012.2,6.1,22.0,22.0,79.2,20.3,73.1,,0.0,0.0,,89.0,,,,,478.0,100.0,1.6,0.0,321.0,21.3,13.3,-0.9,,,
GEN,2025-01-04,-3.3,-2.0,-5.5,,,,50.9,2.4,837.1,,1480.3,,1015.6,2.9,7.2,10.4,25.9,6.8,24.5,,0.0,0.0,,68.0,,,,,349.0,75.0,0.7,0.0,323.0,23.3,15.3,-0.5,,,
GEN,2025-01-05,-1.5,0.3,-3.4,,,,93.5,5.1,834.8,,1457.2,,1012.9,3.1,10.3,11.2,37.1,9.7,34.9,,5.4,1.0,,15.0,,,,,0.0,0.0,0.3,0.0,111.0,21.5,13.5,1.0,,,
GEN,2025-01-06,-0.7,0.3,-1.9,,,,99.2,5.8,830.9,,1418.7,,1008.3,6.8,13.5,24.5,48.6,12.4,44.6,,48.3,45.1,,5.0,,,,,0.0,0.0,0.2,0.0,136.0,20.7,12.7,45.1,,,
GEN,2025-01-07,-1.7,0.0,-3.2,,,,88.3,4.8,828.9,,1400.6,,1006.0,4.0,11.7,14.4,42.1,10.9,39.2,,0.3,7.9,,86.0,,,,,321.0,69.0,0.3,0.0,135.0,21.7,13.7,7.8,,,
GEN,2025-01-08,-0.5,0.7,-2.3,,,,98.0,5.8,833.1,,1440.5,,1010.9,3.6,9.8,13.0,35.3,9.5,34.2,,6.8,3.9,,20.0,,,,,0.0,0.0,0.2,0.0,147.0,20.5,12.5,3.9,,,
GEN,2025-01-09,-0.1,1.2,-0.6,,,,98.6,6.0,830.0,,1410.4,,1007.3,5.2,16.9,18.7,60.8,16.1,58.0,,0.6,3.5,,32.0,,,,,8.0,2.0,0.3,0.0,117.0,20.1,12.1,3.5,,,
GEN,2025-01-10,-2.2,0.7,-4.5,,,,67.3,3.4,832.9,,1438.9,,1010.6,6.5,22.0,23.4,79.2,21.0,75.6,,0.9,0.9,,54.0,,,,,211.0,45.0,1.0,0.0,322.0,22.2,14.2,0.7,,,
GEN,2025-01-11,-4.1,-1.7,-6.5,,,,58.2,2.6,835.0,,1460.5,,1013.1,4.5,22.7,16.2,81.7,20.1,72.4,,0.0,0.0,,65.0,,,,,283.0,60.0,0.9,0.0,323.0,24.1,16.1,-0.3,,,
GEN,2025-01-12,-3.2,-1.3,-5.5,,,,34.5,1.7,840.7,,1514.4,,1019.8,6.8,16.6,24.5,59.8,15.7,56.5,,0.0,0.0,,95.0,,,,,521.0,100.0,1.5,0.0,326.0,23.2,15.2,-0.8,,,
GEN,2025-01-13,-2.9,0.8,-9.2,,,,41.7,1.8,846.0,,1563.3,,1026.0,4.9,18.6,17.6,67.0,16.8,60.5,,0.0,0.0,,100.0,,,,,525.0,100.0,1.2,0.0,327.0,22.9,14.9,-0.7,,,
GEN,2025-01-14,-1.6,1.8,-9.1,,,,28.0,1.4,846.9,,1571.8,,1027.0,3.8,8.3,13.7,29.9,8.0,28.8,,0.0,0.0,,98.0,,,,,503.0,100.0,1.3,0.0,318.0,21.6,13.6,-0.8,,,
