station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GES,2025-01-01,0.2,1.8,-0.8,,,,99.5,6.2,964.5,1028.9,,,1026.3,1.0,6.7,3.6,24.1,6.6,23.8,,0.0,0.0,,,,,,,,,,0.0,360.0,19.8,11.8,,,,
GES,2025-01-02,3.5,7.2,0.0,,,,82.8,6.4,955.3,1018.2,,,1016.5,1.5,7.0,5.4,25.2,6.9,24.8,,25.6,22.1,,,,,,,,,,0.0,360.0,16.5,8.5,,,,
GES,2025-01-03,0.9,1.8,-0.8,,,,91.7,6.0,960.0,1023.8,,,1021.5,1.0,4.7,3.6,16.9,4.4,15.8,,0.0,3.5,,,,,,,,,,0.0,14.0,19.1,11.1,,,,
GES,2025-01-04,-1.2,0.4,-4.1,,,,87.0,4.9,957.2,1021.4,,,1018.5,1.2,5.8,4.3,20.9,5.6,20.2,,6.9,2.0,,,,,,,,,,0.0,360.0,21.2,13.2,,,,
GES,2025-01-05,4.5,11.9,0.2,,,,95.6,8.0,946.0,1008.1,,,1006.7,1.2,13.6,4.3,49.0,13.0,46.8,,0.1,5.0,,,,,,,,,,0.0,360.0,15.5,7.5,,,,
GES,2025-01-06,9.4,14.9,5.0,,,,61.1,6.9,940.5,1001.1,,,1001.0,3.7,28.5,13.3,102.6,27.5,99.0,,12.7,11.6,,,,,,,,,,0.0,85.0,10.6,2.6,,,,
GES,2025-01-07,5.2,7.7,3.3,,,,74.3,6.6,947.3,1009.3,,,1008.1,1.6,10.0,5.8,36.0,9.3,33.5,,1.2,1.1,,,,,,,,,,0.0,315.0,14.8,6.8,,,,
GES,2025-01-08,6.9,12.6,3.7,,,,82.4,8.2,945.7,1007.2,,,1006.4,1.5,9.5,5.4,34.2,9.2,33.1,,3.8,4.2,,,,,,,,,,0.0,9.0,13.1,5.1,,,,
GES,2025-01-09,7.4,12.1,2.2,,,,76.2,7.9,946.3,1007.7,,,1007.1,2.4,22.6,8.6,81.4,21.7,78.1,,7.0,7.8,,,,,,,,,,0.0,34.0,12.6,4.6,,,,
GES,2025-01-10,1.6,2.7,0.2,,,,79.2,5.4,957.7,1021.3,,,1019.1,0.9,6.6,3.2,23.8,6.5,23.4,,4.1,3.0,,,,,,,,,,0.0,333.0,18.4,10.4,,,,
GES,2025-01-11,0.4,1.6,-2.0,,,,87.1,5.5,961.6,1025.7,,,1023.1,1.5,4.8,5.4,17.3,4.7,16.9,,0.0,1.1,,,,,,,,,,0.0,9.0,19.6,11.6,,,,
GES,2025-01-12,-1.2,0.7,-3.0,,,,74.6,4.2,971.6,1036.8,,,1033.7,1.6,5.1,5.8,18.4,4.8,17.3,,0.0,0.0,,,,,,,,,,0.0,14.0,21.2,13.2,,,,
GES,2025-01-13,-2.1,-0.2,-3.9,,,,73.2,3.8,973.2,1038.7,,,1035.4,1.6,4.9,5.8,17.6,4.7,16.9,,0.0,0.0,,,,,,,,,,0.0,333.0,22.1,14.1,,,,
GES,2025-01-14,-1.6,-0.9,-2.4,,,,84.2,4.6,970.9,1036.1,,,1032.9,1.3,3.9,4.7,14.0,3.8,13.7,,0.0,0.0,,,,,,,,,,0.0,45.0,21.6,13.6,,,,
GES,2025-01-15,0.5,2.7,-1.8,,,,88.2,5.6,968.4,1032.9,,,1030.3,1.1,3.8,4.0,13.7,3.7,13.3,,0.0,0.0,,,,,,,,,,0.0,18.0,19.5,11.5,,,,
GES,2025-01-16,1.8,3.5,0.1,,,,78.9,5.5,970.0,1034.4,,,1032.1,1.1,7.3,4.0,26.3,6.9,24.8,,0.0,0.0,,,,,,,,,,0.0,225.0,18.2,10.2,,,,
GES,2025-01-17,1.0,1.6,0.4,,,,80.3,5.3,971.2,1035.8,,,1033.2,1.3,4.3,4.7,15.5,4.2,15.1,,0.0,0.0,,,,,,,,,,0.0,45.0,19.0,11.0,,,,
GES,2025-01-18,0.0,0.6,-0.3,,,,87.4,5.3,966.1,1030.7,,,1028.0,1.3,3.5,4.7,12.6,3.3,11.9,,0.0,0.0,,,,,,,,,,0.0,326.0,20.0,12.0,,,,
GES,2025-01-19,0.0,0.7,-0.6,,,,98.5,6.0,959.5,1023.6,,,1021.0,1.1,4.0,4.0,14.4,3.6,13.0,,0.0,0.0,,,,,,,,,,0.0,27.0,20.0,12.0,,,,
GES,2025-01-20,0.7,1.6,-0.3,,,,99.5,6.4,957.4,1021.2,,,1018.8,1.0,3.1,3.6,11.2,3.0,10.8,,0.0,0.0,,,,,,,,,,0.0,14.0,19.3,11.3,,,,
GES,2025-01-21,0.7,1.5,0.1,,,,99.4,6.4,955.7,1019.4,,,1017.0,1.3,3.4,4.7,12.2,3.3,11.9,,0.0,0.0,,,,,,,,,,0.0,22.0,19.3,11.3,,,,
GES,2025-01-22,1.6,3.1,-0.2,,,,97.2,6.6,949.3,1012.3,,,1010.2,1.3,7.4,4.7,26.6,7.1,25.6,,0.0,0.0,,,,,,,,,,0.0,45.0,18.4,10.4,,,,
GES,2025-01-23,4.6,6.6,2.6,,,,94.6,8.1,950.7,1013.1,,,1011.8,1.3,5.9,4.7,21.2,5.8,20.9,,9.4,9.4,,,,,,,,,,0.0,360.0,15.4,7.4,,,,
GES,2025-01-24,5.8,8.8,2.8,,,,79.5,7.2,953.3,1015.6,,,1014.5,1.2,5.3,4.3,19.1,4.9,17.6,,0.0,0.0,,,,,,,,,,0.0,360.0,14.2,6.2,,,,
GES,2025-01-25,10.3,15.6,5.7,,,,53.0,6.4,949.6,1010.6,,,1010.6,2.1,16.5,7.6,59.4,15.4,55.4,,4.4,0.0,,,,,,,,,,0.0,59.0,9.7,1.7,,,,
GES,2025-01-26,7.1,13.3,5.3,,,,67.6,6.8,950.1,1011.9,,,1011.1,2.0,16.1,7.2,58.0,15.7,56.5,,0.1,4.4,,,,,,,,,,0.0,360.0,12.9,4.9,,,,
GES,2025-01-27,8.2,12.5,4.7,,,,73.9,7.9,943.1,1004.2,,,1003.8,2.6,18.7,9.4,67.3,17.7,63.7,,45.3,25.7,,,,,,,,,,0.0,45.0,11.8,3.8,,,,
GES,2025-01-28,5.0,6.6,3.7,,,,90.2,7.9,942.0,1003.7,,,1002.6,1.3,6.5,4.7,23.4,6.4,23.0,,5.3,25.0,,,,,,,,,,0.0,344.0,15.0,7.0,,,,
GES,2025-01-29,6.6,9.2,3.8,,,,68.9,6.7,949.8,1011.6,,,1010.8,1.7,11.1,6.1,40.0,10.2,36.7,,0.0,0.0,,,,,,,,,,0.0,315.0,13.4,5.4,,,,
GES,2025-01-30,5.5,8.1,3.2,,,,75.1,6.8,955.5,1018.0,,,1016.8,1.3,10.0,4.7,36.0,9.4,33.8,,1.4,0.0,,,,,,,,,,0.0,56.0,14.5,6.5,,,,
GES,2025-01-31,4.2,5.8,3.2,,,,97.6,8.0,964.2,1027.6,,,1025.9,0.9,3.8,3.2,13.7,3.7,13.3,,3.4,4.8,,,,,,,,,,0.0,0.0,15.8,7.8,,,,
GES,2025-02-01,2.6,3.3,2.0,,,,95.0,7.0,963.6,1027.3,,,1025.3,0.9,2.9,3.2,10.4,2.8,10.1,,0.0,0.0,,,,,,,,,,0.0,101.0,17.4,9.4,,,,
GES,2025-02-02,2.2,2.7,1.9,,,,90.5,6.5,961.2,1024.9,,,1022.8,1.3,3.9,4.7,14.0,3.8,13.7,,0.0,0.0,,,,,,,,,,0.0,333.0,17.8,9.8,,,,
GES,2025-02-03,1.8,2.4,0.8,,,,85.1,5.9,964.4,1028.4,,,1026.1,1.7,4.1,6.1,14.8,4.0,14.4,,0.0,0.0,,,,,,,,,,0.0,45.0,18.2,10.2,,,,
GES,2025-02-04,1.3,3.0,0.1,,,,88.2,5.9,967.3,1031.5,,,1029.1,1.6,4.4,5.8,15.8,4.0,14.4,,0.0,0.0,,,,,,,,,,0.0,22.0,18.7,10.7,,,,
GES,2025-02-05,0.6,1.3,-0.1,,,,97.3,6.2,973.4,1038.3,,,1035.6,1.6,3.9,5.8,14.0,3.9,14.0,,0.0,0.0,,,,,,,,,,0.0,16.0,19.4,11.4,,,,
GES,2025-02-06,0.5,1.0,-0.1,,,,86.6,5.5,970.5,1035.2,,,1032.6,1.0,4.2,3.6,15.1,3.9,14.0,,0.0,0.0,,,,,,,,,,0.0,252.0,19.5,11.5,,,,
GES,2025-02-07,1.9,4.3,0.0,,,,80.7,5.6,960.7,1024.4,,,1022.2,1.5,6.4,5.4,23.0,6.2,22.3,,0.0,0.0,,,,,,,,,,0.0,45.0,18.1,10.1,,,,
GES,2025-02-08,3.9,10.9,0.6,,,,80.6,6.3,959.0,1022.1,,,1020.5,1.8,11.1,6.5,40.0,10.5,37.8,,0.0,0.0,,,,,,,,,,0.0,63.0,16.1,8.1,,,,
GES,2025-02-09,4.4,6.8,2.9,,,,83.4,7.0,963.8,1027.1,,,1025.5,1.0,4.2,3.6,15.1,4.0,14.4,,0.0,0.0,,,,,,,,,,0.0,180.0,15.6,7.6,,,,
GES,2025-02-10,4.3,6.4,2.2,,,,87.9,7.3,960.9,1024.1,,,1022.5,1.1,8.6,4.0,31.0,8.5,30.6,,0.0,0.0,,,,,,,,,,0.0,45.0,15.7,7.7,,,,
GES,2025-02-11,6.2,8.6,4.1,,,,89.3,8.4,958.8,1021.3,,,1020.2,0.9,4.3,3.2,15.5,4.2,15.1,,0.1,0.0,,,,,,,,,,0.0,360.0,13.8,5.8,,,,
GES,2025-02-12,7.3,9.3,5.6,,,,92.5,9.4,956.5,1018.6,,,1017.8,0.9,4.2,3.2,15.1,4.0,14.4,,2.4,0.9,,,,,,,,,,0.0,360.0,12.7,4.7,,,,
GES,2025-02-13,5.3,8.0,0.9,,,,97.1,8.7,955.3,1017.8,,,1016.5,1.1,8.1,4.0,29.2,7.9,28.4,,27.5,25.2,,,,,,,,,,0.0,360.0,14.7,6.7,,,,
GES,2025-02-14,-0.1,1.6,-2.1,,,,87.0,5.3,959.5,1023.6,,,1020.9,1.7,7.8,6.1,28.1,7.5,27.0,,0.1,4.0,,,,,,,,,,0.0,323.0,20.1,12.1,,,,
GES,2025-02-15,-0.9,1.9,-3.1,,,,80.9,4.6,957.9,1022.1,,,1019.3,1.5,7.0,5.4,25.2,6.8,24.5,,0.0,0.0,,,,,,,,,,0.0,360.0,20.9,12.9,,,,
GES,2025-02-16,1.0,2.3,-0.8,,,,90.6,6.0,954.4,1017.9,,,1015.6,1.0,4.0,3.6,14.4,3.8,13.7,,0.0,0.0,,,,,,,,,,0.0,27.0,19.0,11.0,,,,
GES,2025-02-17,1.6,2.0,1.3,,,,85.5,5.9,957.3,1020.9,,,1018.7,1.1,4.1,4.0,14.8,3.9,14.0,,0.0,0.0,,,,,,,,,,0.0,90.0,18.4,10.4,,,,
GES,2025-02-18,1.5,2.2,0.6,,,,82.1,5.6,959.3,1023.0,,,1020.8,1.6,4.6,5.8,16.6,4.4,15.8,,0.0,0.0,,,,,,,,,,0.0,34.0,18.5,10.5,,,,
GES,2025-02-19,2.5,4.6,0.8,,,,85.4,6.3,961.4,1025.0,,,1023.0,1.1,4.2,4.0,15.1,4.1,14.8,,0.0,0.0,,,,,,,,,,0.0,135.0,17.5,9.5,,,,
GES,2025-02-20,5.2,8.4,2.7,,,,85.5,7.5,965.0,1028.2,,,1026.8,0.7,2.8,2.5,10.1,2.7,9.7,,0.0,0.0,,,,,,,,,,0.0,270.0,14.8,6.8,,,,
GES,2025-02-21,6.9,11.1,3.9,,,,80.6,7.9,962.2,1024.8,,,1023.8,1.0,4.7,3.6,16.9,4.5,16.2,,0.0,0.0,,,,,,,,,,0.0,225.0,13.1,5.1,,,,
GES,2025-02-22,8.5,12.6,4.8,,,,76.8,8.4,960.5,1022.6,,,1022.0,1.0,5.6,3.6,20.2,5.1,18.4,,0.0,0.0,,,,,,,,,,0.0,27.0,11.5,3.5,,,,
