station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GLA,2025-01-01,-0.7,4.3,-5.3,-3.3,5.0,-7.4,77.5,4.5,964.9,1029.1,,,1026.2,0.8,3.9,2.9,14.0,3.8,13.7,0.0,0.0,0.0,,59.0,241.0,,,12.0,266.0,100.0,0.2,0.0,180.0,20.7,12.7,-0.2,,,
GLA,2025-01-02,1.2,5.1,-2.4,-0.3,3.9,-4.2,77.6,5.2,955.8,1018.9,,,1016.7,2.2,16.2,7.9,58.3,15.7,56.5,0.0,22.8,20.4,,36.0,295.0,,,33.0,3.0,1.0,0.5,0.0,287.0,18.8,10.8,20.3,,,
GLA,2025-01-03,-0.2,1.1,-4.1,-1.1,3.6,-7.3,87.4,5.3,960.3,1024.0,,,1021.3,2.9,12.0,10.4,43.2,11.6,41.8,0.0,0.0,2.4,,31.0,291.0,,,27.0,10.0,4.0,0.2,0.0,286.0,20.2,12.2,2.4,,,
GLA,2025-01-04,-4.1,0.4,-7.8,-5.1,1.5,-11.2,87.0,4.0,958.1,1022.7,,,1019.1,0.6,4.0,2.2,14.4,3.9,14.0,0.0,7.8,2.1,,60.0,248.0,,,19.0,267.0,100.0,0.1,0.0,225.0,24.1,16.1,2.0,,,
GLA,2025-01-05,2.4,14.2,-0.7,1.3,10.0,0.0,92.5,6.6,947.4,1009.6,,,1007.8,1.3,20.3,4.7,73.1,20.3,73.1,60.0,0.6,6.3,,22.0,312.0,,,20.0,0.0,0.0,0.8,0.0,149.0,17.6,9.6,6.3,,,
GLA,2025-01-06,11.4,16.3,5.1,9.5,15.2,4.0,44.2,5.5,940.4,1000.1,,,1000.4,9.2,29.2,33.1,105.1,28.6,103.0,800.0,3.0,1.3,,38.0,311.0,,,27.0,95.0,35.0,3.8,0.0,147.0,8.6,0.6,1.1,,,
GLA,2025-01-07,3.6,7.3,0.4,3.1,11.9,-1.5,82.5,6.5,947.9,1010.0,,,1008.4,2.0,14.8,7.2,53.3,14.3,51.5,0.0,0.5,1.7,,69.0,282.0,,,22.0,257.0,95.0,0.3,0.0,266.0,16.4,8.4,1.6,,,
GLA,2025-01-08,3.2,5.8,0.1,2.4,6.2,-0.9,90.6,7.0,947.1,1009.1,,,1007.5,0.9,5.9,3.2,21.2,5.7,20.5,0.0,5.1,5.6,,22.0,310.0,,,20.0,0.0,0.0,0.3,0.0,180.0,16.8,8.8,5.6,,,
GLA,2025-01-09,5.3,10.3,1.3,4.5,12.1,0.3,81.1,7.2,946.5,1008.0,,,1006.9,3.2,20.6,11.5,74.2,20.4,73.4,0.0,8.7,8.6,,42.0,310.0,,,23.0,131.0,48.0,0.8,0.0,312.0,14.7,6.7,8.5,,,
GLA,2025-01-10,0.9,2.1,-0.5,0.6,2.7,-0.6,82.7,5.4,958.1,1021.5,,,1019.1,2.7,14.0,9.7,50.4,13.8,49.7,0.0,5.2,4.7,,21.0,300.0,,,20.0,0.0,0.0,0.5,0.0,282.0,19.1,11.1,4.7,,,
GLA,2025-01-11,-0.5,1.3,-4.3,-1.1,8.5,-7.5,81.6,4.8,962.0,1025.9,,,1023.2,2.3,10.4,8.3,37.4,10.1,36.4,0.0,0.0,0.6,,49.0,274.0,,,28.0,98.0,36.0,0.3,0.0,288.0,20.5,12.5,0.5,,,
