station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GOE,2025-01-01,0.8,3.9,-1.2,0.5,7.1,-2.6,85.9,5.5,981.0,1028.5,,,1026.5,3.1,7.8,11.2,28.1,7.7,27.7,,0.0,0.0,0.0,80.0,,,,44.0,287.0,64.0,0.3,0.0,268.0,19.2,11.2,-0.1,,,
GOE,2025-01-02,4.6,9.3,1.1,3.4,9.0,-1.3,75.9,6.4,971.6,1018.0,,,1016.8,5.7,20.6,20.5,74.2,20.3,73.1,,15.9,15.9,0.0,27.0,,,,22.0,27.0,6.0,1.2,0.0,242.0,15.4,7.4,15.8,,,
GOE,2025-01-03,0.3,3.5,-3.8,-0.5,8.1,-6.8,79.4,4.9,976.9,1024.3,,,1022.3,1.6,9.1,5.8,32.8,8.9,32.0,,0.0,0.0,0.0,68.0,,,,32.0,218.0,49.0,0.2,0.0,253.0,19.7,11.7,-0.1,,,
GOE,2025-01-04,-2.6,0.9,-5.2,-2.7,-0.1,-7.9,88.9,4.5,974.1,1021.8,,,1019.3,0.8,6.7,2.9,24.1,6.5,23.4,,23.6,12.1,0.0,33.0,,,,31.0,1.0,0.0,0.2,0.0,202.0,22.6,14.6,12.1,,,
GOE,2025-01-05,4.9,11.2,0.8,3.6,12.9,-1.2,90.6,7.9,961.5,1007.3,,,1006.3,2.6,10.8,9.4,38.9,10.4,37.4,,2.0,13.5,0.0,39.0,,,,34.0,35.0,8.0,0.6,0.0,258.0,15.1,7.1,13.5,,,
GOE,2025-01-06,5.3,10.3,0.4,4.3,11.1,-1.5,88.4,7.9,956.5,1002.0,,,1001.1,2.4,15.8,8.6,56.9,14.8,53.3,,7.8,7.8,0.0,34.0,,,,27.0,29.0,6.0,0.5,0.0,227.0,14.7,6.7,7.8,,,
GOE,2025-01-07,5.1,8.2,2.5,3.7,9.8,0.7,78.5,6.9,963.3,1009.2,,,1008.1,4.1,17.0,14.8,61.2,16.6,59.8,,3.1,0.5,0.0,43.0,,,,27.0,148.0,33.0,0.8,0.0,236.0,14.9,6.9,0.4,,,
GOE,2025-01-08,8.6,12.0,3.0,7.1,10.8,2.2,83.1,9.3,961.0,1006.2,,,1005.8,5.6,21.5,20.2,77.4,21.1,76.0,,14.4,16.6,0.0,23.0,,,,21.0,0.0,0.0,0.8,0.0,232.0,11.4,3.4,16.6,,,
GOE,2025-01-09,7.3,10.8,2.1,6.0,11.9,0.8,80.0,8.4,962.5,1007.9,,,1007.3,5.7,22.0,20.5,79.2,21.0,75.6,,4.7,5.1,0.0,54.0,,,,40.0,78.0,17.0,0.7,0.0,242.0,12.7,4.7,5.0,,,
GOE,2025-01-10,1.7,3.0,-0.2,1.1,4.8,-1.6,78.6,5.4,974.4,1021.4,,,1019.6,0.9,8.0,3.2,28.8,7.8,28.1,,0.0,0.0,0.0,27.0,,,,25.0,0.0,0.0,0.4,0.0,315.0,18.3,10.3,0.0,,,
GOE,2025-01-11,-0.6,2.8,-3.5,-2.0,5.8,-7.2,79.5,4.6,978.9,1026.6,,,1024.4,1.1,6.8,4.0,24.5,6.8,24.5,,0.0,0.0,0.0,88.0,,,,23.0,466.0,100.0,0.1,0.0,69.0,20.6,12.6,-0.2,,,
GOE,2025-01-12,-1.7,2.3,-5.8,-2.9,5.6,-8.4,73.7,3.9,989.0,1037.4,,,1034.8,1.5,7.8,5.4,28.1,7.5,27.0,,0.0,0.0,0.0,70.0,,,,34.0,248.0,54.0,0.3,0.0,48.0,21.7,13.7,-0.1,,,
GOE,2025-01-13,-2.3,0.0,-4.9,-3.2,2.5,-7.1,71.1,3.7,990.8,1039.4,,,1036.7,2.8,10.9,10.1,39.2,10.7,38.5,,0.0,0.0,0.0,63.0,,,,25.0,336.0,73.0,0.5,0.0,61.0,22.3,14.3,-0.2,,,
GOE,2025-01-14,-3.5,0.7,-6.2,-4.4,5.0,-9.0,80.9,3.8,988.2,1036.8,,,1034.0,0.5,3.7,1.8,13.3,3.5,12.6,,0.0,0.0,0.0,83.0,,,,29.0,367.0,80.0,0.0,0.0,101.0,23.5,15.5,-0.1,,,
GOE,2025-01-15,-0.8,2.7,-6.7,-0.6,5.3,-8.3,87.1,5.1,985.5,1033.6,,,1031.2,1.3,7.2,4.7,25.9,7.0,25.2,,0.0,0.0,0.0,44.0,,,,39.0,10.0,2.0,0.2,0.0,80.0,20.8,12.8,0.0,,,
GOE,2025-01-16,2.6,3.5,1.7,2.2,3.9,1.1,75.8,5.6,987.1,1034.6,,,1032.9,2.8,10.6,10.1,38.2,10.5,37.8,,0.0,0.0,0.0,22.0,,,,20.0,0.0,0.0,0.7,0.0,61.0,17.4,9.4,0.0,,,
GOE,2025-01-17,1.3,2.4,0.0,1.1,4.1,-0.3,76.6,5.1,988.2,1035.9,,,1033.9,1.8,5.3,6.5,19.1,5.2,18.7,,0.0,0.0,0.0,26.0,,,,23.0,0.0,0.0,0.5,0.0,77.0,18.7,10.7,0.0,,,
GOE,2025-01-18,-0.3,0.9,-1.9,-0.5,2.4,-4.8,80.6,4.8,983.2,1031.0,,,1028.8,1.6,6.4,5.8,23.0,6.3,22.7,,0.0,0.0,0.0,33.0,,,,30.0,0.0,0.0,0.4,0.0,98.0,20.3,12.3,0.0,,,
GOE,2025-01-19,-0.8,1.4,-1.5,-0.5,6.7,-2.7,86.4,5.0,976.5,1024.1,,,1021.9,1.7,5.7,6.1,20.5,5.7,20.5,,0.0,0.0,0.0,48.0,,,,38.0,30.0,6.0,0.4,0.0,232.0,20.8,12.8,0.0,,,
GOE,2025-01-20,-1.1,1.1,-2.1,-1.3,5.4,-5.5,92.1,5.2,974.4,1021.9,,,1019.6,1.1,5.2,4.0,18.7,5.1,18.4,,0.0,0.0,0.0,40.0,,,,33.0,61.0,13.0,0.3,0.0,252.0,21.1,13.1,0.0,,,
GOE,2025-01-21,-1.0,0.4,-1.9,-0.6,2.2,-1.9,94.0,5.3,972.6,1020.0,,,1017.8,1.3,4.6,4.7,16.6,4.5,16.2,,0.0,0.0,0.0,33.0,,,,31.0,0.0,0.0,0.3,0.0,236.0,21.0,13.0,0.0,,,
GOE,2025-01-22,-0.2,2.2,-2.0,-0.1,5.2,-1.9,92.4,5.6,966.0,1013.0,,,1011.0,0.8,3.8,2.9,13.7,3.7,13.3,,2.2,0.3,0.0,27.0,,,,24.0,6.0,1.0,0.3,0.0,243.0,20.2,12.2,0.3,,,
GOE,2025-01-23,3.5,7.9,-1.1,2.9,12.4,-3.8,86.4,6.8,967.0,1013.3,,,1012.0,1.6,7.8,5.8,28.1,7.6,27.4,,1.4,3.3,0.0,60.0,,,,36.0,117.0,25.0,0.4,0.0,260.0,16.5,8.5,3.3,,,
GOE,2025-01-24,4.2,9.9,-0.7,3.0,13.6,-3.2,79.2,6.4,969.3,1015.7,,,1014.4,1.2,9.7,4.3,34.9,9.4,33.8,,0.0,0.0,0.0,80.0,,,,46.0,202.0,42.0,0.4,0.0,254.0,15.8,7.8,-0.1,,,
GOE,2025-01-25,5.9,13.7,0.0,4.6,16.7,-2.9,79.1,7.2,965.6,1011.4,,,1010.5,0.9,14.4,3.2,51.8,13.7,49.3,,1.6,0.3,0.0,60.0,,,,38.0,140.0,29.0,0.6,0.0,243.0,14.1,6.1,0.2,,,
GOE,2025-01-26,7.3,10.0,5.4,6.7,13.1,4.0,68.4,6.9,966.1,1011.7,,,1011.0,4.1,14.7,14.8,52.9,14.0,50.4,,1.6,1.3,0.0,94.0,,,,24.0,379.0,79.0,1.2,0.0,225.0,12.7,4.7,1.1,,,
GOE,2025-01-27,6.6,8.4,5.0,5.8,8.6,3.3,90.9,8.9,959.0,1004.4,,,1003.7,1.7,13.4,6.1,48.2,13.2,47.5,,30.6,25.3,0.0,17.0,,,,15.0,1.0,0.0,0.5,0.0,241.0,13.4,5.4,25.3,,,
GOE,2025-01-28,6.2,8.8,4.9,5.6,10.6,3.8,80.1,7.5,957.6,1003.1,,,1002.3,4.7,18.2,16.9,65.5,17.9,64.4,,3.0,7.2,0.0,44.0,,,,38.0,19.0,4.0,1.1,0.0,230.0,13.8,5.8,7.2,,,
GOE,2025-01-29,5.5,9.8,-0.3,4.1,12.1,-3.8,75.5,6.6,965.9,1011.9,,,1010.9,4.8,21.0,17.3,75.6,20.6,74.2,,0.0,2.7,0.0,103.0,,,,34.0,419.0,86.0,1.0,0.0,231.0,14.5,6.5,2.5,,,
GOE,2025-01-30,3.7,7.0,-0.6,2.9,8.6,-3.1,87.5,7.0,972.0,1018.6,,,1017.2,0.8,6.3,2.9,22.7,6.0,21.6,,0.8,0.1,0.0,36.0,,,,33.0,2.0,0.0,0.4,0.0,243.0,16.3,8.3,0.1,,,
GOE,2025-01-31,4.5,5.7,3.6,3.9,5.7,2.8,83.8,7.1,981.1,1027.9,,,1026.6,1.7,7.3,6.1,26.3,7.1,25.6,,0.3,1.0,0.0,18.0,,,,16.0,0.0,0.0,0.6,0.0,27.0,15.5,7.5,1.0,,,
GOE,2025-02-01,2.3,3.5,1.2,2.2,3.3,1.1,79.2,5.7,980.8,1028.1,,,1026.3,2.4,7.9,8.6,28.4,7.8,28.1,,0.0,0.0,0.0,18.0,,,,16.0,0.0,0.0,0.7,0.0,56.0,17.7,9.7,0.0,,,
GOE,2025-02-02,1.8,2.8,1.1,2.0,4.0,1.1,83.2,5.8,978.1,1025.3,,,1023.5,1.5,5.0,5.4,18.0,4.9,17.6,,0.0,0.0,0.0,25.0,,,,23.0,0.0,0.0,0.5,0.0,104.0,18.2,10.2,0.0,,,
GOE,2025-02-03,1.5,2.4,0.9,1.8,4.3,0.8,84.0,5.7,981.4,1028.8,,,1026.9,1.2,3.8,4.3,13.7,3.7,13.3,,0.0,0.0,0.0,27.0,,,,25.0,0.0,0.0,0.5,0.0,98.0,18.5,10.5,0.0,,,
GOE,2025-02-04,0.0,2.7,-3.1,-0.5,7.7,-6.9,85.7,5.2,984.2,1032.0,,,1029.9,1.1,,4.0,,,,,0.0,0.0,0.0,55.0,,,,41.0,131.0,26.0,0.4,0.0,,20.0,12.0,-0.1,,,
GOE,2025-02-05,-1.6,0.4,-4.2,-1.6,3.1,-7.2,94.9,5.2,990.7,1039.1,,,1036.5,0.9,,3.2,,,,,0.0,0.0,0.0,45.0,,,,39.0,45.0,9.0,0.3,0.0,,21.6,13.6,0.0,,,
GOE,2025-02-06,1.0,2.1,-1.1,0.9,2.2,-1.1,90.9,6.0,987.5,1035.3,,,1033.3,1.3,6.1,4.7,22.0,6.1,22.0,,0.1,0.1,0.0,14.0,,,,12.0,0.0,0.0,0.4,0.0,81.0,19.0,11.0,0.1,,,
GOE,2025-02-07,1.8,6.0,-2.1,1.2,9.8,-5.0,78.1,5.4,977.6,1024.7,,,1023.0,1.7,6.4,6.1,23.0,6.2,22.3,,0.0,0.0,0.0,90.0,,,,57.0,192.0,37.0,0.6,0.0,79.0,18.2,10.2,-0.1,,,
GOE,2025-02-08,1.4,8.6,-3.1,0.7,13.4,-5.6,82.3,5.5,975.9,1023.1,,,1021.3,0.6,3.5,2.2,12.6,3.4,12.2,,0.0,0.0,0.0,114.0,,,,40.0,362.0,68.0,0.5,0.0,153.0,18.6,10.6,-0.2,,,
GOE,2025-02-09,2.9,9.2,-0.6,2.7,14.5,-3.8,81.5,6.0,980.4,1027.5,,,1025.9,0.5,3.6,1.8,13.0,3.5,12.6,,0.0,0.0,0.0,118.0,,,,48.0,378.0,71.0,0.5,0.0,135.0,17.1,9.1,-0.2,,,
GOE,2025-02-10,3.2,6.4,-0.9,3.1,12.6,-2.8,89.5,6.9,977.5,1024.4,,,1022.9,0.5,2.8,1.8,10.1,2.8,10.1,,4.5,4.4,0.0,46.0,,,,39.0,20.0,4.0,0.4,0.0,117.0,16.8,8.8,4.4,,,
GOE,2025-02-11,5.7,7.0,3.9,5.5,7.7,2.4,95.8,8.8,975.0,1021.4,,,1020.3,0.3,1.9,1.1,6.8,1.8,6.5,,8.1,8.2,0.0,29.0,,,,27.0,0.0,0.0,0.4,0.0,90.0,14.3,6.3,8.2,,,
GOE,2025-02-12,7.6,10.4,5.9,7.1,12.5,4.9,90.0,9.4,972.6,1018.5,,,1017.8,1.5,5.7,5.4,20.5,5.6,20.2,,1.9,0.7,0.0,54.0,,,,49.0,5.0,1.0,0.7,0.0,247.0,12.4,4.4,0.7,,,
GOE,2025-02-13,5.1,8.1,2.5,4.5,7.1,1.8,83.3,7.4,971.7,1018.0,,,1016.9,2.3,12.5,8.3,45.0,12.3,44.3,,5.9,6.7,0.0,26.0,,,,22.0,5.0,1.0,0.7,0.0,267.0,14.9,6.9,6.7,,,
GOE,2025-02-14,0.2,2.8,-1.7,-0.3,1.9,-4.3,74.5,4.6,976.8,1024.2,,,1022.2,2.4,7.5,8.6,27.0,7.4,26.6,,0.0,0.4,0.0,30.0,,,,28.0,0.0,0.0,0.8,0.0,34.0,19.8,11.8,0.3,,,
GOE,2025-02-15,-1.0,2.1,-2.8,-1.1,7.1,-5.7,73.9,4.2,975.0,1022.6,,,1020.3,1.8,8.3,6.5,29.9,8.1,29.2,,0.0,0.0,0.0,85.0,,,,55.0,169.0,31.0,0.7,0.0,60.0,21.0,13.0,-0.2,,,
GOE,2025-02-16,0.0,3.5,-2.7,-0.4,7.8,-4.7,81.3,4.9,971.3,1018.5,,,1016.4,0.9,4.9,3.2,17.6,4.8,17.3,,0.0,0.0,0.0,73.0,,,,64.0,22.0,4.0,0.6,0.0,74.0,20.0,12.0,-0.1,,,
GOE,2025-02-17,0.9,2.4,0.1,1.0,3.9,-0.2,76.3,5.0,974.3,1021.5,,,1019.6,2.0,6.3,7.2,22.7,6.1,22.0,,0.0,0.0,0.0,36.0,,,,33.0,0.0,0.0,0.7,0.0,77.0,19.1,11.1,-0.1,,,
GOE,2025-02-18,0.7,2.1,-1.0,0.5,3.6,-4.9,75.6,4.8,976.4,1023.7,,,1021.7,2.1,6.1,7.6,22.0,6.0,21.6,,0.0,0.0,0.0,40.0,,,,38.0,0.0,0.0,0.7,0.0,74.0,19.3,11.3,-0.1,,,
GOE,2025-02-19,1.2,6.7,-1.2,1.5,13.8,-3.7,75.4,5.1,978.2,1025.5,,,1023.6,1.2,5.9,4.3,21.2,5.8,20.9,,0.0,0.0,0.0,92.0,,,,69.0,87.0,15.0,0.8,0.0,81.0,18.8,10.8,-0.1,,,
GOE,2025-02-20,3.4,11.8,-2.0,2.9,16.6,-4.3,90.1,7.1,981.4,1028.5,,,1027.0,0.3,3.2,1.1,11.5,3.2,11.5,,0.2,0.2,0.0,81.0,,,,46.0,191.0,34.0,0.6,0.0,270.0,16.6,8.6,0.1,,,
GOE,2025-02-21,4.4,10.3,1.7,4.3,15.3,-0.6,92.8,7.7,978.8,1025.5,,,1024.2,0.4,2.3,1.4,8.3,2.3,8.3,,0.0,0.0,0.0,75.0,,,,58.0,90.0,16.0,0.7,0.0,236.0,15.6,7.6,-0.1,,,
GOE,2025-02-22,6.8,12.7,1.9,6.5,15.1,-0.3,85.5,8.4,976.7,1023.0,,,1022.1,0.8,4.9,2.9,17.6,4.8,17.3,,0.4,0.0,0.0,83.0,,,,70.0,31.0,5.0,0.8,0.0,252.0,13.2,5.2,-0.1,,,
GOE,2025-02-23,7.6,10.1,5.0,7.1,11.0,2.2,91.6,9.6,984.2,1030.7,,,1029.9,0.4,2.2,1.4,7.9,2.1,7.6,,1.3,1.7,0.0,37.0,,,,35.0,0.0,0.0,0.6,0.0,0.0,12.4,4.4,1.7,,,
GOE,2025-02-24,7.6,11.1,5.5,7.3,13.2,3.4,88.3,9.2,979.7,1026.0,,,1025.2,1.0,8.0,3.6,28.8,7.8,28.1,,0.1,0.0,0.0,58.0,,,,54.0,0.0,0.0,0.8,0.0,247.0,12.4,4.4,-0.1,,,
GOE,2025-02-25,7.6,10.8,5.8,6.9,14.6,2.1,85.8,8.9,970.6,1016.4,,,1015.7,2.2,16.7,7.9,60.1,16.6,59.8,,3.8,1.4,0.0,59.0,,,,44.0,115.0,20.0,0.9,0.0,231.0,12.4,4.4,1.3,,,
GOE,2025-02-26,4.2,7.7,-1.2,2.9,12.0,-4.5,82.3,6.8,974.9,1021.5,,,1020.2,4.0,17.9,14.4,64.4,17.3,62.3,,5.5,7.7,0.0,56.0,,,,49.0,17.0,3.0,0.8,0.0,233.0,15.8,7.8,7.6,,,
GOE,2025-02-27,4.1,8.5,-1.3,3.6,13.4,-3.9,81.3,6.6,974.9,1021.5,,,1020.2,1.8,8.3,6.5,29.9,8.2,29.5,,0.4,0.7,0.0,85.0,,,,64.0,87.0,15.0,0.9,0.0,240.0,15.9,7.9,0.6,,,
GOE,2025-02-28,3.3,6.5,-0.9,3.0,13.7,-3.5,75.5,5.8,977.6,1024.5,,,1023.0,1.5,7.4,5.4,26.6,7.1,25.6,,0.0,0.0,0.0,91.0,,,,57.0,153.0,25.0,0.9,0.0,342.0,16.7,8.7,-0.3,,,
GOE,2025-03-01,4.0,5.3,3.0,3.7,6.0,1.0,68.6,5.6,980.3,1027.2,,,1025.8,3.6,9.7,13.0,34.9,9.4,33.8,,0.0,0.0,0.0,38.0,,,,35.0,0.0,0.0,1.2,0.0,47.0,16.0,8.0,-0.1,,,
GOE,2025-03-02,3.3,8.3,-1.7,2.9,13.1,-5.7,74.1,5.7,983.4,1030.6,,,1029.0,2.3,8.8,8.3,31.7,7.9,28.4,,0.0,0.0,0.0,106.0,,,,52.0,253.0,42.0,1.1,0.0,57.0,16.7,8.7,-0.4,,,
GOE,2025-03-03,2.5,11.8,-3.6,2.0,17.8,-7.6,78.4,5.6,982.0,1029.2,,,1027.5,0.4,3.8,1.4,13.7,3.7,13.3,,0.0,0.0,0.0,181.0,,,,47.0,543.0,89.0,1.1,0.0,90.0,17.5,9.5,-0.6,,,
GOE,2025-03-04,3.8,13.8,-2.9,3.0,20.3,-6.7,75.7,5.7,980.2,1027.1,,,1025.6,0.4,4.4,1.4,15.8,4.3,15.5,,0.0,0.0,0.0,181.0,,,,42.0,596.0,97.0,1.2,0.0,90.0,16.2,8.2,-0.7,,,
GOE,2025-03-05,4.8,15.9,-2.8,4.2,22.5,-6.8,73.1,5.9,979.7,1026.5,,,1025.2,0.2,2.1,0.7,7.6,2.1,7.6,,0.0,0.0,0.0,183.0,,,,37.0,609.0,99.0,1.2,0.0,180.0,15.2,7.2,-0.9,,,
GOE,2025-03-06,6.0,17.0,-1.9,5.5,23.3,-5.9,70.0,6.0,976.7,1023.1,,,1022.1,0.3,2.3,1.1,8.3,2.3,8.3,,0.0,0.0,0.0,185.0,,,,39.0,597.0,96.0,1.3,0.0,207.0,14.0,6.0,-1.0,,,
GOE,2025-03-07,6.3,16.1,-1.3,5.8,23.0,-4.5,69.5,6.2,973.4,1019.6,,,1018.6,0.4,4.8,1.4,17.3,4.7,16.9,,0.0,0.0,0.0,186.0,,,,42.0,614.0,99.0,1.3,0.0,180.0,13.7,5.7,-1.0,,,
GOE,2025-03-08,6.6,17.5,-2.1,5.9,22.1,-5.4,66.6,5.8,967.4,1013.2,,,1012.4,0.7,4.9,2.5,17.6,4.8,17.3,,0.0,0.0,0.0,189.0,,,,40.0,615.0,98.0,1.6,0.0,63.0,13.4,5.4,-1.2,,,
GOE,2025-03-09,8.1,18.5,-0.6,7.3,25.3,-4.2,65.0,6.4,959.2,1004.4,,,1003.9,0.7,4.3,2.5,15.5,4.2,15.1,,0.0,0.0,0.0,168.0,,,,61.0,448.0,71.0,1.6,0.0,90.0,11.9,3.9,-1.0,,,
GOE,2025-03-10,8.9,15.0,3.3,7.9,21.5,0.0,75.5,8.5,958.2,1003.2,,,1002.9,1.6,10.9,5.8,39.2,10.3,37.1,,0.6,0.6,0.0,105.0,,,,68.0,200.0,31.0,1.4,0.0,236.0,11.1,3.1,0.2,,,
GOE,2025-03-11,8.4,15.3,2.2,8.7,22.9,-0.2,77.7,8.3,957.7,1002.8,,,1002.3,0.6,7.8,2.2,28.1,7.5,27.0,,0.0,0.0,0.0,145.0,,,,79.0,257.0,40.0,1.4,0.0,270.0,11.6,3.6,-0.5,,,
GOE,2025-03-12,6.9,9.0,4.8,6.3,11.2,3.2,85.6,8.5,953.3,998.4,,,997.8,0.9,8.0,3.2,28.8,7.6,27.4,,4.4,2.8,0.0,44.0,,,,40.0,0.0,0.0,0.8,0.0,297.0,13.1,5.1,2.7,,,
GOE,2025-03-13,6.1,12.4,3.8,6.6,19.1,2.1,76.0,7.1,952.4,997.6,,,996.9,2.5,18.8,9.0,67.7,17.6,63.4,,0.5,2.1,0.0,155.0,,,,67.0,245.0,38.0,1.8,0.0,278.0,13.9,5.9,1.6,,,
GOE,2025-03-14,4.9,8.0,2.0,5.5,14.0,1.1,67.2,5.8,959.2,1005.0,,,1004.0,2.3,8.2,8.3,29.5,7.7,27.7,,0.0,0.0,0.0,103.0,,,,87.0,40.0,6.0,1.4,0.0,45.0,15.1,7.1,-0.3,,,
GOE,2025-03-15,5.7,7.3,4.3,5.4,7.6,3.3,72.6,6.6,963.0,1008.8,,,1007.9,3.4,10.6,12.2,38.2,10.1,36.4,,1.4,0.1,0.0,25.0,,,,23.0,0.0,0.0,1.2,0.0,59.0,14.3,6.3,-0.1,,,
GOE,2025-03-16,4.0,5.3,3.1,3.6,5.7,2.2,87.0,7.1,970.6,1017.0,,,1015.7,1.0,4.4,3.6,15.8,4.3,15.5,,4.8,6.1,0.0,28.0,,,,26.0,0.0,0.0,0.6,0.0,27.0,16.0,8.0,6.0,,,
GOE,2025-03-17,5.3,9.3,2.2,5.5,13.9,-0.1,69.0,6.0,976.5,1022.9,,,1021.8,3.0,11.2,10.8,40.3,10.4,37.4,,0.0,0.0,0.0,142.0,,,,75.0,234.0,36.0,1.7,0.0,69.0,14.7,6.7,-0.7,,,
GOE,2025-03-18,3.7,10.5,-1.1,3.8,17.5,-5.2,66.3,5.2,978.8,1025.7,,,1024.3,1.7,7.1,6.1,25.6,6.9,24.8,,0.0,0.0,0.0,201.0,,,,66.0,473.0,72.0,1.8,0.0,78.0,16.3,8.3,-1.3,,,
GOE,2025-03-19,5.7,16.1,-2.7,5.7,23.1,-6.4,68.6,5.8,980.5,1027.1,,,1026.0,0.5,3.5,1.8,12.6,3.5,12.6,,0.0,0.0,0.0,223.0,,,,40.0,655.0,99.0,1.8,0.0,180.0,14.3,6.3,-1.6,,,
GOE,2025-03-20,8.0,18.5,-0.3,7.7,25.3,-3.3,70.8,7.1,978.6,1024.8,,,1024.1,0.3,3.0,1.1,10.8,2.9,10.4,,0.0,0.0,0.0,193.0,,,,50.0,448.0,67.0,1.7,0.0,180.0,12.0,4.0,-1.1,,,
GOE,2025-03-21,9.4,17.9,1.9,8.4,21.2,-1.2,69.5,7.7,969.2,1014.6,,,1014.3,1.1,7.0,4.0,25.2,6.7,24.1,,0.0,0.0,0.0,143.0,,,,109.0,81.0,12.0,1.8,0.0,74.0,10.6,2.6,-0.4,,,
GOE,2025-03-22,12.3,19.9,5.8,11.8,27.6,1.9,61.5,8.3,960.0,1004.5,,,1004.7,1.1,8.4,4.0,30.2,8.1,29.2,,1.4,0.0,0.0,183.0,,,,82.0,432.0,64.0,2.3,0.0,127.0,0.0,0.0,-1.5,,,
GOE,2025-03-23,11.3,15.7,8.2,11.7,24.0,7.4,72.5,9.5,961.4,1006.2,,,1006.2,1.6,8.8,5.8,31.7,8.6,31.0,,4.3,4.1,0.0,159.0,,,,84.0,242.0,35.0,2.0,0.0,241.0,8.7,0.7,3.4,,,
GOE,2025-03-24,10.5,14.9,8.1,10.7,20.1,4.8,77.2,9.7,968.6,1013.8,,,1013.7,1.2,8.6,4.3,31.0,8.4,30.2,,1.3,2.9,0.0,146.0,,,,95.0,228.0,33.0,1.8,0.0,53.0,9.5,1.5,2.3,,,
GOE,2025-03-25,9.9,14.2,5.9,10.2,23.3,2.2,81.8,9.9,973.7,1019.3,,,1019.0,0.9,4.9,3.2,17.6,4.8,17.3,,1.2,1.2,0.0,140.0,,,,89.0,163.0,24.0,1.6,0.0,117.0,10.1,2.1,0.8,,,
GOE,2025-03-26,9.6,12.8,8.0,9.5,19.2,6.8,83.9,9.9,974.4,1020.0,,,1019.7,1.1,4.3,4.0,15.5,4.2,15.1,,2.8,2.6,0.0,75.0,,,,62.0,43.0,6.0,1.2,0.0,90.0,10.4,2.4,2.4,,,
GOE,2025-03-27,8.5,12.2,3.9,8.3,17.7,0.2,72.1,8.0,972.4,1018.1,,,1017.6,3.2,9.6,11.5,34.6,9.3,33.5,,0.0,0.2,0.0,130.0,,,,75.0,154.0,22.0,1.8,0.0,69.0,11.5,3.5,-0.4,,,
GOE,2025-03-28,8.8,14.2,3.7,9.8,22.9,0.4,72.9,8.1,966.8,1012.2,,,1011.8,1.1,5.9,4.0,21.2,5.6,20.2,,0.2,0.0,0.0,175.0,,,,99.0,257.0,37.0,1.9,0.0,243.0,11.2,3.2,-0.8,,,
