station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GOR,2025-01-01,-5.9,-4.0,-7.9,,,,26.5,1.0,698.9,,,3119.5,1026.2,1.8,6.3,6.5,22.7,6.0,21.6,,,,,92.0,,,,14.0,444.0,100.0,0.5,0.0,175.0,25.9,17.9,,,,
GOR,2025-01-02,-6.6,-4.7,-9.3,,,,44.0,1.6,690.7,,,3026.3,1014.9,6.0,18.1,21.6,65.2,17.7,63.7,,,,,64.0,,,,43.0,174.0,39.0,1.0,0.0,257.0,26.6,18.6,,,,
GOR,2025-01-03,-10.8,-6.4,-15.3,,,,38.1,1.0,687.5,,,2992.9,1010.6,2.9,11.7,10.4,42.1,11.5,41.4,,,,,95.0,,,,14.0,432.0,97.0,0.6,0.0,273.0,30.8,22.8,,,,
GOR,2025-01-04,-5.3,-1.1,-8.2,,,,37.3,1.7,689.4,,,3011.4,1013.2,4.0,14.1,14.4,50.8,13.7,49.3,,,,,85.0,,,,42.0,387.0,87.0,1.0,0.0,263.0,25.3,17.3,,,,
GOR,2025-01-05,-1.3,0.0,-2.8,,,,69.3,3.9,688.9,,,3003.4,1012.5,4.0,18.9,14.4,68.0,16.8,60.5,,,,,53.0,,,,45.0,11.0,2.0,0.7,0.0,220.0,21.3,13.3,,,,
GOR,2025-01-06,-5.2,-1.5,-8.5,,,,67.7,2.7,682.7,,,2934.2,1004.0,10.2,31.2,36.7,112.3,28.1,101.2,,,,,29.0,,,,27.0,0.0,0.0,1.1,0.0,157.0,25.2,17.2,,,,
GOR,2025-01-07,-9.4,-7.3,-11.8,,,,54.6,1.7,682.9,,,2939.6,1004.3,4.4,18.5,15.8,66.6,17.4,62.6,,,,,95.0,,,,15.0,412.0,92.0,0.6,0.0,261.0,29.4,21.4,,,,
GOR,2025-01-08,-3.8,-1.3,-7.2,,,,73.2,3.4,687.0,,,2983.0,1009.9,6.0,31.4,21.6,113.0,29.2,105.1,,,,,59.0,,,,41.0,117.0,26.0,0.6,0.0,217.0,23.8,15.8,,,,
GOR,2025-01-09,-6.4,-4.7,-11.3,,,,72.7,2.8,684.9,,,2960.7,1007.1,5.6,24.1,20.2,86.8,23.6,85.0,,,,,76.0,,,,48.0,190.0,42.0,0.4,0.0,250.0,26.4,18.4,,,,
GOR,2025-01-10,-7.9,-4.6,-12.0,,,,77.8,2.6,686.9,,,2983.8,1009.7,7.6,35.5,27.4,127.8,34.6,124.6,,,,,30.0,,,,25.0,0.0,0.0,0.5,0.0,287.0,27.9,19.9,,,,
GOR,2025-01-11,-10.3,-7.6,-12.9,,,,49.7,1.4,688.0,,,2998.2,1011.3,4.4,24.1,15.8,86.8,23.7,85.3,,,,,71.0,,,,40.0,157.0,35.0,0.7,0.0,322.0,30.3,22.3,,,,
GOR,2025-01-12,-10.3,-8.1,-13.6,,,,22.6,0.6,693.1,,,3054.4,1018.2,4.1,17.1,14.8,61.6,16.1,58.0,,,,,101.0,,,,15.0,453.0,100.0,0.9,0.0,14.0,30.3,22.3,,,,
GOR,2025-01-13,-8.7,-6.0,-11.8,,,,12.9,0.4,697.6,,,3104.4,1024.3,6.4,18.0,23.0,64.8,17.1,61.6,,,,,104.0,,,,15.0,451.0,100.0,1.4,0.0,99.0,28.7,20.7,,,,
GOR,2025-01-14,-3.4,-0.9,-6.7,,,,9.7,0.5,699.5,,,3125.7,1027.0,3.9,10.6,14.0,38.2,10.3,37.1,,,,,101.0,,,,15.0,452.0,100.0,1.4,0.0,14.0,23.4,15.4,,,,
GOR,2025-01-15,-5.5,-2.1,-10.6,,,,29.9,1.2,696.5,,,3092.1,1022.9,3.9,15.2,14.0,54.7,14.1,50.8,,,,,103.0,,,,15.0,455.0,100.0,1.0,0.0,24.0,25.5,17.5,,,,
GOR,2025-01-16,-9.9,-5.5,-12.9,,,,54.0,1.5,697.4,,,3102.9,1024.1,5.6,22.2,20.2,79.9,21.1,76.0,,,,,102.0,,,,15.0,457.0,100.0,0.8,0.0,121.0,29.9,21.9,,,,
GOR,2025-01-17,-6.3,-3.2,-8.8,,,,30.4,1.2,699.8,,,3129.0,1027.3,6.1,23.6,22.0,85.0,22.7,81.7,,,,,107.0,,,,15.0,459.0,100.0,1.3,0.0,100.0,26.3,18.3,,,,
GOR,2025-01-18,-7.7,-4.9,-10.6,,,,55.5,1.9,698.3,,,3112.0,1025.3,4.3,27.8,15.5,100.1,25.9,93.2,,,,,106.0,,,,16.0,460.0,100.0,0.7,0.0,100.0,27.7,19.7,,,,
GOR,2025-01-19,-8.6,-6.2,-11.0,,,,80.2,2.6,693.2,,,3055.1,1018.3,4.9,16.3,17.6,58.7,15.9,57.2,,,,,67.0,,,,56.0,20.0,4.0,0.4,0.0,102.0,28.6,20.6,,,,
GOR,2025-01-20,-10.0,-8.7,-11.1,,,,80.3,2.3,690.9,,,3030.6,1015.3,3.4,12.2,12.2,43.9,11.9,42.8,,,,,61.0,,,,54.0,29.0,6.0,0.4,0.0,92.0,30.0,22.0,,,,
GOR,2025-01-21,-8.8,-6.9,-10.8,,,,57.9,1.8,689.2,,,3010.5,1012.9,1.9,6.7,6.8,24.1,6.4,23.0,,,,,111.0,,,,16.0,463.0,100.0,0.4,0.0,104.0,28.8,20.8,,,,
GOR,2025-01-22,-6.0,-4.3,-7.9,,,,68.6,2.7,687.1,,,2985.6,1010.1,4.0,15.0,14.4,54.0,14.4,51.8,,,,,72.0,,,,66.0,2.0,0.0,0.6,0.0,204.0,26.0,18.0,,,,
GOR,2025-01-23,-6.6,-4.9,-9.4,,,,60.4,2.3,686.9,,,2983.1,1009.7,4.3,17.3,15.5,62.3,16.6,59.8,,,,,90.0,,,,34.0,299.0,64.0,0.7,0.0,270.0,26.6,18.6,,,,
GOR,2025-01-24,-3.4,-0.8,-7.5,,,,32.2,1.6,693.0,,,3051.3,1018.0,4.6,17.9,16.6,64.4,17.4,62.6,,,,,85.0,,,,34.0,306.0,65.0,1.3,0.0,221.0,23.4,15.4,,,,
GOR,2025-01-25,-3.3,0.4,-7.0,,,,58.9,2.7,690.9,,,3027.5,1015.2,5.8,22.2,20.9,79.9,21.1,76.0,,,,,107.0,,,,35.0,428.0,90.0,1.1,0.0,172.0,23.3,15.3,,,,
GOR,2025-01-26,-7.3,-2.7,-10.8,,,,63.1,2.2,687.0,,,2984.9,1009.9,4.1,21.4,14.8,77.0,20.9,75.2,,,,,114.0,,,,29.0,358.0,75.0,0.8,0.0,212.0,27.3,19.3,,,,
GOR,2025-01-27,-3.8,-0.7,-6.6,,,,80.6,3.7,684.1,,,2949.6,1006.0,7.1,37.7,25.6,135.7,36.9,132.8,,,,,43.0,,,,39.0,0.0,0.0,0.7,0.0,174.0,23.8,15.8,,,,
GOR,2025-01-28,-9.8,-3.6,-12.6,,,,78.0,2.3,678.4,,,2888.3,998.1,4.0,16.9,14.4,60.8,16.1,58.0,,,,,92.0,,,,62.0,155.0,32.0,0.6,0.0,298.0,29.8,21.8,,,,
GOR,2025-01-29,-9.8,-7.3,-12.1,,,,45.2,1.3,685.7,,,2972.0,1008.2,3.2,16.0,11.5,57.6,15.5,55.8,,,,,124.0,,,,31.0,484.0,100.0,0.7,0.0,270.0,29.8,21.8,,,,
GOR,2025-01-30,-9.0,-7.1,-11.8,,,,74.8,2.3,689.8,,,3017.7,1013.7,3.1,14.7,11.2,52.9,14.0,50.4,,,,,97.0,,,,67.0,133.0,27.0,0.4,0.0,336.0,29.0,21.0,,,,
GOR,2025-01-31,-10.0,-8.0,-12.2,,,,77.6,2.2,693.2,,,3055.6,1018.3,2.0,10.0,7.2,36.0,9.6,34.6,,,,,119.0,,,,37.0,358.0,73.0,0.4,0.0,27.0,30.0,22.0,,,,
GOR,2025-02-01,-10.0,-7.5,-11.9,,,,77.2,2.2,693.9,,,3063.5,1019.3,3.3,15.2,11.9,54.7,14.6,52.6,,,,,115.0,,,,40.0,281.0,57.0,0.5,0.0,100.0,30.0,22.0,,,,
GOR,2025-02-02,-7.1,-4.7,-10.3,,,,34.8,1.2,692.6,,,3048.2,1017.5,1.4,4.3,5.0,15.5,4.2,15.1,,,,,134.0,,,,22.0,497.0,100.0,0.6,0.0,90.0,27.1,19.1,,,,
GOR,2025-02-03,-3.6,-1.7,-7.8,,,,22.9,1.1,696.2,,,3088.4,1022.5,2.8,11.6,10.1,41.8,11.3,40.7,,,,,135.0,,,,19.0,499.0,100.0,1.1,0.0,72.0,23.6,15.6,,,,
