station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GOS,2025-01-01,6.0,9.3,3.7,,,,35.6,3.3,915.4,,1554.5,,1025.7,2.5,9.3,9.0,33.5,8.7,31.3,,0.0,0.0,,,,,,,,,,0.0,188.0,14.0,6.0,,,,
GOS,2025-01-02,4.6,7.1,-1.1,,,,56.0,4.6,907.1,,1477.9,,1016.5,4.4,16.2,15.8,58.3,14.9,53.6,,17.4,12.2,,,,,,,,,,0.0,218.0,15.4,7.4,,,,
GOS,2025-01-03,-2.4,-1.2,-6.0,,,,94.1,4.9,909.3,,1482.9,,1018.9,1.9,7.7,6.8,27.7,7.3,26.3,,0.0,5.2,,,,,,,,,,0.0,343.0,22.4,14.4,,,,
GOS,2025-01-04,-2.8,3.9,-6.6,,,,78.6,3.9,906.8,,1460.3,,1016.2,3.2,17.2,11.5,61.9,16.4,59.0,,3.5,1.3,,,,,,,,,,0.0,191.0,22.8,14.8,,,,
GOS,2025-01-05,7.6,11.2,1.5,,,,56.5,5.8,899.3,,1413.2,,1008.0,5.2,19.9,18.7,71.6,18.7,67.3,,0.0,2.2,,,,,,,,,,0.0,210.0,12.4,4.4,,,,
GOS,2025-01-06,8.1,9.0,3.5,,,,48.9,5.2,895.9,,1383.4,,1004.3,5.9,20.3,21.2,73.1,19.5,70.2,,1.8,0.0,,,,,,,,,,0.0,207.0,11.9,3.9,,,,
GOS,2025-01-07,2.0,6.1,0.2,,,,79.7,5.6,898.8,,1399.2,,1007.4,2.1,8.1,7.6,29.2,7.6,27.4,,1.0,1.8,,,,,,,,,,0.0,195.0,18.0,10.0,,,,
GOS,2025-01-08,6.9,9.4,3.0,,,,54.2,5.3,899.0,,1409.7,,1007.7,5.6,17.8,20.2,64.1,16.2,58.3,,1.1,2.1,,,,,,,,,,0.0,210.0,13.1,5.1,,,,
GOS,2025-01-09,6.5,11.0,-1.4,,,,61.5,5.8,898.3,,1402.0,,1006.9,3.9,12.9,14.0,46.4,12.0,43.2,,7.3,6.7,,,,,,,,,,0.0,242.0,13.5,5.5,,,,
GOS,2025-01-10,-2.0,-1.2,-2.4,,,,90.1,4.8,907.2,,1466.0,,1016.7,2.3,9.7,8.3,34.9,9.4,33.8,,13.9,7.7,,,,,,,,,,0.0,360.0,22.0,14.0,,,,
GOS,2025-01-11,-2.4,-1.5,-4.5,,,,92.6,4.8,910.5,,1493.7,,1020.3,2.0,8.8,7.2,31.7,8.2,29.5,,4.5,11.3,,,,,,,,,,0.0,360.0,22.4,14.4,,,,
GOS,2025-01-12,-5.9,-3.6,-7.7,,,,78.7,3.1,920.2,,1568.5,,1031.0,1.8,6.8,6.5,24.5,6.4,23.0,,0.0,0.0,,,,,,,,,,0.0,207.0,25.9,17.9,,,,
GOS,2025-01-13,-6.5,-2.7,-8.7,,,,81.1,3.0,921.6,,1578.4,,1032.5,1.9,7.2,6.8,25.9,7.0,25.2,,0.0,0.0,,,,,,,,,,0.0,189.0,26.5,18.5,,,,
GOS,2025-01-14,-4.7,-1.1,-7.2,,,,88.7,3.8,919.4,,1564.5,,1030.1,1.7,6.9,6.1,24.8,6.6,23.8,,0.0,0.0,,,,,,,,,,0.0,180.0,24.7,16.7,,,,
GOS,2025-01-15,-1.4,2.0,-5.1,,,,80.9,4.5,917.6,,1556.8,,1028.1,1.9,7.7,6.8,27.7,7.6,27.4,,0.0,0.0,,,,,,,,,,0.0,186.0,21.4,13.4,,,,
GOS,2025-01-16,-3.4,0.3,-5.6,,,,90.5,4.3,919.3,,1566.3,,1029.9,1.2,8.0,4.3,28.8,7.8,28.1,,0.0,0.0,,,,,,,,,,0.0,153.0,23.4,15.4,,,,
GOS,2025-01-17,-3.3,2.3,-4.6,,,,91.3,4.4,920.1,,1573.7,,1030.9,1.2,11.0,4.3,39.6,10.4,37.4,,0.0,0.0,,,,,,,,,,0.0,63.0,23.3,15.3,,,,
GOS,2025-01-18,6.4,11.5,-0.9,,,,38.0,3.6,915.6,,1556.8,,1025.9,2.1,11.0,7.6,39.6,10.5,37.8,,0.0,0.0,,,,,,,,,,0.0,210.0,13.6,5.6,,,,
GOS,2025-01-19,7.6,9.5,6.1,,,,45.5,4.7,910.3,,1512.9,,1020.1,3.5,11.2,12.6,40.3,10.6,38.2,,0.0,0.0,,,,,,,,,,0.0,207.0,12.4,4.4,,,,
GOS,2025-01-20,6.7,8.2,4.7,,,,49.7,4.9,908.8,,1497.1,,1018.4,3.1,12.8,11.2,46.1,10.8,38.9,,0.0,0.0,,,,,,,,,,0.0,214.0,13.3,5.3,,,,
GOS,2025-01-21,3.6,6.7,-1.5,,,,57.9,4.5,906.0,,1466.6,,1015.4,1.8,10.5,6.5,37.8,10.1,36.4,,0.0,0.0,,,,,,,,,,0.0,186.0,16.4,8.4,,,,
GOS,2025-01-22,7.3,8.1,5.4,,,,43.6,4.5,902.3,,1440.1,,1011.3,4.4,15.0,15.8,54.0,14.5,52.2,,0.0,0.0,,,,,,,,,,0.0,219.0,12.7,4.7,,,,
GOS,2025-01-23,4.6,8.4,0.4,,,,76.4,6.2,902.4,,1436.1,,1011.4,2.3,11.4,8.3,41.0,11.0,39.6,,2.1,2.1,,,,,,,,,,0.0,241.0,15.4,7.4,,,,
GOS,2025-01-24,8.1,13.9,0.7,,,,38.2,3.6,905.3,,1469.1,,1014.6,3.8,14.4,13.7,51.8,13.7,49.3,,0.0,0.0,,,,,,,,,,0.0,217.0,11.9,3.9,,,,
GOS,2025-01-25,9.7,11.1,8.4,,,,37.2,4.5,904.5,,1464.5,,1013.7,5.9,18.0,21.2,64.8,17.0,61.2,,7.3,0.0,,,,,,,,,,0.0,212.0,10.3,2.3,,,,
GOS,2025-01-26,4.9,9.4,0.6,,,,62.4,5.2,902.4,,1436.5,,1011.4,3.9,16.6,14.0,59.8,15.6,56.2,,0.1,7.4,,,,,,,,,,0.0,212.0,15.1,7.1,,,,
GOS,2025-01-27,7.3,9.9,3.0,,,,59.0,5.8,897.4,,1395.8,,1005.9,5.2,20.0,18.7,72.0,19.1,68.8,,22.0,6.3,,,,,,,,,,0.0,210.0,12.7,4.7,,,,
GOS,2025-01-28,1.1,3.2,-0.1,,,,94.6,6.3,893.6,,1351.3,,1001.7,1.3,6.8,4.7,24.5,6.4,23.0,,7.8,23.5,,,,,,,,,,0.0,198.0,18.9,10.9,,,,
GOS,2025-01-29,3.6,5.8,1.2,,,,70.3,5.4,902.1,,1431.6,,1011.1,2.5,14.4,9.0,51.8,14.0,50.4,,0.0,0.0,,,,,,,,,,0.0,207.0,16.4,8.4,,,,
GOS,2025-01-30,5.6,8.1,1.0,,,,53.6,4.8,907.2,,1481.0,,1016.7,3.7,13.3,13.3,47.9,12.6,45.4,,0.0,0.0,,,,,,,,,,0.0,216.0,14.4,6.4,,,,
GOS,2025-01-31,1.4,3.2,0.2,,,,79.9,5.4,914.2,,1534.0,,1024.4,1.9,6.6,6.8,23.8,6.4,23.0,,2.1,2.1,,,,,,,,,,0.0,243.0,18.6,10.6,,,,
GOS,2025-02-01,0.1,1.4,-1.1,,,,97.7,6.0,913.3,,1522.7,,1023.3,1.2,5.2,4.3,18.7,5.0,18.0,,0.0,0.0,,,,,,,,,,0.0,9.0,19.9,11.9,,,,
GOS,2025-02-02,-1.1,2.1,-2.8,,,,94.8,5.3,911.0,,1500.1,,1020.8,1.3,5.3,4.7,19.1,5.2,18.7,,0.0,0.0,,,,,,,,,,0.0,135.0,21.1,13.1,,,,
GOS,2025-02-03,-0.9,6.3,-3.8,,,,78.8,4.4,913.9,,1526.3,,1024.0,1.9,9.4,6.8,33.8,9.0,32.4,,0.0,0.0,,,,,,,,,,0.0,191.0,20.9,12.9,,,,
GOS,2025-02-04,0.9,4.6,-4.0,,,,60.2,3.8,916.7,,1554.4,,1027.1,1.9,7.1,6.8,25.6,6.9,24.8,,0.0,0.0,,,,,,,,,,0.0,185.0,19.1,11.1,,,,
GOS,2025-02-05,1.0,5.8,-3.7,,,,60.5,3.8,922.5,,1603.9,,1033.4,2.1,7.0,7.6,25.2,6.9,24.8,,0.0,0.0,,,,,,,,,,0.0,186.0,19.0,11.0,,,,
GOS,2025-02-06,-2.9,5.1,-4.1,,,,91.4,4.5,919.4,,1568.3,,1030.0,1.4,7.8,5.0,28.1,7.4,26.6,,0.0,0.0,,,,,,,,,,0.0,13.0,22.9,14.9,,,,
GOS,2025-02-07,4.2,5.6,3.2,,,,38.6,3.2,913.1,,1530.0,,1023.1,5.9,20.4,21.2,73.4,18.7,67.3,,0.0,0.0,,,,,,,,,,0.0,216.0,15.8,7.8,,,,
GOS,2025-02-08,6.1,7.5,3.7,,,,42.1,4.0,912.3,,1527.5,,1022.3,5.5,19.8,19.8,71.3,17.5,63.0,,0.0,0.0,,,,,,,,,,0.0,214.0,13.9,5.9,,,,
GOS,2025-02-09,2.9,7.4,0.8,,,,78.9,5.9,913.9,,1534.6,,1024.1,1.2,10.2,4.3,36.7,10.0,36.0,,0.0,0.0,,,,,,,,,,0.0,346.0,17.1,9.1,,,,
GOS,2025-02-10,6.4,10.9,0.2,,,,59.6,5.4,911.5,,1520.6,,1021.4,3.2,12.3,11.5,44.3,11.9,42.8,,0.0,0.0,,,,,,,,,,0.0,217.0,13.6,5.6,,,,
GOS,2025-02-11,8.2,10.0,4.6,,,,49.5,5.3,909.8,,1509.4,,1019.5,3.8,13.2,13.7,47.5,12.4,44.6,,0.0,0.0,,,,,,,,,,0.0,220.0,11.8,3.8,,,,
GOS,2025-02-12,7.8,10.0,4.5,,,,52.0,5.4,907.8,,1490.8,,1017.3,3.4,11.4,12.2,41.0,11.1,40.0,,0.0,0.0,,,,,,,,,,0.0,209.0,12.2,4.2,,,,
GOS,2025-02-13,3.2,8.4,-1.4,,,,80.4,6.1,906.0,,1465.1,,1015.3,1.8,9.9,6.5,35.6,9.2,33.1,,26.9,22.9,,,,,,,,,,0.0,360.0,16.8,8.8,,,,
GOS,2025-02-14,-3.3,-1.3,-6.1,,,,89.1,4.3,908.2,,1472.3,,1017.8,2.9,11.7,10.4,42.1,10.5,37.8,,0.8,4.8,,,,,,,,,,0.0,355.0,23.3,15.3,,,,
GOS,2025-02-15,-4.3,-0.3,-7.9,,,,87.6,3.9,907.4,,1462.6,,1016.8,1.5,8.0,5.4,28.8,7.4,26.6,,0.0,0.0,,,,,,,,,,0.0,180.0,24.3,16.3,,,,
GOS,2025-02-16,-1.2,2.7,-3.6,,,,87.1,4.9,904.4,,1442.9,,1013.6,1.6,5.9,5.8,21.2,5.7,20.5,,0.0,0.0,,,,,,,,,,0.0,162.0,21.2,13.2,,,,
GOS,2025-02-17,-2.0,2.2,-4.7,,,,84.4,4.5,907.2,,1465.6,,1016.6,1.4,4.4,5.0,15.8,4.3,15.5,,0.0,0.0,,,,,,,,,,0.0,153.0,22.0,14.0,,,,
GOS,2025-02-18,-1.8,2.7,-4.1,,,,81.9,4.4,909.0,,1482.0,,1018.7,1.1,4.7,4.0,16.9,4.4,15.8,,0.0,0.0,,,,,,,,,,0.0,153.0,21.8,13.8,,,,
GOS,2025-02-19,0.1,5.6,-4.4,,,,82.3,5.0,911.5,,1507.6,,1021.4,1.4,5.3,5.0,19.1,5.1,18.4,,0.0,0.0,,,,,,,,,,0.0,180.0,19.9,11.9,,,,
GOS,2025-02-20,5.4,9.8,1.4,,,,60.1,5.4,915.9,,1557.8,,1026.2,2.5,7.5,9.0,27.0,7.0,25.2,,0.0,0.0,,,,,,,,,,0.0,188.0,14.6,6.6,,,,
GOS,2025-02-21,9.1,13.8,4.2,,,,43.9,4.9,914.2,,1550.6,,1024.3,3.8,14.9,13.7,53.6,14.4,51.8,,0.0,0.0,,,,,,,,,,0.0,211.0,10.9,2.9,,,,
GOS,2025-02-22,8.8,11.4,5.3,,,,45.3,5.1,913.2,,1540.6,,1023.2,4.3,17.4,15.5,62.6,17.0,61.2,,0.0,0.0,,,,,,,,,,0.0,209.0,11.2,3.2,,,,
GOS,2025-02-23,5.8,8.9,3.2,,,,69.5,6.4,918.5,,1580.8,,1029.0,2.3,6.4,8.3,23.0,6.1,22.0,,0.0,0.0,,,,,,,,,,0.0,198.0,14.2,6.2,,,,
GOS,2025-02-24,6.6,12.2,2.4,,,,59.2,5.6,914.6,,1548.6,,1024.8,2.0,8.6,7.2,31.0,8.1,29.2,,0.0,0.0,,,,,,,,,,0.0,188.0,13.4,5.4,,,,
GOS,2025-02-25,8.0,10.9,4.1,,,,57.1,6.0,905.9,,1473.8,,1015.2,3.5,14.3,12.6,51.5,13.9,50.0,,0.3,0.3,,,,,,,,,,0.0,211.0,12.0,4.0,,,,
GOS,2025-02-26,2.3,4.1,0.5,,,,85.9,6.2,908.6,,1486.7,,1018.2,2.8,10.1,10.1,36.4,9.7,34.9,,0.0,0.0,,,,,,,,,,0.0,2.0,17.7,9.7,,,,
GOS,2025-02-27,1.1,4.1,-1.3,,,,73.0,4.8,909.1,,1488.4,,1018.7,1.7,8.6,6.1,31.0,7.9,28.4,,0.0,0.0,,,,,,,,,,0.0,8.0,18.9,10.9,,,,
GOS,2025-02-28,1.4,4.5,-0.6,,,,68.3,4.6,910.8,,1504.0,,1020.6,1.8,7.3,6.5,26.3,6.7,24.1,,0.0,0.0,,,,,,,,,,0.0,351.0,18.6,10.6,,,,
GOS,2025-03-01,1.0,4.6,-1.1,,,,78.5,5.1,912.7,,1519.9,,1022.7,1.3,7.0,4.7,25.2,6.8,24.5,,0.0,0.0,,,,,,,,,,0.0,16.0,19.0,11.0,,,,
GOS,2025-03-02,1.1,3.7,-1.9,,,,69.9,4.6,916.1,,1549.4,,1026.4,1.8,11.2,6.5,40.3,10.5,37.8,,0.0,0.0,,,,,,,,,,0.0,37.0,18.9,10.9,,,,
GOS,2025-03-03,3.3,9.4,-2.1,,,,48.5,3.6,915.6,,1549.7,,1025.8,1.6,7.0,5.8,25.2,6.7,24.1,,0.0,0.0,,,,,,,,,,0.0,146.0,16.7,8.7,,,,
GOS,2025-03-04,5.1,9.5,0.6,,,,38.8,3.4,914.4,,1543.9,,1024.6,1.9,7.3,6.8,26.3,6.8,24.5,,0.0,0.0,,,,,,,,,,0.0,187.0,14.9,6.9,,,,
GOS,2025-03-05,9.7,13.9,6.0,,,,26.8,3.2,914.9,,1558.0,,1025.1,3.7,13.6,13.3,49.0,12.9,46.4,,0.0,0.0,,,,,,,,,,0.0,210.0,10.3,2.3,,,,
GOS,2025-03-06,9.7,12.4,7.2,,,,31.0,3.7,913.9,,1548.9,,1024.0,5.2,17.5,18.7,63.0,16.5,59.4,,0.0,0.0,,,,,,,,,,0.0,205.0,10.3,2.3,,,,
GOS,2025-03-07,8.4,12.1,5.2,,,,32.4,3.5,909.9,,1510.7,,1019.6,4.2,17.0,15.1,61.2,14.8,53.3,,0.0,0.0,,,,,,,,,,0.0,210.0,11.6,3.6,,,,
