station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GRA,2025-01-01,-0.4,8.4,-7.8,-1.4,6.9,-9.7,80.2,4.6,949.4,,1526.6,,1026.0,1.2,8.7,4.3,31.3,8.4,30.2,,0.0,0.0,2.0,89.0,,,,20.0,460.0,100.0,0.3,0.0,210.0,20.4,12.4,-0.3,1.3,1.8,2.7
GRA,2025-01-02,4.9,8.2,-0.1,4.1,8.2,-1.1,70.7,6.0,941.0,,1473.6,,1017.1,8.4,22.6,30.2,81.4,22.2,79.9,,11.8,11.8,1.0,45.0,,,,34.0,64.0,14.0,1.3,0.0,230.0,15.1,7.1,11.7,2.3,2.4,2.8
GRA,2025-01-03,-1.3,1.2,-5.3,-1.2,5.7,-6.7,97.9,5.5,944.5,,1483.5,,1020.8,0.8,3.6,2.9,13.0,3.6,13.0,,0.0,0.0,0.0,79.0,,,,21.0,405.0,89.0,-0.1,0.0,270.0,21.3,13.3,-0.1,2.1,2.6,3.2
GRA,2025-01-04,-3.4,1.4,-6.2,-2.5,0.3,-7.4,99.0,4.8,941.7,,1453.8,,1017.8,0.7,3.2,2.5,11.5,3.1,11.2,,9.8,6.4,0.0,48.0,,,,37.0,76.0,17.0,0.1,0.0,162.0,23.4,15.4,6.4,0.8,1.5,2.5
GRA,2025-01-05,6.5,10.4,0.3,5.6,11.8,0.3,95.8,9.3,931.1,,1392.8,,1006.5,3.2,14.1,11.5,50.8,13.5,48.6,,0.6,4.0,0.0,68.0,,,,38.0,198.0,43.0,0.1,0.0,217.0,13.5,5.5,4.0,3.6,3.3,3.1
GRA,2025-01-06,7.0,10.0,2.5,5.8,10.3,0.9,82.0,8.1,926.2,,1351.2,,1001.3,4.4,20.2,15.8,72.7,20.0,72.0,,15.1,15.1,0.0,27.0,,,,24.0,2.0,0.0,0.8,0.0,217.0,13.0,5.0,15.1,4.1,4.0,4.0
GRA,2025-01-07,5.2,7.5,4.2,4.7,8.8,2.3,71.0,6.3,932.9,,1404.9,,1008.4,6.9,20.8,24.8,74.9,20.7,74.5,,1.4,0.1,0.0,72.0,,,,36.0,216.0,46.0,1.3,0.0,228.0,14.8,6.8,-0.1,3.6,3.9,4.2
GRA,2025-01-08,9.0,12.8,5.2,8.3,12.2,4.5,80.8,9.3,931.0,,1399.6,,1006.5,8.7,18.7,31.3,67.3,18.4,66.2,,2.7,4.0,0.0,32.0,,,,28.0,6.0,1.0,1.3,0.0,233.0,11.0,3.0,3.9,5.2,4.8,4.5
GRA,2025-01-09,7.4,11.4,0.6,6.9,11.6,0.7,79.4,8.3,932.5,,1407.0,,1008.0,7.4,22.3,26.6,80.3,21.5,77.4,,4.2,4.2,0.0,56.0,,,,42.0,69.0,15.0,0.8,0.0,226.0,12.6,4.6,4.1,6.0,5.9,5.6
GRA,2025-01-10,0.3,1.5,-0.9,0.5,2.6,-0.8,89.9,5.6,942.2,,1469.2,,1018.4,1.4,5.3,5.0,19.1,5.2,18.7,,2.7,1.6,0.0,26.0,,,,24.0,0.0,0.0,0.3,0.0,22.0,19.7,11.7,1.6,3.3,4.0,4.8
GRA,2025-01-11,-1.2,0.7,-3.7,-1.2,2.7,-4.9,92.9,5.2,945.5,,1491.7,,1021.9,3.1,8.3,11.2,29.9,8.1,29.2,,0.0,1.1,2.0,57.0,,,,39.0,111.0,24.0,0.2,0.0,32.0,21.2,13.2,1.1,2.3,3.0,3.9
GRA,2025-01-12,-2.9,-0.4,-5.0,-3.2,1.2,-6.2,82.7,4.0,954.5,,1560.0,,1031.5,5.5,13.2,19.8,47.5,12.8,46.1,,0.0,0.0,0.0,92.0,,,,21.0,468.0,100.0,0.5,0.0,40.0,22.9,14.9,-0.2,0.7,1.6,2.9
GRA,2025-01-13,-4.2,-1.2,-7.3,-4.5,0.7,-9.3,85.6,3.8,956.0,,1567.5,,1033.0,4.4,11.5,15.8,41.4,11.3,40.7,,0.0,0.0,1.0,92.0,,,,18.0,481.0,100.0,0.3,0.0,32.0,24.2,16.2,-0.2,0.2,1.0,2.3
GRA,2025-01-14,-6.7,-4.0,-9.0,-7.2,-2.8,-10.7,99.3,3.7,954.8,,1549.3,,1031.8,0.7,3.5,2.5,12.6,3.4,12.2,,0.0,0.0,0.0,40.0,,,,35.0,58.0,12.0,0.2,0.0,135.0,26.7,18.7,0.0,-0.1,0.7,1.9
