station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GRC,2025-01-01,0.6,5.1,-1.6,-2.7,4.4,-5.7,38.9,2.5,846.2,,1569.6,,1026.8,,,,,,,,0.0,0.0,,53.0,217.0,,,9.0,211.0,100.0,,0.0,,19.4,11.4,-0.5,,,
GRC,2025-01-02,0.2,3.5,-2.1,-1.5,4.2,-4.4,54.3,3.3,837.2,,1483.8,,1016.2,,,,,,,,8.5,3.6,,49.0,264.0,,,35.0,105.0,50.0,,0.0,,19.8,11.8,3.4,,,
GRC,2025-01-03,-4.8,-0.7,-8.7,-6.1,-1.5,-10.1,76.5,3.3,836.2,,1477.0,,1015.1,,,,,,,,0.0,4.9,,55.0,232.0,,,9.0,213.0,100.0,,0.0,,24.8,16.8,4.7,,,
GRC,2025-01-04,-4.2,1.0,-9.2,-6.9,-0.9,-12.1,65.7,3.0,836.0,,1474.1,,1014.8,,,,,,,,1.5,0.5,,51.0,235.0,,,29.0,171.0,80.0,,0.0,,24.2,16.2,0.3,,,
GRC,2025-01-05,3.5,6.8,0.1,1.5,5.4,-0.8,83.9,6.6,831.4,,1425.3,,1009.4,,,,,,,,0.0,1.0,,35.0,297.0,,,31.0,1.0,0.0,,0.0,,16.5,8.5,1.0,,,
GRC,2025-01-06,1.7,3.6,-0.8,0.4,3.9,-1.5,64.6,4.5,826.8,,1381.5,,1004.0,,,,,,,,2.1,0.0,,39.0,282.0,,,37.0,0.0,0.0,,0.0,,18.3,10.3,-0.1,,,
GRC,2025-01-07,-1.7,1.4,-3.3,-3.5,0.6,-7.3,72.9,3.9,829.1,,1407.0,,1006.8,,,,,,,,1.6,2.1,,59.0,249.0,,,13.0,216.0,100.0,,0.0,,21.7,13.7,1.9,,,
GRC,2025-01-08,1.1,3.9,-2.4,-0.8,0.8,-3.1,80.7,5.4,830.9,,1423.0,,1008.9,,,,,,,,5.1,5.6,,33.0,294.0,,,29.0,5.0,2.0,,0.0,,18.9,10.9,5.6,,,
GRC,2025-01-09,1.3,2.5,0.0,-0.2,1.5,-2.2,84.0,5.6,829.4,,1408.1,,1007.2,,,,,,,,1.1,2.2,,37.0,298.0,,,34.0,0.0,0.0,,0.0,,18.7,10.7,2.2,,,
GRC,2025-01-10,-3.5,0.7,-5.2,-2.9,-2.1,-4.5,80.5,3.7,833.5,,1450.1,,1011.9,,,,,,,,6.1,6.0,,15.0,288.0,,,13.0,0.0,0.0,,0.0,,23.5,15.5,6.0,,,
GRC,2025-01-11,-4.8,-3.5,-6.5,-1.8,-0.5,-2.4,96.5,4.1,836.3,,1477.9,,1015.2,,,,,,,,0.3,0.4,,35.0,288.0,,,33.0,0.0,0.0,,0.0,,24.8,16.8,0.4,,,
