station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GRE,2025-01-01,-1.0,1.6,-3.2,,,,99.6,5.7,976.0,1029.7,,,1027.1,1.7,5.0,6.1,18.0,4.9,17.6,,0.0,0.0,0.0,34.0,,,,,103.0,23.0,0.2,0.0,230.0,21.0,13.0,0.0,,,
GRE,2025-01-02,2.4,8.1,-4.1,,,,97.0,7.2,966.8,1019.2,,,1017.5,5.5,19.8,19.8,71.3,19.2,69.1,,17.4,17.4,0.0,24.0,,,,,48.0,11.0,0.3,0.0,252.0,17.6,9.6,17.4,,,
GRE,2025-01-03,-0.6,3.0,-5.1,,,,95.1,5.6,971.2,1024.5,,,1022.1,1.2,6.6,4.3,23.8,6.5,23.4,,0.0,0.0,0.0,70.0,,,,,378.0,83.0,0.0,0.0,360.0,20.6,12.6,-0.1,,,
GRE,2025-01-04,-2.9,-0.4,-6.2,,,,99.4,5.0,968.5,1022.1,,,1019.3,1.0,4.5,3.6,16.2,4.5,16.2,,18.8,10.7,0.0,34.0,,,,,22.0,5.0,0.1,0.0,239.0,22.9,14.9,10.7,,,
GRE,2025-01-05,2.7,10.2,-0.8,,,,99.5,7.6,956.7,1008.6,,,1007.0,1.2,12.1,4.3,43.6,11.5,41.4,,0.7,8.8,0.0,40.0,,,,,74.0,16.0,0.3,0.0,236.0,17.3,9.3,8.8,,,
GRE,2025-01-06,3.5,8.4,-1.2,,,,99.5,7.9,951.4,1002.8,,,1001.5,1.9,12.8,6.8,46.1,12.3,44.3,,16.3,16.3,0.0,19.0,,,,,2.0,0.0,0.3,0.0,238.0,16.5,8.5,16.3,,,
GRE,2025-01-07,3.5,6.5,-0.2,,,,98.8,7.8,958.3,1010.1,,,1008.6,3.8,19.9,13.7,71.6,19.6,70.6,,4.9,0.8,0.0,29.0,,,,,68.0,15.0,0.2,0.0,236.0,16.5,8.5,0.8,,,
GRE,2025-01-08,7.7,10.5,0.0,,,,99.2,10.5,956.3,1007.1,,,1006.5,6.0,15.2,21.6,54.7,14.5,52.2,,20.2,24.2,0.0,6.0,,,,,0.0,0.0,-0.2,0.0,239.0,12.3,4.3,24.2,,,
GRE,2025-01-09,6.4,8.9,1.5,,,,94.2,9.3,957.7,1008.9,,,1008.0,6.8,21.0,24.5,75.6,19.5,70.2,,6.4,6.5,0.0,15.0,,,,,0.0,0.0,0.1,0.0,254.0,13.6,5.6,6.5,,,
GRE,2025-01-10,1.3,2.7,-0.4,,,,95.1,6.4,968.7,1021.5,,,1019.5,1.7,9.3,6.1,33.5,9.1,32.8,,0.0,0.0,0.0,26.0,,,,,0.0,0.0,0.3,0.0,45.0,18.7,10.7,0.0,,,
GRE,2025-01-11,-0.1,2.5,-3.0,,,,91.3,5.5,972.8,1026.0,,,1023.7,3.3,11.6,11.9,41.8,11.3,40.7,,0.0,0.0,0.0,83.0,,,,,488.0,100.0,0.2,0.0,75.0,20.1,12.1,-0.1,,,
GRE,2025-01-12,-1.3,2.1,-4.6,,,,87.0,4.8,982.7,1036.8,,,1034.1,4.7,11.8,16.9,42.5,11.6,41.8,,0.0,0.0,0.0,95.0,,,,,470.0,100.0,0.4,0.0,63.0,21.3,13.3,-0.1,,,
GRE,2025-01-13,-2.4,0.3,-5.2,,,,86.0,4.4,984.2,1038.6,,,1035.6,6.8,17.2,24.5,61.9,16.9,60.8,,0.0,0.0,0.0,83.0,,,,,482.0,100.0,0.4,0.0,73.0,22.4,14.4,-0.1,,,
GRE,2025-01-14,-3.7,-0.2,-6.2,,,,97.7,4.6,982.2,1036.7,,,1033.6,1.9,5.1,6.8,18.4,4.9,17.6,,0.0,0.0,0.0,80.0,,,,,423.0,90.0,0.1,0.0,69.0,23.7,15.7,0.0,,,
GRE,2025-01-15,-1.0,3.7,-6.6,,,,99.2,5.8,979.2,1033.0,,,1030.4,3.9,10.4,14.0,37.4,10.3,37.1,,0.0,0.0,0.0,64.0,,,,,237.0,51.0,0.1,0.0,61.0,21.0,13.0,0.0,,,
GRE,2025-01-16,1.6,2.4,0.8,,,,98.9,6.8,981.1,1034.5,,,1032.4,5.0,14.6,18.0,52.6,14.3,51.5,,0.0,0.0,0.0,17.0,,,,,0.0,0.0,0.2,0.0,64.0,18.4,10.4,0.0,,,
GRE,2025-01-17,0.6,1.4,-0.6,,,,98.8,6.3,982.3,1035.9,,,1033.6,2.0,6.5,7.2,23.4,6.4,23.0,,0.0,0.0,0.0,24.0,,,,,0.0,0.0,0.2,0.0,62.0,19.4,11.4,0.0,,,
GRE,2025-01-18,-1.5,-0.5,-4.5,,,,99.3,5.5,977.5,1031.3,,,1028.7,1.3,5.9,4.7,21.2,5.8,20.9,,0.0,0.0,0.0,23.0,,,,,0.0,0.0,0.1,0.0,45.0,21.5,13.5,0.0,,,
GRE,2025-01-19,-2.0,-1.4,-2.7,,,,99.4,5.2,971.1,1024.7,,,1022.0,1.5,4.5,5.4,16.2,4.4,15.8,,0.0,0.0,0.0,19.0,,,,,0.0,0.0,0.2,0.0,230.0,22.0,14.0,0.0,,,
GRE,2025-01-20,-1.6,-1.0,-2.3,,,,99.5,5.4,968.9,1022.2,,,1019.7,1.1,4.3,4.0,15.5,4.3,15.5,,0.0,0.0,0.0,23.0,,,,,0.0,0.0,0.2,0.0,252.0,21.6,13.6,0.0,,,
GRE,2025-01-21,-1.3,-0.6,-2.1,,,,99.6,5.6,967.0,1020.2,,,1017.7,1.0,4.3,3.6,15.5,4.3,15.5,,0.0,0.0,0.0,20.0,,,,,0.0,0.0,0.2,0.0,243.0,21.3,13.3,0.0,,,
