station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GRH,2025-01-01,-1.0,1.0,-3.0,,,,38.1,2.2,809.7,,1571.9,,1026.5,7.2,14.0,25.9,50.4,13.8,49.7,,0.0,0.0,125.0,66.0,204.0,,,,251.0,100.0,1.7,0.0,170.0,21.0,13.0,-0.5,,,
GRH,2025-01-02,-1.7,0.2,-5.9,,,,58.3,3.1,800.5,,1480.9,,1015.4,8.1,20.4,29.2,73.4,19.0,68.4,,24.2,13.6,123.0,50.0,266.0,,,,49.0,19.0,1.1,0.0,142.0,21.7,13.7,13.4,,,
GRH,2025-01-03,-8.5,-5.9,-12.2,,,,86.7,2.8,800.0,,1488.4,,1014.8,4.6,14.1,16.6,50.8,13.0,46.8,,0.0,10.6,152.0,42.0,248.0,,,,0.0,0.0,0.2,0.0,325.0,28.5,20.5,10.6,,,
GRH,2025-01-04,-4.6,0.5,-10.4,,,,40.0,2.0,799.3,,1473.6,,1013.9,7.8,20.4,28.1,73.4,19.6,70.6,,3.8,1.4,147.0,65.0,221.0,,,,247.0,97.0,1.4,0.0,173.0,24.6,16.6,0.9,,,
GRH,2025-01-05,2.7,6.0,-0.9,,,,77.4,5.7,795.9,,1425.1,,1009.7,9.9,19.2,35.6,69.1,18.8,67.7,,0.0,2.4,181.0,34.0,296.0,,,,0.0,0.0,1.1,0.0,144.0,17.3,9.3,2.3,,,
GRH,2025-01-06,-0.7,0.0,-2.0,,,,71.4,4.1,792.2,,1394.8,,1005.4,10.0,21.7,36.0,78.1,21.2,76.3,,3.4,0.1,166.0,24.0,287.0,,,,0.0,0.0,1.0,0.0,172.0,20.7,12.7,0.0,,,
GRH,2025-01-07,-4.3,-1.5,-6.9,,,,73.9,3.3,792.9,,1409.5,,1006.2,4.7,20.0,16.9,72.0,19.6,70.6,,0.9,3.4,167.0,38.0,247.0,,,,70.0,27.0,0.6,0.0,142.0,24.3,16.3,3.3,,,
GRH,2025-01-08,0.1,2.8,-3.4,,,,77.9,4.8,794.8,,1419.3,,1008.4,10.8,21.9,38.9,78.8,21.6,77.8,,1.4,2.2,165.0,43.0,287.0,,,,0.0,0.0,0.8,0.0,139.0,19.9,11.9,2.1,,,
GRH,2025-01-09,-1.3,0.9,-7.4,,,,86.3,4.8,793.7,,1410.5,,1007.1,9.6,18.3,34.6,65.9,17.6,63.4,,22.1,11.4,170.0,48.0,281.0,,,,0.0,0.0,0.2,0.0,142.0,21.3,13.3,11.4,,,
GRH,2025-01-10,-8.1,-5.3,-9.5,,,,95.5,3.2,797.9,,1466.9,,1012.3,4.8,17.3,17.3,62.3,15.7,56.5,,13.4,20.2,176.0,34.0,276.0,,,,0.0,0.0,0.3,0.0,335.0,28.1,20.1,20.2,,,
GRH,2025-01-11,-8.0,-5.2,-11.4,,,,94.4,3.2,800.5,,1492.3,,1015.4,5.3,13.9,19.1,50.0,12.6,45.4,,7.8,10.9,197.0,49.0,274.0,,,,0.0,0.0,0.2,0.0,350.0,28.0,20.0,10.9,,,
GRH,2025-01-12,-12.5,-9.5,-15.1,,,,79.8,1.9,807.6,,1568.5,,1024.0,3.4,11.8,12.2,42.5,11.2,40.3,,0.0,0.8,179.0,62.0,209.0,,,,102.0,38.0,0.3,0.0,311.0,32.5,24.5,0.7,,,
GRH,2025-01-13,-4.0,0.3,-11.0,,,,20.9,0.9,810.4,,1582.7,,1027.3,4.5,17.0,16.2,61.2,15.8,56.9,,0.1,0.1,177.0,79.0,174.0,,,,270.0,100.0,1.4,0.0,215.0,24.0,16.0,-0.5,,,
GRH,2025-01-14,-1.2,1.9,-3.9,,,,23.0,1.3,810.6,,1580.7,,1027.6,3.4,11.5,12.2,41.4,11.0,39.6,,0.0,0.0,174.0,77.0,206.0,,,,272.0,100.0,1.4,0.0,233.0,21.2,13.2,-0.5,,,
GRH,2025-01-15,-3.4,-1.1,-6.5,,,,47.2,2.2,808.5,,1563.3,,1025.0,4.1,13.4,14.8,48.2,13.0,46.8,,0.0,0.0,171.0,62.0,229.0,,,,16.0,6.0,1.0,0.0,336.0,23.4,15.4,-0.1,,,
GRH,2025-01-16,-2.5,0.3,-5.3,,,,42.6,2.2,810.4,,1580.8,,1027.4,7.0,13.3,25.2,47.9,13.1,47.2,,0.0,0.0,168.0,78.0,203.0,,,,276.0,100.0,1.5,0.0,155.0,22.5,14.5,-0.4,,,
GRH,2025-01-17,-0.6,2.8,-3.4,,,,32.6,1.9,811.8,,1592.5,,1029.1,5.6,12.8,20.2,46.1,12.5,45.0,,0.0,0.0,165.0,81.0,203.0,,,,279.0,100.0,1.8,0.0,181.0,20.6,12.6,-0.5,,,
GRH,2025-01-18,0.5,3.0,-1.8,,,,37.4,2.4,810.0,,1572.8,,1026.9,8.2,17.3,29.5,62.3,16.7,60.1,,0.0,0.0,160.0,81.0,214.0,,,,282.0,100.0,2.1,0.0,162.0,19.5,11.5,-0.5,,,
GRH,2025-01-19,-0.3,2.2,-2.5,,,,68.2,4.0,804.9,,1522.4,,1020.7,7.1,13.5,25.6,48.6,13.4,48.2,,0.1,0.1,159.0,39.0,286.0,,,,0.0,0.0,1.2,0.0,160.0,20.3,12.3,0.0,,,
GRH,2025-01-20,-2.0,-1.2,-3.1,,,,72.9,3.8,802.8,,1504.8,,1018.2,6.3,12.5,22.7,45.0,12.0,43.2,,0.0,0.0,164.0,47.0,277.0,,,,5.0,2.0,0.8,0.0,151.0,22.0,14.0,-0.1,,,
GRH,2025-01-21,-2.9,-0.9,-5.5,,,,56.4,2.8,800.1,,1478.9,,1014.9,6.1,11.9,22.0,42.8,11.6,41.8,,0.0,0.0,163.0,84.0,214.0,,,,289.0,100.0,1.0,0.0,177.0,22.9,14.9,-0.3,,,
GRH,2025-01-22,-2.0,-0.9,-4.7,,,,65.2,3.5,797.3,,1448.5,,1011.4,8.7,16.2,31.3,58.3,15.3,55.1,,0.0,0.0,160.0,57.0,249.0,,,,13.0,4.0,0.9,0.0,162.0,22.0,14.0,-0.1,,,
GRH,2025-01-23,-2.5,-0.3,-4.6,,,,86.5,4.4,796.7,,1443.9,,1010.8,5.7,15.4,20.5,55.4,15.0,54.0,,4.8,4.8,155.0,63.0,272.0,,,,24.0,8.0,0.5,0.0,157.0,22.5,14.5,4.8,,,
GRH,2025-01-24,2.0,5.5,-4.0,,,,36.5,2.5,801.1,,1480.4,,1016.1,9.0,18.2,32.4,65.5,17.5,63.0,,0.0,0.0,159.0,75.0,256.0,,,,134.0,45.0,2.3,0.0,146.0,18.0,10.0,-0.3,,,
