station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GSB,2025-01-01,-3.7,-1.8,-5.2,,,,38.4,1.8,758.7,,,3119.4,1027.0,1.4,6.4,5.0,23.0,6.3,22.7,,0.0,0.0,,36.0,,,,,105.0,96.0,0.7,0.0,270.0,23.7,15.7,,,,
GSB,2025-01-02,-4.6,-3.1,-6.9,,,,55.9,2.4,750.7,,,3035.2,1016.8,3.0,11.5,10.8,41.4,11.4,41.0,,9.5,8.5,,52.0,,,,,91.0,83.0,0.7,0.0,267.0,24.6,16.6,,,,
GSB,2025-01-03,-9.9,-6.9,-12.8,,,,58.5,1.7,747.6,,,2992.1,1012.7,6.1,12.9,22.0,46.4,12.3,44.3,,0.0,1.0,,41.0,,,,,109.0,98.0,0.7,0.0,99.0,29.9,21.9,,,,
GSB,2025-01-04,-4.5,-0.4,-8.4,,,,46.7,2.3,748.7,,,3014.4,1014.2,3.6,8.6,13.0,31.0,8.5,30.6,,9.5,5.6,,54.0,,,,,109.0,96.0,0.9,0.0,291.0,24.5,16.5,,,,
GSB,2025-01-05,0.3,3.4,-5.1,,,,84.2,5.2,746.8,,,3004.5,1011.8,3.5,14.4,12.6,51.8,13.3,47.9,,1.0,4.9,,68.0,,,,,52.0,44.0,0.3,0.0,288.0,19.7,11.7,,,,
GSB,2025-01-06,-6.1,-4.3,-7.6,,,,95.1,3.7,741.5,,,2936.2,1004.9,6.4,14.3,23.0,51.5,13.5,48.6,,9.4,6.8,,28.0,,,,,0.0,0.0,0.2,0.0,297.0,26.1,18.1,,,,
GSB,2025-01-07,-7.5,-5.2,-9.6,,,,68.1,2.4,742.5,,,2944.6,1006.3,2.4,9.8,8.6,35.3,9.2,33.1,,5.2,2.6,,46.0,,,,,116.0,81.0,0.4,0.0,309.0,27.5,19.5,,,,
GSB,2025-01-08,-1.7,0.5,-5.9,,,,86.7,4.7,745.6,,,2987.6,1010.2,4.2,19.4,15.1,69.8,18.8,67.7,,13.1,17.6,,68.0,,,,,50.0,31.0,0.2,0.0,282.0,21.7,13.7,,,,
GSB,2025-01-09,-3.6,-2.3,-8.5,,,,92.4,4.3,743.9,,,2965.7,1008.0,4.1,18.4,14.8,66.2,17.8,64.1,,12.7,13.4,,52.0,,,,,0.0,0.0,0.1,0.0,278.0,23.6,15.6,,,,
GSB,2025-01-10,-5.1,-1.0,-9.9,,,,84.3,3.6,746.9,,,2994.2,1011.8,3.4,15.1,12.2,54.4,14.4,51.8,,9.6,9.6,,38.0,,,,,0.0,0.0,0.4,0.0,90.0,25.1,17.1,,,,
GSB,2025-01-11,-8.5,-3.2,-14.9,,,,83.3,2.7,748.0,,,2998.7,1013.2,5.4,13.8,19.4,49.7,13.2,47.5,,0.0,0.0,,69.0,,,,,0.0,0.0,0.4,0.0,98.0,28.5,20.5,,,,
GSB,2025-01-12,-11.8,-8.9,-18.0,,,,47.0,1.1,753.0,,,3043.1,1019.7,6.3,12.3,22.7,44.3,11.9,42.8,,0.0,0.0,,52.0,,,,,179.0,91.0,0.7,0.0,88.0,31.8,23.8,,,,
GSB,2025-01-13,-7.1,-2.7,-10.5,,,,20.6,0.7,757.3,,,3097.0,1025.1,3.6,10.1,13.0,36.4,9.8,35.3,,0.0,0.0,,55.0,,,,,194.0,93.0,1.2,0.0,329.0,27.1,19.1,,,,
