station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GUE,2025-01-01,-2.0,-0.4,-3.6,,,,36.2,1.9,776.9,,1566.2,,1025.8,4.4,11.0,15.8,39.6,10.9,39.2,,0.0,0.0,99.0,90.0,190.0,,,,446.0,100.0,1.1,0.0,172.0,22.0,14.0,,,,
GUE,2025-01-02,-5.6,-2.7,-8.0,,,,79.6,3.2,768.0,,1483.2,,1014.5,8.7,21.3,31.3,76.7,21.1,76.0,,18.2,12.2,97.0,60.0,248.0,,,,120.0,27.0,0.6,0.0,154.0,25.6,17.6,,,,
GUE,2025-01-03,-9.7,-7.3,-12.6,,,,63.4,1.8,766.2,,1477.0,,1012.3,6.5,16.8,23.4,60.5,15.9,57.2,,0.0,6.0,118.0,98.0,186.0,,,,388.0,87.0,0.6,0.0,358.0,29.7,21.7,,,,
GUE,2025-01-04,-6.0,-1.7,-10.1,,,,39.8,1.7,766.6,,1469.3,,1012.8,5.9,15.2,21.2,54.7,14.9,53.6,,5.2,2.9,110.0,91.0,209.0,,,,414.0,92.0,1.1,0.0,133.0,26.0,18.0,,,,
GUE,2025-01-05,0.0,3.2,-3.7,,,,83.3,5.1,764.1,,1424.3,,1009.7,9.2,28.5,33.1,102.6,28.1,101.2,,0.1,2.4,118.0,35.0,285.0,,,,0.0,0.0,0.7,0.0,151.0,20.0,12.0,,,,
GUE,2025-01-06,-3.1,-2.1,-4.8,,,,81.5,4.0,759.5,,1385.0,,1003.9,18.4,40.4,66.2,145.4,39.5,142.2,,1.0,0.2,112.0,39.0,284.0,,,,1.0,0.0,0.6,0.0,146.0,23.1,15.1,,,,
GUE,2025-01-07,-6.0,-4.0,-7.6,,,,71.5,2.8,760.2,,1402.4,,1004.8,5.8,19.6,20.9,70.6,19.2,69.1,,1.8,0.8,96.0,86.0,224.0,,,,318.0,70.0,0.5,0.0,179.0,26.0,18.0,,,,
GUE,2025-01-08,-2.8,0.3,-6.2,,,,82.9,4.1,762.7,,1418.9,,1007.9,10.8,27.8,38.9,100.1,26.4,95.0,,2.5,4.3,102.0,59.0,276.0,,,,87.0,19.0,0.6,0.0,150.0,22.8,14.8,,,,
GUE,2025-01-09,-3.3,-1.8,-10.2,,,,85.7,4.1,761.2,,1404.6,,1006.1,9.7,21.3,34.9,76.7,21.0,75.6,,6.9,5.8,107.0,57.0,265.0,,,,79.0,17.0,0.0,0.0,142.0,23.3,15.3,,,,
GUE,2025-01-10,-9.5,-6.5,-11.1,,,,85.0,2.5,764.4,,1458.3,,1010.1,6.4,21.5,23.0,77.4,20.6,74.2,,7.5,5.2,102.0,43.0,265.0,,,,0.0,0.0,0.4,0.0,20.0,29.5,21.5,,,,
GUE,2025-01-11,-10.5,-6.9,-14.4,,,,92.0,2.5,767.0,,1487.6,,1013.3,5.2,13.9,18.7,50.0,13.5,48.6,,1.0,4.4,113.0,94.0,250.0,,,,96.0,21.0,0.2,0.0,349.0,30.5,22.5,,,,
GUE,2025-01-12,-12.1,-9.1,-16.0,,,,60.4,1.4,773.9,,1563.0,,1022.0,4.5,12.6,16.2,45.4,12.2,43.9,,0.0,0.0,115.0,100.0,175.0,,,,460.0,100.0,0.5,0.0,35.0,32.1,24.1,,,,
GUE,2025-01-13,-6.4,-0.7,-11.5,,,,17.7,0.6,777.6,,1585.0,,1026.6,5.2,11.9,18.7,42.8,11.8,42.5,,0.0,0.0,109.0,102.0,157.0,,,,436.0,94.0,1.5,0.0,64.0,26.4,18.4,,,,
GUE,2025-01-14,-0.9,1.3,-3.4,,,,12.4,0.7,778.0,,1574.3,,1027.1,3.5,10.2,12.6,36.7,9.4,33.8,,0.0,0.0,102.0,100.0,197.0,,,,469.0,100.0,1.4,0.0,22.0,20.9,12.9,,,,
GUE,2025-01-15,-4.2,-0.9,-8.1,,,,58.4,2.5,775.5,,1557.8,,1024.0,6.0,21.2,21.6,76.3,20.1,72.4,,0.4,0.4,99.0,80.0,223.0,,,,211.0,45.0,1.0,0.0,12.0,24.2,16.2,,,,
