station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GUT,2025-01-01,-2.0,5.7,-5.9,-3.0,5.4,-8.0,98.9,5.3,973.1,1028.3,,,1025.5,1.5,6.8,5.4,24.5,6.3,22.7,0.0,0.0,0.0,,67.0,242.0,,,25.0,345.0,80.0,0.1,0.0,229.0,22.0,14.0,0.0,1.1,1.6,2.4
GUT,2025-01-02,4.5,9.5,-1.0,2.4,9.6,-3.3,76.8,6.2,963.7,1017.0,,,1015.7,3.5,17.6,12.6,63.4,16.5,59.4,0.0,21.4,20.8,,36.0,308.0,,,29.0,35.0,8.0,0.9,0.0,250.0,15.5,7.5,20.7,1.7,1.9,2.3
GUT,2025-01-03,-0.5,1.5,-4.0,-1.4,4.1,-7.1,92.4,5.5,969.4,1024.0,,,1021.6,3.3,7.8,11.9,28.1,7.7,27.7,0.0,0.0,0.6,,43.0,260.0,,,35.0,41.0,9.0,0.1,0.0,241.0,20.5,12.5,0.6,1.8,2.1,2.6
GUT,2025-01-04,-2.7,0.2,-5.6,-3.0,-0.1,-7.9,95.6,4.8,967.0,1022.0,,,1019.2,1.7,5.1,6.1,18.4,4.9,17.6,0.0,16.4,8.2,,26.0,274.0,,,24.0,0.0,0.0,0.2,0.0,246.0,22.7,14.7,8.2,0.9,1.5,2.2
GUT,2025-01-05,2.8,7.2,-0.2,1.0,5.0,-0.7,99.3,7.5,954.5,1007.6,,,1006.1,1.4,4.6,5.0,16.6,4.4,15.8,0.0,1.7,9.9,,33.0,315.0,,,31.0,0.0,0.0,0.3,0.0,188.0,17.2,9.2,9.9,1.1,1.4,2.0
GUT,2025-01-06,4.8,10.7,0.7,2.7,7.5,-1.9,90.7,7.7,949.2,1001.6,,,1000.5,2.1,14.4,7.6,51.8,14.0,50.4,0.0,3.2,3.0,,38.0,301.0,,,26.0,103.0,23.0,0.5,0.0,231.0,15.2,7.2,3.0,1.8,1.9,2.1
GUT,2025-01-07,4.1,8.5,0.7,2.1,10.2,-2.2,84.9,6.9,956.0,1009.0,,,1007.6,3.1,16.7,11.2,60.1,15.9,57.2,0.0,3.1,1.8,,46.0,283.0,,,21.0,196.0,44.0,0.6,0.0,238.0,15.9,7.9,1.7,2.7,2.7,2.8
GUT,2025-01-08,6.3,11.8,1.0,4.5,8.8,-0.9,89.9,8.6,954.0,1006.4,,,1005.6,2.9,19.5,10.4,70.2,18.6,67.0,0.0,11.6,8.8,,23.0,323.0,,,21.0,0.0,0.0,0.6,0.0,222.0,13.7,5.7,8.8,3.1,3.0,3.1
GUT,2025-01-09,7.2,11.5,0.8,5.4,14.8,-1.4,81.0,8.4,954.6,1006.8,,,1006.1,3.9,20.3,14.0,73.1,19.1,68.8,0.0,5.7,10.0,,34.0,303.0,,,23.0,76.0,17.0,0.7,0.0,256.0,12.8,4.8,9.9,4.6,4.4,4.1
GUT,2025-01-10,0.7,4.1,-2.1,-0.7,8.7,-5.7,79.2,5.0,967.1,1021.4,,,1019.2,2.6,10.6,9.4,38.2,10.3,37.1,0.0,0.0,0.0,,59.0,245.0,,,28.0,235.0,53.0,0.5,0.0,242.0,19.3,11.3,-0.1,2.8,3.3,3.8
