station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
HAI,2025-01-01,3.0,5.6,-0.4,,,,64.4,4.8,940.0,,1527.1,,1024.3,6.7,13.6,24.1,49.0,12.6,45.4,,0.0,0.0,,70.0,,,,,430.0,97.0,1.2,0.0,234.0,17.0,9.0,-0.5,,,
HAI,2025-01-02,3.7,7.8,-0.6,,,,75.2,5.8,931.1,,1453.1,,1014.7,8.2,27.8,29.5,100.1,26.9,96.8,,18.5,18.5,,30.0,,,,,47.0,11.0,1.3,0.0,245.0,16.3,8.3,18.4,,,
HAI,2025-01-03,-2.9,-0.5,-5.0,,,,99.3,4.9,936.2,,1477.5,,1020.1,1.9,5.0,6.8,18.0,4.8,17.3,,0.0,0.0,,30.0,,,,,18.0,4.0,0.2,0.0,245.0,22.9,14.9,0.0,,,
HAI,2025-01-04,-4.6,-0.9,-6.8,,,,99.3,4.3,933.6,,1451.2,,1017.4,0.8,3.5,2.9,12.6,3.4,12.2,,15.1,6.3,,30.0,,,,,0.0,0.0,0.2,0.0,166.0,24.6,16.6,6.3,,,
HAI,2025-01-05,5.0,8.3,-1.2,,,,94.4,8.3,922.4,,1381.7,,1005.4,5.4,14.1,19.4,50.8,13.4,48.2,,1.9,10.7,,34.0,,,,,41.0,9.0,0.1,0.0,230.0,15.0,7.0,10.7,,,
HAI,2025-01-06,7.2,9.5,2.8,,,,74.5,7.5,917.5,,1344.0,,1000.1,7.0,22.7,25.2,81.7,21.0,75.6,,9.7,9.7,,31.0,,,,,80.0,18.0,1.1,0.0,244.0,12.8,4.8,9.6,,,
HAI,2025-01-07,2.6,4.6,1.4,,,,94.3,6.9,923.5,,1385.7,,1006.6,6.4,18.3,23.0,65.9,17.4,62.6,,3.9,1.9,,37.0,,,,,164.0,36.0,0.4,0.0,239.0,17.4,9.4,1.9,,,
HAI,2025-01-08,5.7,9.8,2.3,,,,92.6,8.5,922.0,,1379.8,,1004.9,6.1,18.1,22.0,65.2,16.9,60.8,,13.6,13.7,,14.0,,,,,0.0,0.0,0.7,0.0,227.0,14.3,6.3,13.7,,,
HAI,2025-01-09,5.4,9.3,-1.2,,,,92.3,8.4,922.7,,1384.6,,1005.7,6.1,24.7,22.0,88.9,23.6,85.0,,4.1,6.0,,28.0,,,,,80.0,18.0,0.3,0.0,246.0,14.6,6.6,6.0,,,
HAI,2025-01-10,-1.2,0.4,-2.2,,,,90.7,5.1,934.1,,1465.7,,1018.0,2.7,9.8,9.7,35.3,9.2,33.1,,0.0,0.0,,53.0,,,,,230.0,50.0,0.2,0.0,238.0,21.2,13.2,-0.1,,,
HAI,2025-01-11,-2.7,-0.7,-5.1,,,,89.9,4.5,938.6,,1498.2,,1022.7,1.7,5.4,6.1,19.4,5.3,19.1,,0.0,0.0,,68.0,,,,,318.0,69.0,0.1,0.0,62.0,22.7,14.7,-0.1,,,
HAI,2025-01-12,-3.4,-1.6,-5.1,,,,88.2,4.2,948.3,,1575.5,,1033.1,1.9,6.8,6.8,24.5,6.8,24.5,,0.0,0.0,,43.0,,,,,82.0,18.0,0.2,0.0,52.0,23.4,15.4,-0.1,,,
HAI,2025-01-13,-5.2,-3.9,-5.9,,,,95.9,4.0,950.1,,1584.6,,1035.0,4.2,11.0,15.1,39.6,10.7,38.5,,0.0,0.0,,71.0,,,,,340.0,74.0,0.1,0.0,55.0,25.2,17.2,-0.1,,,
HAI,2025-01-14,-4.6,-2.0,-6.9,,,,94.5,4.1,947.0,,1561.3,,1031.7,1.3,4.0,4.7,14.4,3.9,14.0,,0.0,0.0,,67.0,,,,,339.0,73.0,0.1,0.0,63.0,24.6,16.6,-0.1,,,
