station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
HLL,2025-01-01,-1.3,1.9,-3.8,-2.2,5.7,-7.5,98.9,5.5,976.0,1028.4,,,1025.9,0.8,3.3,2.9,11.9,3.2,11.5,,0.0,0.0,,48.0,,,,39.0,129.0,29.0,0.1,0.0,284.0,21.3,13.3,0.0,,,
HLL,2025-01-02,1.5,8.6,-3.6,0.1,7.2,-7.0,95.1,6.5,966.5,1017.9,,,1016.0,1.5,15.0,5.4,54.0,14.6,52.6,,16.3,16.3,,28.0,,,,22.0,65.0,15.0,0.4,0.0,255.0,18.5,10.5,16.3,,,
HLL,2025-01-03,-0.9,2.0,-5.2,-1.9,4.5,-9.5,91.1,5.2,972.2,1024.4,,,1022.0,2.0,8.9,7.2,32.0,8.7,31.3,,0.0,0.0,,62.0,,,,28.0,198.0,45.0,0.1,0.0,236.0,20.9,12.9,-0.1,,,
HLL,2025-01-04,-4.0,-1.2,-7.1,-5.1,-0.3,-11.4,93.5,4.3,969.8,1022.5,,,1019.4,0.6,3.4,2.2,12.2,3.3,11.9,,17.2,8.0,,47.0,,,,31.0,197.0,44.0,0.1,0.0,135.0,24.0,16.0,8.0,,,
HLL,2025-01-05,0.4,3.4,-1.6,0.0,4.2,-3.1,99.2,6.3,957.1,1008.2,,,1006.2,0.3,3.1,1.1,11.2,3.0,10.8,,4.4,13.6,,27.0,,,,27.0,0.0,0.0,0.2,0.0,63.0,19.6,11.6,13.6,,,
HLL,2025-01-06,1.9,8.0,-2.3,1.1,6.2,-4.1,98.0,7.0,951.8,1002.4,,,1000.7,1.1,10.4,4.0,37.4,10.0,36.0,,9.4,9.4,,11.0,,,,10.0,7.0,2.0,0.4,0.0,207.0,18.1,10.1,9.4,,,
HLL,2025-01-07,2.8,6.6,-0.2,1.0,7.9,-3.6,88.7,6.6,958.4,1009.1,,,1007.6,1.8,16.3,6.5,58.7,15.5,55.8,,3.5,0.8,,42.0,,,,31.0,95.0,21.0,0.3,0.0,247.0,17.2,9.2,0.8,,,
HLL,2025-01-08,4.4,9.8,0.0,3.7,8.3,-1.4,98.9,8.4,956.2,1006.5,,,1005.3,0.8,10.6,2.9,38.2,10.1,36.4,,19.4,22.0,,14.0,,,,15.0,0.0,0.0,0.4,0.0,27.0,15.6,7.6,22.0,,,
HLL,2025-01-09,6.5,11.6,0.8,4.6,10.4,-1.2,83.7,8.2,957.1,1007.1,,,1006.3,3.8,19.0,13.7,68.4,18.5,66.6,,5.9,6.0,,20.0,,,,20.0,6.0,1.0,0.8,0.0,248.0,13.5,5.5,6.0,,,
HLL,2025-01-10,0.4,2.8,-2.5,-1.2,6.3,-7.1,85.2,5.3,969.8,1021.6,,,1019.5,1.4,5.3,5.0,19.1,5.3,19.1,,0.0,0.0,,53.0,,,,29.0,158.0,35.0,0.2,0.0,239.0,19.6,11.6,-0.1,,,
HLL,2025-01-11,-1.7,2.2,-4.1,-3.3,6.3,-8.9,82.1,4.4,974.7,1027.2,,,1024.6,1.9,7.0,6.8,25.2,6.9,24.8,,0.0,0.0,,70.0,,,,17.0,312.0,68.0,0.3,0.0,25.0,21.7,13.7,-0.1,,,
HLL,2025-01-12,-2.4,1.6,-5.4,-3.7,6.9,-9.6,81.3,4.2,984.8,1038.0,,,1035.1,2.1,7.6,7.6,27.4,7.4,26.6,,0.0,0.0,,42.0,,,,38.0,33.0,7.0,0.4,0.0,15.0,22.4,14.4,0.0,,,
HLL,2025-01-13,-2.8,0.0,-5.3,-4.0,2.8,-9.4,75.8,3.8,986.9,1040.2,,,1037.2,3.6,10.2,13.0,36.7,10.0,36.0,,0.0,0.0,,86.0,,,,15.0,471.0,100.0,0.4,0.0,48.0,22.8,14.8,-0.2,,,
HLL,2025-01-14,-3.3,0.7,-7.4,-4.7,4.4,-11.5,82.9,4.0,983.6,1036.9,,,1033.8,1.3,4.2,4.7,15.1,4.1,14.8,,0.0,0.0,,85.0,,,,16.0,472.0,100.0,0.1,0.0,66.0,23.3,15.3,-0.2,,,
HLL,2025-01-15,-1.2,2.6,-7.3,-1.3,7.0,-10.6,96.4,5.5,981.3,1034.0,,,1031.4,1.4,6.4,5.0,23.0,6.3,22.7,,0.1,0.1,,39.0,,,,34.0,41.0,9.0,0.1,0.0,79.0,21.2,13.2,0.1,,,
HLL,2025-01-16,2.0,3.1,1.0,1.6,3.9,0.4,80.8,5.7,983.2,1035.4,,,1033.4,3.2,10.9,11.5,39.2,10.6,38.2,,0.0,0.0,,24.0,,,,24.0,0.0,0.0,0.6,0.0,57.0,18.0,10.0,0.0,,,
HLL,2025-01-17,0.3,1.0,-0.5,0.0,1.0,-0.8,87.1,5.4,984.0,1036.6,,,1034.3,2.1,6.8,7.6,24.5,6.6,23.8,,0.0,0.0,,10.0,,,,11.0,0.0,0.0,0.4,0.0,72.0,19.7,11.7,0.0,,,
HLL,2025-01-18,-0.7,0.2,-2.0,-0.6,2.3,-2.2,88.8,5.2,979.0,1031.5,,,1029.0,1.9,6.1,6.8,22.0,6.0,21.6,,0.0,0.0,,28.0,,,,29.0,0.0,0.0,0.3,0.0,79.0,20.7,12.7,0.0,,,
HLL,2025-01-19,-1.8,-0.7,-3.7,-2.2,0.4,-8.1,96.0,5.1,972.0,1024.4,,,1021.8,0.8,3.0,2.9,10.8,2.9,10.4,,0.0,0.0,,18.0,,,,19.0,0.0,0.0,0.3,0.0,45.0,21.8,13.8,0.0,,,
HLL,2025-01-20,-2.8,-0.5,-4.9,-3.7,2.2,-8.8,99.3,4.9,969.9,1022.3,,,1019.5,0.5,3.6,1.8,13.0,3.6,13.0,,0.0,0.0,,42.0,,,,42.0,0.0,0.0,0.2,0.0,45.0,22.8,14.8,0.0,,,
HLL,2025-01-21,-3.3,-1.5,-4.9,-2.8,-0.2,-5.6,99.3,4.8,968.1,1020.6,,,1017.8,0.7,2.7,2.5,9.7,2.7,9.7,,0.0,0.0,,35.0,,,,36.0,0.0,0.0,0.2,0.0,27.0,23.3,15.3,0.0,,,
HLL,2025-01-22,-1.7,0.4,-3.9,-1.4,1.3,-3.7,99.3,5.4,961.7,1013.4,,,1011.0,0.6,2.6,2.2,9.4,2.6,9.4,,5.9,1.1,,27.0,,,,27.0,0.0,0.0,0.2,0.0,360.0,21.7,13.7,1.1,,,
HLL,2025-01-23,2.3,6.7,-0.7,1.1,9.6,-4.9,92.6,6.7,962.1,1013.1,,,1011.5,1.8,11.8,6.5,42.5,10.9,39.2,,1.8,6.6,,55.0,,,,32.0,132.0,27.0,0.4,0.0,241.0,17.7,9.7,6.6,,,
HLL,2025-01-24,2.3,7.9,-0.7,1.0,12.4,-4.2,92.2,6.6,964.8,1016.0,,,1014.3,0.5,2.8,1.8,10.1,2.7,9.7,,0.0,0.0,,70.0,,,,41.0,203.0,42.0,0.2,0.0,45.0,17.7,9.7,0.0,,,
HLL,2025-01-25,4.1,12.6,-0.6,3.0,16.7,-4.5,90.6,7.3,961.2,1011.8,,,1010.5,0.6,2.8,2.2,10.1,2.8,10.1,,0.0,0.0,,75.0,,,,27.0,220.0,45.0,0.3,0.0,90.0,15.9,7.9,-0.1,,,
HLL,2025-01-26,6.0,9.6,3.0,5.2,12.9,-0.3,76.2,7.0,961.3,1011.6,,,1010.7,2.8,11.4,10.1,41.0,11.2,40.3,,13.5,2.9,,94.0,,,,19.0,381.0,77.0,0.7,0.0,230.0,14.0,6.0,2.7,,,
HLL,2025-01-27,5.9,7.8,4.0,5.1,7.9,2.2,98.8,9.2,954.5,1004.5,,,1003.6,1.1,8.7,4.0,31.3,8.3,29.9,,33.1,39.9,,9.0,,,,10.0,0.0,0.0,0.4,0.0,180.0,14.1,6.1,39.9,,,
HLL,2025-01-28,5.8,8.3,4.1,4.9,9.4,3.0,87.2,8.0,952.7,1002.6,,,1001.7,2.7,12.2,9.7,43.9,11.9,42.8,,7.8,4.9,,41.0,,,,37.0,40.0,8.0,0.6,0.0,222.0,14.2,6.2,4.9,,,
HLL,2025-01-29,5.3,9.4,-0.3,3.6,11.4,-4.2,80.4,7.0,961.0,1011.4,,,1010.4,3.0,14.0,10.8,50.4,13.5,48.6,,0.2,6.9,,88.0,,,,34.0,323.0,64.0,0.6,0.0,233.0,14.7,6.7,6.8,,,
