station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
ILZ,2025-01-01,-8.6,-2.5,-12.2,,,,99.3,3.2,945.8,,1518.4,,1028.0,,,,,,,,0.0,0.0,,59.0,,,,11.0,260.0,99.0,,0.0,,28.6,20.6,0.0,,,
ILZ,2025-01-02,-4.7,2.1,-11.0,,,,99.3,4.5,936.4,,1453.1,,1017.9,,,,,,,,3.7,3.7,,33.0,,,,30.0,5.0,2.0,,0.0,,24.7,16.7,3.7,,,
ILZ,2025-01-03,-0.8,1.3,-3.5,,,,92.2,5.3,938.3,,1481.1,,1020.0,,,,,,,,0.0,0.0,,54.0,,,,28.0,127.0,48.0,,0.0,,20.8,12.8,-0.1,,,
ILZ,2025-01-04,-6.2,-1.0,-11.5,,,,92.1,3.6,937.8,,1460.5,,1019.4,,,,,,,,0.4,0.1,,58.0,,,,19.0,260.0,98.0,,0.0,,26.2,18.2,0.0,,,
ILZ,2025-01-05,0.0,2.4,-2.2,,,,98.8,6.1,929.9,,1412.8,,1011.0,,,,,,,,0.0,0.3,,25.0,,,,24.0,0.0,0.0,,0.0,,20.0,12.0,0.3,,,
ILZ,2025-01-06,0.8,9.5,-3.7,,,,93.8,6.0,924.9,,1371.9,,1005.6,,,,,,,,6.4,1.4,,31.0,,,,28.0,0.0,0.0,,0.0,,19.2,11.2,1.4,,,
ILZ,2025-01-07,0.7,4.3,-3.6,,,,98.5,6.4,927.5,,1394.1,,1008.4,,,,,,,,0.1,5.1,,56.0,,,,17.0,227.0,85.0,,0.0,,19.3,11.3,5.1,,,
ILZ,2025-01-08,0.7,4.9,-4.0,,,,98.7,6.4,929.0,,1406.8,,1010.0,,,,,,,,1.1,1.1,,41.0,,,,37.0,22.0,8.0,,0.0,,19.3,11.3,1.1,,,
ILZ,2025-01-09,1.2,4.4,-2.5,,,,95.1,6.4,926.3,,1385.2,,1007.1,,,,,,,,1.2,1.2,,45.0,,,,28.0,109.0,40.0,,0.0,,18.8,10.8,1.2,,,
ILZ,2025-01-10,0.4,2.0,-1.4,,,,75.8,4.7,936.3,,1467.9,,1017.8,,,,,,,,2.7,1.5,,30.0,,,,29.0,0.0,0.0,,0.0,,19.6,11.6,1.4,,,
ILZ,2025-01-11,-3.0,-0.7,-8.2,,,,93.4,4.6,940.2,,1489.6,,1021.9,,,,,,,,1.2,2.4,,32.0,,,,28.0,10.0,4.0,,0.0,,23.0,15.0,2.4,,,
ILZ,2025-01-12,-4.9,-2.0,-7.5,,,,83.1,3.5,950.7,,1570.0,,1033.2,,,,,,,,0.0,0.0,,43.0,,,,30.0,80.0,28.0,,0.0,,24.9,16.9,-0.1,,,
ILZ,2025-01-13,-6.8,-3.0,-11.4,,,,77.6,2.8,953.4,,1585.2,,1036.1,,,,,,,,0.0,0.0,,71.0,,,,13.0,287.0,100.0,,0.0,,26.8,18.8,-0.2,,,
ILZ,2025-01-14,-8.2,-0.5,-12.4,,,,93.7,3.1,950.0,,1553.6,,1032.5,,,,,,,,0.0,0.0,,69.0,,,,11.0,290.0,100.0,,0.0,,28.2,20.2,-0.1,,,
ILZ,2025-01-15,-5.2,2.3,-11.2,,,,88.2,3.6,947.7,,1544.6,,1030.0,,,,,,,,0.0,0.0,,68.0,,,,24.0,230.0,78.0,,0.0,,25.2,17.2,-0.1,,,
ILZ,2025-01-16,-6.7,1.2,-10.8,,,,92.9,3.4,950.2,,1560.0,,1032.7,,,,,,,,0.0,0.0,,70.0,,,,11.0,294.0,100.0,,0.0,,26.7,18.7,-0.1,,,
ILZ,2025-01-17,-6.9,1.9,-11.0,,,,93.1,3.4,950.4,,1561.0,,1032.9,,,,,,,,0.0,0.0,,72.0,,,,11.0,300.0,100.0,,0.0,,26.9,18.9,-0.1,,,
ILZ,2025-01-18,-6.3,3.2,-10.9,,,,92.9,3.6,946.3,,1529.4,,1028.5,,,,,,,,0.0,0.0,,73.0,,,,11.0,303.0,100.0,,0.0,,26.3,18.3,-0.1,,,
ILZ,2025-01-19,-3.5,3.0,-9.3,,,,93.1,4.5,939.9,,1485.9,,1021.6,,,,,,,,0.0,0.0,,52.0,,,,37.0,81.0,27.0,,0.0,,23.5,15.5,0.0,,,
ILZ,2025-01-20,0.1,6.7,-5.7,,,,91.7,5.7,938.2,,1482.7,,1019.8,,,,,,,,0.0,0.0,,49.0,,,,43.0,18.0,6.0,,0.0,,19.9,11.9,0.0,,,
ILZ,2025-01-21,-1.9,5.5,-5.2,,,,94.8,5.0,935.7,,1455.7,,1017.1,,,,,,,,0.0,0.0,,75.0,,,,13.0,310.0,100.0,,0.0,,21.9,13.9,-0.1,,,
