station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
INT,2025-01-01,-1.9,0.0,-3.2,-2.2,5.0,-6.2,99.4,5.3,958.4,1030.3,,,1026.9,1.3,4.1,4.7,14.8,3.9,14.0,0.0,0.0,0.0,,59.0,,,,26.0,200.0,66.0,0.1,0.0,186.0,21.9,13.9,0.0,,,
INT,2025-01-02,1.6,10.9,-2.4,-0.4,4.7,-5.5,90.1,6.1,948.8,1019.0,,,1016.7,2.4,16.2,8.6,58.3,15.0,54.0,30.0,22.9,17.9,,29.0,,,,25.0,8.0,3.0,0.9,0.0,243.0,18.4,10.4,17.9,,,
INT,2025-01-03,0.2,2.6,-3.4,-0.2,6.5,-4.8,92.5,5.8,952.9,1023.8,,,1021.0,2.2,10.0,7.9,36.0,8.4,30.2,0.0,0.0,5.0,,70.0,,,,24.0,263.0,86.0,0.1,0.0,228.0,19.8,11.8,4.9,,,
INT,2025-01-04,-2.4,0.1,-5.3,-2.3,1.3,-7.1,87.3,4.5,950.4,1021.8,,,1018.4,1.5,4.7,5.4,16.9,4.5,16.2,0.0,5.1,1.1,,48.0,,,,33.0,140.0,46.0,0.2,0.0,195.0,22.4,14.4,1.0,,,
INT,2025-01-05,2.7,6.6,0.2,2.4,10.3,0.0,99.2,7.4,940.0,1009.3,,,1007.4,1.2,11.4,4.3,41.0,11.2,40.3,0.0,0.0,4.0,,53.0,,,,31.0,127.0,42.0,0.2,0.0,143.0,17.3,9.3,4.0,,,
INT,2025-01-06,6.3,9.8,1.5,5.3,12.8,-0.4,78.2,7.3,934.0,1001.9,,,1001.0,2.4,12.1,8.6,43.6,10.9,39.2,0.0,7.0,6.2,,41.0,,,,29.0,91.0,30.0,0.6,0.0,239.0,13.7,5.7,6.1,,,
INT,2025-01-07,3.6,9.0,0.4,2.6,10.4,-1.5,78.1,6.0,941.1,1010.2,,,1008.5,2.3,15.8,8.3,56.9,15.3,55.1,40.0,0.3,0.8,,67.0,,,,24.0,247.0,80.0,0.6,0.0,202.0,16.4,8.4,0.6,,,
INT,2025-01-08,3.6,6.5,0.6,2.6,8.4,-1.7,94.7,7.5,939.8,1008.8,,,1007.2,1.3,7.0,4.7,25.2,7.0,25.2,0.0,2.7,2.6,,18.0,,,,15.0,24.0,8.0,0.4,0.0,135.0,16.4,8.4,2.6,,,
INT,2025-01-09,6.4,13.7,1.9,4.9,12.6,-0.5,78.0,7.3,940.1,1008.4,,,1007.6,3.5,19.2,12.6,69.1,18.5,66.6,10.0,3.5,3.4,,40.0,,,,36.0,10.0,3.0,1.3,0.0,242.0,13.6,5.6,3.3,,,
INT,2025-01-10,1.0,2.3,0.0,0.5,1.8,-0.8,87.6,5.7,950.6,1021.1,,,1018.6,1.6,10.5,5.8,37.8,10.2,36.7,0.0,7.3,3.1,,18.0,,,,17.0,0.0,0.0,0.4,0.0,252.0,19.0,11.0,3.1,,,
INT,2025-01-11,0.4,1.6,-1.1,0.1,2.1,-2.5,89.7,5.6,953.9,1024.8,,,1022.1,1.5,15.5,5.4,55.8,15.2,54.7,0.0,2.2,6.9,,21.0,,,,20.0,0.0,0.0,0.3,0.0,307.0,19.6,11.6,6.9,,,
INT,2025-01-12,-2.5,-0.6,-4.8,-3.6,2.2,-9.9,76.6,3.9,963.8,1036.2,,,1032.5,2.5,8.2,9.0,29.5,7.9,28.4,0.0,0.0,0.0,,57.0,,,,19.0,247.0,79.0,0.4,0.0,204.0,22.5,14.5,-0.2,,,
INT,2025-01-13,-4.0,-1.9,-7.1,-4.9,0.7,-11.5,70.6,3.2,965.3,1038.3,,,1034.1,3.0,7.5,10.8,27.0,7.2,25.9,0.0,0.0,0.0,,71.0,,,,13.0,312.0,100.0,0.4,0.0,194.0,24.0,16.0,-0.2,,,
INT,2025-01-14,-4.0,-1.3,-6.4,-4.9,3.6,-9.9,89.5,4.1,963.4,1036.3,,,1032.2,1.5,5.4,5.4,19.4,5.1,18.4,0.0,0.0,0.0,,75.0,,,,20.0,306.0,98.0,0.2,0.0,211.0,24.0,16.0,-0.1,,,
INT,2025-01-15,-1.6,2.4,-5.6,-3.5,6.8,-10.1,89.4,4.9,960.5,1032.5,,,1029.1,1.2,4.2,4.3,15.1,4.1,14.8,0.0,0.0,0.0,,58.0,,,,27.0,190.0,61.0,0.2,0.0,201.0,21.6,13.6,-0.1,,,
INT,2025-01-16,-0.9,1.6,-3.2,-1.7,5.5,-7.0,79.0,4.5,962.5,1034.5,,,1031.2,2.1,11.2,7.6,40.3,10.9,39.2,0.0,0.0,0.0,,74.0,,,,20.0,313.0,100.0,0.4,0.0,201.0,20.9,12.9,-0.2,,,
INT,2025-01-17,-2.2,0.9,-4.5,-2.9,5.2,-8.0,84.7,4.4,963.9,1036.3,,,1032.6,1.5,5.2,5.4,18.7,4.8,17.3,0.0,0.0,0.0,,71.0,,,,15.0,315.0,100.0,0.3,0.0,209.0,22.2,14.2,-0.1,,,
INT,2025-01-18,-2.5,0.3,-4.3,-3.1,4.3,-7.4,89.1,4.5,958.9,1031.0,,,1027.4,1.5,4.9,5.4,17.6,4.8,17.3,0.0,0.0,0.0,,68.0,,,,26.0,258.0,82.0,0.3,0.0,211.0,22.5,14.5,-0.1,,,
INT,2025-01-19,-0.9,0.5,-2.6,-1.0,1.8,-3.5,99.1,5.7,952.7,1023.9,,,1020.9,1.2,4.3,4.3,15.5,4.3,15.5,0.0,0.0,0.0,,28.0,,,,27.0,0.0,0.0,0.2,0.0,189.0,20.9,12.9,0.0,,,
INT,2025-01-20,-0.5,0.7,-1.9,-0.7,4.2,-4.1,99.5,5.9,950.6,1021.5,,,1018.6,1.1,3.5,4.0,12.6,3.3,11.9,0.0,0.0,0.0,,46.0,,,,42.0,8.0,3.0,0.2,0.0,180.0,20.5,12.5,0.0,,,
INT,2025-01-21,-0.3,3.3,-2.8,-0.7,7.0,-5.9,91.3,5.4,948.8,1019.5,,,1016.7,1.4,3.9,5.0,14.0,3.8,13.7,0.0,0.0,0.0,,75.0,,,,14.0,309.0,97.0,0.3,0.0,197.0,20.3,12.3,-0.1,,,
INT,2025-01-22,0.6,3.9,-3.0,-0.7,6.9,-6.1,91.2,5.8,942.6,1012.6,,,1010.1,1.2,5.5,4.3,19.8,5.2,18.7,0.0,0.0,0.0,,36.0,,,,31.0,31.0,10.0,0.3,0.0,207.0,19.4,11.4,0.0,,,
INT,2025-01-23,3.0,6.4,-0.2,1.8,8.1,-2.4,97.4,7.4,944.3,1013.8,,,1012.0,1.5,8.3,5.4,29.9,8.2,29.5,0.0,5.8,5.8,,46.0,,,,36.0,40.0,12.0,0.3,0.0,180.0,17.0,9.0,5.8,,,
INT,2025-01-24,3.6,9.1,0.9,2.7,13.6,-1.1,89.1,7.0,947.0,1016.5,,,1014.8,1.3,5.0,4.7,18.0,4.7,16.9,0.0,0.0,0.0,,76.0,,,,45.0,166.0,51.0,0.5,0.0,166.0,16.4,8.4,-0.1,,,
INT,2025-01-25,5.6,12.1,2.0,4.2,14.8,-1.1,74.5,6.6,943.3,1012.1,,,1010.9,1.6,6.7,5.8,24.1,6.5,23.4,0.0,3.4,0.0,,80.0,,,,33.0,293.0,90.0,0.8,0.0,194.0,14.4,6.4,-0.2,,,
INT,2025-01-26,4.6,9.2,1.0,3.7,10.9,-1.4,75.7,6.4,943.9,1013.0,,,1011.6,1.9,16.2,6.8,58.3,15.6,56.2,0.0,0.1,3.4,,82.0,,,,21.0,271.0,83.0,0.7,0.0,197.0,15.4,7.4,3.2,,,
